web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572917383-1747","https://www.zillow.com/homes/albany-CA_rb/","","https://www.zillow.com/homedetails/612-Evelyn-Ave-Albany-CA-94706/24854642_zpid/","Albany, CA 94706","For sale","612 Evelyn Ave,","1,560","4","3","None","$1,795,000","Single Family","1949","Forced air, Wall","None","2 spaces","5,000 sqft","$3,500/mo","10","9","9","None","No","null","null","$5,632"
"1572917437-1752","https://www.zillow.com/homes/albany-CA_rb/","","https://www.zillow.com/homedetails/555-Pierce-St-APT-241-Albany-CA-94706/152959257_zpid/","Albany, CA 94706","For sale","555 Pierce St APT 241,","1,113","2","2","$607,793","$578,000","Condo","1977","Electric","None","No Data","$735/month","$3,000/mo","8","9","9","Electric","Concrete Block","1977","null","$8,659"
"1572917328-1736","https://www.zillow.com/homes/albany-CA_rb/","","https://www.zillow.com/homedetails/928-Stannage-Ave-Albany-CA-94706/24852494_zpid/","Albany, CA 94706","Pre-foreclosure","928 Stannage Ave,","null","3","null","$862,066","$862,066","Single Family","1936","No Data","No Data","Detached Garage","3,800 sqft","null","10","9","9","null","No","null","null","$9,077"
"1572917345-1740","https://www.zillow.com/homes/albany-CA_rb/","","https://www.zillow.com/homedetails/834-Santa-Fe-Ave-Albany-CA-94706/24855287_zpid/","Albany, CA 94706","Pre-foreclosure","834 Santa Fe Ave,","null","1","null","$706,353","$706,353","Single Family","1928","No Data","No Data","Detached Garage","2,375 sqft","null","8","9","9","null","No","null","null","$3,685"
"1572917393-1748","https://www.zillow.com/homes/albany-CA_rb/","","https://www.zillow.com/homedetails/555-Pierce-St-APT-639-Albany-CA-94706/24853678_zpid/","Albany, CA 94706","For sale","555 Pierce St APT 639,","745","1","1","$483,759","$475,000","Condo","1977","Wall","Central","Detached Garage","$515/month","$2,400/mo","8","9","9","null","No","null","null","$6,826"
"1572917362-1744","https://www.zillow.com/homes/albany-CA_rb/","","https://www.zillow.com/homedetails/555-Pierce-St-APT-1036-Albany-CA-94706/24853698_zpid/","Albany, CA 94706","For sale","555 Pierce St APT 1036,","1,113","2","2","$555,597","$549,000","Condo","1977","Electric","None","1 space","$735/month","$2,900/mo","8","9","9","None","No","null","Individual Electric Meters, Public Utilities","$8,558"
"1572917336-1738","https://www.zillow.com/homes/albany-CA_rb/","","https://www.zillow.com/homedetails/909-Pierce-St-Albany-CA-94706/24852820_zpid/","Albany, CA 94706","For sale","909 Pierce St,","994","2","2","$888,453","$835,000","Single Family","1922","Forced air","None","Attached Garage","3,301 sqft","$2,995/mo","8","9","9","null","Composition","null","null","$4,837"
"1572917358-1743","https://www.zillow.com/homes/albany-CA_rb/","","https://www.zillow.com/homedetails/555-Pierce-St-APT-730-Albany-CA-94706/111401398_zpid/","Albany, CA 94706","For sale","555 Pierce St APT 730,","1,113","2","2","$538,460","$519,000","Condo","1977","Electric","None","No Data","$735/month","$2,900/mo","8","9","9","Electric","Concrete Block","1977","null","$6,589"
"1572917341-1739","https://www.zillow.com/homes/albany-CA_rb/","","https://www.zillow.com/homedetails/555-Pierce-St-APT-741-Albany-CA-94706/152959290_zpid/","Albany, CA 94706","For sale","555 Pierce St APT 741,","1,113","2","2","$529,411","$509,000","Condo","1977","Electric","None","Detached Garage","$735/month","$3,000/mo","8","9","9","None","Concrete Block","1977","null","$8,018"
"1572917367-1745","https://www.zillow.com/homes/albany-CA_rb/","","https://www.zillow.com/homedetails/1440-Portland-Ave-Albany-CA-94706/24855389_zpid/","Albany, CA 94706","For sale","1440 Portland Ave,","1,329","2","2","$1,694,626","$1,400,000","Single Family","1926","Forced air","Other","Attached Garage","3,798 sqft","$5,132/mo","8","9","9","Other","Composition","null","null","$18,774"
