web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572890796-36","https://www.zillow.com/homes/alameda,-ca_rb/","","https://www.zillow.com/homedetails/816-Grand-St-Alameda-CA-94501/24868502_zpid/","Alameda, CA 94501","For sale","816 Grand St,","","","2,825","3","3","$1,645,756","$1,495,000","Single Family","1970","Other","None","Attached Garage","6,969 sqft","$4,965/mo","8","7","9","null","Composition","null","null","$5,701"
"1572890625-22","https://www.zillow.com/homes/alameda,-ca_rb/","","https://www.zillow.com/homedetails/371-Bryant-Ave-Alameda-CA-94501/64964536_zpid/","Alameda, CA 94501","Auction","371 Bryant Ave,","","","null","3","null","null","$1,245,977","Single Family","2004","No Data","No Data","Detached Garage","5,662 sqft","$4,500/mo","3","6","null","null","No","null","null","$15,693"
"1572890457-5","https://www.zillow.com/homes/alameda,-ca_rb/","","https://www.zillow.com/homedetails/1139-Leeward-Ln-Alameda-CA-94502/24864885_zpid/","Alameda, CA 94502","Pre-foreclosure / auction","1139 Leeward Ln,","2","https://www.zillow.com/alameda-ca/2_p/","null","3","null","null","null","Condo","1975","No Data","No Data","Detached Garage","$499/month","null","9","9","9","null","Shake/Shingle","null","null","$2,923"
"1572890751-31","https://www.zillow.com/homes/alameda,-ca_rb/","","https://www.zillow.com/homedetails/3520-Bowman-Ct-Alameda-CA-94502/24872056_zpid/","Alameda, CA 94502","For sale","3520 Bowman Ct,","","","1,028","2","2","$854,612","$789,000","Single Family","1987","Forced air","No Data","Attached Garage","2,613 sqft","$3,245/mo","9","9","9","null","Composition","null","null","$6,369"
"1572890531-15","https://www.zillow.com/homes/alameda,-ca_rb/","","https://www.zillow.com/homedetails/1333-Webster-St-APT-A209-Alameda-CA-94501/24871108_zpid/","Alameda, CA 94501","Pre-foreclosure","1333 Webster St APT A209,","","","510","1","1","$283,542","$283,542","Condo","1970","Electric","Central","No Data","$465/month","null","6","6","null","null","No","null","null","$2,353"
"1572890718-29","https://www.zillow.com/homes/alameda,-ca_rb/","","https://www.zillow.com/homedetails/2-Regulus-Ct-Alameda-CA-94501/24872450_zpid/","Alameda, CA 94501","For sale","2 Regulus Ct,","","","1,292","2","2","$874,582","$850,000","Condo","1988","Other","None","Detached Garage","$602/month","$3,158/mo","7","6","null","null","Composition","null","null","$5,977"
"1572890846-40","https://www.zillow.com/homes/alameda,-ca_rb/","","https://www.zillow.com/homedetails/434-Central-Ave-Alameda-CA-94501/299075607_zpid/","Alameda, CA 94501","For sale","434 Central Ave,","","","null","53","null","None","$19,345,000","Multi Family","1964","No Data","No Data","Detached Garage","$563","$2,500/mo","6","6","null","null","No","null","null","$121,290"
"1572890505-13","https://www.zillow.com/homes/alameda,-ca_rb/","","https://www.zillow.com/homedetails/3116-Gibbons-Dr-Alameda-CA-94501/24857660_zpid/","Alameda, CA 94501","Pre-foreclosure","3116 Gibbons Dr,","","","null","3","null","$1,203,007","$1,203,007","Single Family","1939","No Data","No Data","Detached Garage","4,500 sqft","null","9","9","9","null","No","null","null","$3,231"
"1572890789-35","https://www.zillow.com/homes/alameda,-ca_rb/","","https://www.zillow.com/homedetails/3437-Solomon-Ln-Alameda-CA-94502/24864888_zpid/","Alameda, CA 94502","For sale","3437 Solomon Ln,","","","1,247","2","2","$744,778","$685,000","Townhouse","1975","Forced air","Central","Detached Garage","2,260 sqft","$3,260/mo","9","9","9","Gas, Forced Air 1 Zone","Wood Siding","Composition","null","$6,612"
"1572890638-23","https://www.zillow.com/homes/alameda,-ca_rb/","","https://www.zillow.com/homedetails/2209-Otis-Dr-APT-J-Alameda-CA-94501/24867966_zpid/","Alameda, CA 94501","For sale","2209 Otis Dr APT J,","","","715","1","1","$421,166","$399,000","Condo","1962","Other","None","1 space","$324/month","$2,500/mo","9","7","9","None","Other","null","null","$2,541"
