web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572891230-51","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/14-Camerino-Ct-American-Canyon-CA-94503/59400504_zpid/","American Canyon, CA 94503","Pre-foreclosure / auction","14 Camerino Ct,","2","https://www.zillow.com/american-canyon-ca/2_p/","2,233","4","2","$462,155","$462,155","Single Family","2003","Other","Central","2 spaces","8,347 sqft","null","7","6","6","null","No","null","null","$8,082"
"1572891543-83","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/130-James-Rd-American-Canyon-CA-94503/19421332_zpid/","American Canyon, CA 94503","Pre-foreclosure / auction","130 James Rd,","","","null","3","null","$326,885","$326,885","Single Family","1953","Other","None","No Data","5,534 sqft","null","4","6","6","null","No","null","null","$5,450"
"1572891243-54","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/229-Newbury-Way-American-Canyon-CA-94503/19422409_zpid/","American Canyon, CA 94503","For sale","229 Newbury Way,","","","2,981","6","4","$670,875","$675,000","Single Family","1989","Forced air, Other","None","3 spaces","7,405 sqft","$3,200/mo","5","6","6","null","Composition","null","null","$3,952"
"1572891233-52","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/6-Kevin-Ln-American-Canyon-CA-94503/58276277_zpid/","American Canyon, CA 94503","Pre-foreclosure","6 Kevin Ln,","2","https://www.zillow.com/american-canyon-ca/2_p/","null","4","null","$392,699","$392,699","Single Family","2001","Other","Central","2 spaces","3,960 sqft","null","7","6","6","null","No","null","null","$5,788"
"1572891380-68","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/244-American-Canyon-Rd-SPC-45-American-Canyon-CA-94503/2096703496_zpid/","American Canyon, CA 94503","For sale","244 American Canyon Rd SPC 45,","","","1,080","2","2","$137,777","$137,777","Mobile / Manufactured","1970","No Data","No Data","No Data","$128","$2,477/mo","7","6","6","null","Metal","null","null","null"
"1572891302-64","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/219-Rio-Del-Mar-American-Canyon-CA-94503/111416208_zpid/","American Canyon, CA 94503","Lot/land","219 Rio Del Mar,","","","null","9,147 sqft","null","None","$79,000","null","null","null","null","null","null","null","4","6","6","null","null","null","Elec Avail","null"
"1572891645-91","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/137-Carmel-Dr-American-Canyon-CA-94503/19421240_zpid/","American Canyon, CA 94503","For sale","137 Carmel Dr,","","","1,032","3","2","$425,472","$427,000","Single Family","1957","Forced air","Central","1 space","6,534 sqft","$2,300/mo","5","6","6","null","Composition","null","null","$3,070"
"1572891481-76","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/280-Sandstone-Dr-Vallejo-CA-94589/247629119_zpid/","Vallejo, CA 94589","For sale","280 Sandstone Dr,","","","1,080","2","2","$308,370","$305,000","Single Family","1982","Other","No Data","Attached Garage","3,049 sqft","$2,000/mo","7","6","6","null","Composition","null","null","$1,320"
"1572891637-90","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/(undisclosed-Address)-American-Canyon-CA-94503/2082175915_zpid/","American Canyon, CA 94503","For sale","(undisclosed Address),","","","2,370","4","3","$650,003","$650,000","Single Family","2001","No Data","No Data","No Data","5,227 sqft","null","7","6","6","null","Tile","null","null","null"
"1572891255-57","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/107-Sonoma-Creek-Way-American-Canyon-CA-94503/79818552_zpid/","American Canyon, CA 94503","For sale","107 Sonoma Creek Way,","","","2,829","4","3","$678,005","$678,000","Single Family","2007","Other","Central","2 spaces","4,791 sqft","$3,200/mo","7","6","6","null","Tile","null","null","$8,356"
"1572891491-78","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/534-Marla-Dr-American-Canyon-CA-94503/55457176_zpid/","American Canyon, CA 94503","For sale","534 Marla Dr,","","","2,502","5","3","$613,537","$615,000","Single Family","2002","Other","Central","2 spaces","6,534 sqft","$3,000/mo","5","6","6","null","No","null","null","$5,354"
"1572891519-81","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/3000-Broadway-St-APT-10-American-Canyon-CA-94503/2082423730_zpid/","American Canyon, CA 94503","For sale","3000 Broadway St APT 10,","","","1,368","2","2","$93,265","$95,000","Mobile / Manufactured","1971","No Data","No Data","No Data","$69","$2,532/mo","4","6","6","null","No","null","null","null"
"1572891332-65","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/217-Rio-Del-Mar-American-Canyon-CA-94503/250823663_zpid/","American Canyon, CA 94503","Lot/land","217 Rio Del Mar,","","","null","10,018 sqft","null","None","$79,000","null","null","null","null","null","null","null","4","6","6","null","null","null","Elec Avail","$311"
"1572891342-66","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/62-Via-Treviso-American-Canyon-CA-94503/59400444_zpid/","American Canyon, CA 94503","Pre-foreclosure","62 Via Treviso,","","","null","6","null","$510,744","$510,744","Single Family","2002","Other","Central","2 spaces","7,200 sqft","null","7","6","6","null","No","null","null","$7,000"
"1572891265-60","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/156-James-Rd-American-Canyon-CA-94503/19421343_zpid/","American Canyon, CA 94503","Pre-foreclosure / auction","156 James Rd,","","","null","3","null","$351,650","$351,650","Single Family","1957","Other","None","2 spaces","0.45 acres","null","4","6","6","null","No","null","null","$5,790"
"1572891420-73","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/2525-Flosden-Rd-SPC-159-American-Canyon-CA-94503/2082645294_zpid/","American Canyon, CA 94503","For sale","2525 Flosden Rd SPC 159,","","","1,152","3","2","$152,520","$155,000","Mobile / Manufactured","1986","No Data","No Data","No Data","$135","$2,499/mo","7","6","6","null","No","null","null","null"
"1572891632-89","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/83-Peacock-Cir-American-Canyon-CA-94503/55734195_zpid/","American Canyon, CA 94503","For sale","83 Peacock Cir,","","","3,301","4","4","$729,902","$729,900","Single Family","2002","Other","Central","2 spaces","8,712 sqft","$3,227/mo","5","6","6","null","No","null","null","$6,803"
"1572891539-82","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/6-Black-Duck-Ct-American-Canyon-CA-94503/61365788_zpid/","American Canyon, CA 94503","For sale","6 Black Duck Ct,","","","2,877","4","3","$699,000","$699,000","Single Family","2004","Other","Central","3 spaces","9,583 sqft","$3,200/mo","5","6","6","null","No","null","null","$8,138"
"1572891385-69","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/314-Strand-Ct-American-Canyon-CA-94503/19422625_zpid/","American Canyon, CA 94503","For sale","314 Strand Ct,","","","1,903","4","3","$555,000","$555,000","Single Family","1990","Other","None","2 spaces","8,276 sqft","$2,800/mo","5","6","6","null","Composition","null","null","$3,102"
"1572891250-56","https://www.zillow.com/homes/american-canyon-CA_rb/","","https://www.zillow.com/homedetails/18-Entrada-Cir-American-Canyon-CA-94503/63060549_zpid/","American Canyon, CA 94503","Pre-foreclosure / auction","18 Entrada Cir,","","","null","5","null","$528,303","$528,303","Single Family","2004","Other","Central","2 spaces","7,036 sqft","null","7","6","6","null","No","null","null","$8,297"
