web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href
"1572902906-2875","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/community/error-subdivision-name-unavailable/95407156_zpid/","Antioch, CA 94531","New construction","4506 Goode Ct,","","","","","","","5","https://www.zillow.com/antioch-ca/5_p/","2,308","4","2","None","$567,990","Single Family","2019","No Data","No Data","Single Family","0.33 acres","null","2","1","5","{""targetDiv"":""gpt-ad-9d59a4ad-a197-45ee-999d-fe3faa0ceb9e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" Y3MDEQ"",""aamgnrc1"":""Wild Horse Road & Goode St"",""bd"":""4"",""fsbid"":""13050"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""2082992360"",""zestibuck"":""500-599k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""567990"",""sqft"":""2308"",""posting_url"":""https://www.khov.com/find-new-homes/california/antioch/94531/k-hovnanian-homes/riverview-at-monterra?ref=ZLO"",""state"":""CA"",""mlong"":""-121.758981"",""cnty"":""Contra_Costa"",""prange"":""500-599k"",""zip"":""94531"",""mlat"":""37.983702"",""plid"":""10836865"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3fgx03k89q9w0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Point_Richmond"",""yrblt"":""2010-2019"",""zestimate"":""568053"",""premieragent"":""no"",""builderChatId"":""13050-813712"",""dma"":""37""}}","null","null","null","null","NEXT","https://www.zillow.com/antioch-ca/6_p/","","","",""
"1572903751-3462","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/400-E-18th-St-Antioch-CA-94509/2082216759_zpid/","Antioch, CA 94509","Lot/land","400 E 18th St,","","","","","","","","","null","0.4 acres","null","None","$995,000","null","null","null","null","null","null","null","2","1","3","{""targetDiv"":""gpt-ad-bf68b400-0e0e-4dbd-a046-8ba6e0a41c45"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94509"",""aamgnrc1"":""400 E 18th St"",""mlat"":""38.00462"",""bd"":""0"",""fsbid"":""35"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzrnordmr4ic60000000000.jpg"",""zusr"":""true"",""city"":""Antioch"",""proptp"":""lot"",""pid"":""2082216759"",""lot"":""3"",""listtp"":""buy_agent"",""zguidh"":""-857652212842297413"",""premieragent"":""no"",""price"":""995000"",""posting_url"":""http://www.kw.com/homes-for-sale/94509/CA/ANTIOCH/400--E-18Th-St/3yd-BAEORCA-40887330.html"",""mlong"":""-121.79785"",""state"":""CA"",""prange"":""900-999k""}}","null","null","null","null","","","","","",""
"1572903838-3532","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/2217-Renwick-Ln-Antioch-CA-94509/18310776_zpid/","Antioch, CA 94509","For sale","2217 Renwick Ln,","","","","","","","","","1,008","2","2","$279,952","$279,950","Condo","1988","Forced air","Central","Condo","$330/month","null","2","1","3","{""targetDiv"":""gpt-ad-6b7b97e9-62d3-4002-806d-133795a928d4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94509"",""aamgnrc1"":""2217 Renwick Ln"",""mlat"":""37.99937"",""bd"":""2"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3v0o38uo32tw0000000000.jpg"",""zusr"":""true"",""city"":""Antioch"",""proptp"":""cnd"",""pid"":""18310776"",""price_band"":""z200"",""yrblt"":""1980-1989"",""zestimate"":""279952"",""zestibuck"":""250-299k"",""listtp"":""buy_agent"",""zguidh"":""6252100060144585855"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""279950"",""sqft"":""1008"",""posting_url"":"""",""mlong"":""-121.790186"",""state"":""CA"",""prange"":""250-299k""}}","null","null","null","null","","","","","",""
"1572903745-3457","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/33-El-Capitan-Ln-Antioch-CA-94509/18309487_zpid/","Antioch, CA 94509","For sale","33 El Capitan Ln,","","","","","","","","","1,236","3","2","$275,001","$275,000","Townhouse","1971","Forced air","Wall","Townhouse","1,224 sqft","$2,275/mo","2","3","3","{""targetDiv"":""gpt-ad-27742862-ddc8-4070-af45-9a8dbc6df435"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""33 El Capitan Ln"",""bd"":""3"",""fsbid"":""13698"",""city"":""Antioch"",""proptp"":""twn"",""pid"":""18309487"",""lot"":""1"",""zestibuck"":""250-299k"",""listtp"":""buy_agent"",""zguidh"":""1770090800169759466"",""sqftrange"":""1000-1499"",""price"":""275000"",""sqft"":""1236"",""posting_url"":"""",""mlong"":""-121.804849"",""state"":""CA"",""park"":""yes"",""prange"":""250-299k"",""zip"":""94509"",""mlat"":""37.98633"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7mw9oqnlf4qj1000000000.jpg"",""zusr"":""true"",""price_band"":""z200"",""yrblt"":""1970-1979"",""zestimate"":""275001"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572903193-3024","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/2412-Crocker-Way-Antioch-CA-94531/50916881_zpid/","Antioch, CA 94531","Pre-foreclosure / auction","2412 Crocker Way,","","","","","4","https://www.zillow.com/antioch-ca/4_p/","","","null","6","null","$540,957","$540,957","Single Family","2000","No Data","Central","Single Family","6,874 sqft","null","3","3","5","{""targetDiv"":""gpt-ad-16ad5ef2-0187-470a-bd3e-7fdd49f81450"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2412 Crocker Way"",""bd"":""6"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""50916881"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""2621708932495890199"",""sqftrange"":""3000-3499"",""price"":""557688"",""sqft"":""3455"",""posting_url"":"""",""mlong"":""-121.785069"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94531"",""mlat"":""37.959649"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISyvecrra91xp61000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""557688"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572902559-2664","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/5170-Pawnee-Dr-Antioch-CA-94531/18304433_zpid/","Antioch, CA 94531","Pre-foreclosure","5170 Pawnee Dr,","","","","","","","5","https://www.zillow.com/antioch-ca/5_p/","null","3","null","$421,051","$421,051","Single Family","1992","No Data","Central","Single Family","7,048 sqft","null","4","3","5","{""targetDiv"":""gpt-ad-970a9a0a-58d8-40e4-b994-c1045fbd5ed1"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5170 Pawnee Dr"",""bd"":""3"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""18304433"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_foreclosure"",""zguidh"":""7497161672011295401"",""sqftrange"":""1000-1499"",""price"":""434074"",""sqft"":""1382"",""posting_url"":"""",""mlong"":""-121.767912"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94531"",""mlat"":""37.956258"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1990-1999"",""zestimate"":""434074"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/antioch-ca/6_p/","NEXT","https://www.zillow.com/antioch-ca/7_p/","NEXT","https://www.zillow.com/antioch-ca/8_p/"
"1572903586-3331","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/1104-Almond-St-Antioch-CA-94509/18304964_zpid/","Antioch, CA 94509","For sale","1104 Almond St,","2","https://www.zillow.com/antioch-ca/2_p/","","","","","","","1,770","3","2","$495,004","$495,000","Single Family","1956","Forced air","Central","Single Family","6,899 sqft","null","2","1","3","{""targetDiv"":""gpt-ad-7e12665e-76e4-4855-8c67-609e63df2c4f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1104 Almond St"",""bd"":""3"",""fsbid"":""15050"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""18304964"",""lot"":""2"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""-4187005929886249103"",""sqftrange"":""1500-1999"",""price"":""495000"",""sqft"":""1770"",""posting_url"":"""",""mlong"":""-121.805272"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""94509"",""mlat"":""38.010087"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISblityihqhilm1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1940-1959"",""zestimate"":""495004"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572902598-2702","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/community/cielo-at-sand-creek-_-vive-collection/2084598525_zpid/","null","null","null","","","","","","","5","https://www.zillow.com/antioch-ca/5_p/","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","NEXT","https://www.zillow.com/antioch-ca/6_p/","NEXT","https://www.zillow.com/antioch-ca/7_p/","",""
"1572902911-2877","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/3118-S-Francisco-Way-Antioch-CA-94509/18319220_zpid/","Antioch, CA 94509","Pre-foreclosure / auction","3118 S Francisco Way,","","","","","","","5","https://www.zillow.com/antioch-ca/5_p/","null","4","null","$432,231","$432,231","Single Family","1971","Forced air","Central, Other","Single Family","8,124 sqft","null","3","3","3","{""targetDiv"":""gpt-ad-4b4f90f4-356a-444f-ab04-3e1c73e48975"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3118 S Francisco Way"",""bd"":""4"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""18319220"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_foreclosure"",""zguidh"":""4688089376241882057"",""sqftrange"":""1000-1499"",""price"":""445599"",""sqft"":""1457"",""posting_url"":"""",""mlong"":""-121.832395"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94509"",""mlat"":""37.988689"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""445599"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/antioch-ca/6_p/","","","",""
"1572902608-2713","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/community/riverview-at-monterra/95385091_zpid/","Antioch, CA 94531","New construction","4544 Benton St,","","","","","","","5","https://www.zillow.com/antioch-ca/5_p/","2,308","4","2","None","$567,990","Single Family","2019","No Data","No Data","Single Family","0.18 acres","null","2","1","5","{""targetDiv"":""gpt-ad-05e6bab3-4e34-4385-98a9-21b76e03e17e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" Y3MDEQ"",""aamgnrc1"":""Wild Horse Road & Goode St"",""bd"":""4"",""fsbid"":""13050"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""2082992360"",""zestibuck"":""500-599k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""567990"",""sqft"":""2308"",""posting_url"":""https://www.khov.com/find-new-homes/california/antioch/94531/k-hovnanian-homes/riverview-at-monterra?ref=ZLO"",""state"":""CA"",""mlong"":""-121.758981"",""cnty"":""Alameda"",""prange"":""500-599k"",""zip"":""94531"",""mlat"":""37.983702"",""plid"":""10836865"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3fgx03k89q9w0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2010-2019"",""zestimate"":""568053"",""premieragent"":""no"",""builderChatId"":""13050-813712"",""dma"":""37""}}","null","null","null","null","NEXT","https://www.zillow.com/antioch-ca/6_p/","NEXT","https://www.zillow.com/antioch-ca/7_p/","",""
