web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572917834-1774","https://www.zillow.com/homes/Atherton-CA_rb/","","https://www.zillow.com/homedetails/180-Greenoaks-Dr-Atherton-CA-94027/15580819_zpid/","Atherton, CA 94027","For sale","180 Greenoaks Dr,","3,322","3","3","$6,032,319","$6,200,000","Single Family","1951","Forced air","Central","2 spaces","0.92 acres","$15,935/mo","8","8","8","Central AC","Shake/Shingle","null","Public Utilities","$44,520"
"1572917996-1811","https://www.zillow.com/homes/Atherton-CA_rb/","","https://www.zillow.com/homedetails/285-Atherton-Ave-Atherton-CA-94027/15593606_zpid/","Atherton, CA 94027","For sale","285 Atherton Ave,","10,400","6","6","null","$14,850,000","Single Family","2005","Forced air","Central","Attached Garage","1 acre","$38,094/mo","9","8","8","null","Composition","null","Public Utilities","$156,311"
"1572918185-1862","https://www.zillow.com/homes/Atherton-CA_rb/","","https://www.zillow.com/homedetails/58-N-Gate-Atherton-CA-94027/15593486_zpid/","Atherton, CA 94027","For sale","58 N Gate,","2,624","4","4","$3,451,077","$3,495,000","Single Family","2016","Forced air","Central","2 spaces","6,751 sqft","$9,276/mo","5","5","8","Central AC","Slate","null","Public Utilities","$28,407"
"1572918215-1869","https://www.zillow.com/homes/Atherton-CA_rb/","","https://www.zillow.com/homedetails/1-Tuscaloosa-Ave-Atherton-CA-94027/15593552_zpid/","Atherton, CA 94027","For sale","1 Tuscaloosa Ave,","2,564","3","4","$3,281,191","$3,280,000","Single Family","1951","Forced air","Central","2 spaces","0.42 acres","$8,707/mo","5","5","8","null","Composition","null","Public Utilities","$24,668"
"1572917717-1755","https://www.zillow.com/homes/Atherton-CA_rb/","","https://www.zillow.com/homedetails/87-Patricia-Dr-Atherton-CA-94027/15577985_zpid/","Atherton, CA 94027","For sale","87 Patricia Dr,","6,535","5","7","null","$10,795,000","Single Family","1999","Forced air","Central","Attached Garage","1.15 acres","$27,690/mo","5","5","8","null","No","null","Public Utilities","$66,631"
"1572917944-1799","https://www.zillow.com/homes/Atherton-CA_rb/","","https://www.zillow.com/homedetails/234-Park-Ln-Atherton-CA-94027/15594090_zpid/","Atherton, CA 94027","For sale","234 Park Ln,","5,576","6","7","$14,986,420","$15,500,000","Single Family","1949","Forced air","Central","Attached Garage","1.2 acres","$39,765/mo","9","8","8","null","Shake/Shingle","null","Public Utilities","$67,069"
"1572917707-1753","https://www.zillow.com/homes/Atherton-CA_rb/","","https://www.zillow.com/homedetails/226-Park-Ln-Atherton-CA-94027/15594086_zpid/","Atherton, CA 94027","For sale","226 Park Ln,","3,520","3","4","$14,242,123","$14,988,000","Single Family","1921","Forced air","None","Attached Garage","1.43 acres","$37,719/mo","9","8","8","null","No","null","Individual Electric Meters, Public Utilities, Natural Gas","$133,539"
"1572918030-1820","https://www.zillow.com/homes/Atherton-CA_rb/","","https://www.zillow.com/homedetails/86-Tallwood-Ct-Atherton-CA-94027/15599140_zpid/","Atherton, CA 94027","For sale","86 Tallwood Ct,","9,507","7","8","$14,491,443","$14,988,000","Single Family","1900","Forced air","Central","Attached Garage","2.8 acres","$38,452/mo","9","8","null","null","Slate","null","Individual Electric Meters, Individual Gas Meters","$51,013"
"1572917757-1761","https://www.zillow.com/homes/Atherton-CA_rb/","","https://www.zillow.com/homedetails/85-Belbrook-Way-Atherton-CA-94027/15597920_zpid/","Atherton, CA 94027","For sale","85 Belbrook Way,","7,641","5","7","$12,667,284","$13,400,000","Single Family","2010","Forced air","Central","3 spaces","1.08 acres","$34,262/mo","9","8","null","Central AC","Composition","null","Public Utilities","$89,244"
"1572917898-1789","https://www.zillow.com/homes/Atherton-CA_rb/","","https://www.zillow.com/homedetails/399-Atherton-Ave-Atherton-CA-94027/15597895_zpid/","Atherton, CA 94027","For sale","399 Atherton Ave,","null","6","null","$4,581,104","$4,695,000","Single Family","1900","Forced air","None","Attached Garage","1.24 acres","$12,102/mo","9","8","null","None","Tile","null","Public Utilities","$25,701"
