web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572918288-1895","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/600-El-Camino-Real-306-Belmont-CA-94002/2082373288_zpid/","Belmont, CA 94002","For sale","600 El Camino Real # 306,","1,345","2","2","$1,352,729","$1,281,000","Condo","2019","Forced air","Central","No Data","$343/month","null","9","9","9","null","No","null","Public Utilities","null"
"1572918016-1815","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/935-Old-County-Road-2-Belmont-CA-94002/15626278_zpid/","Belmont, CA 94002","Pre-foreclosure / auction","935 Old County Road 2,","null","2","null","$720,803","$720,803","Condo","1992","No Data","No Data","Attached Garage","$427/month","null","7","9","9","null","Asphalt","null","null","$7,409"
"1572917964-1804","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/2104-Coronet-Blvd-Belmont-CA-94002/15547188_zpid/","Belmont, CA 94002","For sale","2104 Coronet Blvd,","3,023","4","4","$3,100,214","$3,098,000","Single Family","1949","Forced air","No Data","Attached Garage","8,289 sqft","$5,000/mo","9","9","9","null","Composition","null","Individual Electric Meters, Individual Gas Meters","$16,766"
"1572918520-1952","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/600-El-Camino-Real-313-Belmont-CA-94002/2082142543_zpid/","Belmont, CA 94002","For sale","600 El Camino Real # 313,","1,271","2","2","None","$1,213,000","Condo","2019","Forced air","Central","No Data","$341/month","null","9","9","9","null","No","null","Public Utilities","null"
"1572918438-1933","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/1531-Winding-Way-Belmont-CA-94002/15548132_zpid/","Belmont, CA 94002","For sale","1531 Winding Way,","1,704","3","2","$1,780,900","$1,699,950","Single Family","1960","Forced air","None","Carport","8,799 sqft","$4,500/mo","9","9","9","None","Other","null","Public Utilities","$6,833"
"1572917926-1793","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/935-Old-County-Road-4-Belmont-CA-94002/15626280_zpid/","Belmont, CA 94002","For sale","935 Old County Road 4,","1,054","2","2","$1,035,823","$1,008,000","Condo","1992","Forced air","None","Attached Garage","$402/month","$3,500/mo","7","9","9","null","Composition","null","Individual Electric Meters, Public Utilities","$8,614"
"1572918086-1835","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/3313-Plateau-Dr-Belmont-CA-94002/15545740_zpid/","Belmont, CA 94002","For sale","3313 Plateau Dr,","1,910","3","2","$2,075,128","$1,998,000","Single Family","1960","Forced air","None","Carport, Attached Garage","0.29 acres","$5,500/mo","9","9","9","null","Shake/Shingle","null","Public Utilities","$2,491"
"1572917834-1773","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/3405-Plateau-Dr-Belmont-CA-94002/15545560_zpid/","Belmont, CA 94002","Pre-foreclosure","3405 Plateau Dr,","null","4","null","$1,514,342","$1,514,342","Single Family","1963","Other","No Data","Attached Garage","6,185 sqft","null","9","9","9","null","No","null","null","$16,772"
"1572918241-1879","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/1708-Terrace-Dr-Belmont-CA-94002/15549376_zpid/","Belmont, CA 94002","For sale","1708 Terrace Dr,","2,195","3","3","null","$1,800,000","Single Family","1955","Other","No Data","Detached Garage","0.28 acres","$4,100/mo","9","9","9","None","No","null","Public Utilities","$16,228"
"1572918416-1929","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/1503-Folger-Dr-Belmont-CA-94002/15549549_zpid/","Belmont, CA 94002","For sale","1503 Folger Dr,","2,484","4","4","$2,798,016","$2,798,000","Single Family","2019","Forced air","Central","Attached Garage","8,550 sqft","$3,995/mo","9","9","9","Central AC","Metal","null","Public Utilities","$15,357"
"1572917778-1764","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/0-Ralston-Ave-Belmont-CA-94002/2108831229_zpid/","Belmont, CA 94002","Lot/land","0 Ralston Ave,","null","6,398 sqft","null","null","$285,000","null","null","null","null","null","null","$2,390/mo","9","9","9","null","Residential Lots & Land","Square Feet","Electricity - Available at Street","null"
"1572918507-1949","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/2620-Ponce-Ave-Belmont-CA-94002/15548709_zpid/","Belmont, CA 94002","For sale","2620 Ponce Ave,","2,118","5","3","null","$1,900,000","Single Family","1930","Other","No Data","Detached Garage","6,969 sqft","$4,500/mo","9","9","9","null","No","null","null","$13,462"
"1572917952-1802","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/584-Middle-Rd-Belmont-CA-94002/15548545_zpid/","Belmont, CA 94002","For sale","584 Middle Rd,","2,950","3","3","$2,528,036","$2,498,000","Single Family","1996","Forced air","None","Attached Garage","0.34 acres","$6,627/mo","9","9","9","None","Composition","null","Public Utilities","$21,937"
"1572918043-1824","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/400-El-Camino-Real-UNIT-204-Belmont-CA-94002/2082671485_zpid/","Belmont, CA 94002","For sale","400 El Camino Real UNIT 204,","875","1","1","$979,674","$948,800","Condo","2019","Heat pump","Central","Attached Garage","$444/month","$2,700/mo","9","9","9","null","No","null","Public Utilities","null"
"1572917878-1783","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/300-Davey-Glen-Rd-APT-3303-Belmont-CA-94002/15629521_zpid/","Belmont, CA 94002","For sale","300 Davey Glen Rd APT 3303,","725","1","1","$648,641","$648,000","Condo","1965","Baseboard","None","Attached Garage","$493/month","$2,995/mo","9","9","9","null","No","null","Public Utilities","$6,052"
"1572917976-1807","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/2411-Carlmont-Dr-APT-102-Belmont-CA-94002/15631002_zpid/","Belmont, CA 94002","For sale","2411 Carlmont Dr APT 102,","1,510","2","2","$952,235","$899,000","Townhouse","1980","Forced air","Central","Attached Garage","0.56 acres","$3,700/mo","9","9","9","null","Composition","null","Public Utilities","$7,317"
"1572918361-1915","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/3218-Adelaide-Way-Belmont-CA-94002/15546858_zpid/","Belmont, CA 94002","For sale","3218 Adelaide Way,","3,000","4","5","null","$3,200,000","Single Family","1963","Other","No Data","Attached Garage","3,049 sqft","$8,491/mo","9","9","9","null","No","null","null","$13,382"
"1572918396-1923","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/1-Aron-Ct-Belmont-CA-94002/2082321148_zpid/","Belmont, CA 94002","For sale","1 Aron Ct,","2,998","5","4","$1,082,260","$999,999","Single Family","2019","Heat pump","Central","Attached Garage","0.33 acres","null","9","9","9","null","No","null","Individual Electric Meters, Individual Gas Meters, Solar Panels - Owned","null"
"1572918298-1898","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/2649-Hallmark-Dr-Belmont-CA-94002/15551200_zpid/","Belmont, CA 94002","For sale","2649 Hallmark Dr,","2,490","4","3","$2,195,009","$2,195,000","Single Family","1972","Forced air","None","Attached Garage","0.28 acres","$6,000/mo","9","9","9","null","Composition","null","Public Utilities","$3,813"
"1572917803-1770","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/043222740-Alhambra-Dr-Belmont-CA-94002/2085933770_zpid/","Belmont, CA 94002","Lot/land","043222740 Alhambra Dr,","null","5,998 sqft","null","None","$149,800","null","null","null","null","null","null","$2,545/mo","9","9","9","null","Residential Lots & Land","Square Feet","None / No Utilities","null"
"1572918266-1887","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/600-El-Camino-Real-302-Belmont-CA-94002/2082373362_zpid/","Belmont, CA 94002","For sale","600 El Camino Real # 302,","940","1","1","$1,066,304","$1,000,000","Condo","2019","Forced air","Central","No Data","$326/month","null","9","9","9","null","No","null","Public Utilities","null"
"1572918116-1841","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/340-Treasure-Island-Dr-Belmont-CA-94002/15541231_zpid/","Belmont, CA 94002","For sale","340 Treasure Island Dr,","1,220","2","2","$1,112,802","$1,095,000","Townhouse","1990","Forced air","None","Detached Garage","1,128 sqft","$3,800/mo","7","9","9","null","Composition","null","Individual Electric Meters, Public Utilities, Individual Gas Meters","$5,620"
"1572918194-1864","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/2145-Carlmont-Dr-Belmont-CA-94002/295378826_zpid/","Belmont, CA 94002","For sale","2145 Carlmont Dr,","1,027","2","3","$1,075,032","$1,028,000","Condo","2017","Forced air","Central","No Data","$300/month","$3,990/mo","9","9","9","null","No","null","Public Utilities","$12,232"
"1572917791-1767","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/043222750-Alhambra-Dr-Belmont-CA-94002/2085933772_zpid/","Belmont, CA 94002","Lot/land","043222750 Alhambra Dr,","null","7,100 sqft","null","None","$176,800","null","null","null","null","null","null","$2,525/mo","9","9","9","null","Residential Lots & Land","Square Feet","Public Utilities","null"
"1572918458-1938","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/5-Ridgewood-Ct-Belmont-CA-94002/15551508_zpid/","Belmont, CA 94002","For sale","5 Ridgewood Ct,","2,280","4","3","null","$1,800,000","Single Family","1977","Forced air","None","Attached Garage","3,484 sqft","$5,500/mo","9","9","9","None","Shake/Shingle","null","Individual Electric Meters, Individual Gas Meters","$14,159"
"1572917844-1775","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/800-Alameda-De-Las-Pulgas-Belmont-CA-94002/15549000_zpid/","Belmont, CA 94002","Pre-foreclosure","800 Alameda De Las Pulgas,","2,080","4","2","$1,401,988","$1,401,988","Single Family","1939","Forced air","Central","2 spaces","9,713 sqft","null","9","9","9","Central","Composition","null","null","$6,595"
"1572917769-1762","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/0-Oak-Ct-Belmont-CA-94002/2087942599_zpid/","Belmont, CA 94002","Lot/land","0 Oak Ct,","null","0.25 acres","null","None","$795,000","null","null","null","null","null","null","$2,575/mo","9","9","9","null","Residential Lots & Land","Square Feet","Gas - Available at Street, Electricity - Available at Street, Public Utilities","null"
"1572918486-1943","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/0-Ralston-San-Carlos-CA-94002/2094217475_zpid/","San Carlos, CA 94002","Lot/land","0 Ralston,","null","0.57 acres","null","None","$1,450,000","null","null","null","null","null","null","$4,500/mo","7","9","9","null","Residential Lots & Land","Square Feet","Public Utilities","null"
"1572917903-1790","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/2630-Sequoia-Way-Belmont-CA-94002/15546631_zpid/","Belmont, CA 94002","For sale","2630 Sequoia Way,","2,420","4","3","$1,830,130","$1,850,000","Single Family","1966","Forced air","None","Attached Garage","5,248 sqft","$5,500/mo","null","null","null","None","No","null","Public Utilities","$2,901"
"1572917773-1763","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/2927-Alhambra-Dr-Belmont-CA-94002/2086806018_zpid/","Belmont, CA 94002","Lot/land","2927 Alhambra Dr,","null","7,448 sqft","null","null","$499,000","null","null","null","null","null","null","null","9","9","9","null","Residential Lots & Land","Square Feet","Gas - Available at Street, Electricity - Available at Street, Public Utilities","null"
"1572918064-1830","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/2902-Belmont-Woods-Way-Belmont-CA-94002/15547018_zpid/","Belmont, CA 94002","For sale","2902 Belmont Woods Way,","2,850","3","3","null","$1,995,000","Single Family","1982","Forced air","None","Detached Garage","3,589 sqft","$5,800/mo","null","null","null","null","Composition","null","Public Utilities","$7,856"
"1572918210-1867","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/2318-Coronet-Blvd-Belmont-CA-94002/15548749_zpid/","Belmont, CA 94002","For sale","2318 Coronet Blvd,","2,490","5","3","$1,938,053","$1,825,000","Single Family","1951","Forced air","Central","Carport","5,950 sqft","$5,400/mo","9","9","9","Central AC","No","null","Public Utilities","$6,128"
"1572917814-1771","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/043222730-Alhambra-Dr-Belmont-CA-94002/2085933769_zpid/","Belmont, CA 94002","Lot/land","043222730 Alhambra Dr,","null","6,799 sqft","null","None","$159,800","null","null","null","null","null","null","$2,525/mo","9","9","9","null","Residential Lots & Land","Square Feet","None / No Utilities","null"
"1572918317-1904","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/551-Cambridge-St-Belmont-CA-94002/15540153_zpid/","Belmont, CA 94002","For sale","551 Cambridge St,","1,330","4","2","null","$1,498,000","Single Family","1953","Forced air","No Data","Attached Garage","5,000 sqft","$4,500/mo","9","9","9","null","Composition","null","Public Utilities","$6,283"
"1572918004-1812","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/2607-Monte-Cresta-Dr-Belmont-CA-94002/249628869_zpid/","Belmont, CA 94002","For sale","2607 Monte Cresta Dr,","2,884","4","3","$2,688,011","$2,688,000","Single Family","2019","Forced air","Central","Attached Garage","6,041 sqft","$4,600/mo","9","9","9","null","No","null","Public Utilities","$8,912"
"1572918171-1857","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/1618-Notre-Dame-Ave-Belmont-CA-94002/15548255_zpid/","Belmont, CA 94002","For sale","1618 Notre Dame Ave,","3,050","4","3","$1,700,736","$2,298,000","Single Family","1955","Forced air","None","2 spaces","8,102 sqft","$6,850/mo","9","9","9","None","Composition","null","Public Utilities","$6,728"
"1572917795-1768","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/043222760-Alhambra-Dr-Belmont-CA-94002/2085933771_zpid/","Belmont, CA 94002","Lot/land","043222760 Alhambra Dr,","null","5,998 sqft","null","None","$149,800","null","null","null","null","null","null","$2,545/mo","9","9","9","null","Residential Lots & Land","Square Feet","None / No Utilities","null"
"1572917785-1766","https://www.zillow.com/homes/belmont-CA_rb/","","https://www.zillow.com/homedetails/043164020-Alhambra-Dr-Belmont-CA-94002/2085933932_zpid/","Belmont, CA 94002","Lot/land","043164020 Alhambra Dr,","null","3,558 sqft","null","None","$98,000","null","null","null","null","null","null","$2,500/mo","9","9","9","null","Residential Lots & Land","Square Feet","None / No Utilities","null"
