web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572917863-1779","https://www.zillow.com/homes/belvedere-CA_rb/","","https://www.zillow.com/homedetails/334-Golden-Gate-Ave-Tiburon-CA-94920/19268837_zpid/","Tiburon, CA 94920","For sale","334 Golden Gate Ave,","5,574","6","5","$7,358,719","$7,577,000","Single Family","1904","Other","No Data","2 spaces","0.43 acres","$25,389/mo","9","9","10","null","No","null","null","$27,740"
"1572917885-1786","https://www.zillow.com/homes/belvedere-CA_rb/","","https://www.zillow.com/homedetails/290-Beach-Rd-Belvedere-Tiburon-CA-94920/80743020_zpid/","Belvedere Tiburon, CA 94920","For sale","290 Beach Rd,","4,090","6","5","null","$3,995,000","Single Family","1959","Other","No Data","2 spaces","3,484 sqft","$13,418/mo","9","9","10","null","No","null","null","$44,239"
"1572917937-1797","https://www.zillow.com/homes/belvedere-CA_rb/","","https://www.zillow.com/homedetails/20-Madrona-Ave-Tiburon-CA-94920/19268631_zpid/","Tiburon, CA 94920","For sale","20 Madrona Ave,","3,560","4","4","$3,666,954","$3,750,000","Single Family","1999","Other","No Data","4 spaces","10,097 sqft","$12,669/mo","9","9","10","null","No","null","null","$9,272"
"1572917868-1780","https://www.zillow.com/homes/belvedere-CA_rb/","","https://www.zillow.com/homedetails/27-Bellevue-Ave-Belvedere-Tiburon-CA-94920/19268422_zpid/","Belvedere Tiburon, CA 94920","For sale","27 Bellevue Ave,","4,205","3","6","$15,558,090","$16,000,000","Single Family","2008","No Data","No Data","2 spaces","9,076 sqft","$4,750/mo","9","9","10","null","Metal","null","null","$31,112"
"1572917990-1810","https://www.zillow.com/homes/belvedere-CA_rb/","","https://www.zillow.com/homedetails/18-Eucalyptus-Rd-Belvedere-Tiburon-CA-94920/19268678_zpid/","Belvedere Tiburon, CA 94920","For sale","18 Eucalyptus Rd,","3,141","4","4","null","$6,800,000","Single Family","2011","Other","No Data","2 spaces","0.54 acres","$23,001/mo","9","9","10","null","No","null","null","$39,919"
"1572917874-1782","https://www.zillow.com/homes/belvedere-CA_rb/","","https://www.zillow.com/homedetails/101-Belvedere-Ave-Belvedere-Tiburon-CA-94920/19268752_zpid/","Belvedere Tiburon, CA 94920","For sale","101 Belvedere Ave,","8,625","7","8","null","$19,500,000","Single Family","1987","Other","None","Attached Garage","0.75 acres","$64,013/mo","9","9","10","None","Other","null","null","$189,937"
"1572917854-1777","https://www.zillow.com/homes/belvedere-CA_rb/","","https://www.zillow.com/homedetails/337-Belvedere-Ave-Belvedere-CA-94920/2085255045_zpid/","Belvedere, CA 94920","For sale","337 Belvedere Ave,","10,109","7","9.5","null","$29,750,000","Single Family","1981","No Data","No Data","No Data","0.53 acres","$24,153/mo","9","9","10","null","Slate","null","null","null"
"1572917898-1788","https://www.zillow.com/homes/belvedere-CA_rb/","","https://www.zillow.com/homedetails/147-Beach-Rd-Belvedere-CA-94920/19268723_zpid/","Belvedere, CA 94920","For sale","147 Beach Rd,","4,020","5","5","$7,688,142","$7,950,000","Single Family","1918","Forced air","None","1 space","5,227 sqft","$26,771/mo","9","9","10","None","Composition","null","null","$49,045"
"1572917949-1801","https://www.zillow.com/homes/belvedere-CA_rb/","","https://www.zillow.com/homedetails/39-W-Shore-Rd-Belvedere-Tiburon-CA-94920/19268959_zpid/","Belvedere Tiburon, CA 94920","For sale","39 W Shore Rd,","3,500","4","5","null","$8,980,000","Single Family","2013","Radiant","No Data","2 spaces","10,227 sqft","$30,123/mo","9","9","10","null","Metal","null","null","$51,194"
"1572918058-1828","https://www.zillow.com/homes/belvedere-CA_rb/","","https://www.zillow.com/homedetails/108-Golden-Gate-Ave-Belvedere-CA-94920/19268595_zpid/","Belvedere, CA 94920","For sale","108 Golden Gate Ave,","5,150","4","5","$4,446,833","$4,550,000","Single Family","1957","Other","No Data","2 spaces","0.51 acres","$15,500/mo","null","null","null","null","No","null","null","$54,473"
