web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572904897-1048","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2314-Blake-St-Berkeley-CA-94704/24833794_zpid/","Berkeley, CA 94704","For sale","2314 Blake St,","","","","","","","1,303","2","1","$898,757","$799,000","Condo","1932","Forced air","Central","Attached Garage","$175/month","$3,200/mo","6","7","8","Forced Air 1 Zone","Stone, Stucco","Composition","null","$4,717"
"1572904874-1042","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1983-Yosemite-Rd-Berkeley-CA-94707/24847509_zpid/","Berkeley, CA 94707","For sale","1983 Yosemite Rd,","2","https://www.zillow.com/berkeley-ca/2_p/","","","","","1,609","2","1","null","$1,100,000","Single Family","1922","Forced air","None","1 space","4,356 sqft","$4,200/mo","8","8","8","Forced Air 1 Zone","Stucco","Skylight(s), Skylight Tube(s)","null","$13,457"
"1572905080-1114","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2111-Emerson-St-Berkeley-CA-94705/24830024_zpid/","Berkeley, CA 94705","For sale","2111 Emerson St,","","","","","","","null","2","null","$951,913","$799,000","Single Family","1906","Forced air","Central","None","1,907 sqft","$3,400/mo","6","7","8","null","Composition","null","null","$10,433"
"1572904998-1084","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/551-Spruce-St-Berkeley-CA-94707/24848064_zpid/","Berkeley, CA 94707","For sale","551 Spruce St,","","","","","","","2,630","5","3","$1,574,305","$1,395,000","Single Family","1968","Baseboard","None","Attached Garage","5,000 sqft","$4,759/mo","8","8","8","null","Composition","null","null","$7,102"
"1572904765-1004","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2632-Warring-St-APT-5-Berkeley-CA-94704/2082613430_zpid/","Berkeley, CA 94704","For sale","2632 Warring St APT 5,","2","https://www.zillow.com/berkeley-ca/2_p/","","","","","845","2","1","None","$675,000","Condo","1966","Electric","None","No Data","$350/month","$2,900/mo","6","7","8","Laundry Room, Coin Operated","Stucco","1966","null","null"
"1572905159-1140","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1446A-5th-St-Berkeley-CA-94710/2082196241_zpid/","Berkeley, CA 94710","New construction","1446A 5th St,","","","","","","","1,582","3","2","None","$1,295,000","Single Family","2019","Baseboard, Radiant","No Data","Attached Garage","5,745 sqft","null","8","8","8","Ceiling Fan(s)","Other, Wood Siding, Metal Siding, Siding - Other","Metal","null","null"
"1572904891-1047","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1818-Dwight-Way-Berkeley-CA-94703/24833526_zpid/","Berkeley, CA 94703","For sale","1818 Dwight Way,","2","https://www.zillow.com/berkeley-ca/2_p/","","","","","1,036","2","2","None","$790,000","Townhouse","1987","Forced air","None","Carport","0.68 acres","$3,150/mo","6","7","8","null","Composition","null","Public Utilities","$4,078"
"1572905111-1126","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1500-Rose-St-Berkeley-CA-94703/24841015_zpid/","Berkeley, CA 94703","For sale","1500 Rose St,","","","","","","","1,330","2","2","$1,246,372","$950,000","Single Family","1942","Forced air","Wall","Detached Garage","5,937 sqft","$3,900/mo","8","8","8","null","Stucco","1942","null","$10,491"
"1572903546-642","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1645-Julia-St-Berkeley-CA-94703/24830435_zpid/","Berkeley, CA 94703","Pre-foreclosure","1645 Julia St,","","","","","4","https://www.zillow.com/berkeley-ca/4_p/","null","2","null","$871,590","$871,590","Single Family","1924","No Data","No Data","No Data","4,880 sqft","null","6","7","8","null","No","null","null","$2,776"
"1572903705-673","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/3200-Shattuck-Ave-Berkeley-CA-94705/24827960_zpid/","Berkeley, CA 94705","For sale","3200 Shattuck Ave,","","","3","https://www.zillow.com/berkeley-ca/3_p/","","","null","--","null","$1,392,759","$1,289,999","Multi Family","1912","No Data","No Data","No Data","$394","$3,200/mo","6","7","8","null","No","null","null","$8,447"
"1572904612-950","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2703-Forest-Ave-Berkeley-CA-94705/24831876_zpid/","Berkeley, CA 94705","For sale","2703 Forest Ave,","2","https://www.zillow.com/berkeley-ca/2_p/","","","","","2,926","5","4","null","$2,100,000","Multi Family","1905","Wall","None","2 spaces","$718","$2,940/mo","6","7","8","No Air Conditioning","Composition","null","null","$8,927"
"1572904843-1032","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2352-Hilgard-Ave-Berkeley-CA-94709/24839399_zpid/","Berkeley, CA 94709","For sale","2352 Hilgard Ave,","2","https://www.zillow.com/berkeley-ca/2_p/","","","","","1,135","2","2","null","$879,000","Condo","1960","Forced air","No Data","1 space","$300/month","$3,400/mo","6","7","8","null","Shake/Shingle","null","null","$10,794"
"1572904740-996","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2723-Webster-St-Berkeley-CA-94705/24829524_zpid/","Berkeley, CA 94705","For sale","2723 Webster St,","2","https://www.zillow.com/berkeley-ca/2_p/","","","","","3,197","6","5","$2,706,766","$2,700,000","Single Family","1912","Gas","None","Off street","6,534 sqft","$8,221/mo","6","7","8","null","Wood Shingles","Skylight(s)","null","$6,291"
"1572904940-1063","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/3000-Acton-St-Berkeley-CA-94702/24830695_zpid/","Berkeley, CA 94702","For sale","3000 Acton St,","","","","","","","960","2","1","$879,297","$749,000","Single Family","1923","Wall","None","Detached Garage","5,118 sqft","$3,300/mo","6","7","8","None","Stucco","1923","null","$7,273"
"1572905165-1144","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2703-Fulton-St-Berkeley-CA-94705/24832044_zpid/","Berkeley, CA 94705","For sale","2703 Fulton St,","","","","","","","1,459","3","2","None","$995,000","Single Family","1911","Forced air","None","Detached Garage","3,824 sqft","$3,800/mo","6","7","8","None","Wood Shingles","Window Coverings","null","$7,106"
"1572903854-708","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/663-Grizzly-Peak-Blvd-Berkeley-CA-94708/24848607_zpid/","Berkeley, CA 94708","Pre-foreclosure","663 Grizzly Peak Blvd,","","","3","https://www.zillow.com/berkeley-ca/3_p/","","","null","2","null","$1,061,770","$1,061,770","Single Family","1955","No Data","No Data","Detached Garage","6,400 sqft","null","6","8","8","null","No","null","null","$8,821"
"1572904319-860","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/59-Panoramic-Pl-Oakland-CA-94704/2083530078_zpid/","Oakland, CA 94704","Lot/land","59 Panoramic Pl,","","","3","https://www.zillow.com/berkeley-ca/3_p/","","","null","2,613 sqft","null","null","$57,000","null","null","null","null","null","null","$3,000/mo","6","7","8","null","City Street","null","Other","null"
"1572903551-643","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1616-Prince-St-Berkeley-CA-94703/299072359_zpid/","Berkeley, CA 94703","For sale","1616 Prince St,","","","","","4","https://www.zillow.com/berkeley-ca/4_p/","null","5","null","$1,327,150","$1,600,000","Multi Family","1939","No Data","No Data","No Data","$607","$3,200/mo","6","7","8","null","No","null","null","$6,966"
"1572903726-679","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1204-Stannage-Ave-Berkeley-CA-94706/24842194_zpid/","Berkeley, CA 94706","Pre-foreclosure / auction","1204 Stannage Ave,","","","3","https://www.zillow.com/berkeley-ca/3_p/","","","null","2","null","$824,769","$824,769","Single Family","1927","No Data","No Data","Detached Garage","3,484 sqft","null","8","8","8","null","No","null","null","$5,739"
"1572907199-1160","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2550-Dana-St-3AB-Berkeley-CA-94704/24833836_zpid/","Berkeley, CA 94704","For sale","2550 Dana St # 3AB,","","","","","","","1,852","3","3","None","$850,000","Condo","1962","Baseboard","Central","No Data","$1,255/month","$3,220/mo","6","7","8","null","Stucco","1962","null","$5,196"
"1572904446-901","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1117-Cowper-St-Berkeley-CA-94702/24836235_zpid/","Berkeley, CA 94702","For sale","1117 Cowper St,","","","3","https://www.zillow.com/berkeley-ca/3_p/","","","1,307","3","2","None","$1,179,000","Single Family","1913","Forced air","None","Off street","3,049 sqft","$3,500/mo","8","8","8","None","Composition","null","null","$5,891"
"1572905031-1096","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/484-Cragmont-Ave-Berkeley-CA-94708/24847991_zpid/","Berkeley, CA 94708","For sale","484 Cragmont Ave,","","","","","","","1,438","3","1","$1,010,435","$895,000","Single Family","1933","Forced air","Central","Detached Garage","4,334 sqft","$3,900/mo","8","8","8","Forced Air 1 Zone","Brick","Window Coverings","null","$3,750"
"1572904646-961","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2315-West-St-Berkeley-CA-94702/24835453_zpid/","Berkeley, CA 94702","For sale","2315 West St,","2","https://www.zillow.com/berkeley-ca/2_p/","","","","","866","2","1","$1,058,114","$888,000","Single Family","1942","Other","None","Attached Garage","3,998 sqft","$3,400/mo","6","8","8","null","Composition","null","Public Utilities","$4,135"
"1572903605-649","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2620-California-St-Berkeley-CA-94703/24833160_zpid/","Berkeley, CA 94703","Pre-foreclosure","2620 California St,","","","","","4","https://www.zillow.com/berkeley-ca/4_p/","null","2","null","$750,508","$750,508","Single Family","1938","No Data","No Data","Detached Garage","3,185 sqft","null","6","7","8","null","No","null","null","$6,502"
"1572905143-1135","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1344-Mcgee-Ave-Berkeley-CA-94703/24842903_zpid/","Berkeley, CA 94703","For sale","1344 Mcgee Ave,","","","","","","","1,270","2","2","$1,487,784","$1,325,000","Single Family","1921","Forced air","None","Detached Garage","5,850 sqft","$4,000/mo","8","8","8","null","Wood Siding, Lap Siding, Wood","Window Coverings, Skylight(s)","null","$2,978"
"1572903531-639","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1105-Keeler-Ave-Berkeley-CA-94708/2085588724_zpid/","Berkeley, CA 94708","Lot/land","1105 Keeler Ave,","","","","","4","https://www.zillow.com/berkeley-ca/4_p/","null","5,793 sqft","null","None","$338,000","null","null","null","null","null","null","$2,499/mo","7","8","8","null","LOTS AND LAND","BERKELEY","null","null"
"1572904600-947","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/917-Page-St-Berkeley-CA-94710/24841713_zpid/","Berkeley, CA 94710","For sale","917 Page St,","2","https://www.zillow.com/berkeley-ca/2_p/","","","","","1,560","4","2","None","$999,999","Single Family","1926","Forced air","None","Detached Garage","4,194 sqft","$3,800/mo","8","8","8","In Unit","Wood Siding","1926","null","$3,160"
"1572904664-968","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2211-9th-St-Berkeley-CA-94710/2083619269_zpid/","Berkeley, CA 94710","For sale","2211 9th St,","2","https://www.zillow.com/berkeley-ca/2_p/","","","","","1,753","4","3","None","$1,029,000","Single Family","2007","Radiant","None","No Data","5,362 sqft","$3,995/mo","8","8","8","Radiant","Stucco","2007","null","null"
"1572903771-687","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1464-8th-St-Berkeley-CA-94710/24841593_zpid/","Berkeley, CA 94710","Pre-foreclosure","1464 8th St,","","","3","https://www.zillow.com/berkeley-ca/3_p/","","","null","3","null","$880,205","$880,205","Single Family","1945","No Data","No Data","Off street","5,150 sqft","null","8","8","8","null","No","null","null","$3,936"
"1572904639-959","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/965-Hilldale-Ave-Berkeley-CA-94708/24849043_zpid/","Berkeley, CA 94708","For sale","965 Hilldale Ave,","2","https://www.zillow.com/berkeley-ca/2_p/","","","","","3,425","4","4","$2,103,573","$1,895,000","Single Family","1930","Forced air","None","1 space","5,201 sqft","$6,399/mo","6","8","8","None","Composition","null","null","$20,915"
"1572904198-811","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1257-Francisco-St-Berkeley-CA-94702/299073937_zpid/","Berkeley, CA 94702","For sale","1257 Francisco St,","","","3","https://www.zillow.com/berkeley-ca/3_p/","","","null","5","null","$3,511,584","$3,500,000","Multi Family","1964","No Data","Other","6 spaces","$1,867","$2,895/mo","8","8","8","Other","Stucco","null","null","$11,501"
"1572903577-647","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/614-Cragmont-Ave-Berkeley-CA-94708/2082924490_zpid/","Berkeley, CA 94708","Lot/land","614 Cragmont Ave,","","","","","4","https://www.zillow.com/berkeley-ca/4_p/","null","0.37 acres","null","None","$795,000","null","null","null","null","null","null","$2,250/mo","8","8","8","null","City Street","Active","Electricity Available, Natural Gas Available, Water Available, Phone Available, Sewer Available","null"
"1572903542-641","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1528-Dwight-Way-Berkeley-CA-94703/24833119_zpid/","Berkeley, CA 94703","Pre-foreclosure","1528 Dwight Way,","","","","","4","https://www.zillow.com/berkeley-ca/4_p/","null","2","null","$790,658","$790,658","Single Family","1939","No Data","No Data","Detached Garage","4,995 sqft","null","6","7","8","null","No","null","null","$2,966"
"1572904884-1045","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1960-San-Antonio-Ave-Berkeley-CA-94707/2131039497_zpid/","Berkeley, CA 94707","For sale","1960 San Antonio Ave,","2","https://www.zillow.com/berkeley-ca/2_p/","","","","","12,000","7","6.5","null","$5,995,000","Single Family","1914","No Data","No Data","Detached Garage","3 acres","$18,078/mo","8","8","8","null","No","null","null","null"
"1572905061-1107","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2725-Mathews-St-Berkeley-CA-94702/24832593_zpid/","Berkeley, CA 94702","For sale","2725 Mathews St,","","","","","","","1,055","3","2","$897,190","$795,000","Single Family","1906","Forced air","None","Detached Garage","3,990 sqft","$3,400/mo","6","8","8","null","Wood Siding","1906","null","$5,358"
"1572904106-776","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1130-Sterling-Ave-Berkeley-CA-94708/24849253_zpid/","Berkeley, CA 94708","Pre-foreclosure / auction","1130 Sterling Ave,","","","3","https://www.zillow.com/berkeley-ca/3_p/","","","null","2","null","$955,957","$955,957","Single Family","1951","No Data","No Data","Detached Garage","4,900 sqft","null","6","8","8","null","No","null","null","$10,105"
"1572903520-637","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/0-0-Wildcat-Canyon-Rd-Berkeley-CA-94707/2088677488_zpid/","Berkeley, CA 94707","Lot/land","0 0 Wildcat Canyon Rd,","","","","","4","https://www.zillow.com/berkeley-ca/4_p/","null","0.3 acres","null","None","$395,000","null","null","null","null","null","null","$2,495/mo","null","null","null","null","Lots & Acreage","Upslope","null","null"
"1572903739-681","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1526-Ashby-Ave-Berkeley-CA-94703/299072648_zpid/","Berkeley, CA 94703","Pre-foreclosure","1526 Ashby Ave,","","","3","https://www.zillow.com/berkeley-ca/3_p/","","","null","3","null","null","null","Apartment","1922","No Data","No Data","No Data","No Data","null","6","7","8","null","No","null","null","$11,962"
"1572904673-971","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/740-San-Luis-Rd-Berkeley-CA-94707/24845382_zpid/","Berkeley, CA 94707","For sale","740 San Luis Rd,","2","https://www.zillow.com/berkeley-ca/2_p/","","","","","5,990","6","5","null","$3,395,000","Single Family","1939","Forced air","None","3 spaces","0.44 acres","$10,483/mo","6","8","8","null","Stucco","Window Coverings","null","$29,280"
"1572904341-871","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2601-Dana-St-APT-D-Berkeley-CA-94704/24833962_zpid/","Berkeley, CA 94704","For sale","2601 Dana St APT D,","","","3","https://www.zillow.com/berkeley-ca/3_p/","","","848","1","1","$760,072","$699,000","Condo","1920","Forced air","Other","No Data","$234/month","$2,850/mo","6","7","8","null","No","null","Public Utilities","$4,217"
"1572904904-1051","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/1921-Dwight-Way-Berkeley-CA-94704/24834668_zpid/","Berkeley, CA 94704","For sale","1921 Dwight Way,","","","","","","","null","--","null","$1,539,701","$1,295,000","Multi Family","1906","Other","Central","6 spaces","$1,199","$3,000/mo","6","7","8","Central","Composition","null","null","$6,931"
"1572904525-925","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2742-Webster-St-Berkeley-CA-94705/24829266_zpid/","Berkeley, CA 94705","Pre-foreclosure","2742 Webster St,","","","3","https://www.zillow.com/berkeley-ca/3_p/","","","null","3","null","$1,323,062","$1,323,062","Single Family","1928","No Data","No Data","Detached Garage","6,075 sqft","null","6","7","8","null","No","null","null","$12,339"
"1572904987-1081","https://www.zillow.com/homes/berkeley-CA_rb/","","https://www.zillow.com/homedetails/2601-College-Ave-APT-107-Berkeley-CA-94704/24834205_zpid/","Berkeley, CA 94704","For sale","2601 College Ave APT 107,","","","","","","","null","1","null","null","$499,000","Condo","1962","Other","No Data","1 space","$530/month","$2,500/mo","6","7","8","null","Other","null","null","$6,370"
