web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href,next_page9,next_page9-href
"1572917692-8481","https://www.zillow.com/homes/brentwood-CA_rb/","","https://www.zillow.com/homedetails/3270-Concord-Ave-Brentwood-CA-94513/82799231_zpid/","Brentwood, CA 94513","For sale","3270 Concord Ave,","2","https://www.zillow.com/brentwood-ca/2_p/","","","","","","","3,378","5","4","$1,079,493","$1,099,999","Single Family","2007","Forced air","Central","Single Family","2 acres","$3,100/mo","7","6","7","{""targetDiv"":""gpt-ad-2231e3a2-b8e4-461e-b178-2cd1f49410a8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3270 Concord Ave"",""bd"":""5"",""fsbid"":""15263"",""city"":""Brentwood"",""proptp"":""sfh"",""pid"":""82799231"",""lot"":""6,7"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""312833959142443859"",""sqftrange"":""3000-3499"",""price"":""1099999"",""sqft"":""3378"",""posting_url"":""http://www.merrillsignatureproperties.com"",""mlong"":""-121.692312"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94513"",""mlat"":""37.902502"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzzx1nt14wvgb0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1079493"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572916657-7877","https://www.zillow.com/homes/brentwood-CA_rb/","","https://www.zillow.com/community/terrene/301028544_zpid/","Brentwood, CA 94513","New construction","113 Scott Creek Way,","","","","","","","5","https://www.zillow.com/brentwood-ca/5_p/","3,177","5","5","None","$649,990","Single Family","2019","No Data","No Data","Single Family","0.09 acres","null","7","8","9","{""targetDiv"":""gpt-ad-e8076794-2249-4d50-8be3-79504078b247"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 68JSYP"",""aamgnrc1"":""285 Bear Creek Dr"",""bd"":""5"",""fsbid"":""11274"",""city"":""Brentwood"",""proptp"":""sfh"",""pid"":""2083973842"",""zestibuck"":""600-699k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3000-3499"",""price"":""649990"",""sqft"":""3177"",""posting_url"":""https://www.pulte.com/homes/california/bay-area/brentwood/terrene-210197?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=43285&nhf_listing_type=community&utm_term=comm_Terrene&utm_campaign=Brentwood%2FCA"",""state"":""CA"",""mlong"":""-121.692167"",""cnty"":""Contra_Costa"",""prange"":""600-699k"",""zip"":""94513"",""mlat"":""37.945958"",""plid"":""14134947"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISa9lr12312ami0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2010-2019"",""zestimate"":""647182"",""premieragent"":""no"",""builderChatId"":""11274-819411"",""dma"":""37""}}","null","null","null","null","NEXT","https://www.zillow.com/brentwood-ca/6_p/","NEXT","https://www.zillow.com/brentwood-ca/7_p/","NEXT","https://www.zillow.com/brentwood-ca/8_p/","",""
"1572916930-8041","https://www.zillow.com/homes/brentwood-CA_rb/","","https://www.zillow.com/homedetails/540-Sand-Creek-Rd-Brentwood-CA-94513/61237111_zpid/","Brentwood, CA 94513","Lot/land","540 Sand Creek Rd,","","","","","","","5","https://www.zillow.com/brentwood-ca/5_p/","null","4.88 acres","null","None","$400,000","null","null","null","null","null","null","$1,795/mo","6","7","7","{""targetDiv"":""gpt-ad-54ec3824-7189-4f37-9df9-e18058a26325"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94513"",""aamgnrc1"":""540 Sand Creek Rd"",""mlat"":""37.944494"",""bd"":""0"",""fsbid"":""15263"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS2jfnjb9bj9581000000000.jpg"",""zusr"":""true"",""city"":""Brentwood"",""proptp"":""lot"",""pid"":""61237111"",""yrblt"":""1940-1959"",""lot"":""7"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""4424702317145488793"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""400000"",""sqft"":""1413"",""posting_url"":"""",""mlong"":""-121.707256"",""state"":""CA"",""prange"":""400-449k""}}","null","null","null","null","NEXT","https://www.zillow.com/brentwood-ca/6_p/","NEXT","https://www.zillow.com/brentwood-ca/7_p/","","","",""
"1572917737-8501","https://www.zillow.com/homes/brentwood-CA_rb/","","https://www.zillow.com/homedetails/1600-Quail-Trl-Brentwood-CA-94513/18283241_zpid/","Brentwood, CA 94513","For sale","1600 Quail Trl,","2","https://www.zillow.com/brentwood-ca/2_p/","","","","","","","3,092","5","4","$1,038,186","$1,050,000","Single Family","1989","Forced air","Central","Single Family","5.23 acres","null","3","7","null","{""targetDiv"":""gpt-ad-ce4f6ab0-0171-483a-b333-759cd8ef7e0e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1600 Quail Trl"",""bd"":""5"",""fsbid"":""15263"",""city"":""Brentwood"",""proptp"":""sfh"",""pid"":""18283241"",""lot"":""8"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-658544091233724071"",""sqftrange"":""3000-3499"",""price"":""1050000"",""sqft"":""3092"",""posting_url"":"""",""mlong"":""-121.653903"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94513"",""mlat"":""37.948548"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr1ehwrz63kxv1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1980-1989"",""zestimate"":""1038186"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572917661-8468","https://www.zillow.com/homes/brentwood-CA_rb/","","https://www.zillow.com/homedetails/502-Verbena-Ct-Brentwood-CA-94513/68042069_zpid/","Brentwood, CA 94513","For sale","502 Verbena Ct,","","","3","https://www.zillow.com/brentwood-ca/3_p/","","","","","2,523","4","3","null","$549,888","Single Family","2006","Gas","Central","Single Family","4,791 sqft","$2,650/mo","7","6","7","{""targetDiv"":""gpt-ad-9be1318f-e83d-4ffb-9c93-9882649d7cdc"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""502 Verbena Ct"",""bd"":""4"",""fsbid"":""4383"",""city"":""Brentwood"",""proptp"":""sfh"",""pid"":""68042069"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-2850598377741937752"",""sqftrange"":""2500-2999"",""price"":""549888"",""sqft"":""2523"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/brentwood/502-verbena-ct/pid_32437089/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.686787"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94513"",""mlat"":""37.92585"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvouwiig1or5i1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""549888"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572917257-8245","https://www.zillow.com/homes/brentwood-CA_rb/","","https://www.zillow.com/homedetails/720-Central-Park-Pl-Brentwood-CA-94513/18286591_zpid/","Brentwood, CA 94513","For sale","720 Central Park Pl,","","","","","","","5","https://www.zillow.com/brentwood-ca/5_p/","2,310","2","3","$609,901","$609,901","Single Family","1998","Forced air","Central","Single Family","8,298 sqft","null","7","8","9","{""targetDiv"":""gpt-ad-ca78fe5e-4495-48bb-8793-daae8d730d06"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""720 Central Park Pl"",""bd"":""2"",""fsbid"":""14106"",""city"":""Brentwood"",""proptp"":""sfh"",""pid"":""18286591"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-2967897784373687488"",""sqftrange"":""2000-2499"",""price"":""609901"",""sqft"":""2310"",""posting_url"":""http://hursthomes.com"",""mlong"":""-121.734445"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94513"",""mlat"":""37.935199"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbl6s9d3to8hn0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1990-1999"",""zestimate"":""609901"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572917436-8358","https://www.zillow.com/homes/brentwood-CA_rb/","","https://www.zillow.com/homedetails/979-Dainty-Ave-Brentwood-CA-94513/166204902_zpid/","Brentwood, CA 94513","Pre-foreclosure","979 Dainty Ave,","","","","","4","https://www.zillow.com/brentwood-ca/4_p/","","","null","5","null","$547,004","$547,004","Single Family","2016","No Data","Central","Single Family","7,280 sqft","null","6","6","7","{""targetDiv"":""gpt-ad-01089990-3b91-4c75-af75-076c085cf484"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""979 Dainty Ave"",""bd"":""5"",""city"":""Brentwood"",""proptp"":""sfh"",""pid"":""166204902"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_foreclosure"",""zguidh"":""3362881738604900775"",""sqftrange"":""3500-3999"",""price"":""638000"",""sqft"":""3578"",""posting_url"":"""",""mlong"":""-121.706265"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94513"",""mlat"":""37.932863"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISa99ialki13pn1000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2010-2019"",""zestimate"":""683755"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572917012-8091","https://www.zillow.com/homes/brentwood-CA_rb/","","https://www.zillow.com/community/villagio-ii/2089771786_zpid/","Brentwood, CA 94513","New construction","Buildable plan: Diano, Villagio II,","","","","","","","5","https://www.zillow.com/brentwood-ca/5_p/","3,630","6","4.5","None","$775,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","6","6","7","{""targetDiv"":""gpt-ad-67fbe0d4-4f76-4fcf-a90c-e67bdece9b5e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 9BOKWA"",""aamgnrc1"":""326 Bidwell Ct"",""bd"":""6"",""fsbid"":""14920"",""city"":""Brentwood"",""proptp"":""sfh"",""pid"":""2089771786"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3500-3999"",""price"":""775000"",""sqft"":""3630"",""posting_url"":""http://www.discoveryhomes.com/brentwood-ca/villagio?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=24723&nhf_listing_type=community&utm_term=comm_VillagioII&utm_campaign=Brentwood%2FCA"",""state"":""CA"",""mlong"":""-121.70436"",""cnty"":""Alameda"",""prange"":""700-799k"",""zip"":""94513"",""mlat"":""37.926254"",""plid"":""8426803"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISukr72lwrx3wx1000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""14920-766105"",""dma"":""37""}}","null","null","null","null","NEXT","https://www.zillow.com/brentwood-ca/6_p/","","","","","",""
"1572917247-8238","https://www.zillow.com/homes/brentwood-CA_rb/","","https://www.zillow.com/homedetails/825-Summer-Cir-Brentwood-CA-94513/18281793_zpid/","Brentwood, CA 94513","Pre-foreclosure","825 Summer Cir,","","","","","","","5","https://www.zillow.com/brentwood-ca/5_p/","null","4","null","$536,378","$536,378","Single Family","1993","No Data","Central","Single Family","6,000 sqft","null","6","7","7","{""targetDiv"":""gpt-ad-ffed058b-3f1b-4967-84cd-2b6f0f0fcc68"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""825 Summer Cir"",""bd"":""4"",""city"":""Brentwood"",""proptp"":""sfh"",""pid"":""18281793"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""-4514600819195083967"",""sqftrange"":""2000-2499"",""price"":""552968"",""sqft"":""2249"",""posting_url"":"""",""mlong"":""-121.710067"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94513"",""mlat"":""37.929402"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1990-1999"",""zestimate"":""552968"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572917530-8416","https://www.zillow.com/homes/brentwood-CA_rb/","","https://www.zillow.com/homedetails/670-Stewart-Way-Brentwood-CA-94513/59397165_zpid/","Brentwood, CA 94513","For sale","670 Stewart Way,","","","3","https://www.zillow.com/brentwood-ca/3_p/","","","","","1,945","2","2","$529,501","$529,500","Single Family","2003","Forced air","Central","Single Family","5,702 sqft","$2,595/mo","7","8","9","{""targetDiv"":""gpt-ad-ffdb8f73-5f49-49e9-b452-03c5c2d33060"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""670 Stewart Way"",""bd"":""2"",""fsbid"":""15050"",""city"":""Brentwood"",""proptp"":""sfh"",""pid"":""59397165"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-8260842338263395065"",""sqftrange"":""1500-1999"",""price"":""529500"",""sqft"":""1945"",""posting_url"":"""",""mlong"":""-121.719534"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94513"",""mlat"":""37.917253"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrdn4adxmjfke1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""529501"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
