web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572918035-1821","https://www.zillow.com/homes/brisbane-CA_rb/","","https://www.zillow.com/homedetails/130-Sierra-Point-Rd-Brisbane-CA-94005/15468978_zpid/","Brisbane, CA 94005","For sale","130 Sierra Point Rd,","null","1","null","$693,582","$645,000","Single Family","1935","Wall","None","2 spaces","5,000 sqft","$2,995/mo","7","7","5","None","Shake/Shingle","null","null","$7,416"
"1572917938-1798","https://www.zillow.com/homes/brisbane-CA_rb/","","https://www.zillow.com/homedetails/0-Bayshore-Blvd-Brisbane-CA-94005/2089876866_zpid/","Brisbane, CA 94005","Lot/land","0 Bayshore Blvd,","null","0.52 acres","null","None","$4,800,000","null","null","null","null","null","null","$2,595/mo","7","7","5","null","Residential Lots & Land","Square Feet","Electricity - Available at Street, Public Utilities, Available - Not On Site","null"
"1572918020-1817","https://www.zillow.com/homes/brisbane-CA_rb/","","https://www.zillow.com/homedetails/310-Kings-Rd-Brisbane-CA-94005/15469873_zpid/","Brisbane, CA 94005","For sale","310 Kings Rd,","3,312","5","5","null","$2,288,000","Single Family","1990","Forced air","None","Attached Garage","6,011 sqft","$6,500/mo","7","7","5","null","Composition","null","Public Utilities","$12,298"
"1572917990-1809","https://www.zillow.com/homes/brisbane-CA_rb/","","https://www.zillow.com/homedetails/221-Fox-Sparrow-Ln-Brisbane-CA-94005/15627257_zpid/","Brisbane, CA 94005","For sale","221 Fox Sparrow Ln,","1,437","2","2","null","$998,000","Condo","1997","Forced air","None","Attached Garage","$570/month","$3,750/mo","7","7","5","None","Composition","null","Public Utilities","$5,457"
"1572918053-1825","https://www.zillow.com/homes/brisbane-CA_rb/","","https://www.zillow.com/homedetails/427-Mendocino-St-Brisbane-CA-94005/15469204_zpid/","Brisbane, CA 94005","For sale","427 Mendocino St,","2,245","4","3","$1,525,503","$1,425,000","Single Family","1939","Forced air","None","Detached Garage","5,000 sqft","$4,800/mo","7","7","5","null","Composition","null","Public Utilities","$11,319"
"1572917928-1794","https://www.zillow.com/homes/brisbane-CA_rb/","","https://www.zillow.com/homedetails/23-Visitacion-Ave-Brisbane-CA-94005/181328431_zpid/","Brisbane, CA 94005","Lot/land","23 Visitacion Ave,","null","5,314 sqft","null","null","$1,980,000","null","null","null","null","null","null","$3,800/mo","7","7","5","null","Residential Lots & Land","Square Feet","Gas - On Site, Public Utilities, Electricity - On Site","$6,451"
"1572917934-1796","https://www.zillow.com/homes/brisbane-CA_rb/","","https://www.zillow.com/homedetails/20-Tulare-St-Brisbane-CA-94005/2083201204_zpid/","Brisbane, CA 94005","Lot/land","20 Tulare St,","null","5,000 sqft","null","None","$433,000","null","null","null","null","null","null","$2,650/mo","7","7","5","null","Residential Lots & Land","Square Feet","Available - Not On Site, Gas - LESS than 500 feet away","null"
"1572917922-1792","https://www.zillow.com/homes/brisbane-CA_rb/","","https://www.zillow.com/homedetails/3998-Bayshore-Blvd-Brisbane-CA-94005/15469942_zpid/","Brisbane, CA 94005","Lot/land","3998 Bayshore Blvd,","null","9,038 sqft","null","None","$550,000","null","null","null","null","null","null","$3,800/mo","7","7","5","null","Residential Lots & Land","Square Feet","Gas - On Site, Public Utilities, Electricity - On Site","$660"
"1572917947-1800","https://www.zillow.com/homes/brisbane-CA_rb/","","https://www.zillow.com/homedetails/320-322-Visitacion-Ave-Brisbane-CA-94005/2082511910_zpid/","Brisbane, CA 94005","For sale","320-322 Visitacion Ave,","2,350","3","2.5","null","$1,598,000","Single Family","2004","Forced air","None","Attached Garage","2,500 sqft","$5,300/mo","7","7","5","null","No","null","Public Utilities","null"
"1572917962-1803","https://www.zillow.com/homes/brisbane-CA_rb/","","https://www.zillow.com/homedetails/71-Golden-Aster-Ct-Brisbane-CA-94005/15464496_zpid/","Brisbane, CA 94005","For sale","71 Golden Aster Ct,","2,830","4","3","$1,850,115","$1,850,000","Single Family","2004","Forced air","None","Attached Garage","7,936 sqft","$5,300/mo","7","7","5","null","Composition","null","Other","$20,967"
"1572917975-1806","https://www.zillow.com/homes/brisbane-CA_rb/","","https://www.zillow.com/homedetails/311-Swallowtail-Ct-Brisbane-CA-94005/55007645_zpid/","Brisbane, CA 94005","For sale","311 Swallowtail Ct,","1,520","3","2","$925,480","$875,000","Condo","2000","Forced air","None","Attached Garage","$495/month","$3,790/mo","7","7","5","null","Composition","null","Public Utilities","$8,274"
