web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572918256-1885","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/1035-Morrell-Ave-Burlingame-CA-94010/15517487_zpid/","Burlingame, CA 94010","For sale","1035 Morrell Ave,","1,890","3","2","$2,112,283","$1,998,000","Single Family","1945","Forced air","None","Detached Garage","3,798 sqft","$5,000/mo","8","9","10","None","Composition","null","Public Utilities","$10,239"
"1572918019-1816","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/824-El-Camino-Real-Burlingame-CA-94010/15517325_zpid/","Burlingame, CA 94010","Pre-foreclosure","824 El Camino Real,","null","2","null","$1,755,702","$1,755,702","Multi Family","1937","Other","No Data","Carport","null","null","8","9","10","null","No","null","null","$14,336"
"1572918247-1882","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/1308-Montero-Ave-Burlingame-CA-94010/15515388_zpid/","Burlingame, CA 94010","For sale","1308 Montero Ave,","3,064","4","4","$2,947,192","$2,988,000","Single Family","1927","Forced air","None","Attached Garage","5,998 sqft","$8,000/mo","9","9","10","None","Composition","null","Public Utilities","$20,417"
"1572918084-1834","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/721-Rollins-Rd-Burlingame-CA-94010/82819198_zpid/","Burlingame, CA 94010","Pre-foreclosure","721 Rollins Rd,","null","5","null","null","null","Apartment","1950","No Data","No Data","Attached Garage","No Data","null","8","9","10","null","No","null","null","$17,151"
"1572918425-1930","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/822-Walnut-Ave-Burlingame-CA-94010/15516245_zpid/","Burlingame, CA 94010","For sale","822 Walnut Ave,","2,430","4","3","$3,043,849","$2,998,000","Single Family","1918","Forced air","Central","Detached Garage","10,001 sqft","$8,094/mo","8","9","10","null","Composition","null","Individual Electric Meters, Public Utilities, Individual Gas Meters","$20,748"
"1572918029-1819","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/725-Acacia-Dr-Burlingame-CA-94010/15517603_zpid/","Burlingame, CA 94010","Pre-foreclosure / auction","725 Acacia Dr,","null","2","null","$1,329,219","$1,329,219","Single Family","1925","Other","No Data","Detached Garage","6,577 sqft","null","8","9","10","null","No","null","null","$8,713"
"1572918284-1894","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/1515-Willow-Ave-Burlingame-CA-94010/15516304_zpid/","Burlingame, CA 94010","For sale","1515 Willow Ave,","null","4","null","$3,688,922","$3,688,000","Single Family","1919","Forced air","Central","6 spaces","7,749 sqft","$6,750/mo","8","9","10","Central","Composition","null","null","$22,293"
"1572918547-1956","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/1701-Ray-Dr-Burlingame-CA-94010/15511992_zpid/","Burlingame, CA 94010","Coming soon: Nov 14.","1701 Ray Dr,","1,400","2","1","$1,758,760","$2,075,000","Single Family","1948","Forced air","None","Detached Garage","5,488 sqft","$4,500/mo","9","9","10","null","No","null","null","$2,790"
"1572918014-1814","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/1316-Paloma-Ave-Burlingame-CA-94010/15513323_zpid/","Burlingame, CA 94010","Pre-foreclosure","1316 Paloma Ave,","null","4","null","$1,809,550","$1,809,550","Single Family","1920","Other","No Data","Detached Garage","5,967 sqft","null","9","9","10","null","No","null","null","$13,160"
"1572918294-1896","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/1827-Hunt-Dr-Burlingame-CA-94010/15512475_zpid/","Burlingame, CA 94010","For sale","1827 Hunt Dr,","3,910","6","4","$2,989,026","$2,989,000","Single Family","1966","Forced air","Central","Carport, Attached Garage","0.46 acres","$7,931/mo","9","9","10","null","Composition","null","Individual Electric Meters, Public Utilities, Natural Gas, Individual Gas Meters","$23,453"
"1572918507-1950","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/208-Peninsula-Ave-Burlingame-CA-94010/15518982_zpid/","Burlingame, CA 94010","For sale","208 Peninsula Ave,","1,600","3","3","$2,038,668","$1,898,000","Single Family","1910","Forced air","None","1 space","4,874 sqft","$5,001/mo","8","9","10","None","Composition","null","Public Utilities","$21,195"
"1572918366-1917","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/518-Almer-Rd-APT-2-Burlingame-CA-94010/15626674_zpid/","Burlingame, CA 94010","For sale","518 Almer Rd APT 2,","1,600","2","2","$1,418,696","$1,395,000","Condo","1994","Radiant","None","2 spaces","$520/month","$4,500/mo","8","9","10","None","Asphalt","null","Individual Gas Meters","$13,139"
"1572918497-1946","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/1457-Bellevue-Ave-APT-1-Burlingame-CA-94010/15632185_zpid/","Burlingame, CA 94010","For sale","1457 Bellevue Ave APT 1,","1,680","2","2","null","$1,595,000","Condo","1984","Forced air","None","2 spaces","$550/month","$4,600/mo","8","9","10","null","Built up","null","Public Utilities","$9,416"
"1572918443-1935","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/1233-Bellevue-Ave-APT-5-Burlingame-CA-94010/15632650_zpid/","Burlingame, CA 94010","For sale","1233 Bellevue Ave APT 5,","1,560","2","3","$1,547,602","$1,498,000","Condo","1985","Electric","None","No Data","$714/month","$4,600/mo","8","9","10","null","Composition","null","Public Utilities","$14,157"
"1572918168-1856","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/530-El-Camino-Real-APT-206-Burlingame-CA-94010/55007752_zpid/","Burlingame, CA 94010","For sale","530 El Camino Real APT 206,","null","1","null","$729,137","$850,000","Condo","2000","Forced air","No Data","1 space","$293/month","$3,500/mo","8","9","10","null","Tile","null","Other","$6,859"
"1572918541-1955","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/30-Lorton-Ave-APT-204-Burlingame-CA-94010/15632793_zpid/","Burlingame, CA 94010","For sale","30 Lorton Ave APT 204,","1,219","2","2","$1,031,249","$975,000","Condo","1986","Forced air","None","No Data","$600/month","$3,700/mo","8","9","10","null","No","null","Individual Electric Meters, Public Utilities, Individual Gas Meters","$9,340"
"1572918152-1849","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/1499-Oak-Grove-Ave-APT-102-Burlingame-CA-94010/15627133_zpid/","Burlingame, CA 94010","For sale","1499 Oak Grove Ave APT 102,","1,500","2","2","$1,199,766","$1,198,000","Condo","1997","Forced air","None","Carport","$642/month","$4,300/mo","8","9","10","null","No","null","Individual Electric Meters, Individual Gas Meters","$10,671"
"1572918406-1927","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/1515-Floribunda-Ave-APT-310-Burlingame-CA-94010/15629444_zpid/","Burlingame, CA 94010","For sale","1515 Floribunda Ave APT 310,","1,828","2","2","null","$1,450,000","Condo","1977","Baseboard","None","Attached Garage","$60/month","$4,500/mo","8","9","10","null","No","null","Public Utilities, Master Meter","$13,172"
"1572918334-1909","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/1515-Floribunda-Ave-APT-210-Burlingame-CA-94010/15629434_zpid/","Burlingame, CA 94010","For sale","1515 Floribunda Ave APT 210,","1,828","2","2","$1,453,919","$1,398,000","Condo","1977","Electric","None","Attached Garage","$712/month","$4,700/mo","8","9","10","null","No","null","Public Utilities","$11,635"
"1572918040-1822","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/300-Occidental-Ave-Burlingame-CA-94010/82959199_zpid/","Burlingame, CA 94010","For sale","300 Occidental Ave,","null","--","null","null","$6,950,000","Single Family","1924","Forced air, Radiant","None","Carport","0.27 acres","$2,869/mo","8","9","10","null","No","null","Public Utilities, Individual Electric Meters","$3,764"
"1572918468-1941","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/13-Valdivia-Ct-Burlingame-CA-94010/15511631_zpid/","Burlingame, CA 94010","Pre-foreclosure / auction","13 Valdivia Ct,","null","3","null","$2,096,970","$2,096,970","Single Family","1954","Other","No Data","2 spaces","0.25 acres","null","9","9","10","null","No","null","null","$2,660"
"1572918221-1871","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/2644-Trousdale-Dr-Burlingame-CA-94010/15511244_zpid/","Burlingame, CA 94010","Auction","2644 Trousdale Dr,","null","3","null","null","$1,684,196","Single Family","1958","Forced air","None","Attached Garage","0.42 acres","$5,891/mo","9","9","10","null","Composition","null","Public Utilities","$13,138"
"1572918462-1940","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/530-El-Camino-Real-APT-105-Burlingame-CA-94010/55007741_zpid/","Burlingame, CA 94010","For sale","530 El Camino Real APT 105,","1,103","1","1","$876,311","$839,000","Condo","2000","Forced air","None","Carport","$293/month","$3,400/mo","8","9","10","null","Tile","null","Public Utilities","$7,047"
"1572918025-1818","https://www.zillow.com/homes/burlingame-CA_rb/","","https://www.zillow.com/homedetails/1105-Douglas-Ave-Burlingame-CA-94010/15517960_zpid/","Burlingame, CA 94010","Pre-foreclosure","1105 Douglas Ave,","null","1","null","$832,512","$832,512","Single Family","1920","No Data","No Data","Detached Garage","3,702 sqft","null","8","9","10","null","No","null","null","$3,687"
