web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572900065-1289","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/2412-Foothill-Blvd-SPC-58-Calistoga-CA-94515/2083814277_zpid/","Calistoga, CA 94515","For sale","2412 Foothill Blvd SPC 58,","","","","","1,536","2","2","null","$119,000","Mobile / Manufactured","1972","No Data","No Data","Mobile / Manufactured","$77","$2,990/mo","4","6","null","{""targetDiv"":""gpt-ad-8ec6dced-5d77-45b8-bcf6-e7f469150aec"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Spc 58"",""aamgnrc1"":""2412 Foothill Blvd"",""bd"":""2"",""fsbid"":""14644"",""city"":""Calistoga"",""proptp"":""mm"",""pid"":""2083814277"",""zestibuck"":""100-149k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""8142417284875602532"",""sqftrange"":""1500-1999"",""price"":""119000"",""sqft"":""1536"",""posting_url"":""http://www.winecountrygroup.com"",""mlong"":""-122.591916"",""state"":""CA"",""prange"":""100-149k"",""zip"":""94515"",""mlat"":""38.58249"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISyvmequwwimrm1000000000.jpg"",""zusr"":""true"",""price_band"":""z100"",""yrblt"":""1970-1979"",""zestimate"":""112736"",""premieragent"":""no""}}","null","null","null","null"
"1572899934-1255","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/Franz-Valley-Rd-Calistoga-CA-94515/15825290_zpid/","Calistoga, CA 94515","Lot/land","Franz Valley Rd,","","","3","https://www.zillow.com/calistoga-ca/3_p/","null","2.89 acres","null","null","$425,000","null","null","null","null","null","null","$2,200/mo","4","6","null","{""targetDiv"":""gpt-ad-5641a3ca-5076-423f-9df4-dc10ead26e76"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94515"",""aamgnrc1"":""Franz Valley Rd"",""mlat"":""38.58988"",""bd"":""0"",""fsbid"":""2877"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISe0te3k8prhna1000000000.jpg"",""zusr"":""true"",""city"":""Calistoga"",""proptp"":""lot"",""pid"":""15825290"",""lot"":""7"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""3782774087791907035"",""premieragent"":""no"",""sqftrange"":""10000_and_up"",""price"":""425000"",""sqft"":""20000"",""posting_url"":""http://www.coldwellbanker.com/listingdetail/CBRNE53D/"",""mlong"":""-122.671776"",""state"":""CA"",""prange"":""400-449k""}}","null","null","null","null"
"1572900091-1298","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/3028-Myrtledale-Rd-Calistoga-CA-94515/19402139_zpid/","Calistoga, CA 94515","For sale","3028 Myrtledale Rd,","","","","","1,028","3","1","$857,896","$879,000","Single Family","1955","Other","None","Single Family","0.55 acres","$3,000/mo","4","6","null","No Data","null","null","null","null"
"1572900029-1277","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/150-Wisteria-Dr-Calistoga-CA-94515/63073099_zpid/","Calistoga, CA 94515","For sale","150 Wisteria Dr,","2","https://www.zillow.com/calistoga-ca/2_p/","","","1,262","3","2","$175,631","$180,000","Mobile / Manufactured","2000","No Data","No Data","Mobile / Manufactured","$143","$1,800/mo","4","6","null","{""targetDiv"":""gpt-ad-158fc0f8-a3f2-4597-b039-a4dfcf59aa8f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""150 Wisteria Dr"",""bd"":""3"",""fsbid"":""13601"",""city"":""Calistoga"",""proptp"":""mm"",""pid"":""63073099"",""zestibuck"":""150-199k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-4892857035775042759"",""sqftrange"":""1000-1499"",""price"":""180000"",""sqft"":""1262"",""posting_url"":""http://greathomes.org/mls/property/21911680"",""mlong"":""-122.571672"",""state"":""CA"",""prange"":""150-199k"",""zip"":""94515"",""mlat"":""38.580688"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS6y5x5n0uclcg0000000000.jpg"",""zusr"":""true"",""price_band"":""z100"",""yrblt"":""2000-2009"",""zestimate"":""175631"",""premieragent"":""no""}}","null","null","null","null"
"1572900022-1275","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/3263-State-Highway-128-Calistoga-CA-94515/19402071_zpid/","Calistoga, CA 94515","For sale","3263 State Highway 128,","2","https://www.zillow.com/calistoga-ca/2_p/","","","676","1","1","None","$655,000","Single Family","1941","Other","None","Single Family","1.07 acres","$2,600/mo","4","6","null","{""targetDiv"":""gpt-ad-0a1ebd44-244a-487e-bc8e-3b96c5d6f1cb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94515"",""aamgnrc1"":""3263 State Highway 128"",""mlat"":""38.592466"",""bd"":""1"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfcqgkoqspn390000000000.jpg"",""zusr"":""true"",""city"":""Calistoga"",""proptp"":""sfh"",""pid"":""19402071"",""yrblt"":""1940-1959"",""lot"":""6"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-4437439176726604743"",""premieragent"":""no"",""sqftrange"":""500-999"",""price"":""655000"",""sqft"":""676"",""posting_url"":""http://greathomes.org/mls/property/21718211"",""mlong"":""-122.614295"",""state"":""CA"",""prange"":""600-699k""}}","null","null","null","null"
"1572900104-1302","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/580-Lommel-Rd-82-Calistoga-CA-94515/2084893818_zpid/","Calistoga, CA 94515","For sale","580 Lommel Rd # 82,","","","","","2,400","2","4","null","$280,000","Condo","2008","No Data","No Data","Condo","$1,659/month","$7,755/mo","4","6","null","{""targetDiv"":""gpt-ad-15175dc1-27d0-4cf7-8393-63c58fe7390e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 82"",""zip"":""94515"",""aamgnrc1"":""580 Lommel Rd"",""mlat"":""38.581418"",""bd"":""2"",""fsbid"":""14642"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnmridd22c75u0000000000.jpg"",""zusr"":""true"",""city"":""Calistoga"",""proptp"":""cnd"",""pid"":""2084893818"",""yrblt"":""2000-2009"",""listtp"":""buy_agent"",""zguidh"":""4524532367012213456"",""premieragent"":""no"",""sqftrange"":""2000-2499"",""price"":""280000"",""sqft"":""2400"",""posting_url"":"""",""mlong"":""-122.508745"",""state"":""CA"",""prange"":""250-299k""}}","null","null","null","null"
"1572900031-1278","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/0-Diamond-Mountain-Rd-Calistoga-CA-94515/2104774350_zpid/","Calistoga, CA 94515","Lot/land","0 Diamond Mountain Rd,","2","https://www.zillow.com/calistoga-ca/2_p/","","","null","17.86 acres","null","None","$425,000","null","null","null","null","null","null","$1,850/mo","5","6","8","{""targetDiv"":""gpt-ad-4d867734-59dc-4b08-8817-176a8cd325fa"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94515"",""aamgnrc1"":""0 Diamond Mountain Rd"",""mlat"":""38.554482"",""bd"":""0"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzrzxuvlj2iwt1000000000.jpg"",""zusr"":""true"",""city"":""Calistoga"",""proptp"":""lot"",""pid"":""2104774350"",""lot"":""9"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-7996417676821037565"",""premieragent"":""no"",""price"":""425000"",""posting_url"":""http://greathomes.org/mls/property/21823644"",""mlong"":""-122.57843"",""state"":""CA"",""prange"":""400-449k""}}","null","null","null","null"
"1572900034-1279","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/3514-State-Highway-128-Calistoga-CA-94515/19401996_zpid/","Calistoga, CA 94515","For sale","3514 State Highway 128,","2","https://www.zillow.com/calistoga-ca/2_p/","","","3,560","6","6","None","$2,500,000","Single Family","1948","Other","None","Single Family","0.76 acres","null","4","6","null","No Data","null","null","null","null"
"1572900077-1293","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/4611-Lake-County-Hwy-Calistoga-CA-94515/19401937_zpid/","Calistoga, CA 94515","For sale","4611 Lake County Hwy,","","","","","1,526","3","2","$778,269","$799,000","Single Family","1977","Other","None","Single Family","7.67 acres","$3,000/mo","4","6","null","{""targetDiv"":""gpt-ad-c428f6d5-031b-4a3b-a1d4-47cd4b3783dd"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4611 Lake County Hwy"",""bd"":""3"",""fsbid"":""13601"",""city"":""Calistoga"",""proptp"":""sfh"",""pid"":""19401937"",""lot"":""8"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-3930255262383841880"",""sqftrange"":""1500-1999"",""price"":""799000"",""sqft"":""1526"",""posting_url"":""http://greathomes.org/mls/property/21916817"",""mlong"":""-122.59194"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94515"",""mlat"":""38.648451"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS33f0ddzk8r1n1000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""1970-1979"",""zestimate"":""778269"",""premieragent"":""no""}}","null","null","null","null"
"1572900099-1300","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/1312-Tucker-Rd-Calistoga-CA-94515/19402826_zpid/","Calistoga, CA 94515","For sale","1312 Tucker Rd,","","","","","5,105","5","8","null","$2,995,000","Single Family","2010","Forced air","Central","Single Family","1.06 acres","$17,500/mo","4","6","null","No Data","null","null","null","null"
