web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572893607-195","https://www.zillow.com/homes/Campbell-CA_rb/","","https://www.zillow.com/homedetails/388-Union-Ave-APT-D-Campbell-CA-95008/19670123_zpid/","Campbell, CA 95008","For sale","388 Union Ave APT D,","","","1,244","2","3","null","$765,000","Condo","1981","Other","None","2 spaces","$45/month","$3,050/mo","6","7","9","null","Composition","null","Public Utilities","$7,330"
"1572893630-198","https://www.zillow.com/homes/Campbell-CA_rb/","","https://www.zillow.com/homedetails/1148-Meadows-Ct-Campbell-CA-95008/300481619_zpid/","Campbell, CA 95008","For sale","1148 Meadows Ct,","","","3,216","5","4","$2,995,001","$2,995,000","Single Family","2019","Forced air","Central","Attached Garage","9,417 sqft","$3,200/mo","7","7","8","null","No","null","Public Utilities","$14,460"
"1572893387-182","https://www.zillow.com/homes/Campbell-CA_rb/","","https://www.zillow.com/homedetails/402-Darryl-Dr-Campbell-CA-95008/19613483_zpid/","Campbell, CA 95008","For sale","402 Darryl Dr,","","","1,405","3","3","$912,790","$899,950","Townhouse","1988","Forced air","Central","1 space","1,341 sqft","$3,600/mo","7","7","8","null","Composition","null","Public Utilities","$11,501"
"1572893409-183","https://www.zillow.com/homes/Campbell-CA_rb/","","https://www.zillow.com/homedetails/980-Almarida-Dr-Campbell-CA-95008/19587517_zpid/","Campbell, CA 95008","For sale","980 Almarida Dr,","","","1,725","4","4","$1,365,837","$1,329,888","Single Family","1955","Forced air","Central","4 spaces","0.3 acres","$3,900/mo","6","5","6","null","Shake/Shingle","null","null","$6,433"
"1572893506-189","https://www.zillow.com/homes/Campbell-CA_rb/","","https://www.zillow.com/homedetails/1367-Cameo-Dr-Campbell-CA-95008/19593292_zpid/","Campbell, CA 95008","Coming soon: Oct 24.","1367 Cameo Dr,","","","1,685","3","2","$1,262,177","$1,450,000","Single Family","1957","Other","No Data","1 space","8,680 sqft","$3,800/mo","6","7","9","null","No","null","null","$2,192"
"1572893147-165","https://www.zillow.com/homes/Campbell-CA_rb/","","https://www.zillow.com/homedetails/236-W-Rincon-Ave-APT-L-Campbell-CA-95008/19610544_zpid/","Campbell, CA 95008","For sale","236 W Rincon Ave APT L,","2","https://www.zillow.com/campbell-ca/2_p/","1,319","2","3","null","$925,000","Condo","1980","Forced air","Wall","1 space","$325/month","$3,216/mo","7","7","8","null","Tile","null","Public Utilities","$6,947"
"1572893749-207","https://www.zillow.com/homes/Campbell-CA_rb/","","https://www.zillow.com/homedetails/140-Monte-Villa-Ct-Campbell-CA-95008/19672934_zpid/","Campbell, CA 95008","For sale","140 Monte Villa Ct,","","","1,359","3","3","null","$848,000","Condo","1984","Forced air","Central","2 spaces","$355/month","$2,995/mo","7","7","9","null","Composition","null","null","$4,708"
"1572893439-185","https://www.zillow.com/homes/Campbell-CA_rb/","","https://www.zillow.com/homedetails/101-El-Patio-Ct-Campbell-CA-95008/19588520_zpid/","Campbell, CA 95008","For sale","101 El Patio Ct,","","","1,550","2","3","$1,306,874","$1,275,000","Single Family","1980","Forced air","No Data","2 spaces","3,794 sqft","$3,750/mo","6","5","6","null","Composition","null","Public Utilities","$5,749"
"1572893527-191","https://www.zillow.com/homes/Campbell-CA_rb/","","https://www.zillow.com/homedetails/1327-Burrows-Rd-Campbell-CA-95008/300482205_zpid/","Campbell, CA 95008","Lot/land","1327 Burrows Rd,","","","null","0.32 acres","null","None","$1,298,000","null","null","null","null","null","null","null","9","7","8","null","Residential Lots & Land","Square Feet","Gas - Available at Street, Electricity - Available at Street","$9,225"
"1572893118-159","https://www.zillow.com/homes/Campbell-CA_rb/","","https://www.zillow.com/homedetails/59-Palomar-Real-59-Campbell-CA-95008/2084866671_zpid/","Campbell, CA 95008","For sale","59 Palomar Real # 59,","2","https://www.zillow.com/campbell-ca/2_p/","1,440","2","2","$282,477","$285,000","Mobile / Manufactured","1967","Forced air","Central","Carport","$198","$3,350/mo","6","7","9","null","Metal","null","Individual Electric Meters, Individual Gas Meters","null"
