web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572918581-1959","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/3005-Coyote-Cir-Clayton-CA-94517/18357437_zpid/","Clayton, CA 94517","For sale","3005 Coyote Cir,","1,026","2","2","$426,241","$430,000","Condo","1995","Forced air","Central","2 spaces","$259/month","$2,400/mo","8","8","4","null","Tile","null","null","$3,367"
"1572918087-1836","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/4291-Morgan-Territory-Rd-Clayton-CA-94517/18321744_zpid/","Clayton, CA 94517","For sale","4291 Morgan Territory Rd,","2,120","3","3","$979,080","$999,000","Single Family","1971","Forced air","Central","3 spaces","1.26 acres","null","8","8","10","Central","Composition","null","null","$9,663"
"1572918076-1832","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/1980-Curry-Canyon-Rd-Clayton-CA-94517/82855411_zpid/","Clayton, CA 94517","For sale","1980 Curry Canyon Rd,","4,435","5","3","$3,758,941","$3,925,000","Single Family","1989","Forced air","Central","Carport","21.86 acres","$4,500/mo","8","8","10","null","Composition","null","null","$8,143"
"1572918529-1954","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/451-Obsidian-Way-Clayton-CA-94517/18356372_zpid/","Clayton, CA 94517","For sale","451 Obsidian Way,","3,000","4","3","$989,954","$989,950","Single Family","1994","Forced air","Central","2 spaces","7,405 sqft","null","8","8","4","null","Tile","null","null","$9,776"
"1572918430-1932","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/1367-Shell-Ln-Clayton-CA-94517/18356266_zpid/","Clayton, CA 94517","For sale","1367 Shell Ln,","1,145","2","2","$539,625","$539,000","Townhouse","1993","Forced air","Central","2 spaces","3,484 sqft","null","8","8","10","null","Tile","null","null","$4,322"
"1572918398-1924","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/4900-Morgan-Territory-Rd-Clayton-CA-94517/2082466282_zpid/","Clayton, CA 94517","Lot/land","4900 Morgan Territory Rd,","null","28.73 acres","null","None","$980,000","null","null","null","null","null","null","$2,900/mo","8","8","10","null","LOTS AND LAND","CLAYTON","null","null"
"1572918097-1837","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/1486-Yosemite-Cir-Clayton-CA-94517/18359373_zpid/","Clayton, CA 94517","For sale","1486 Yosemite Cir,","1,496","3","2","$747,330","$750,000","Single Family","1959","Forced air","Central","2 spaces","10,201 sqft","$3,200/mo","8","8","10","null","Composition","null","null","$5,447"
"1572918506-1948","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/5830-Mitchell-Canyon-Ct-Clayton-CA-94517/18361429_zpid/","Clayton, CA 94517","Pre-foreclosure","5830 Mitchell Canyon Ct,","2,407","5","3","$847,650","$847,650","Single Family","1969","Forced air","Central","2 spaces","0.28 acres","null","8","8","10","null","No","null","Public Utilities","$10,449"
"1572918364-1916","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/403-Wawona-Ln-Clayton-CA-94517/18356402_zpid/","Clayton, CA 94517","Pre-foreclosure","403 Wawona Ln,","null","4","null","$800,555","$800,555","Single Family","1992","No Data","No Data","2 spaces","9,000 sqft","null","8","8","4","null","No","null","null","$7,508"
"1572918518-1951","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/266-El-Pueblo-Pl-Clayton-CA-94517/18359056_zpid/","Clayton, CA 94517","For sale","266 El Pueblo Pl,","3,216","5","3","null","$985,900","Single Family","1989","Forced air","Central","3 spaces","7,405 sqft","$3,900/mo","8","8","10","null","Tile","null","null","$8,581"
"1572918554-1957","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/1433-Yosemite-Cir-Clayton-CA-94517/18359405_zpid/","Clayton, CA 94517","For sale","1433 Yosemite Cir,","1,751","4","2","$770,927","$769,000","Single Family","1960","Forced air","Central","2 spaces","0.28 acres","null","8","8","10","null","Composition","null","null","$4,555"
"1572918487-1944","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/1475-El-Camino-Dr-Clayton-CA-94517/18359399_zpid/","Clayton, CA 94517","For sale","1475 El Camino Dr,","1,569","3","2","$709,012","$708,000","Single Family","1957","Forced air","Central","2 spaces","10,001 sqft","$3,195/mo","8","8","10","null","Composition","null","null","$2,620"
"1572918177-1859","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/208-El-Molino-Dr-Clayton-CA-94517/18358683_zpid/","Clayton, CA 94517","For sale","208 El Molino Dr,","null","6","null","$1,423,953","$1,450,000","Single Family","1977","Forced air","Central","2 spaces","9,674 sqft","$4,987/mo","8","8","10","null","No","null","null","$9,122"
"1572918274-1890","https://www.zillow.com/homes/clayton-CA_rb/","","https://www.zillow.com/homedetails/925-Douglas-Ct-Clayton-CA-94517/18357564_zpid/","Clayton, CA 94517","Pre-foreclosure","925 Douglas Ct,","4,239","5","4.5","$1,368,354","$1,368,354","Single Family","2006","Forced air","Central, Other","5 spaces","0.56 acres","null","8","8","10","null","No","null","null","$16,620"
