web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572894338-233","https://www.zillow.com/homes/Cloverdale-CA_rb/","","https://www.zillow.com/homedetails/29-Chelsea-Cir-Cloverdale-CA-95425/119687706_zpid/","Cloverdale, CA 95425","For sale","29 Chelsea Cir,","","","852","2","2","null","$45,000","Mobile / Manufactured","1980","No Data","No Data","No Data","$53","$1,900/mo","4","3","4","null","Metal","null","null","null"
"1572894275-230","https://www.zillow.com/homes/Cloverdale-CA_rb/","","https://www.zillow.com/homedetails/1800-Oak-Hollow-Rd-Cloverdale-CA-95425/300263987_zpid/","Cloverdale, CA 95425","For sale","1800 Oak Hollow Rd,","","","2,178","3","3","$2,366,084","$2,495,000","Single Family","2002","No Data","No Data","No Data","43.89 acres","$4,750/mo","4","3","4","null","Metal","null","null","$14,068"
"1572894478-240","https://www.zillow.com/homes/Cloverdale-CA_rb/","","https://www.zillow.com/homedetails/32100-Highway-128-Cloverdale-CA-95425/300263860_zpid/","Cloverdale, CA 95425","For sale","32100 Highway 128,","","","1,500","3","2","$974,563","$999,000","Single Family","2016","Other","Central","No Data","41.21 acres","$3,000/mo","4","3","4","null","Metal","null","null","$7,446"
"1572894110-216","https://www.zillow.com/homes/Cloverdale-CA_rb/","","https://www.zillow.com/homedetails/26590-River-Rd-Cloverdale-CA-95425/15825139_zpid/","Cloverdale, CA 95425","For sale","26590 River Rd,","","","1,576","3","2","$637,434","$649,000","Single Family","1974","None","No Data","No Data","1.03 acres","$2,800/mo","4","3","4","null","Composition","null","null","$5,528"
"1572894328-232","https://www.zillow.com/homes/Cloverdale-CA_rb/","","https://www.zillow.com/homedetails/95-Mayor-Way-Cloverdale-CA-95425/15743474_zpid/","Cloverdale, CA 95425","For sale","95 Mayor Way,","","","1,152","3","1","$433,298","$439,000","Single Family","1956","None","No Data","2 spaces","5,662 sqft","$2,350/mo","4","3","4","null","Composition","null","null","$3,483"
"1572894427-238","https://www.zillow.com/homes/Cloverdale-CA_rb/","","https://www.zillow.com/homedetails/32000-Green-Rd-Cloverdale-CA-95425/15825114_zpid/","Cloverdale, CA 95425","For sale","32000 Green Rd,","","","3,600","4","3","null","$1,500,000","Single Family","1985","Forced air","Central","10 spaces","44 acres","$3,500/mo","4","3","4","null","Tile","null","null","$14,955"
"1572894237-227","https://www.zillow.com/homes/Cloverdale-CA_rb/","","https://www.zillow.com/homedetails/750-Berti-Ln-Cloverdale-CA-95425/15824267_zpid/","Cloverdale, CA 95425","For sale","750 Berti Ln,","","","1,404","4","2","$486,635","$499,000","Single Family","1962","None","No Data","No Data","0.37 acres","$2,475/mo","4","3","4","null","Composition","null","null","$628"
"1572894604-250","https://www.zillow.com/homes/Cloverdale-CA_rb/","","https://www.zillow.com/homedetails/201-Elbridge-Ave-APT-F-Cloverdale-CA-95425/15824737_zpid/","Cloverdale, CA 95425","Foreclosure","201 Elbridge Ave APT F,","","","912","2","2","$231,577","$314,900","Condo","1992","None","No Data","No Data","$345/month","$1,800/mo","4","3","4","null","No","null","null","$2,957"
"1572894302-231","https://www.zillow.com/homes/Cloverdale-CA_rb/","","https://www.zillow.com/homedetails/35100-Highway-128-Cloverdale-CA-95425/15823927_zpid/","Cloverdale, CA 95425","For sale","35100 Highway 128,","","","3,782","3","4","$1,645,937","$1,688,000","Single Family","2000","Other","Central, Solar","Attached Garage","19.18 acres","$3,100/mo","4","3","4","null","Asphalt","null","null","$10,323"
"1572894090-212","https://www.zillow.com/homes/Cloverdale-CA_rb/","","https://www.zillow.com/homedetails/593-W-2nd-St-Cloverdale-CA-95425/96065196_zpid/","Cloverdale, CA 95425","Lot/land","593 W 2nd St,","","","null","12.2 acres","null","None","$5,250,000","null","null","null","null","null","null","null","4","3","4","null","Hills","null","Elec @ Lot Line, Elec @ Street, Gas in Street","$483"
