web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,page6,page6-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920062-9953","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/3917-Hidden-Grove-Ln-Concord-CA-94519/68040020_zpid/","Concord, CA 94519","For sale","3917 Hidden Grove Ln,","2","https://www.zillow.com/concord-ca/2_p/","","","","","","","","","1,651","3","3","$544,526","$543,496","Single Family","2005","Forced air","Central","Single Family","3,850 sqft","null","9","2","6","No Data","null","null","null","null"
"1572919751-9674","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1201-Monument-Blvd-SPC-15-Concord-CA-94520/2083924523_zpid/","Concord, CA 94520","For sale","1201 Monument Blvd SPC 15,","","","","","4","https://www.zillow.com/concord-ca/4_p/","","","","","1,440","2","2","$219,068","$219,000","Mobile / Manufactured","No Data","No Data","No Data","Mobile / Manufactured","$152","$2,500/mo","3","1","4","{""targetDiv"":""gpt-ad-d4e35b6e-5d5c-4e24-97e2-8a998700fc23"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Spc 15"",""aamgnrc1"":""1201 Monument Blvd"",""bd"":""2"",""fsbid"":""14106"",""city"":""Concord"",""proptp"":""mm"",""pid"":""2083924523"",""zestibuck"":""200-249k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-4380881854268015250"",""sqftrange"":""1000-1499"",""price"":""219000"",""sqft"":""1440"",""posting_url"":"""",""mlong"":""-122.051703"",""state"":""CA"",""prange"":""200-249k"",""zip"":""94520"",""mlat"":""37.951161"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzfelhgx7aj3v1000000000.jpg"",""zusr"":""true"",""price_band"":""z200"",""hood"":""Four_Corners"",""zestimate"":""219068"",""premieragent"":""no""}}","null","null","null","null"
"1572919260-9118","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/3348-Claudia-Dr-Concord-CA-94519/18344858_zpid/","Concord, CA 94519","Pre-foreclosure","3348 Claudia Dr,","","","","","","","","","6","https://www.zillow.com/concord-ca/6_p/","null","3","null","$535,236","$535,236","Single Family","1965","Forced air","No Data","Single Family","6,600 sqft","null","NA","2","4","{""targetDiv"":""gpt-ad-ac580d80-06bb-4187-8dfd-f93ae086f04c"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3348 Claudia Dr"",""bd"":""3"",""city"":""Concord"",""proptp"":""sfh"",""pid"":""18344858"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""6285897868767021752"",""sqftrange"":""1000-1499"",""price"":""551790"",""sqft"":""1240"",""posting_url"":"""",""mlong"":""-122.029962"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94519"",""mlat"":""37.99374"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z500"",""hood"":""Olivera"",""yrblt"":""1960-1969"",""zestimate"":""551790"",""premieragent"":""no""}}","null","null","null","null"
"1572920202-10043","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/825-Oak-Grove-Rd-APT-29-Concord-CA-94518/18384993_zpid/","Concord, CA 94518","For sale","825 Oak Grove Rd APT 29,","","","","","","","","","","","922","2","2","$309,333","$355,000","Condo","1970","Forced air","Central","Condo","$369/month","null","7","1","4","{""targetDiv"":""gpt-ad-c536edec-a45b-4721-93d1-8aca7ac9b240"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 29"",""aamgnrc1"":""825 Oak Grove Rd"",""bd"":""2"",""fsbid"":""15050"",""city"":""Concord"",""proptp"":""cnd"",""pid"":""18384993"",""lot"":""1"",""zestibuck"":""300-349k"",""listtp"":""buy_agent"",""zguidh"":""-2889923957049229212"",""sqftrange"":""500-999"",""price"":""355000"",""sqft"":""922"",""posting_url"":"""",""mlong"":""-122.026091"",""state"":""CA"",""prange"":""350-399k"",""zip"":""94518"",""mlat"":""37.939037"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3fsmkcsd4p8n0000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""hood"":""Four_Corners"",""yrblt"":""1970-1979"",""zestimate"":""309333"",""premieragent"":""no""}}","null","null","null","null"
"1572919555-9451","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1424-Oakland-Ave-Concord-CA-94518/2082332504_zpid/","Concord, CA 94518","Lot/land","1424 Oakland Ave,","","","","","","","5","https://www.zillow.com/concord-ca/5_p/","","","null","7,444 sqft","null","None","$299,000","null","null","null","null","null","null","null","4","2","4","No Data","null","null","null","null"
"1572919860-9788","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1036-Oak-Grove-Rd-APT-125-Concord-CA-94518/18369257_zpid/","Concord, CA 94518","For sale","1036 Oak Grove Rd APT 125,","","","3","https://www.zillow.com/concord-ca/3_p/","","","","","","","671","1","1","$260,013","$260,000","Condo","1971","Baseboard","Wall","Condo","$370/month","null","2","1","4","No Data","null","null","null","null"
"1572919506-9398","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1845-Sandalwood-Dr-Concord-CA-94519/18347088_zpid/","Concord, CA 94519","Pre-foreclosure","1845 Sandalwood Dr,","","","","","","","5","https://www.zillow.com/concord-ca/5_p/","","","null","3","null","$530,081","$530,081","Single Family","1955","No Data","No Data","Single Family","8,050 sqft","null","9","2","6","{""targetDiv"":""gpt-ad-a2ce5d93-dc1a-4cc1-a2ca-3e8da9cda32b"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1845 Sandalwood Dr"",""bd"":""3"",""city"":""Concord"",""proptp"":""sfh"",""pid"":""18347088"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""5423633078724607773"",""sqftrange"":""1000-1499"",""price"":""546476"",""sqft"":""1216"",""posting_url"":"""",""mlong"":""-122.000979"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94519"",""mlat"":""37.984964"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISz5vhhuwyz4bn.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Clayton_Valley"",""yrblt"":""1940-1959"",""zestimate"":""546476"",""premieragent"":""no""}}","null","null","null","null"
"1572920043-9939","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1886-Farm-Bureau-Rd-Concord-CA-94519/18348888_zpid/","Concord, CA 94519","For sale","1886 Farm Bureau Rd,","2","https://www.zillow.com/concord-ca/2_p/","","","","","","","","","774","2","1","$491,999","$480,000","Single Family","1930","Forced air","Wall","Single Family","0.28 acres","$2,649/mo","4","2","6","No Data","null","null","null","null"
"1572920106-9981","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/2112-Roskelley-Dr-Concord-CA-94519/18343500_zpid/","Concord, CA 94519","For sale","2112 Roskelley Dr,","","","","","","","","","","","1,226","3","2","$617,462","$599,000","Single Family","1954","Forced air","Central","Single Family","5,998 sqft","$2,900/mo","4","2","4","{""targetDiv"":""gpt-ad-51433067-9429-437f-93b7-127f4df1fcb5"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2112 Roskelley Dr"",""bd"":""3"",""fsbid"":""14106"",""city"":""Concord"",""proptp"":""sfh"",""pid"":""18343500"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""4751495378844033599"",""sqftrange"":""1000-1499"",""price"":""599000"",""sqft"":""1226"",""posting_url"":"""",""mlong"":""-122.024198"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94519"",""mlat"":""37.987387"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS33b13z8xrblq1000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Olivera"",""yrblt"":""1940-1959"",""zestimate"":""617462"",""premieragent"":""no""}}","null","null","null","null"
"1572920113-9987","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1335-Tapestry-Ln-Concord-CA-94520/68042456_zpid/","Concord, CA 94520","For sale","1335 Tapestry Ln,","","","","","","","","","","","1,548","4","3","null","$599,000","Single Family","2005","Forced air","Central","Single Family","1,873 sqft","$2,950/mo","1","1","4","{""targetDiv"":""gpt-ad-0e57ce3f-efec-44c2-8389-f0a9f1b6d69d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1335 Tapestry Ln"",""bd"":""4"",""fsbid"":""3031"",""city"":""Concord"",""proptp"":""sfh"",""pid"":""68042456"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""3857422152541845774"",""sqftrange"":""1500-1999"",""price"":""599000"",""sqft"":""1548"",""posting_url"":""http://www.century21.com/property/1335-Tapestry-Ln-Concord-CA-94520/4119451/detail"",""mlong"":""-122.045365"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94520"",""mlat"":""37.962505"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjjmhlbvn96cq0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Four_Corners"",""yrblt"":""2000-2009"",""zestimate"":""599004"",""premieragent"":""no""}}","null","null","null","null"
