web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572918137-1846","https://www.zillow.com/homes/corte-madera-CA_rb/","","https://www.zillow.com/community/error-subdivision-name-unavailable/249342627_zpid/","Corte Madera, CA 94925","New construction","1425 Casa Buena Dr # 112,","2,087","4","4","None","$1,329,900","Townhouse","2019","Forced air","Central","Townhouse","946 acres","null","8","8","10","Forced air","Tile","null","null","null"
"1572918159-1853","https://www.zillow.com/homes/corte-madera-CA_rb/","","https://www.zillow.com/community/error-subdivision-name-unavailable/249342681_zpid/","Corte Madera, CA 94925","New construction","1425 Casa Buena Dr # 111,","2,087","4","4","None","$1,329,900","Townhouse","2019","Forced air","Central","Townhouse","957 acres","null","8","8","10","Forced air","Tile","null","null","null"
"1572918180-1860","https://www.zillow.com/homes/corte-madera-CA_rb/","","https://www.zillow.com/homedetails/430-Chapman-Dr-Corte-Madera-CA-94925/19253317_zpid/","Corte Madera, CA 94925","Pre-foreclosure / auction","430 Chapman Dr,","null","2","null","$996,202","$996,202","Single Family","1954","Other","No Data","1 space","7,520 sqft","null","8","8","10","null","No","null","null","$9,331"
"1572918327-1907","https://www.zillow.com/homes/corte-madera-CA_rb/","","https://www.zillow.com/homedetails/66-Lucky-Dr-Corte-Madera-CA-94925/19251109_zpid/","Corte Madera, CA 94925","For sale","66 Lucky Dr,","1,326","2","3","$950,084","$925,000","Condo","1973","Wall","No Data","1 space","$600/month","$4,050/mo","8","8","10","null","Composition","null","null","$11,599"
"1572918127-1845","https://www.zillow.com/homes/corte-madera-CA_rb/","","https://www.zillow.com/community/error-subdivision-name-unavailable/249342669_zpid/","Corte Madera, CA 94925","New construction","1425 Casa Buena Dr # 106,","2,087","4","4","None","$1,299,900","Townhouse","2019","Forced air","Central","Townhouse","957 acres","null","8","8","10","Forced air","Tile","null","null","null"
"1572918297-1897","https://www.zillow.com/homes/corte-madera-CA_rb/","","https://www.zillow.com/homedetails/431-Corte-Madera-Ave-Corte-Madera-CA-94925/19253419_zpid/","Corte Madera, CA 94925","Pre-foreclosure","431 Corte Madera Ave,","null","3","null","$1,149,920","$1,149,920","Single Family","1956","Other","No Data","2 spaces","6,834 sqft","null","8","8","10","null","No","null","null","$8,723"
"1572918339-1910","https://www.zillow.com/homes/corte-madera-CA_rb/","","https://www.zillow.com/homedetails/18-Tamal-Vista-Blvd-Corte-Madera-CA-94925/19252132_zpid/","Corte Madera, CA 94925","For sale","18 Tamal Vista Blvd,","1,657","3","2","null","$1,425,000","Single Family","1954","Other","Central","6 spaces","5,719 sqft","$5,500/mo","8","8","10","null","Other","null","null","$15,171"
"1572918141-1847","https://www.zillow.com/homes/corte-madera-CA_rb/","","https://www.zillow.com/community/error-subdivision-name-unavailable/249342699_zpid/","Corte Madera, CA 94925","New construction","1425 Casa Buena Dr # 105,","2,087","4","4","None","$1,299,900","Townhouse","2019","Forced air","Central","Townhouse","946 acres","null","8","8","10","Forced air","Tile","null","null","null"
"1572918147-1848","https://www.zillow.com/homes/corte-madera-CA_rb/","","https://www.zillow.com/community/error-subdivision-name-unavailable/249342622_zpid/","Corte Madera, CA 94925","New construction","1425 Casa Buena Dr # 109,","2,087","4","4","None","$1,329,900","Townhouse","2019","Forced air","Central","Townhouse","946 acres","null","8","8","10","Forced air","Tile","null","null","null"
"1572918152-1850","https://www.zillow.com/homes/corte-madera-CA_rb/","","https://www.zillow.com/community/enclave/2084236256_zpid/","Corte Madera, CA 94925","New construction","1425 Casa Buena Dr UNIT 110,","2,087","4","4","None","$1,329,900","Townhouse","2019","Forced air","Central","Townhouse","957 acres","null","8","8","10","Forced air","Tile","null","null","null"
