web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572918316-1902","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/273-Lincoln-Ave-Cotati-CA-94931/15842884_zpid/","Cotati, CA 94931","For sale","273 Lincoln Ave,","920","2","1","$335,001","$335,000","Condo","1974","None","No Data","1 space","$327/month","$2,000/mo","4","2","5","null","Composition","null","null","$2,380"
"1572918361-1914","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/287-Lincoln-Ave-Cotati-CA-94931/15842877_zpid/","Cotati, CA 94931","For sale","287 Lincoln Ave,","920","2","1","null","$359,500","Condo","1974","None","Central","1 space","$327/month","$2,000/mo","4","2","5","null","No","null","null","$3,051"
"1572918402-1925","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/420-W-Railroad-Ave-Cotati-CA-94931/15790296_zpid/","Cotati, CA 94931","For sale","420 W Railroad Ave,","1,400","3","1","null","$949,000","Single Family","1923","Forced air","None","2 spaces","2 acres","$2,900/mo","5","2","5","null","Composition","null","null","$11,472"
"1572918175-1858","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/9053-Water-Rd-Cotati-CA-94931/2083986614_zpid/","Cotati, CA 94931","Lot/land","9053 Water Rd,","null","9 acres","null","None","$399,000","null","null","null","null","null","null","$2,200/mo","4","5","null","null","Other","null","Elec @ Pole","null"
"1572918233-1877","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/9055-Old-Redwood-Hwy-Cotati-CA-94931/15790270_zpid/","Cotati, CA 94931","For sale","9055 Old Redwood Hwy,","1,434","3","1","$982,308","$983,000","Single Family","1907","Wall","No Data","Attached Garage","2.8 acres","$2,950/mo","5","2","5","null","Composition","null","null","$2,439"
"1572918246-1881","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/20-Ramble-Creek-Dr-Cotati-CA-94931/119690762_zpid/","Cotati, CA 94931","For sale","20 Ramble Creek Dr,","784","2","1","$155,817","$158,900","Mobile / Manufactured","1994","No Data","No Data","Carport, Off street","$203","$2,300/mo","4","2","5","null","Composition","null","null","null"
"1572918265-1886","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/1430-Madrone-Ave-Cotati-CA-94931/15789864_zpid/","Cotati, CA 94931","For sale","1430 Madrone Ave,","3,016","3","5","$1,649,002","$1,649,000","Single Family","1987","Other","Central","2 spaces","3 acres","$4,000/mo","4","5","null","null","Composition","null","null","$19,522"
"1572918182-1861","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/280-W-Railroad-Ave-Cotati-CA-94931/15790292_zpid/","Cotati, CA 94931","For sale","280 W Railroad Ave,","1,824","3","2","null","$1,250,000","Single Family","1977","Baseboard, Other","No Data","2 spaces","3.26 acres","$2,800/mo","5","2","5","null","Composition","null","null","$12,872"
"1572918341-1911","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/82-Creek-Ct-Cotati-CA-94931/15843222_zpid/","Cotati, CA 94931","For sale","82 Creek Ct,","650","1","1","$265,001","$265,000","Condo","1986","None","No Data","Carport","$315/month","$1,600/mo","4","2","5","null","No","null","null","$4,122"
"1572918160-1854","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/8898-Cypress-Ave-Cotati-CA-94931/96052633_zpid/","Cotati, CA 94931","Lot/land","8898 Cypress Ave,","null","0.5 acres","null","null","$199,000","null","null","null","null","null","null","null","5","2","5","null","null","null","null","$489"
"1572918275-1891","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/8190-Arthur-St-Cotati-CA-94931/15842203_zpid/","Cotati, CA 94931","For sale","8190 Arthur St,","2,638","2","1","null","$995,000","Multi Family","No Data","None","No Data","2 spaces","$377","$2,350/mo","4","2","5","null","Composition","null","null","$1,650"
"1572918168-1855","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/1177-Debbie-Hill-Rd-Cotati-CA-94931/15823892_zpid/","Cotati, CA 94931","Pre-foreclosure / auction","1177 Debbie Hill Rd,","null","--","null","$609,248","$609,248","Single Family","1975","None","No Data","No Data","2.18 acres","null","9","6","8","null","No","null","null","$1,728"
"1572918153-1851","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/597-Helman-Ln-Cotati-CA-94931/2088842035_zpid/","Cotati, CA 94931","Lot/land","597 Helman Ln,","null","8.48 acres","null","None","$1,695,000","null","null","null","null","null","null","$2,250/mo","4","5","null","null","null","null","Gas Avail, Phone Avail, Elec Avail, Internet Available","null"
"1572918383-1919","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/141-Forno-Way-Cotati-CA-94931/15842426_zpid/","Cotati, CA 94931","For sale","141 Forno Way,","1,290","3","2","$549,000","$549,000","Single Family","1991","Forced air","None","2 spaces","4,914 sqft","$2,700/mo","5","2","5","None","Shake/Shingle","null","null","$6,768"
"1572918191-1863","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/21-Greenleaf-Ln-Cotati-CA-94931/15843548_zpid/","Cotati, CA 94931","For sale","21 Greenleaf Ln,","1,665","3","3","$584,211","$589,000","Single Family","1992","None","No Data","2 spaces","4,356 sqft","$2,900/mo","4","2","5","null","No","null","null","$7,011"
"1572918204-1866","https://www.zillow.com/homes/cotati-CA_rb/","","https://www.zillow.com/homedetails/634-Mcginnis-Cir-Cotati-CA-94931/2083427060_zpid/","Cotati, CA 94931","For sale","634 Mcginnis Cir,","2,581","5","4","$954,414","$955,000","Multi Family","2001","No Data","No Data","No Data","$370","$2,500/mo","4","2","5","null","No","null","null","null"
