web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572894981-273","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/721-Stendhal-Ln-Cupertino-CA-95014/19645224_zpid/","Cupertino, CA 95014","For sale","721 Stendhal Ln,","","","2,218","4","3","$2,194,710","$2,088,000","Single Family","1961","Radiant","None","1 space","6,568 sqft","$5,042/mo","9","8","9","null","Built up","null","Public Utilities","$6,523"
"1572894897-265","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10876-Northridge-Sq-Cupertino-CA-95014/19619771_zpid/","Cupertino, CA 95014","For sale","10876 Northridge Sq,","","","1,060","2","2","$1,290,704","$1,299,000","Townhouse","1973","Forced air","Central","2 spaces","1,389 sqft","$3,500/mo","null","null","null","null","Composition","null","Public Utilities","$9,852"
"1572894821-253","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/1028-Bubb-Rd-Cupertino-CA-95014/19635923_zpid/","Cupertino, CA 95014","Pre-foreclosure","1028 Bubb Rd,","2","https://www.zillow.com/cupertino-ca/2_p/","null","4","null","$1,732,660","$1,732,660","Single Family","1963","Other","No Data","2 spaces","5,994 sqft","null","9","9","10","null","No","null","null","$12,755"
"1572895104-284","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/1052-Tuscany-Pl-Cupertino-CA-95014/19635642_zpid/","Cupertino, CA 95014","For sale","1052 Tuscany Pl,","","","1,840","4","2","null","$2,325,000","Single Family","1977","Forced air","Central","26 spaces","8,167 sqft","$5,581/mo","null","null","null","null","Shake/Shingle","null","Public Utilities","$4,099"
"1572895080-282","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10191-Santa-Clara-Ave-Cupertino-CA-95014/300480917_zpid/","Cupertino, CA 95014","Pre-foreclosure","10191 Santa Clara Ave,","","","null","-- sqft","null","null","null","null","null","null","null","null","null","null","9","9","10","null","null","null","null","$22,204"
"1572894851-259","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/22378-Salem-Ave-Cupertino-CA-95014/153299960_zpid/","Cupertino, CA 95014","For sale","22378 Salem Ave,","","","null","--","null","null","$2,998,000","Multi Family","1966","Forced air","Other","6 spaces","$919","$3,450/mo","9","9","10","null","Composition","null","Public Utilities","$12,182"
"1572895193-291","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/1670-S-Wolfe-Rd-Sunnyvale-CA-94087/19617612_zpid/","Sunnyvale, CA 94087","For sale","1670 S Wolfe Rd,","","","1,477","4","3","null","$1,490,000","Single Family","1958","Forced air","None","2 spaces","6,756 sqft","$3,600/mo","9","7","8","null","Composition","null","Public Utilities, Natural Gas","$16,543"
"1572895070-281","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/5998-Sutton-Park-Pl-Cupertino-CA-95014/19644845_zpid/","Cupertino, CA 95014","For sale","5998 Sutton Park Pl,","","","2,994","3","2","$2,567,934","$2,450,000","Single Family","1972","Forced air","Central","2 spaces","6,442 sqft","$5,902/mo","9","8","9","Central AC","Composition","null","Public Utilities","$3,547"
"1572895137-287","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10535-Gascoigne-Dr-Cupertino-CA-95014/19644448_zpid/","Cupertino, CA 95014","Pre-foreclosure","10535 Gascoigne Dr,","","","null","5","null","$2,144,063","$2,144,063","Single Family","2010","Other","No Data","2 spaces","5,459 sqft","null","null","null","null","null","No","null","null","$21,205"
"1572895033-278","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/21900-Oakview-Ln-Cupertino-CA-95014/19625753_zpid/","Cupertino, CA 95014","For sale","21900 Oakview Ln,","","","4,669","8","8","$4,540,954","$4,699,888","Single Family","2019","Forced air","Central","2 spaces","0.26 acres","$10,927/mo","9","9","10","Central AC","Tile","null","Public Utilities","$33,861"
"1572894879-264","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10802-E-Estates-Dr-Cupertino-CA-95014/19639514_zpid/","Cupertino, CA 95014","For sale","10802 E Estates Dr,","","","1,272","4","2","$1,849,730","$1,838,850","Single Family","1955","Forced air","None","2 spaces","6,507 sqft","$4,004/mo","9","9","9","null","No","null","Public Utilities","$3,143"
"1572894864-262","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/846-Shetland-Pl-Sunnyvale-CA-94087/19620309_zpid/","Sunnyvale, CA 94087","For sale","846 Shetland Pl,","","","1,828","4","2","$1,825,888","$1,825,888","Single Family","1962","Forced air","Central","2 spaces","6,756 sqft","$4,400/mo","9","8","7","null","Composition","null","Public Utilities","$15,156"
"1572894906-266","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10881-Maxine-Ave-Cupertino-CA-95014/19625017_zpid/","Cupertino, CA 95014","For sale","10881 Maxine Ave,","","","1,071","3","1","$1,818,104","$1,799,999","Single Family","1952","Forced air","Central","1 space","9,430 sqft","$3,995/mo","9","8","9","null","Composition","null","Public Utilities","$13,094"
"1572894869-263","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10280-Park-Green-Ln-UNIT-828-Cupertino-CA-95014/79844719_zpid/","Cupertino, CA 95014","For sale","10280 Park Green Ln UNIT 828,","","","2,058","4","4","null","$1,925,000","Townhouse","2006","Other","No Data","1 space","2,178 sqft","$5,095/mo","9","9","9","null","No","null","null","$15,712"
"1572894925-268","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10251-Nile-Dr-Cupertino-CA-95014/19640440_zpid/","Cupertino, CA 95014","For sale","10251 Nile Dr,","","","884","1","1","null","$848,800","Condo","1985","Radiant","None","2 spaces","$469/month","$2,900/mo","9","9","9","null","Tile","null","Public Utilities","$3,334"
"1572894958-271","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10970-Kester-Dr-Cupertino-CA-95014/19633606_zpid/","Cupertino, CA 95014","For sale","10970 Kester Dr,","","","2,119","2","2","$2,252,872","$2,195,888","Townhouse","1976","Forced air","Central","2 spaces","3,611 sqft","$5,196/mo","9","9","10","null","Tile","null","Public Utilities","$29,210"
"1572894856-260","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/22701-San-Juan-Rd-Cupertino-CA-95014/19630682_zpid/","Cupertino, CA 95014","For sale","22701 San Juan Rd,","","","2,272","4","2","$2,356,912","$2,399,000","Single Family","1935","Forced air","Central","4 spaces","10,650 sqft","$4,800/mo","9","9","10","Central AC","Composition","null","Individual Electric Meters, Public Utilities","$7,685"
"1572895011-276","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/7662-Shadowhill-Ln-Cupertino-CA-95014/19636733_zpid/","Cupertino, CA 95014","For sale","7662 Shadowhill Ln,","","","2,230","4","3","$2,053,070","$1,999,888","Single Family","1963","Forced air","Central","2 spaces","6,037 sqft","$5,300/mo","9","9","10","null","Composition","null","Public Utilities","$16,824"
"1572894832-255","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/21090-White-Fir-Ct-Cupertino-CA-95014/19634696_zpid/","Cupertino, CA 95014","For sale","21090 White Fir Ct,","","","914","2","1","$1,112,914","$1,129,000","Townhouse","1971","Forced air","None","1 space","1,620 sqft","$3,000/mo","9","9","10","null","Composition","null","Public Utilities","$3,967"
"1572894836-256","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/11801-Dorothy-Anne-Way-Cupertino-CA-95014/19637286_zpid/","Cupertino, CA 95014","Pre-foreclosure","11801 Dorothy Anne Way,","","","null","4","null","$9,684,128","$9,684,128","Single Family","1937","None","None","No Data","37.58 acres","null","9","9","10","null","Other","null","null","$161,062"
"1572894841-257","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/21528-Rosario-Ave-Cupertino-CA-95014/19633269_zpid/","Cupertino, CA 95014","For sale","21528 Rosario Ave,","","","2,248","4","3","$2,476,066","$2,550,000","Single Family","1972","Forced air","Other, None","2 spaces","7,670 sqft","$5,959/mo","9","9","10","Shower Stall(s), Tub w/Shower Over","Stucco, Wood","Tile","null","$4,049"
"1572895221-293","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10745-N-De-Anza-Blvd-UNIT-114-Cupertino-CA-95014/89459449_zpid/","Cupertino, CA 95014","For sale","10745 N De Anza Blvd UNIT 114,","","","1,178","2","2","$1,219,440","$1,188,888","Condo","2008","Forced air","Central","Attached Garage","$521/month","$3,500/mo","9","9","10","null","No","null","Individual Electric Meters, Individual Gas Meters","$8,721"
"1572895148-288","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10350-Heney-Creek-Pl-Cupertino-CA-95014/19631721_zpid/","Cupertino, CA 95014","For sale","10350 Heney Creek Pl,","","","3,242","5","4","$2,802,501","$2,799,000","Single Family","1979","Forced air","None","2 spaces","0.4 acres","$6,635/mo","9","9","10","null","Tile","null","Solar Panels - Leased","$7,736"
"1572894816-252","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/22700-San-Juan-Rd-Cupertino-CA-95014/2085917145_zpid/","Cupertino, CA 95014","Lot/land","22700 San Juan Rd,","2","https://www.zillow.com/cupertino-ca/2_p/","null","8.25 acres","null","None","$8,188,000","null","null","null","null","null","null","$3,095/mo","9","9","10","null","OtherSee all","null","null","null"
"1572894846-258","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/19503-Stevens-Creek-Blvd-SUITE-315-Cupertino-CA-95014/69302861_zpid/","Cupertino, CA 95014","For sale","19503 Stevens Creek Blvd SUITE 315,","","","1,087","2","2","$1,389,307","$1,399,000","Condo","2006","Forced air","Central","No Data","$357/month","$3,500/mo","9","8","9","null","No","null","Public Utilities","$13,880"
"1572895115-285","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10584-White-Fir-Ct-Cupertino-CA-95014/19634724_zpid/","Cupertino, CA 95014","For sale","10584 White Fir Ct,","","","914","2","2","$1,045,239","$988,000","Townhouse","1971","Forced air","Central","Carport, Off street, Detached Garage","1,546 sqft","$3,200/mo","9","9","10","null","Composition","null","Natural Gas","$9,706"
"1572895189-290","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10933-Canyon-Vista-Dr-Cupertino-CA-95014/19633603_zpid/","Cupertino, CA 95014","For sale","10933 Canyon Vista Dr,","","","2,043","2","2","$2,357,876","$2,295,000","Condo","1978","Radiant","Central","2 spaces","$800/month","$5,355/mo","9","9","10","null","No","null","Public Utilities","$4,150"
"1572895021-277","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10905-Sweet-Oak-St-Cupertino-CA-95014/19627101_zpid/","Cupertino, CA 95014","For sale","10905 Sweet Oak St,","","","1,254","3","3","$1,518,679","$1,450,000","Townhouse","1973","Forced air","No Data","2 spaces","1,624 sqft","$3,900/mo","9","8","9","null","Tile","null","Public Utilities","$2,797"
"1572894825-254","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/7632-Normandy-Way-Cupertino-CA-95014/19637758_zpid/","Cupertino, CA 95014","Pre-foreclosure","7632 Normandy Way,","","","null","3","null","$1,652,425","$1,652,425","Single Family","1960","Other","No Data","2 spaces","6,634 sqft","null","9","9","10","null","No","null","null","$2,236"
"1572894970-272","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/22322-Regnart-Rd-Cupertino-CA-95014/19638299_zpid/","Cupertino, CA 95014","For sale","22322 Regnart Rd,","","","3,415","5","3","$2,916,595","$2,980,000","Single Family","1974","Forced air","Central","3 spaces","2.73 acres","$7,007/mo","9","9","10","null","Tile","null","Propane On Site, Public Utilities","$3,987"
"1572894931-269","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10589-Culbertson-Dr-Cupertino-CA-95014/19644905_zpid/","Cupertino, CA 95014","For sale","10589 Culbertson Dr,","","","1,890","4","4","$2,816,110","$2,748,000","Single Family","2019","Forced air","Central","1 space","5,170 sqft","$3,500/mo","9","8","9","null","Tile","null","Public Utilities","$22,021"
"1572895171-289","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/21933-Woodbury-Dr-Cupertino-CA-95014/19626465_zpid/","Cupertino, CA 95014","For sale","21933 Woodbury Dr,","","","2,378","5","3","$2,373,548","$2,299,950","Single Family","1966","Forced air","Central","2 spaces","0.3 acres","$5,533/mo","9","9","10","null","Composition","null","Public Utilities","$2,759"
"1572895203-292","https://www.zillow.com/homes/Cupertino-CA_rb/","","https://www.zillow.com/homedetails/10990-Northsky-Sq-Cupertino-CA-95014/19620084_zpid/","Cupertino, CA 95014","For sale","10990 Northsky Sq,","","","1,062","1","2","null","$890,000","Condo","1973","Forced air","Central","2 spaces","$379/month","$3,000/mo","9","8","7","null","Composition","null","Public Utilities","$4,915"
