web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572900490-1420","https://www.zillow.com/homes/daly-city-CA_rb/","","https://www.zillow.com/homedetails/2411-Lupine-Ct-Daly-City-CA-94014/15626194_zpid/","Daly City, CA 94014","For sale","2411 Lupine Ct,","2","https://www.zillow.com/daly-city-ca/2_p/","","","1,200","3","2","$831,764","$789,000","Condo","1990","No Data","No Data","Condo","$318/month","$3,600/mo","4","5","null","{""targetDiv"":""gpt-ad-1f56756b-8750-4d86-8465-dbe3f406addd"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2411 Lupine Ct"",""bd"":""3"",""fsbid"":""13357"",""city"":""Daly_City"",""proptp"":""cnd"",""pid"":""15626194"",""lot"":""7"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""-8260938342874670538"",""sqftrange"":""1000-1499"",""price"":""789000"",""sqft"":""1200"",""posting_url"":""http://www.mcguire.com/property/397498952/syn/43"",""mlong"":""-122.424852"",""state"":""CA"",""prange"":""700-799k"",""zip"":""94014"",""mlat"":""37.707441"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj3yv7arh6d3c0000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""hood"":""Bayshore"",""yrblt"":""1990-1999"",""zestimate"":""831764"",""premieragent"":""no""}}","null","null","null","null"
"1572900641-1561","https://www.zillow.com/homes/daly-city-CA_rb/","","https://www.zillow.com/homedetails/45-Hyde-Ct-APT-5-Daly-City-CA-94015/15625787_zpid/","Daly City, CA 94015","For sale","45 Hyde Ct APT 5,","","","","","1,265","2","3","$825,826","$788,888","Townhouse","1982","Forced air","None","Townhouse","696 sqft","$3,500/mo","6","8","8","{""targetDiv"":""gpt-ad-46338b70-4b0f-4f19-996d-b182a3cad674"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 5"",""aamgnrc1"":""45 Hyde Ct"",""bd"":""2"",""fsbid"":""13698"",""city"":""Daly_City"",""proptp"":""twn"",""pid"":""15625787"",""lot"":""1"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""-5604978938021331154"",""sqftrange"":""1000-1499"",""price"":""788888"",""oh"":""yes"",""sqft"":""1265"",""posting_url"":""http://www.davidlobato.com"",""mlong"":""-122.452797"",""state"":""CA"",""prange"":""700-799k"",""zip"":""94015"",""mlat"":""37.652992"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7u2g3yme73ia0000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""hood"":""Serramonte"",""yrblt"":""1980-1989"",""zestimate"":""825826"",""premieragent"":""no""}}","null","null","null","null"
"1572900636-1555","https://www.zillow.com/homes/daly-city-CA_rb/","","https://www.zillow.com/homedetails/377-Mandarin-Dr-APT-303-Daly-City-CA-94015/2082220130_zpid/","Daly City, CA 94015","For sale","377 Mandarin Dr APT 303,","","","","","717","1","1","$533,176","$499,000","Condo","1974","Electric","None","Condo","$379/month","null","7","6","8","{""targetDiv"":""gpt-ad-aca56f1b-7dd3-4e27-96e2-0ba4f489845d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 303"",""aamgnrc1"":""377 Mandarin Dr"",""bd"":""1"",""fsbid"":""13698"",""city"":""Daly_City"",""proptp"":""cnd"",""pid"":""2082220130"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""6561146229010080971"",""sqftrange"":""500-999"",""price"":""499000"",""sqft"":""717"",""posting_url"":"""",""mlong"":""-122.46206"",""state"":""CA"",""prange"":""450-499k"",""zip"":""94015"",""mlat"":""37.664526"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjb0fe0wet4q91000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Serramonte"",""yrblt"":""1970-1979"",""zestimate"":""533176"",""premieragent"":""no""}}","null","null","null","null"
"1572900569-1484","https://www.zillow.com/homes/daly-city-CA_rb/","","https://www.zillow.com/homedetails/211-Oakridge-Dr-Daly-City-CA-94014/15604642_zpid/","Daly City, CA 94014","For sale","211 Oakridge Dr,","","","","","1,580","3","3","$1,079,845","$899,999","Single Family","1965","Forced air","None","Single Family","4,578 sqft","$3,600/mo","7","7","5","{""targetDiv"":""gpt-ad-10ed23ed-4060-4c85-8ef7-b4bf988fe942"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""211 Oakridge Dr"",""bd"":""3"",""fsbid"":""15050"",""city"":""Daly_City"",""proptp"":""sfh"",""pid"":""15604642"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-4410384738364331644"",""sqftrange"":""1500-1999"",""price"":""899999"",""sqft"":""1580"",""posting_url"":""http://teamolga.com"",""mlong"":""-122.428639"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94014"",""mlat"":""37.704718"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbdwqv6khjusc0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Southern_Hills"",""yrblt"":""1960-1969"",""zestimate"":""1079845"",""premieragent"":""no""}}","null","null","null","null"
"1572900408-1357","https://www.zillow.com/homes/daly-city-CA_rb/","","https://www.zillow.com/homedetails/675-Skyline-Dr-Daly-City-CA-94015/15471535_zpid/","Daly City, CA 94015","Pre-foreclosure","675 Skyline Dr,","2","https://www.zillow.com/daly-city-ca/2_p/","","","null","3","null","$702,308","$702,308","Single Family","1958","Other","No Data","Single Family","3,267 sqft","null","4","5","null","{""targetDiv"":""gpt-ad-ab82132c-9235-4a0b-833e-a7f965b8bc63"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""675 Skyline Dr"",""bd"":""3"",""city"":""Daly_City"",""proptp"":""sfh"",""pid"":""15471535"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_foreclosure"",""zguidh"":""-6712413944591341477"",""sqftrange"":""1000-1499"",""price"":""949066"",""sqft"":""1150"",""posting_url"":"""",""mlong"":""-122.490399"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94015"",""mlat"":""37.676397"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z900"",""hood"":""Skyline"",""yrblt"":""1940-1959"",""zestimate"":""949066"",""premieragent"":""no""}}","null","null","null","null"
"1572900377-1339","https://www.zillow.com/homes/daly-city-CA_rb/","","https://www.zillow.com/community/overlook/2083345108_zpid/","Daly City, CA 94014","New construction","Lot #0067, The Overlook,","","","3","https://www.zillow.com/daly-city-ca/3_p/","2,853","4","4","None","$1,546,995","Single Family","2019","No Data","No Data","Single Family","No Data","null","4","5","null","{""targetDiv"":""gpt-ad-e187426e-205c-4bee-84e7-6eced4abf44e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" SJE36I"",""aamgnrc1"":""1 Martin St"",""bd"":""4"",""fsbid"":""830"",""city"":""Daly_City"",""proptp"":""sfh"",""pid"":""2083625888"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2500-2999"",""price"":""1546995"",""sqft"":""2853"",""posting_url"":""https://www.tollbrothers.com/luxury-homes-for-sale/California/The-Overlook/Nouveau?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=576622&nhf_listing_type=plan&utm_term=plan_Nouveau&utm_campaign=Daly+City%2FCA"",""state"":""CA"",""mlong"":""-122.413499"",""cnty"":""San_Mateo"",""prange"":""1_5-1_999m"",""zip"":""94014"",""mlat"":""37.700511"",""plid"":""26741818"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISifzowdw7isrc1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Bayshore"",""yrblt"":""2010-2019"",""zestimate"":""1545260"",""premieragent"":""no"",""builderChatId"":""830-819355"",""dma"":""37""}}","null","null","null","null"
"1572900423-1366","https://www.zillow.com/homes/daly-city-CA_rb/","","https://www.zillow.com/homedetails/450-Accacia-St-Daly-City-CA-94014/54887995_zpid/","Daly City, CA 94014","Pre-foreclosure","450 Accacia St,","2","https://www.zillow.com/daly-city-ca/2_p/","","","null","4","null","$970,516","$970,516","Single Family","2001","Other","No Data","Single Family","3,659 sqft","null","4","5","null","{""targetDiv"":""gpt-ad-a9d71772-2391-4b8f-8124-3941ebc2fb02"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""450 Accacia St"",""bd"":""4"",""city"":""Daly_City"",""proptp"":""sfh"",""pid"":""54887995"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""2421783816378433153"",""sqftrange"":""2000-2499"",""price"":""1311509"",""sqft"":""2040"",""posting_url"":"""",""mlong"":""-122.418037"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94014"",""mlat"":""37.700508"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Bayshore"",""yrblt"":""2000-2009"",""zestimate"":""1311509"",""premieragent"":""no""}}","null","null","null","null"
"1572900503-1431","https://www.zillow.com/homes/daly-city-CA_rb/","","https://www.zillow.com/homedetails/375-Mandarin-Dr-APT-104-Daly-City-CA-94015/2082562309_zpid/","Daly City, CA 94015","For sale","375 Mandarin Dr APT 104,","","","","","717","1","1","$535,542","$499,000","Condo","1974","Electric","None","Condo","$380/month","$2,493/mo","7","6","8","{""targetDiv"":""gpt-ad-aee2d577-87db-4306-9247-edb4fc059e39"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 104"",""aamgnrc1"":""375 Mandarin Dr"",""bd"":""1"",""fsbid"":""15050"",""city"":""Daly_City"",""proptp"":""cnd"",""pid"":""2082562309"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-6532796095054377549"",""sqftrange"":""500-999"",""price"":""499000"",""sqft"":""717"",""posting_url"":""http://www.abayarearealtor.com"",""mlong"":""-122.462079"",""state"":""CA"",""prange"":""450-499k"",""zip"":""94015"",""mlat"":""37.664553"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnexpsriw149e1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Serramonte"",""yrblt"":""1970-1979"",""zestimate"":""535542"",""premieragent"":""no""}}","null","null","null","null"
"1572900447-1383","https://www.zillow.com/homes/daly-city-CA_rb/","","https://www.zillow.com/homedetails/502-Midway-Ave-Daly-City-CA-94015/15465989_zpid/","Daly City, CA 94015","Pre-foreclosure","502 Midway Ave,","2","https://www.zillow.com/daly-city-ca/2_p/","","","null","4","null","$937,989","$937,989","Single Family","1947","No Data","No Data","Single Family","6,098 sqft","null","3","6","5","{""targetDiv"":""gpt-ad-f850f0e4-c6d8-488f-b205-19676babdc0f"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""502 Midway Ave"",""bd"":""4"",""city"":""Daly_City"",""proptp"":""sfh"",""pid"":""15465989"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""-2751269444091844237"",""sqftrange"":""2000-2499"",""price"":""1267553"",""sqft"":""2350"",""posting_url"":"""",""mlong"":""-122.478592"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94015"",""mlat"":""37.692385"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Broadmoor"",""yrblt"":""1940-1959"",""zestimate"":""1267553"",""premieragent"":""no""}}","null","null","null","null"
"1572900744-1682","https://www.zillow.com/homes/daly-city-CA_rb/","","https://www.zillow.com/homedetails/1025-Ocean-View-Ave-Daly-City-CA-94014/240240360_zpid/","Daly City, CA 94014","For sale","1025 Ocean View Ave,","","","","","2,781","4","4","$1,399,557","$1,388,000","Single Family","2017","Forced air","No Data","Single Family","1,589 sqft","$5,295/mo","4","4","5","{""targetDiv"":""gpt-ad-fa422f13-01a1-42f7-8aae-c4b2dd6f6f36"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1025 Ocean View Ave"",""bd"":""4"",""fsbid"":""13698"",""city"":""Daly_City"",""proptp"":""sfh"",""pid"":""240240360"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""5367290735675898671"",""sqftrange"":""2500-2999"",""price"":""1388000"",""sqft"":""2781"",""posting_url"":""http://www.canasrealty.com"",""mlong"":""-122.45941"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94014"",""mlat"":""37.703094"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjje70ec831oq0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Crocker"",""yrblt"":""2010-2019"",""zestimate"":""1399557"",""premieragent"":""no""}}","null","null","null","null"
