web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572919607-9514","https://www.zillow.com/homes/danville-CA_rb/","","https://www.zillow.com/homedetails/408-Everett-Dr-Danville-CA-94526/18437992_zpid/","Danville, CA 94526","For sale","408 Everett Dr,","","","","","","","","","1,689","4","2","$1,166,364","$1,199,500","Single Family","1964","Forced air","Central","Single Family","0.35 acres","null","9","9","10","{""targetDiv"":""gpt-ad-dbd1a58b-c32a-4e20-90a5-839af217073e"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""408 Everett Dr"",""bd"":""4"",""fsbid"":""14106"",""city"":""Danville"",""proptp"":""sfh"",""pid"":""18437992"",""lot"":""3"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""-3590802595478330336"",""sqftrange"":""1500-1999"",""price"":""1199500"",""sqft"":""1689"",""posting_url"":""http://www.tracypisenti.com"",""mlong"":""-121.986977"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94526"",""mlat"":""37.810984"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrha1ygvsvpab1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1960-1969"",""zestimate"":""1206514"",""premieragent"":""no""}}","null","null","null","null"
"1572918965-8789","https://www.zillow.com/homes/danville-CA_rb/","","https://www.zillow.com/homedetails/15-Campbell-Pl-Danville-CA-94526/18434146_zpid/","Danville, CA 94526","For sale","15 Campbell Pl,","","","3","https://www.zillow.com/danville-ca/3_p/","","","","","3,613","5","4","$1,710,004","$1,710,000","Single Family","1999","Forced air","Central","Single Family","0.35 acres","$5,895/mo","9","9","10","{""targetDiv"":""gpt-ad-e5e17531-bb26-4340-8db7-495bc6a002c7"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""15 Campbell Pl"",""bd"":""5"",""fsbid"":""16701"",""city"":""Danville"",""proptp"":""sfh"",""pid"":""18434146"",""lot"":""3"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-7396364347410809728"",""sqftrange"":""3500-3999"",""price"":""1710000"",""sqft"":""3613"",""posting_url"":"""",""mlong"":""-121.959859"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94526"",""mlat"":""37.816775"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvw0nxe6457oj1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1990-1999"",""zestimate"":""1710004"",""premieragent"":""no""}}","null","null","null","null"
"1572918954-8778","https://www.zillow.com/homes/danville-CA_rb/","","https://www.zillow.com/homedetails/841-El-Pintado-Rd-Danville-CA-94526/18430395_zpid/","Danville, CA 94526","For sale","841 El Pintado Rd,","","","3","https://www.zillow.com/danville-ca/3_p/","","","","","2,554","6","3","null","$1,625,000","Single Family","1963","No Data","No Data","Single Family","1.42 acres","null","8","10","10","{""targetDiv"":""gpt-ad-1062785b-b172-44c5-9606-20b26e1fb84b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""841 El Pintado Rd"",""bd"":""6"",""fsbid"":""6038"",""city"":""Danville"",""proptp"":""sfh"",""pid"":""18430395"",""lot"":""6"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-4281308600540373070"",""sqftrange"":""2500-2999"",""price"":""1625000"",""sqft"":""2554"",""posting_url"":""http://www.bhgre.com/listingdetail/BHGTQWSTE/"",""mlong"":""-122.005285"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94526"",""mlat"":""37.84149"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzf2wxejhegzu1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1960-1969"",""zestimate"":""1560425"",""premieragent"":""no""}}","null","null","null","null"
"1572919261-9122","https://www.zillow.com/homes/danville-CA_rb/","","https://www.zillow.com/homedetails/3556-Deer-Crest-Dr-Danville-CA-94506/18460962_zpid/","Danville, CA 94506","For sale","3556 Deer Crest Dr,","2","https://www.zillow.com/danville-ca/2_p/","","","","","","","3,635","4","3","$1,532,993","$1,499,888","Single Family","1989","Forced air","Central","Single Family","7,261 sqft","$5,200/mo","10","9","10","{""targetDiv"":""gpt-ad-98d70923-9e99-49a4-b297-e6ab2fdf96bb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3556 Deer Crest Dr"",""bd"":""4"",""fsbid"":""14106"",""city"":""Danville"",""proptp"":""sfh"",""pid"":""18460962"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-9135290068209373523"",""sqftrange"":""3500-3999"",""price"":""1499888"",""oh"":""yes"",""sqft"":""3635"",""posting_url"":""http://www.stpehenkingrealestate.com"",""mlong"":""-121.882589"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94506"",""mlat"":""37.808185"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjjyu3ceq0oor1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1980-1989"",""zestimate"":""1532993"",""premieragent"":""no""}}","null","null","null","null"
"1572919166-9015","https://www.zillow.com/homes/danville-CA_rb/","","https://www.zillow.com/homedetails/117-Angora-Ct-Danville-CA-94506/95403803_zpid/","Danville, CA 94506","For sale","117 Angora Ct,","2","https://www.zillow.com/danville-ca/2_p/","","","","","","","2,827","4","3","$1,423,901","$1,423,900","Single Family","2009","Forced air","Central","Single Family","6,808 sqft","$3,550/mo","9","9","10","{""targetDiv"":""gpt-ad-44366d7f-9325-4c31-8613-a8bcb0058aef"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""117 Angora Ct"",""bd"":""4"",""fsbid"":""14311"",""city"":""Danville"",""proptp"":""sfh"",""pid"":""95403803"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-2579267984460704057"",""sqftrange"":""2500-2999"",""price"":""1423900"",""oh"":""yes"",""sqft"":""2827"",""posting_url"":""http://www.JustCallPeter.com"",""mlong"":""-121.878834"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94506"",""mlat"":""37.797694"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjfnnbzh12i6w0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1423901"",""premieragent"":""no""}}","null","null","null","null"
"1572919026-8861","https://www.zillow.com/homes/danville-CA_rb/","","https://www.zillow.com/homedetails/5-Edinburgh-Pl-Danville-CA-94526/18433872_zpid/","Danville, CA 94526","For sale","5 Edinburgh Pl,","","","3","https://www.zillow.com/danville-ca/3_p/","","","","","3,020","4","3","$1,937,325","$1,987,000","Single Family","1995","Forced air","Central","Single Family","0.31 acres","$6,250/mo","null","null","null","{""targetDiv"":""gpt-ad-d61a3003-5517-4a67-a090-4d3be2c5a61b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5 Edinburgh Pl"",""bd"":""4"",""fsbid"":""14311"",""city"":""Danville"",""proptp"":""sfh"",""pid"":""18433872"",""lot"":""3"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""6138798521451409781"",""sqftrange"":""3000-3499"",""price"":""1987000"",""sqft"":""3020"",""posting_url"":"""",""mlong"":""-121.968482"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94526"",""mlat"":""37.82058"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrdbzdbur06tn1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1990-1999"",""zestimate"":""1937325"",""premieragent"":""no""}}","null","null","null","null"
"1572919612-9523","https://www.zillow.com/homes/danville-CA_rb/","","https://www.zillow.com/community/preserve-foothills/2083403541_zpid/","San Ramon, CA 94583","New construction","Buildable plan: Residence Three, The Preserve   Foothills,","","","","","","","","","2,658","4","3","$1,203,021","$1,259,880","Single Family","2019","No Data","No Data","Single Family","No Data","null","8","9","10","{""targetDiv"":""gpt-ad-f54ea581-dc91-4dc3-95a0-04955d38bd4e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" IFPCAD"",""aamgnrc1"":""838 Via Palermo"",""bd"":""4"",""fsbid"":""11527"",""city"":""San_Ramon"",""proptp"":""sfh"",""pid"":""2083403541"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2500-2999"",""price"":""1259880"",""sqft"":""2658"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/san-ramon/the-preserve/foothills?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_the-preserve-foothills"",""state"":""CA"",""mlong"":""-121.989"",""cnty"":""Contra_Costa"",""prange"":""1-1_499m"",""zip"":""94583"",""mlat"":""37.783"",""plid"":""11320527"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS2fozfevzj8km1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1203021"",""premieragent"":""no"",""builderChatId"":""11527-815772"",""dma"":""37""}}","null","null","null","null"
"1572918904-8743","https://www.zillow.com/homes/danville-CA_rb/","","https://www.zillow.com/homedetails/903-Redwood-Dr-Danville-CA-94506/18435576_zpid/","Danville, CA 94506","Pre-foreclosure","903 Redwood Dr,","","","3","https://www.zillow.com/danville-ca/3_p/","","","","","null","3","null","$1,217,317","$1,217,317","Miscellaneous","1986","Forced air","Central","Miscellaneous","null","null","10","9","10","{""targetDiv"":""gpt-ad-6a9d4732-a440-46ce-97f6-2eb36941fb43"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94506"",""aamgnrc1"":""903 Redwood Dr"",""mlat"":""37.819617"",""bd"":""3"",""z_listing_image_url"":"""",""zusr"":""true"",""city"":""Danville"",""pid"":""18435576"",""price_band"":""z1m"",""yrblt"":""1980-1989"",""zestimate"":""1254966"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""5028747560684825977"",""premieragent"":""no"",""sqftrange"":""2500-2999"",""price"":""70000"",""sqft"":""2815"",""posting_url"":"""",""mlong"":""-121.912555"",""state"":""CA"",""park"":""yes"",""prange"":""0-100k""}}","null","null","null","null"
"1572919598-9505","https://www.zillow.com/homes/danville-CA_rb/","","https://www.zillow.com/community/preserve-meadows/2083403544_zpid/","San Ramon, CA 94583","New construction","Buildable plan: Residence Two, The Preserve   Meadows,","","","","","","","","","2,343","3","3","$1,105,812","$1,105,880","Single Family","2019","No Data","No Data","Single Family","No Data","null","8","9","10","{""targetDiv"":""gpt-ad-562bfc35-9326-4741-940c-d049ea810117"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" X24ITD"",""aamgnrc1"":""1518 Umbria Ct"",""bd"":""3"",""fsbid"":""11527"",""city"":""San_Ramon"",""proptp"":""sfh"",""pid"":""2083403544"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""1105880"",""sqft"":""2343"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/san-ramon/the-preserve/meadows?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_the-preserve-meadows"",""state"":""CA"",""mlong"":""-121.99"",""cnty"":""Contra_Costa"",""prange"":""1-1_499m"",""zip"":""94583"",""mlat"":""37.7816"",""plid"":""11320528"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISewhzwuibvgkm1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1105812"",""premieragent"":""no"",""builderChatId"":""11527-815770"",""dma"":""37""}}","null","null","null","null"
"1572919756-9681","https://www.zillow.com/homes/danville-CA_rb/","","https://www.zillow.com/homedetails/51-Antelope-Ct-Danville-CA-94506/18436024_zpid/","Danville, CA 94506","For sale","51 Antelope Ct,","","","","","","","","","1,395","3","2","$830,435","$870,000","Single Family","1998","Forced air","Central","Single Family","5,619 sqft","$3,200/mo","10","9","10","{""targetDiv"":""gpt-ad-01d96fce-42e4-4134-93fc-47ac15147617"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""51 Antelope Ct"",""bd"":""3"",""fsbid"":""14311"",""city"":""Danville"",""proptp"":""sfh"",""pid"":""18436024"",""lot"":""2"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""4580248868892291320"",""sqftrange"":""1000-1499"",""price"":""870000"",""oh"":""yes"",""sqft"":""1395"",""posting_url"":""http://atousaniksearcheastbayrealestate.com"",""mlong"":""-121.903412"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94506"",""mlat"":""37.796637"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3vchm3qvqf340000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1990-1999"",""zestimate"":""830435"",""premieragent"":""no""}}","null","null","null","null"
