web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572907319-1187","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/3612-Finnian-Way-Dublin-CA-94568/68027260_zpid/","Dublin, CA 94568","For sale","3612 Finnian Way,","2","https://www.zillow.com/dublin-ca/2_p/","","","","","1,428","2","3","$690,952","$699,000","Townhouse","2004","Forced air","Central","2 spaces","No Data","$2,950/mo","9","6","10","null","Tile","null","null","$6,946"
"1572908032-1397","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/community/apex-in-dublin/2088647905_zpid/","Dublin, CA 94568","New construction","Buildable plan: Residence 2, Apex in Dublin,","","","","","","","1,879","4","3.5","$874,988","$886,000","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","9","9","10","{""targetDiv"":""gpt-ad-56fddc86-e93b-42fb-9bf9-a4bf3e33dc23"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 3DDXK2"",""aamgnrc1"":""3963 Summit Rd"",""bd"":""4"",""fsbid"":""12949"",""city"":""Dublin"",""proptp"":""twn"",""pid"":""2088647905"",""zestibuck"":""800-899k"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""1500-1999"",""price"":""886000"",""sqft"":""1879"",""posting_url"":""https://www.taylormorrison.com/ca/bay-area/dublin/apex?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=39578&nhf_listing_type=community&utm_term=comm_ApexinDublin&utm_campaign=Dublin%2FCA"",""state"":""CA"",""mlong"":""-121.865531"",""cnty"":""Alameda"",""prange"":""800-899k"",""zip"":""94568"",""mlat"":""37.704217"",""plid"":""4218709"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnq2273bwde0y0000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2010-2019"",""zestimate"":""874988"",""premieragent"":""no"",""builderChatId"":""12949-812697"",""dma"":""37""}}","Yes","null","null","null"
"1572903784-692","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/community/knolls-at-tassajara-hills/2093636782_zpid/","Dublin, CA 94568","New construction","Lot #0013, The Knolls at Tassajara Hills,","","","","","4","https://www.zillow.com/dublin-ca/4_p/","4,266","5","5.5","None","$1,695,995","Single Family","2019","No Data","No Data","Single Family","No Data","null","10","9","10","{""targetDiv"":""gpt-ad-55f20e9a-ee6c-4c9a-b818-76b3cf95c02d"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" I4ZJ4B"",""aamgnrc1"":""7383 Colton Hills Dr"",""bd"":""5"",""fsbid"":""830"",""city"":""Dublin"",""proptp"":""sfh"",""pid"":""2093636786"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""4000-4499"",""price"":""1695995"",""sqft"":""4266"",""posting_url"":""https://www.tollbrothers.com/luxury-homes-for-sale/California/The-Knolls-at-Tassajara-Hills/Somerset"",""state"":""CA"",""mlong"":""-121.86763"",""cnty"":""Santa_Clara"",""prange"":""1_5-1_999m"",""zip"":""94568"",""mlat"":""37.736712"",""plid"":""35534"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISq5lx0l65rhfi1000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""830-808779"",""dma"":""37""}}","Yes","null","null","null"
"1572908626-1560","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/2823-E-Sugar-Hill-Ter-Dublin-CA-94568/64965207_zpid/","Dublin, CA 94568","For sale","2823 E Sugar Hill Ter,","","","","","","","5,205","5","6","$1,810,722","$1,788,000","Single Family","2004","Forced air","Central","3 spaces","8,285 sqft","$5,393/mo","10","NA","10","null","Tile","null","null","$21,575"
"1572907408-1204","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/2797-E-Sugar-Hill-Ter-Dublin-CA-94568/64965205_zpid/","Dublin, CA 94568","For sale","2797 E Sugar Hill Ter,","2","https://www.zillow.com/dublin-ca/2_p/","","","","","5,277","6","6","$1,773,013","$1,780,000","Single Family","2004","Forced air","Central","Attached Garage","7,805 sqft","$5,256/mo","10","NA","10","Forced Air, Natural Gas, Zoned","Stucco","Tile","Water Connected, Sewer Connected","$14,972"
"1572904117-779","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/3459-Vertex-Way-Dublin-CA-94568/2083229219_zpid/","Dublin, CA 94568","New construction","3459 Vertex Way,","","","","","4","https://www.zillow.com/dublin-ca/4_p/","1,766","3","4","$887,460","$887,449","Townhouse","2019","Forced air","Central","Townhouse","No Data","null","9","9","10","Forced air","Composition","null","null","null"
"1572907631-1265","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/7254-Mount-Veeder-Rd-Dublin-CA-94568/241576480_zpid/","Dublin, CA 94568","For sale","7254 Mount Veeder Rd,","2","https://www.zillow.com/dublin-ca/2_p/","","","","","3,180","4","5","$1,248,391","$1,249,999","Single Family","2018","Forced air","Central","Attached Garage","2,975 sqft","null","9","6","10","null","Other","null","null","$5,783"
"1572904499-920","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/community/boulevard-downing/2083235827_zpid/","Dublin, CA 94568","New construction","Buildable plan: Residence Four, Boulevard   Downing,","","","3","https://www.zillow.com/dublin-ca/3_p/","","","2,492","4","3","$912,318","$914,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","6","10","{""targetDiv"":""gpt-ad-9bcc440a-de36-43e7-bc2a-162b22a8bf83"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 2K4AWH"",""aamgnrc1"":""5750 Greige Cir"",""bd"":""4"",""fsbid"":""11527"",""city"":""Dublin"",""proptp"":""twn"",""pid"":""2083235827"",""zestibuck"":""900-999k"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""2000-2499"",""price"":""914880"",""sqft"":""2492"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/dublin/boulevard/downing?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_boulevard-downing"",""state"":""CA"",""mlong"":""-121.895"",""cnty"":""Alameda"",""prange"":""900-999k"",""zip"":""94568"",""mlat"":""37.7102"",""plid"":""28734720"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn2g8awnnfns80000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""2010-2019"",""zestimate"":""912318"",""premieragent"":""no"",""builderChatId"":""11527-823972"",""dma"":""37""}}","Yes","null","null","null"
"1572907587-1253","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/7599-Ironwood-Dr-Dublin-CA-94568/25063417_zpid/","Dublin, CA 94568","For sale","7599 Ironwood Dr,","2","https://www.zillow.com/dublin-ca/2_p/","","","","","1,116","3","2","$818,233","$815,000","Single Family","1960","Forced air","No Data","Attached Garage","7,039 sqft","$3,100/mo","8","6","10","null","Composition","null","null","$3,700"
"1572904251-831","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/community/knolls-at-tassajara-hills/2089486954_zpid/","Dublin, CA 94568","New construction","Lot #0254, The Knolls at Tassajara Hills,","","","","","4","https://www.zillow.com/dublin-ca/4_p/","3,658","5","6","None","$1,629,995","Single Family","2019","No Data","No Data","Single Family","No Data","null","10","9","10","{""targetDiv"":""gpt-ad-82410ac3-e9ee-43a1-a8ea-c95c0f30ac8e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" HSHOG1"",""aamgnrc1"":""7383 Colton Hills Dr"",""bd"":""5"",""fsbid"":""830"",""city"":""Dublin"",""proptp"":""sfh"",""pid"":""2093636785"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""3500-3999"",""price"":""1629995"",""sqft"":""3658"",""posting_url"":""https://www.tollbrothers.com/luxury-homes-for-sale/California/The-Knolls-at-Tassajara-Hills/Sherwood"",""state"":""CA"",""mlong"":""-121.86763"",""cnty"":""Alameda"",""prange"":""1_5-1_999m"",""zip"":""94568"",""mlat"":""37.736712"",""plid"":""35534"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISy74kbcdfa72y0000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""830-808779"",""dma"":""37""}}","Yes","null","null","null"
