web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572896593-274","https://www.zillow.com/homes/east-palo-alto-ca_rb/","","https://www.zillow.com/homedetails/147-Verbena-Dr-East-Palo-Alto-CA-94303/15588048_zpid/","East Palo Alto, CA 94303","For sale","147 Verbena Dr,","","","1,110","3","1","$1,000,833","$999,999","Single Family","1950","Gas","None","Single Family","5,100 sqft","$3,844/mo","2","2","8","{""targetDiv"":""gpt-ad-3ed8a1e2-a5e3-4441-bfc5-5a0dde0a1d6c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""147 Verbena Dr"",""bd"":""3"",""fsbid"":""13698"",""city"":""East_Palo_Alto"",""proptp"":""sfh"",""pid"":""15588048"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-7229070668713396607"",""sqftrange"":""1000-1499"",""price"":""999999"",""sqft"":""1110"",""posting_url"":""http://www.reali.com"",""mlong"":""-122.128845"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94303"",""mlat"":""37.454687"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrtfp9uoqk0a00000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1000833"",""premieragent"":""no""}}","null","null","null","null"
"1572896539-256","https://www.zillow.com/homes/east-palo-alto-ca_rb/","","https://www.zillow.com/homedetails/2120-Addison-Ave-East-Palo-Alto-CA-94303/15585494_zpid/","East Palo Alto, CA 94303","For sale","2120 Addison Ave,","","","1,070","3","2","$895,541","$889,000","Single Family","1922","Forced air","None","Single Family","5,000 sqft","$3,800/mo","2","2","8","{""targetDiv"":""gpt-ad-90703230-d63c-4698-abd6-09a8b552be5b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2120 Addison Ave"",""bd"":""3"",""fsbid"":""16701"",""city"":""East_Palo_Alto"",""proptp"":""sfh"",""pid"":""15585494"",""lot"":""1"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-8216641764077902950"",""sqftrange"":""1000-1499"",""price"":""889000"",""sqft"":""1070"",""posting_url"":""http://www.casasyloans.com"",""mlong"":""-122.148194"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94303"",""mlat"":""37.465642"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS72hw72jq3df40000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1920-1939"",""zestimate"":""895541"",""premieragent"":""no""}}","null","null","null","null"
"1572896608-280","https://www.zillow.com/homes/east-palo-alto-ca_rb/","","https://www.zillow.com/homedetails/2735-Fordham-St-East-Palo-Alto-CA-94303/15584792_zpid/","East Palo Alto, CA 94303","For sale","2735 Fordham St,","","","1,312","4","3","$1,023,170","$995,000","Single Family","1953","Other","None","Single Family","5,998 sqft","$4,500/mo","2","8","null","{""targetDiv"":""gpt-ad-a277b7c3-ea58-4904-9d96-cfc36934b5ea"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2735 Fordham St"",""bd"":""4"",""fsbid"":""14311"",""city"":""East_Palo_Alto"",""proptp"":""sfh"",""pid"":""15584792"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-1057548944645935597"",""sqftrange"":""1000-1499"",""price"":""995000"",""sqft"":""1312"",""posting_url"":""http://www.remaxredwoodcity.com"",""mlong"":""-122.13662"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94303"",""mlat"":""37.479177"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnyk5g1di715e1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1023170"",""premieragent"":""no""}}","null","null","null","null"
"1572896584-271","https://www.zillow.com/homes/east-palo-alto-ca_rb/","","https://www.zillow.com/homedetails/632-Montage-Cir-East-Palo-Alto-CA-94303/181454956_zpid/","East Palo Alto, CA 94303","For sale","632 Montage Cir,","","","2,258","4","3","$1,471,552","$1,448,000","Single Family","2015","Forced air","Central","Single Family","2,552 sqft","$4,900/mo","2","8","null","{""targetDiv"":""gpt-ad-3efae34d-d028-49c3-97cc-01ba0ba3be11"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""632 Montage Cir"",""bd"":""4"",""fsbid"":""13698"",""city"":""East_Palo_Alto"",""proptp"":""sfh"",""pid"":""181454956"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-8319002062295382646"",""sqftrange"":""2000-2499"",""price"":""1448000"",""sqft"":""2258"",""posting_url"":""http://www.QuestRealEstate.com"",""mlong"":""-122.132197"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94303"",""mlat"":""37.472029"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7emc149daoxj0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1471552"",""premieragent"":""no""}}","null","null","null","null"
"1572896626-285","https://www.zillow.com/homes/east-palo-alto-ca_rb/","","https://www.zillow.com/homedetails/2543-Emmett-Way-East-Palo-Alto-CA-94303/15585042_zpid/","East Palo Alto, CA 94303","For sale","2543 Emmett Way,","","","1,100","3","2","$893,436","$890,000","Single Family","1956","Forced air","None","Single Family","5,000 sqft","$3,850/mo","2","8","null","{""targetDiv"":""gpt-ad-ff424977-7f05-4e87-bd94-77aae8417c35"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2543 Emmett Way"",""bd"":""3"",""fsbid"":""13698"",""city"":""East_Palo_Alto"",""proptp"":""sfh"",""pid"":""15585042"",""lot"":""1"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""5482238276675306333"",""sqftrange"":""1000-1499"",""price"":""890000"",""sqft"":""1100"",""posting_url"":""http://www.prietointernational.com"",""mlong"":""-122.14037"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94303"",""mlat"":""37.474349"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3bxb0476afk61000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1940-1959"",""zestimate"":""893436"",""premieragent"":""no""}}","null","null","null","null"
"1572896548-259","https://www.zillow.com/homes/east-palo-alto-ca_rb/","","https://www.zillow.com/homedetails/2272-University-Ave-East-Palo-Alto-CA-94303/15586398_zpid/","East Palo Alto, CA 94303","For sale","2272 University Ave,","","","1,430","3","2","$1,190,311","$1,198,000","Single Family","1946","No Data","Other","Single Family","7,000 sqft","$4,200/mo","2","2","8","No Data","null","null","null","null"
"1572896577-269","https://www.zillow.com/homes/east-palo-alto-ca_rb/","","https://www.zillow.com/homedetails/1933-Pulgas-Ave-East-Palo-Alto-CA-94303/2082912073_zpid/","East Palo Alto, CA 94303","Lot/land","1933 Pulgas Ave,","","","null","2.23 acres","null","None","$13,950,000","null","null","null","null","null","null","$2,150/mo","2","2","8","{""targetDiv"":""gpt-ad-29544db1-448d-48cb-b98d-d170a54d7962"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94303"",""aamgnrc1"":""1933 Pulgas Ave"",""mlat"":""37.456005"",""bd"":""0"",""fsbid"":""14073"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISblaz1vabwe8j1000000000.jpg"",""zusr"":""true"",""city"":""East_Palo_Alto"",""proptp"":""lot"",""pid"":""2082912073"",""lot"":""7"",""listtp"":""buy_agent"",""zguidh"":""1853622700672523578"",""premieragent"":""no"",""price"":""13950000"",""posting_url"":"""",""mlong"":""-122.130226"",""state"":""CA"",""prange"":""10m-14_999m""}}","null","null","null","null"
"1572896634-288","https://www.zillow.com/homes/east-palo-alto-ca_rb/","","https://www.zillow.com/homedetails/2284-Dumbarton-Ave-East-Palo-Alto-CA-94303/15585856_zpid/","East Palo Alto, CA 94303","For sale","2284 Dumbarton Ave,","","","1,380","3","2","$975,005","$998,000","Single Family","1948","Forced air","None","Single Family","5,601 sqft","$4,199/mo","2","2","8","{""targetDiv"":""gpt-ad-3a7d8e56-ca24-4ab5-9e39-931235630710"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2284 Dumbarton Ave"",""bd"":""3"",""fsbid"":""14224"",""city"":""East_Palo_Alto"",""proptp"":""sfh"",""pid"":""15585856"",""lot"":""2"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""6203846589704375622"",""sqftrange"":""1000-1499"",""price"":""998000"",""oh"":""yes"",""sqft"":""1380"",""posting_url"":"""",""mlong"":""-122.145884"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94303"",""mlat"":""37.468207"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS337uahl4wml50000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1940-1959"",""zestimate"":""975005"",""premieragent"":""no""}}","null","null","null","null"
"1572896562-264","https://www.zillow.com/homes/east-palo-alto-ca_rb/","","https://www.zillow.com/homedetails/820-Weeks-St-East-Palo-Alto-CA-94303/15586130_zpid/","East Palo Alto, CA 94303","For sale","820 Weeks St,","","","2,113","3","2","$1,168,691","$1,148,000","Single Family","1926","Forced air","Central","Single Family","6,838 sqft","$4,500/mo","2","8","null","{""targetDiv"":""gpt-ad-d27b7f4e-645b-4cdc-8496-22c8ce4c24e9"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""820 Weeks St"",""bd"":""3"",""fsbid"":""13698"",""city"":""East_Palo_Alto"",""proptp"":""sfh"",""pid"":""15586130"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""271104292803016357"",""sqftrange"":""2000-2499"",""price"":""1148000"",""sqft"":""2113"",""posting_url"":""http://www.pacificoakrealestate.com"",""mlong"":""-122.136623"",""state"":""CA"",""prange"":""1-1_499m"",""zip"":""94303"",""mlat"":""37.469924"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrdvyieqrsin41000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1920-1939"",""zestimate"":""1168691"",""premieragent"":""no""}}","null","null","null","null"
"1572896545-258","https://www.zillow.com/homes/east-palo-alto-ca_rb/","","https://www.zillow.com/homedetails/2276-University-Ave-East-Palo-Alto-CA-94303/15586400_zpid/","East Palo Alto, CA 94303","For sale","2276 University Ave,","","","1,590","2","2","$1,185,831","$1,198,000","Single Family","1949","Forced air","None","Single Family","6,250 sqft","$4,200/mo","2","2","8","{""targetDiv"":""gpt-ad-aa727721-2390-4630-afe8-fbbccd3cb2a4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2276 University Ave"",""bd"":""2"",""fsbid"":""14311"",""city"":""East_Palo_Alto"",""proptp"":""sfh"",""pid"":""15586400"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""5159637576361611384"",""sqftrange"":""1500-1999"",""price"":""1198000"",""sqft"":""1590"",""posting_url"":"""",""mlong"":""-122.14109"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94303"",""mlat"":""37.467826"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISqx6hoqo499b20000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1185831"",""premieragent"":""no""}}","null","null","null","null"
