web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572896915-327","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/2441-Mira-Vista-Dr-El-Cerrito-CA-94530/18524244_zpid/","El Cerrito, CA 94530","For sale","2441 Mira Vista Dr,","","","1,685","3","2","null","$940,000","Single Family","1956","Forced air","None","Single Family","6,969 sqft","null","4","5","5","No Data","null","null","null","null"
"1572896852-306","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/5820-El-Dorado-Ave-UNIT-10-El-Cerrito-CA-94530/2082458204_zpid/","El Cerrito, CA 94530","New construction","5820 El Dorado Ave UNIT 10,","","","1,347","3","3","$849,301","$830,609","Condo","2019","No Data","No Data","Condo","No Data","null","4","5","5","{""targetDiv"":""gpt-ad-d1272a6a-bfa2-4ea0-bc37-f13a6b2ca715"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 10"",""aamgnrc1"":""5820 El Dorado Ave"",""bd"":""3"",""fsbid"":""15378"",""city"":""El_Cerrito"",""proptp"":""cnd"",""pid"":""2082458204"",""zestibuck"":""800-899k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""830609"",""sqft"":""1347"",""posting_url"":""http://laffertycommunities.com/find-your-home/village-29/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=617263&nhf_listing_type=plan&utm_term=plan_Plan1&utm_campaign=El+Cerrito%2FCA"",""state"":""CA"",""mlong"":""-122.306832"",""cnty"":""Contra_Costa"",""prange"":""800-899k"",""zip"":""94530"",""mlat"":""37.902789"",""plid"":""23225349"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjnlvir2lvve11000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2010-2019"",""zestimate"":""849301"",""premieragent"":""no"",""builderChatId"":""15378-811205"",""dma"":""37""}}","null","null","null","null"
"1572896831-299","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/800-Park-Way-El-Cerrito-CA-94530/18530154_zpid/","El Cerrito, CA 94530","For sale","800 Park Way,","","","1,670","2","2","$938,277","$795,000","Single Family","1924","Forced air","None","Single Family","7,440 sqft","null","9","5","5","{""targetDiv"":""gpt-ad-3b4d3ae1-5889-46f8-9a01-012284ea0620"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""800 Park Way"",""bd"":""2"",""fsbid"":""13698"",""city"":""El_Cerrito"",""proptp"":""sfh"",""pid"":""18530154"",""lot"":""2"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""-2568504501596314155"",""sqftrange"":""1500-1999"",""price"":""795000"",""sqft"":""1670"",""posting_url"":""http://www.JohnSKim.com"",""mlong"":""-122.290185"",""state"":""CA"",""prange"":""700-799k"",""zip"":""94530"",""mlat"":""37.912351"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr9s9yp24kl070000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1920-1939"",""zestimate"":""938277"",""premieragent"":""no""}}","null","null","null","null"
"1572896800-293","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/2244-Tamalpais-Ave-El-Cerrito-CA-94530/18524589_zpid/","El Cerrito, CA 94530","For sale","2244 Tamalpais Ave,","","","1,548","3","2","None","$999,000","Single Family","1954","Forced air","Other","Single Family","5,749 sqft","null","7","5","5","{""targetDiv"":""gpt-ad-634252a6-4220-4f92-8010-3bf806c5ab56"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94530"",""aamgnrc1"":""2244 Tamalpais Ave"",""mlat"":""37.931056"",""bd"":""3"",""fsbid"":""17077"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfkoojuglsyio0000000000.jpg"",""zusr"":""true"",""city"":""El_Cerrito"",""proptp"":""sfh"",""pid"":""18524589"",""yrblt"":""1940-1959"",""lot"":""2"",""listtp"":""buy_agent"",""zguidh"":""7817865034415476828"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""999000"",""sqft"":""1548"",""posting_url"":""https://www.redfin.com/syndicate/x/bridgemls/40880619"",""mlong"":""-122.310067"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k""}}","null","null","null","null"
"1572896883-316","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/6880-Cutting-Blvd-El-Cerrito-CA-94530/18525133_zpid/","El Cerrito, CA 94530","For sale","6880 Cutting Blvd,","","","1,300","3","2","null","$829,000","Single Family","1941","Forced air","None","Single Family","7,501 sqft","$3,500/mo","7","5","5","{""targetDiv"":""gpt-ad-e6cf561c-e623-4a6c-9cca-c140ec0e0818"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""6880 Cutting Blvd"",""bd"":""3"",""fsbid"":""6038"",""city"":""El_Cerrito"",""proptp"":""sfh"",""pid"":""18525133"",""lot"":""2"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""3396213359248868319"",""sqftrange"":""1000-1499"",""price"":""829000"",""sqft"":""1300"",""posting_url"":""http://www.bhgre.com/property/6880-Cutting-Blvd-El-Cerrito-CA-94530/4295579/detail"",""mlong"":""-122.311663"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94530"",""mlat"":""37.928948"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbd06yplyl3p50000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1940-1959"",""zestimate"":""999972"",""premieragent"":""no""}}","null","null","null","null"
"1572896872-312","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/2653-Monte-Vista-Ave-El-Cerrito-CA-94530/18523714_zpid/","El Cerrito, CA 94530","For sale","2653 Monte Vista Ave,","","","3,208","3","4","$926,238","$1,099,000","Single Family","1947","Forced air","No Data","Single Family","6,616 sqft","null","4","5","5","{""targetDiv"":""gpt-ad-175298e3-c119-414d-a31d-10654dcadf00"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2653 Monte Vista Ave"",""bd"":""3"",""fsbid"":""14106"",""city"":""El_Cerrito"",""proptp"":""sfh"",""pid"":""18523714"",""lot"":""2"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""1561450127434113047"",""sqftrange"":""3000-3499"",""price"":""1099000"",""sqft"":""3208"",""posting_url"":"""",""mlong"":""-122.310664"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94530"",""mlat"":""37.938195"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISv4jmjwszwdcs0000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1940-1959"",""zestimate"":""926238"",""premieragent"":""no""}}","null","null","null","null"
"1572896880-315","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/7234-View-Ave-El-Cerrito-CA-94530/18529529_zpid/","El Cerrito, CA 94530","For sale","7234 View Ave,","","","2,152","3","3","$1,264,817","$995,000","Single Family","1941","Forced air","None","Single Family","6,120 sqft","$4,314/mo","7","5","5","{""targetDiv"":""gpt-ad-60cd418f-9d1a-405c-b252-334044061ddb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""7234 View Ave"",""bd"":""3"",""fsbid"":""15263"",""city"":""El_Cerrito"",""proptp"":""sfh"",""pid"":""18529529"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""3972126129044730030"",""sqftrange"":""2000-2499"",""price"":""995000"",""sqft"":""2152"",""posting_url"":"""",""mlong"":""-122.307527"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94530"",""mlat"":""37.931375"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn6nkzqmtzudi0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1264817"",""premieragent"":""no""}}","null","null","null","null"
"1572896902-323","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/community/village-29/2082458202_zpid/","El Cerrito, CA 94530","New construction","Buildable plan: Plan 1, Village 29,","","","1,349","3","3","$841,136","$825,000","Condo","2019","No Data","No Data","Condo","No Data","null","4","5","5","{""targetDiv"":""gpt-ad-182fccad-4ba7-4947-be8b-099adebd09d4"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" P9ZH2N"",""aamgnrc1"":""5845 Avila St"",""bd"":""3"",""fsbid"":""15378"",""city"":""El_Cerrito"",""proptp"":""cnd"",""pid"":""2082458202"",""zestibuck"":""800-899k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""825000"",""sqft"":""1349"",""posting_url"":""http://laffertycommunities.com/find-your-home/village-29/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=617263&nhf_listing_type=plan&utm_term=plan_Plan1&utm_campaign=El+Cerrito%2FCA"",""state"":""CA"",""mlong"":""-122.306832"",""cnty"":""Contra_Costa"",""prange"":""800-899k"",""zip"":""94530"",""mlat"":""37.902789"",""plid"":""23225349"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzzpjj4b1cqe11000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2010-2019"",""zestimate"":""841136"",""premieragent"":""no"",""builderChatId"":""15378-811205"",""dma"":""37""}}","null","null","null","null"
"1572896899-322","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/7019-Gladys-Ave-El-Cerrito-CA-94530/18525859_zpid/","El Cerrito, CA 94530","For sale","7019 Gladys Ave,","","","780","2","1","None","$599,000","Single Family","1941","No Data","None","Single Family","5,000 sqft","$2,700/mo","7","5","5","{""targetDiv"":""gpt-ad-7666e9c0-bc8b-4402-a2f8-485e43174b57"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94530"",""aamgnrc1"":""7019 Gladys Ave"",""mlat"":""37.92181"",""bd"":""2"",""fsbid"":""13862"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS33j7x0ap6tvl0000000000.jpg"",""zusr"":""true"",""city"":""El_Cerrito"",""proptp"":""sfh"",""pid"":""18525859"",""yrblt"":""1940-1959"",""lot"":""1"",""listtp"":""buy_agent"",""zguidh"":""-6067461328572132465"",""premieragent"":""no"",""sqftrange"":""500-999"",""price"":""599000"",""sqft"":""780"",""posting_url"":"""",""mlong"":""-122.307951"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k""}}","null","null","null","null"
"1572896842-302","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/5812-El-Dorado-Ave-UNIT-6-El-Cerrito-CA-94530/2082458210_zpid/","El Cerrito, CA 94530","New construction","5812 El Dorado Ave UNIT 6,","","","1,347","3","3","$850,389","$831,674","Condo","2019","No Data","No Data","Condo","No Data","null","4","5","5","{""targetDiv"":""gpt-ad-4d523b5a-9691-485d-bec6-9e3d55afa332"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 6"",""aamgnrc1"":""5812 El Dorado Ave"",""bd"":""3"",""fsbid"":""15378"",""city"":""El_Cerrito"",""proptp"":""cnd"",""pid"":""2082458210"",""zestibuck"":""800-899k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""831674"",""sqft"":""1347"",""posting_url"":""http://laffertycommunities.com/find-your-home/village-29/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=617263&nhf_listing_type=plan&utm_term=plan_Plan1&utm_campaign=El+Cerrito%2FCA"",""state"":""CA"",""mlong"":""-122.306832"",""cnty"":""Contra_Costa"",""prange"":""800-899k"",""zip"":""94530"",""mlat"":""37.902789"",""plid"":""23225349"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfsa7zuhgq9f11000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2010-2019"",""zestimate"":""850389"",""premieragent"":""no"",""builderChatId"":""15378-811205"",""dma"":""37""}}","null","null","null","null"
