web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572918332-1908","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/4-Captain-Dr-E405-Emeryville-CA-94608/24821847_zpid/","Emeryville, CA 94608","For sale","4 Captain Dr # E405,","570","1","1","$420,048","$445,000","Condo","1973","No Data","No Data","No Data","$425/month","$2,500/mo","2","4","null","null","No","null","null","$3,382"
"1572918471-1942","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/8-Captain-Dr-E551-Emeryville-CA-94608/24821896_zpid/","Emeryville, CA 94608","For sale","8 Captain Dr # E551,","649","1","1","$455,137","$454,000","Condo","1972","Baseboard","Central","No Data","$498/month","$2,500/mo","2","4","null","No Air Conditioning","Stucco","Other","null","$2,131"
"1572918353-1912","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/6400-Christie-Ave-APT-4416-Emeryville-CA-94608/24824074_zpid/","Emeryville, CA 94608","For sale","6400 Christie Ave APT 4416,","658","1","1","$490,500","$479,000","Condo","1988","Baseboard","Central","Detached Garage","$452/month","$2,500/mo","2","4","null","No Air Conditioning","Wood Siding","1988","null","$3,085"
"1572918240-1878","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/3801-San-Pablo-Ave-APT-310-Emeryville-CA-94608/89030699_zpid/","Emeryville, CA 94608","For sale","3801 San Pablo Ave APT 310,","556","1","1","null","$301,800","Condo","2009","Electric","No Data","1 space","$396/month","$2,400/mo","2","4","null","Ceiling Fan(s)","Stucco","2009","null","$2,260"
"1572918321-1905","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/(undisclosed-Address)-Emeryville-CA-94608/2082785516_zpid/","Emeryville, CA 94608","For sale","(undisclosed Address),","530","1","1","$413,706","$395,000","Condo","1972","Baseboard","Central","No Data","$468/month","null","2","4","null","No Air Conditioning","Stucco","Other","null","null"
"1572918220-1870","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/50-Emery-Bay-Dr-Emeryville-CA-94608/24823006_zpid/","Emeryville, CA 94608","Pre-foreclosure","50 Emery Bay Dr,","null","2","null","$471,207","$471,207","Condo","1981","Forced air","No Data","Carport, Off street, On street","$417/month","null","2","4","null","null","No","null","null","$5,224"
"1572918490-1945","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/6400-Christie-Ave-APT-5421-Emeryville-CA-94608/152864706_zpid/","Emeryville, CA 94608","For sale","6400 Christie Ave APT 5421,","1,104","2","2","$727,499","$679,000","Condo","1988","Forced air","None","Detached Garage","$521/month","$3,300/mo","2","4","null","Forced Air 1 Zone","Vinyl Siding","1988","null","$4,361"
"1572918406-1926","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/8-Captain-Dr-E457-Emeryville-CA-94608/24821888_zpid/","Emeryville, CA 94608","For sale","8 Captain Dr # E457,","731","1","1","$464,417","$458,900","Condo","1973","Baseboard","None","Attached Garage","$498/month","$2,500/mo","2","4","null","None","Stucco","Other","null","$1,691"
"1572918308-1899","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/1291-55th-St-Emeryville-CA-94608/24821555_zpid/","Emeryville, CA 94608","Pre-foreclosure","1291 55th St,","1,863","2","4","$660,176","$660,176","Single Family","1900","No Data","No Data","Detached Garage","3,850 sqft","null","2","4","null","null","No","null","null","$8,287"
"1572918361-1913","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/1200-65th-St-APT-222-Emeryville-CA-94608/89034375_zpid/","Emeryville, CA 94608","For sale","1200 65th St APT 222,","1,249","1","1","$779,131","$699,000","Condo","2003","Forced air","None","No Data","$588/month","$2,895/mo","2","4","null","In Unit","Stucco","2003","null","$3,438"
"1572918225-1873","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/1071-47th-St-Emeryville-CA-94608/299071567_zpid/","Emeryville, CA 94608","Pre-foreclosure","1071 47th St,","null","6","null","null","null","Apartment","1910","No Data","No Data","No Data","No Data","null","2","4","null","null","No","null","null","$5,794"
"1572918280-1893","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/6363-Christie-Ave-APT-821-Emeryville-CA-94608/24823228_zpid/","Emeryville, CA 94608","For sale","6363 Christie Ave APT 821,","634","1","1","$616,510","$609,000","Condo","1984","No Data","Central","Attached Garage","$406/month","$2,500/mo","2","4","null","null","No","null","null","$4,813"
"1572918460-1939","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/6400-Christie-Ave-APT-4102-Emeryville-CA-94608/24823762_zpid/","Emeryville, CA 94608","For sale","6400 Christie Ave APT 4102,","1,104","2","2","$739,027","$699,000","Condo","1988","Forced air","None","Detached Garage","$521/month","$3,285/mo","2","4","null","Community Facility","Wood Siding","1988","null","$4,923"
"1572918233-1876","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/4-Anchor-Dr-UNIT-226F-Emeryville-CA-94608/2083996785_zpid/","Emeryville, CA 94608","For sale","4 Anchor Dr UNIT 226F,","null","1","null","null","$475,000","Condo","No Data","No Data","No Data","No Data","No Data","$2,295/mo","2","4","null","null","No","null","null","null"
"1572918429-1931","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/5-Commodore-Dr-UNIT-213-Emeryville-CA-94608/2082431319_zpid/","Emeryville, CA 94608","For sale","5 Commodore Dr UNIT 213,","830","1","1","$507,163","$475,000","Condo","1973","Baseboard","None","No Data","$490/month","$2,500/mo","2","4","null","None","Stucco","Composition","null","null"
"1572918213-1868","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/6363-Christie-Ave-APT-1704-Emeryville-CA-94608/24823404_zpid/","Emeryville, CA 94608","Pre-foreclosure / auction","6363 Christie Ave APT 1704,","null","1","null","$496,706","$496,706","Multi Family","1984","Forced air","Other","Attached Garage","null","null","2","4","null","null","No","null","null","$2,900"
"1572918441-1934","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/1121-40th-St-APT-3204-Emeryville-CA-94608/68026362_zpid/","Emeryville, CA 94608","For sale","1121 40th St APT 3204,","622","1","1","$430,082","$419,999","Condo","2005","Electric","None","1 space","$441/month","$2,500/mo","2","4","null","null","Other","null","null","$4,665"
"1572918498-1947","https://www.zillow.com/homes/emeryville-CA_rb/","","https://www.zillow.com/homedetails/27-Loop-22-Emeryville-CA-94608/68026177_zpid/","Emeryville, CA 94608","For sale","27 Loop 22,","901","1","2","$732,000","$699,000","Condo","2004","Forced air","No Data","Attached Garage","$200/month","$2,900/mo","2","4","null","null","Stucco","Window Coverings, Skylight(s)","null","$6,835"
