web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href,next_page9,next_page9-href
"1572916834-7985","https://www.zillow.com/homes/fairfield-CA_rb/","","https://www.zillow.com/homedetails/107-Villa-Ct-Fairfield-CA-94533/15687610_zpid/","Fairfield, CA 94533","For sale","107 Villa Ct,","","","","","","","5","https://www.zillow.com/fairfield-ca/5_p/","968","2","2","$175,000","$175,000","Condo","1971","Forced air","Other","Condo","$350/month","$1,600/mo","2","3","3","{""targetDiv"":""gpt-ad-15603344-99d5-4c69-aec4-c022f3925a22"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""107 Villa Ct"",""bd"":""2"",""fsbid"":""13601"",""city"":""Fairfield"",""proptp"":""cnd"",""pid"":""15687610"",""lot"":""1"",""zestibuck"":""150-199k"",""listtp"":""buy_agent"",""zguidh"":""6569642225042752022"",""sqftrange"":""500-999"",""price"":""175000"",""sqft"":""968"",""posting_url"":""http://greathomes.org/mls/property/21924795"",""mlong"":""-122.008974"",""state"":""CA"",""prange"":""150-199k"",""zip"":""94533"",""mlat"":""38.265708"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzncx3j38y6ot0000000000.jpg"",""zusr"":""true"",""price_band"":""z100"",""yrblt"":""1970-1979"",""zestimate"":""175000"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/fairfield-ca/6_p/","NEXT","https://www.zillow.com/fairfield-ca/7_p/","","","",""
"1572917024-8098","https://www.zillow.com/homes/fairfield-CA_rb/","","https://www.zillow.com/homedetails/521-Derby-Ct-Fairfield-CA-94533/15730755_zpid/","Fairfield, CA 94533","Pre-foreclosure","521 Derby Ct,","","","","","","","5","https://www.zillow.com/fairfield-ca/5_p/","1,549","4","2","$382,392","$382,392","Single Family","1972","Other","Central","Single Family","8,712 sqft","null","4","3","3","{""targetDiv"":""gpt-ad-b7ea4850-4f97-49d2-9b43-9d67e6d72e3c"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""521 Derby Ct"",""bd"":""4"",""city"":""Fairfield"",""proptp"":""sfh"",""pid"":""15730755"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_foreclosure"",""zguidh"":""2225402883830494045"",""sqftrange"":""1500-1999"",""price"":""400000"",""sqft"":""1549"",""posting_url"":"""",""mlong"":""-122.027325"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94533"",""mlat"":""38.277179"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISa5ur8hgdw2cz0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""411175"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/fairfield-ca/6_p/","","","","","",""
"1572917511-8404","https://www.zillow.com/homes/fairfield-CA_rb/","","https://www.zillow.com/homedetails/45-Barcelona-Cir-Fairfield-CA-94533/61733393_zpid/","Fairfield, CA 94533","For sale","45 Barcelona Cir,","","","3","https://www.zillow.com/fairfield-ca/3_p/","","","","","1,344","3","2","$234,001","$234,000","Mobile / Manufactured","2000","No Data","No Data","Mobile / Manufactured","$174","$1,500/mo","2","3","3","{""targetDiv"":""gpt-ad-90a92ed7-3c49-427a-80a4-40b22ad5a914"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94533"",""aamgnrc1"":""45 Barcelona Cir"",""mlat"":""38.265152"",""bd"":""3"",""fsbid"":""15050"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvcxexrl0smwf0000000000.jpg"",""zusr"":""true"",""city"":""Fairfield"",""proptp"":""mm"",""pid"":""61733393"",""price_band"":""z200"",""yrblt"":""2000-2009"",""zestimate"":""234001"",""zestibuck"":""200-249k"",""listtp"":""buy_agent"",""zguidh"":""7953138536613473389"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""234000"",""sqft"":""1344"",""posting_url"":""http://homesbylissette.com"",""mlong"":""-121.990387"",""state"":""CA"",""prange"":""200-249k""}}","null","null","null","null","","","","","","","",""
"1572917002-8085","https://www.zillow.com/homes/fairfield-CA_rb/","","https://www.zillow.com/homedetails/4455-Solano-Rd-Fairfield-CA-94533/15650507_zpid/","Fairfield, CA 94533","Pre-foreclosure","4455 Solano Rd,","","","","","","","5","https://www.zillow.com/fairfield-ca/5_p/","null","3","null","$508,050","$508,050","Single Family","1935","None","None","Single Family","2.5 acres","null","2","3","3","{""targetDiv"":""gpt-ad-a7d8d1fd-d907-497f-b1b2-5a46e535ecd9"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94533"",""aamgnrc1"":""4455 Solano Rd"",""mlat"":""38.259753"",""bd"":""3"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnyz0f5bz6v8j.jpg"",""zusr"":""true"",""city"":""Fairfield"",""proptp"":""sfh"",""pid"":""15650507"",""price_band"":""z500"",""yrblt"":""1920-1939"",""zestimate"":""546291"",""lot"":""7"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""7174353574099434526"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""546291"",""sqft"":""1287"",""posting_url"":"""",""mlong"":""-121.994419"",""state"":""CA"",""prange"":""500-599k""}}","null","null","null","null","NEXT","https://www.zillow.com/fairfield-ca/6_p/","","","","","",""
"1572916609-7847","https://www.zillow.com/homes/fairfield-CA_rb/","","https://www.zillow.com/homedetails/1646-State-Hwy-Fairfield-CA-94534/2082850958_zpid/","Fairfield, CA 94534","For sale","1646 State Hwy,","","","","","","","5","https://www.zillow.com/fairfield-ca/5_p/","1,527","3","2","null","$1,900,000","Single Family","1979","No Data","No Data","Single Family","43.07 acres","$2,400/mo","7","7","null","{""targetDiv"":""gpt-ad-66b2070c-b1dc-4216-a7c4-1c8bcaa88ecc"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94534"",""aamgnrc1"":""1646 State Hwy"",""mlat"":""38.241357"",""bd"":""3"",""fsbid"":""2877"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISv0ci8qgdfkyv0000000000.jpg"",""zusr"":""true"",""city"":""Fairfield"",""proptp"":""sfh"",""pid"":""2082850958"",""yrblt"":""1970-1979"",""lot"":""10"",""listtp"":""buy_agent"",""zguidh"":""7256530696355594723"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""1900000"",""sqft"":""1527"",""posting_url"":""http://www.coldwellbanker.com/listingdetail/CBEX6MNV/"",""mlong"":""-122.121757"",""state"":""CA"",""prange"":""1_5-1_999m""}}","null","null","null","null","NEXT","https://www.zillow.com/fairfield-ca/6_p/","NEXT","https://www.zillow.com/fairfield-ca/7_p/","NEXT","https://www.zillow.com/fairfield-ca/8_p/","",""
"1572916566-7811","https://www.zillow.com/homes/fairfield-CA_rb/","","https://www.zillow.com/homedetails/362-Santa-Maria-Dr-Fairfield-CA-94533/15649193_zpid/","Fairfield, CA 94533","Pre-foreclosure","362 Santa Maria Dr,","","","","","","","5","https://www.zillow.com/fairfield-ca/5_p/","null","4","null","$342,614","$342,614","Single Family","1968","Other","Central","Single Family","6,098 sqft","null","1","3","3","{""targetDiv"":""gpt-ad-58d9406a-593a-4eb3-a81c-75f93d358a6b"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""362 Santa Maria Dr"",""bd"":""4"",""city"":""Fairfield"",""proptp"":""sfh"",""pid"":""15649193"",""lot"":""2"",""zestibuck"":""350-399k"",""listtp"":""buy_foreclosure"",""zguidh"":""9157181765088517219"",""sqftrange"":""1000-1499"",""price"":""368403"",""sqft"":""1468"",""posting_url"":"""",""mlong"":""-122.027405"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94533"",""mlat"":""38.271771"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1960-1969"",""zestimate"":""368403"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/fairfield-ca/6_p/","NEXT","https://www.zillow.com/fairfield-ca/7_p/","NEXT","https://www.zillow.com/fairfield-ca/8_p/","",""
"1572917576-8436","https://www.zillow.com/homes/fairfield-CA_rb/","","https://www.zillow.com/homedetails/5314-Autumn-Rock-Ct-Fairfield-CA-94534/69026488_zpid/","Fairfield, CA 94534","For sale","5314 Autumn Rock Ct,","2","https://www.zillow.com/fairfield-ca/2_p/","","","","","","","3,770","4","4","$962,226","$968,999","Single Family","2005","Forced air","Central","Single Family","0.46 acres","$5,323/mo","8","8","7","{""targetDiv"":""gpt-ad-8f1c7494-1bd5-4048-943c-afd17e9d8c67"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5314 Autumn Rock Ct"",""bd"":""4"",""fsbid"":""15463"",""city"":""Fairfield"",""proptp"":""sfh"",""pid"":""69026488"",""lot"":""3"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""-2090643544307127225"",""sqftrange"":""3500-3999"",""price"":""968999"",""sqft"":""3770"",""posting_url"":"""",""mlong"":""-122.137919"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94534"",""mlat"":""38.229912"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfsyhrad01ic11000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""2000-2009"",""zestimate"":""962226"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572917774-8515","https://www.zillow.com/homes/fairfield-CA_rb/","","https://www.zillow.com/homedetails/1625-Park-Ln-APT-80-Fairfield-CA-94533/15690586_zpid/","Fairfield, CA 94533","For sale","1625 Park Ln APT 80,","","","","","","","","","648","1","1","$149,415","$149,850","Condo","1974","None","None","Condo","$284/month","$1,450/mo","2","5","null","{""targetDiv"":""gpt-ad-b763fd2c-f105-42c8-8df7-25da376b5396"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 80"",""aamgnrc1"":""1625 Park Ln"",""bd"":""1"",""fsbid"":""13601"",""city"":""Fairfield"",""proptp"":""cnd"",""pid"":""15690586"",""lot"":""1"",""zestibuck"":""100-149k"",""listtp"":""buy_agent"",""zguidh"":""8119044117035999469"",""sqftrange"":""500-999"",""price"":""149850"",""sqft"":""648"",""posting_url"":""http://greathomes.org/mls/property/21927385"",""mlong"":""-122.057396"",""state"":""CA"",""prange"":""100-149k"",""zip"":""94533"",""mlat"":""38.246618"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjf30o5ic5b7v1000000000.jpg"",""zusr"":""true"",""price_band"":""z100"",""yrblt"":""1970-1979"",""zestimate"":""149415"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572916799-7965","https://www.zillow.com/homes/fairfield-CA_rb/","","https://www.zillow.com/homedetails/934-Delaware-St-Fairfield-CA-94533/15644314_zpid/","Fairfield, CA 94533","Pre-foreclosure / auction","934 Delaware St,","","","","","","","5","https://www.zillow.com/fairfield-ca/5_p/","null","2","null","$290,427","$290,427","Single Family","1912","None","None","Single Family","7,405 sqft","null","3","2","5","{""targetDiv"":""gpt-ad-1d53ef04-d532-44f3-8116-ef1750eaa506"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""934 Delaware St"",""bd"":""2"",""city"":""Fairfield"",""proptp"":""sfh"",""pid"":""15644314"",""lot"":""2"",""zestibuck"":""300-349k"",""listtp"":""buy_foreclosure"",""zguidh"":""1059460687663969012"",""sqftrange"":""500-999"",""price"":""312288"",""sqft"":""937"",""posting_url"":"""",""mlong"":""-122.045494"",""state"":""CA"",""park"":""yes"",""prange"":""300-349k"",""zip"":""94533"",""mlat"":""38.247345"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISph2juj23msqq0000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1900-1919"",""zestimate"":""312288"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/fairfield-ca/6_p/","NEXT","https://www.zillow.com/fairfield-ca/7_p/","","","",""
"1572916537-7792","https://www.zillow.com/homes/fairfield-CA_rb/","","https://www.zillow.com/homedetails/1071-Horizon-Dr-Fairfield-CA-94533/2088475674_zpid/","Fairfield, CA 94533","Lot/land","1071 Horizon Dr,","","","","","","","5","https://www.zillow.com/fairfield-ca/5_p/","null","0.71 acres","null","None","$315,900","null","null","null","null","null","null","$1,550/mo","4","3","3","{""targetDiv"":""gpt-ad-db9f5d79-e848-4ce6-81a5-0f83a9b7fa97"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94533"",""aamgnrc1"":""1071 Horizon Dr"",""mlat"":""38.273164"",""bd"":""0"",""fsbid"":""14311"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISqxmpd48cu70e0000000000.jpg"",""zusr"":""true"",""city"":""Fairfield"",""proptp"":""lot"",""pid"":""2088475674"",""lot"":""4"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-5972675994742196511"",""premieragent"":""no"",""price"":""315900"",""posting_url"":""http://charlottemyrealtor.com"",""mlong"":""-122.013864"",""state"":""CA"",""prange"":""300-349k""}}","null","null","null","null","NEXT","https://www.zillow.com/fairfield-ca/6_p/","NEXT","https://www.zillow.com/fairfield-ca/7_p/","NEXT","https://www.zillow.com/fairfield-ca/8_p/","",""
