web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572897193-340","https://www.zillow.com/homes/foster-city,-ca_rb/","","https://www.zillow.com/homedetails/910-Beach-Park-Blvd-APT-101-Foster-City-CA-94404/15627896_zpid/","Foster City, CA 94404","For sale","910 Beach Park Blvd APT 101,","","","1,087","2","2","null","$850,000","Condo","1973","Electric","None","Condo","$45/month","$3,500/mo","7","9","7","{""targetDiv"":""gpt-ad-6bce627d-1f69-43b9-a387-8345c91e1f63"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 101"",""aamgnrc1"":""910 Beach Park Blvd"",""bd"":""2"",""fsbid"":""4383"",""city"":""Foster_City"",""proptp"":""cnd"",""pid"":""15627896"",""lot"":""8"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""-7204549728151951370"",""sqftrange"":""1000-1499"",""price"":""850000"",""sqft"":""1087"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/foster-city/910-beach-park-blvd-101/pid_32416845/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.258926"",""state"":""CA"",""prange"":""800-899k"",""zip"":""94404"",""mlat"":""37.54799"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfghc22l57bkx0000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""hood"":""Boats"",""yrblt"":""1970-1979"",""zestimate"":""872995"",""premieragent"":""no""}}","null","null","null","null"
"1572897182-336","https://www.zillow.com/homes/foster-city,-ca_rb/","","https://www.zillow.com/homedetails/1791-Beach-Park-Blvd-Foster-City-CA-94404/15611854_zpid/","Foster City, CA 94404","Auction","1791 Beach Park Blvd,","","","null","4","null","null","$1,320,090","Single Family","1972","Other","No Data","Single Family","5,662 sqft","$5,500/mo","7","9","7","{""targetDiv"":""gpt-ad-0b65d32e-7d7f-47ce-bd06-4325d1c25863"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94404"",""aamgnrc1"":""1791 Beach Park Blvd"",""mlat"":""37.569731"",""bd"":""4"",""fsbid"":""16886"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzbr4uz5ucbc01000000000.jpg"",""zusr"":""true"",""city"":""Foster_City"",""proptp"":""sfh"",""pid"":""15611854"",""hood"":""Birds"",""yrblt"":""1970-1979"",""lot"":""2"",""listtp"":""buy_foreclosure"",""zguidh"":""-6254664775591582566"",""premieragent"":""no"",""sqftrange"":""2000-2499"",""price"":""1320090"",""sqft"":""2360"",""posting_url"":""http://www.auction.com/details/1791-beach-park-blvd-foster-city-ca-94404-2791141-e_13859a/?utm_source=zillow&utm_medium=feed&utm_campaign=trustee&utm_name=partner"",""mlong"":""-122.256952"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m""}}","null","null","null","null"
"1572897262-362","https://www.zillow.com/homes/foster-city,-ca_rb/","","https://www.zillow.com/community/foster-square/2095889206_zpid/","Foster City, CA 94404","New construction","Buildable plan: Residence A- Avery 1, Foster Square,","","","1,666","3","2","None","$1,340,880","Condo","2019","No Data","No Data","Condo","No Data","null","9","9","7","No Data","null","null","null","null"
"1572897172-332","https://www.zillow.com/homes/foster-city,-ca_rb/","","https://www.zillow.com/homedetails/1017-Shell-Blvd-APT-8-Foster-City-CA-94404/15627375_zpid/","Foster City, CA 94404","For sale","1017 Shell Blvd APT 8,","","","1,288","3","2","$960,871","$949,000","Condo","1973","Baseboard","None","Condo","$510/month","$3,850/mo","10","9","7","{""targetDiv"":""gpt-ad-cc06ca97-d1d0-4b6c-a239-c06963c9215d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 8"",""aamgnrc1"":""1017 Shell Blvd"",""bd"":""3"",""fsbid"":""13698"",""city"":""Foster_City"",""proptp"":""cnd"",""pid"":""15627375"",""lot"":""8"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""-8924077627088551129"",""sqftrange"":""1000-1499"",""price"":""949000"",""sqft"":""1288"",""posting_url"":"""",""mlong"":""-122.263172"",""state"":""CA"",""prange"":""900-999k"",""zip"":""94404"",""mlat"":""37.549809"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnq61t6hij76x1000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""hood"":""Boats"",""yrblt"":""1970-1979"",""zestimate"":""960871"",""premieragent"":""no""}}","null","null","null","null"
"1572897201-342","https://www.zillow.com/homes/foster-city,-ca_rb/","","https://www.zillow.com/homedetails/1058-Foster-Square-Ln-UNIT-404-Foster-City-CA-94404/2087810421_zpid/","Foster City, CA 94404","New construction","1058 Foster Square Ln UNIT 404,","","","1,627","2","2","$1,364,041","$1,321,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","9","9","7","No Data","null","null","null","null"
"1572897239-356","https://www.zillow.com/homes/foster-city,-ca_rb/","","https://www.zillow.com/homedetails/889-Ursa-Ln-Foster-City-CA-94404/2082324980_zpid/","Foster City, CA 94404","For sale","889 Ursa Ln,","","","1,603","2","3","$1,341,627","$1,290,000","Townhouse","1977","Forced air","None","Townhouse","1.23 acres","null","10","9","8","{""targetDiv"":""gpt-ad-0eb76eb8-3abb-4069-80de-53be64474d98"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""889 Ursa Ln"",""bd"":""2"",""fsbid"":""13698"",""city"":""Foster_City"",""proptp"":""twn"",""pid"":""2082324980"",""lot"":""6"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""3115439144622429588"",""sqftrange"":""1500-1999"",""price"":""1290000"",""sqft"":""1603"",""posting_url"":""http://www.sothebysrealty.com/eng/associate/180-a-887-4019065/mary-bee-thrasher"",""mlong"":""-122.271391"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94404"",""mlat"":""37.546579"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjvb56n3y0dv11000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Constellations_and_Stars"",""yrblt"":""1970-1979"",""zestimate"":""1341627"",""premieragent"":""no""}}","null","null","null","null"
"1572897207-344","https://www.zillow.com/homes/foster-city,-ca_rb/","","https://www.zillow.com/community/foster-square/2095877633_zpid/","Foster City, CA 94404","New construction","Buildable plan: Residence C- Avery 1, Foster Square,","","","2,172","3","2.5","$1,348,688","$1,620,880","Condo","2019","No Data","No Data","Condo","No Data","null","9","9","7","{""targetDiv"":""gpt-ad-176bc851-32ca-4ecb-a7e1-8ba543a31c94"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" KHLDAK"",""aamgnrc1"":""1009 Foster Square Ln"",""bd"":""3"",""fsbid"":""11527"",""city"":""Foster_City"",""proptp"":""cnd"",""pid"":""2095877633"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""1620880"",""sqft"":""2172"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/foster-city/foster-square?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_foster-square"",""state"":""CA"",""mlong"":""-122.27"",""cnty"":""San_Mateo"",""prange"":""1_5-1_999m"",""zip"":""94404"",""mlat"":""37.5581"",""plid"":""20004"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr59gb4bx4yx01000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Famous_Ships"",""yrblt"":""2010-2019"",""zestimate"":""1348688"",""premieragent"":""no"",""builderChatId"":""11527-814438"",""dma"":""37""}}","null","null","null","null"
"1572897175-333","https://www.zillow.com/homes/foster-city,-ca_rb/","","https://www.zillow.com/homedetails/910-Beach-Park-Blvd-APT-105-Foster-City-CA-94404/15627900_zpid/","Foster City, CA 94404","For sale","910 Beach Park Blvd APT 105,","","","1,087","2","2","$817,159","$799,000","Condo","1973","Electric","None","Condo","$550/month","$3,500/mo","7","9","7","{""targetDiv"":""gpt-ad-4525a0de-0635-4e68-b424-ff5ebef8cf26"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 105"",""aamgnrc1"":""910 Beach Park Blvd"",""bd"":""2"",""fsbid"":""13698"",""city"":""Foster_City"",""proptp"":""cnd"",""pid"":""15627900"",""lot"":""8"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""-4147004691017606457"",""sqftrange"":""1000-1499"",""price"":""799000"",""sqft"":""1087"",""posting_url"":""http://www.boblahl.com"",""mlong"":""-122.258926"",""state"":""CA"",""prange"":""700-799k"",""zip"":""94404"",""mlat"":""37.54799"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7qj6wduys8531000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""hood"":""Boats"",""yrblt"":""1970-1979"",""zestimate"":""817159"",""premieragent"":""no""}}","null","null","null","null"
"1572897166-330","https://www.zillow.com/homes/foster-city,-ca_rb/","","https://www.zillow.com/homedetails/612-Portsmouth-Ln-Foster-City-CA-94404/15615760_zpid/","Foster City, CA 94404","Pre-foreclosure","612 Portsmouth Ln,","","","null","3","null","$1,490,670","$1,490,670","Single Family","1977","Other","No Data","Single Family","7,600 sqft","null","10","9","7","{""targetDiv"":""gpt-ad-c10a343c-d673-4324-9e2e-8830919aa475"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""612 Portsmouth Ln"",""bd"":""3"",""city"":""Foster_City"",""proptp"":""sfh"",""pid"":""15615760"",""lot"":""2"",""zestibuck"":""2-2_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""8856032548296483017"",""sqftrange"":""2000-2499"",""price"":""2014419"",""sqft"":""2050"",""posting_url"":"""",""mlong"":""-122.267896"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94404"",""mlat"":""37.542513"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS1a9fut1vms3hf.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Admirals"",""yrblt"":""1970-1979"",""zestimate"":""2014419"",""premieragent"":""no""}}","null","null","null","null"
"1572897273-366","https://www.zillow.com/homes/foster-city,-ca_rb/","","https://www.zillow.com/community/foster-square/2088246275_zpid/","Foster City, CA 94404","New construction","Buildable plan: Residence D- Brixton 1, Foster Square,","","","1,202","2","2","None","$1,072,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","9","9","7","{""targetDiv"":""gpt-ad-390d1665-c538-4fae-a30f-72cd32388c6f"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" DMHGQH"",""aamgnrc1"":""1009 Foster Square Ln"",""bd"":""2"",""fsbid"":""11527"",""city"":""Foster_City"",""proptp"":""twn"",""pid"":""2088246275"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""1072880"",""sqft"":""1202"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/foster-city/foster-square?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_foster-square"",""state"":""CA"",""mlong"":""-122.27"",""cnty"":""San_Mateo"",""prange"":""1-1_499m"",""zip"":""94404"",""mlat"":""37.5581"",""plid"":""20004"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrpsgwqcy69x01000000000.jpg"",""zusr"":""true"",""hood"":""Famous_Ships"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""11527-814438"",""dma"":""37""}}","null","null","null","null"
