web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572918906-8744","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/homedetails/713-Gettysburg-Way-Gilroy-CA-95020/19858483_zpid/","Gilroy, CA 95020","For sale","713 Gettysburg Way,","","","","","4","https://www.zillow.com/gilroy-ca/4_p/","","","1,682","2","3","$516,718","$520,000","Townhouse","1985","Forced air","None","Townhouse","1,772 sqft","$2,850/mo","3","6","5","{""targetDiv"":""gpt-ad-6157d033-4b25-4d2a-b4b2-94db0113be2a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""713 Gettysburg Way"",""bd"":""2"",""fsbid"":""13698"",""city"":""Gilroy"",""proptp"":""twn"",""pid"":""19858483"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""69526062811697167"",""sqftrange"":""1500-1999"",""price"":""520000"",""sqft"":""1682"",""posting_url"":"""",""mlong"":""-121.57477"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""95020"",""mlat"":""36.99819"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbxnp8katknuy0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1980-1989"",""zestimate"":""516718"",""premieragent"":""no""}}","null","null","null","null"
"1572919525-9422","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/community/blanc-at-glen-loma-ranch/2084445262_zpid/","Gilroy, CA 95020","New construction","Buildable plan: Residence 2, Blanc at Glen Loma Ranch,","","","","","","","","","2,246","4","3","$771,475","$780,900","Single Family","2019","No Data","No Data","Single Family","No Data","null","6","6","5","{""targetDiv"":""gpt-ad-8e8839cb-8f8c-48f2-bd9f-5a623ba0510f"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" TCTPBD"",""aamgnrc1"":""6450 Godani St"",""bd"":""4"",""fsbid"":""13809"",""city"":""Gilroy"",""proptp"":""sfh"",""pid"":""2084445262"",""zestibuck"":""700-799k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""780900"",""sqft"":""2246"",""posting_url"":""https://www.tripointehomes.com/northern-california/blanc-at-glen-loma/residence-2-42339/?utm_medium=referral&utm_source=zillow-feed&nhf_channel=6&nhf_listing_id=558226&nhf_listing_type=plan&utm_term=plan_Residence2&utm_campaign=tripointe-zillow-feed"",""state"":""CA"",""mlong"":""-121.58417"",""cnty"":""Santa_Clara"",""prange"":""700-799k"",""zip"":""95020"",""mlat"":""36.988898"",""plid"":""25106471"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISmuxcrfvb3mr11000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Ponderosa"",""yrblt"":""2010-2019"",""zestimate"":""771475"",""premieragent"":""no"",""builderChatId"":""13809-820097"",""dma"":""37""}}","null","null","null","null"
"1572918779-8645","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/homedetails/7704-Wasabi-Way-Gilroy-CA-95020/166730316_zpid/","Gilroy, CA 95020","Pre-foreclosure","7704 Wasabi Way,","","","","","","","5","https://www.zillow.com/gilroy-ca/5_p/","null","3","null","$639,470","$639,470","Single Family","2015","Other","No Data","Single Family","3,733 sqft","null","6","6","5","{""targetDiv"":""gpt-ad-8c08ef99-9d91-47a9-b076-69c59fab9392"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""7704 Wasabi Way"",""bd"":""3"",""city"":""Gilroy"",""proptp"":""sfh"",""pid"":""166730316"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_foreclosure"",""zguidh"":""4496125310683330644"",""sqftrange"":""2000-2499"",""price"":""799338"",""sqft"":""2132"",""posting_url"":"""",""mlong"":""-121.604509"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""95020"",""mlat"":""37.00816"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""2010-2019"",""zestimate"":""799338"",""premieragent"":""no""}}","null","null","null","null"
"1572919391-9268","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/homedetails/4600-Meritage-Ct-Gilroy-CA-95020/19860092_zpid/","Gilroy, CA 95020","For sale","4600 Meritage Ct,","2","https://www.zillow.com/gilroy-ca/2_p/","","","","","","","4,708","5","5","$3,101,163","$3,190,000","Single Family","2000","Forced air","Central","Single Family","26.13 acres","$7,500/mo","6","6","5","{""targetDiv"":""gpt-ad-469d1ff2-7bd6-4841-9176-f6d4a6dd6641"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4600 Meritage Ct"",""bd"":""5"",""fsbid"":""9318"",""city"":""Gilroy"",""proptp"":""sfh"",""pid"":""19860092"",""lot"":""10"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""3797031135436706251"",""sqftrange"":""4500-4999"",""price"":""3190000"",""sqft"":""4708"",""posting_url"":""http://www.windermere.com/listing/73834637"",""mlong"":""-121.649486"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""95020"",""mlat"":""37.010476"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzr3d1iwkavm31000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""2000-2009"",""zestimate"":""3101163"",""premieragent"":""no""}}","null","null","null","null"
"1572919248-9106","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/homedetails/8715-Poplar-Dr-Gilroy-CA-95020/19853078_zpid/","Gilroy, CA 95020","For sale","8715 Poplar Dr,","2","https://www.zillow.com/gilroy-ca/2_p/","","","","","","","1,652","3","2","$791,434","$785,000","Single Family","1988","Forced air","Central","Single Family","7,744 sqft","$3,300/mo","7","5","7","{""targetDiv"":""gpt-ad-88aed826-6697-4aab-92f8-4c6819bc2c38"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""8715 Poplar Dr"",""bd"":""3"",""fsbid"":""13698"",""city"":""Gilroy"",""proptp"":""sfh"",""pid"":""19853078"",""lot"":""2"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-6855298852085974409"",""sqftrange"":""1500-1999"",""price"":""785000"",""sqft"":""1652"",""posting_url"":"""",""mlong"":""-121.600689"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""95020"",""mlat"":""37.020774"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3b5yewinxnj91000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""1980-1989"",""zestimate"":""791434"",""premieragent"":""no""}}","null","null","null","null"
"1572918764-8639","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/homedetails/2204-Banyon-Ct-Gilroy-CA-95020/153553275_zpid/","Gilroy, CA 95020","Lot/land","2204 Banyon Ct,","","","","","","","5","https://www.zillow.com/gilroy-ca/5_p/","null","0.97 acres","null","None","$383,000","null","null","null","null","null","null","$2,850/mo","7","5","7","{""targetDiv"":""gpt-ad-9af13763-3fb3-4fa9-8e81-9e14b5a35030"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95020"",""aamgnrc1"":""2204 Banyon Ct"",""mlat"":""37.02449"",""bd"":""0"",""fsbid"":""16701"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISznchv5rtw6991000000000.jpg"",""zusr"":""true"",""city"":""Gilroy"",""proptp"":""lot"",""pid"":""153553275"",""lot"":""5"",""listtp"":""buy_agent"",""zguidh"":""-6381528436837058929"",""premieragent"":""no"",""price"":""383000"",""posting_url"":""http://www.GretchenMerrick.com"",""mlong"":""-121.616329"",""state"":""CA"",""prange"":""350-399k""}}","null","null","null","null"
"1572919709-9637","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/homedetails/00-Bloomfield-Gilroy-CA-95020/2082192156_zpid/","Gilroy, CA 95020","Lot/land","00 Bloomfield,","","","","","","","","","null","6 acres","null","None","$349,000","null","null","null","null","null","null","null","6","6","5","{""targetDiv"":""gpt-ad-bb8734f0-020e-4c0e-b93f-1e87452d7f64"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95020"",""aamgnrc1"":""00 Bloomfield"",""mlat"":""36.962145"",""bd"":""0"",""fsbid"":""14674"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbt0p916qwmvi1000000000.jpg"",""zusr"":""true"",""city"":""Gilroy"",""proptp"":""lot"",""pid"":""2082192156"",""lot"":""8"",""listtp"":""buy_agent"",""zguidh"":""5401728483454036162"",""premieragent"":""no"",""price"":""349000"",""posting_url"":""http://www.teamvierra.com"",""mlong"":""-121.533822"",""state"":""CA"",""prange"":""300-349k""}}","null","null","null","null"
"1572918785-8649","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/homedetails/7230-Holsclaw-Rd-Gilroy-CA-95020/2084356077_zpid/","Gilroy, CA 95020","For sale","7230 Holsclaw Rd,","","","","","","","5","https://www.zillow.com/gilroy-ca/5_p/","1,725","3","2","None","$3,295,000","Single Family","1945","Forced air","No Data","Single Family","24.5 acres","$3,200/mo","6","6","5","{""targetDiv"":""gpt-ad-7098b68e-fa45-4460-9cd6-72cbf5c052bf"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95020"",""aamgnrc1"":""7230 Holsclaw Rd"",""mlat"":""37.01239"",""bd"":""3"",""fsbid"":""13698"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnqym8fo05v1j1000000000.jpg"",""zusr"":""true"",""city"":""Gilroy"",""proptp"":""sfh"",""pid"":""2084356077"",""yrblt"":""1940-1959"",""lot"":""10"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""8570028972166851498"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""3295000"",""sqft"":""1725"",""posting_url"":"""",""mlong"":""-121.53901"",""state"":""CA"",""prange"":""3m-3_999m""}}","null","null","null","null"
"1572919063-8900","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/homedetails/1255-Swaner-Dr-Gilroy-CA-95020/19854438_zpid/","Gilroy, CA 95020","For sale","1255 Swaner Dr,","","","3","https://www.zillow.com/gilroy-ca/3_p/","","","","","1,590","3","2","$735,005","$735,000","Single Family","1970","None","None","Single Family","6,865 sqft","$3,377/mo","7","6","7","{""targetDiv"":""gpt-ad-63b44586-c377-4c7f-91ad-819aadafda0d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1255 Swaner Dr"",""bd"":""3"",""fsbid"":""13698"",""city"":""Gilroy"",""proptp"":""sfh"",""pid"":""19854438"",""lot"":""2"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""3189497183903546296"",""sqftrange"":""1500-1999"",""price"":""735000"",""sqft"":""1590"",""posting_url"":""http://www.lexsellshomes.com"",""mlong"":""-121.597289"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""95020"",""mlat"":""37.016428"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7210cfphiam90000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""1970-1979"",""zestimate"":""735005"",""premieragent"":""no""}}","null","null","null","null"
"1572919239-9096","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/homedetails/375-Ronan-Ave-Gilroy-CA-95020/116156328_zpid/","Gilroy, CA 95020","For sale","375 Ronan Ave,","2","https://www.zillow.com/gilroy-ca/2_p/","","","","","","","2,212","5","3","null","$830,000","Single Family","2011","Forced air","Central","Single Family","5,505 sqft","$3,500/mo","4","6","7","{""targetDiv"":""gpt-ad-18836dbf-1967-432d-8639-1fdac9e7ce0b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""375 Ronan Ave"",""bd"":""5"",""fsbid"":""4383"",""city"":""Gilroy"",""proptp"":""sfh"",""pid"":""116156328"",""lot"":""2"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-6816201784031999436"",""sqftrange"":""2000-2499"",""price"":""830000"",""sqft"":""2212"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/gilroy/375-ronan-ave/pid_31509359/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.585114"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""95020"",""mlat"":""37.02532"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjfr69hm9ka6s1000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2010-2019"",""zestimate"":""830007"",""premieragent"":""no""}}","null","null","null","null"
"1572919672-9591","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/community/glen-loma-ranch-provence/2083388475_zpid/","Gilroy, CA 95020","New construction","Buildable plan: RESIDENCE ONE, Glen Loma Ranch   Provence,","","","","","","","","","3,279","4","3","$987,321","$994,880","Single Family","2019","No Data","No Data","Single Family","No Data","null","6","6","5","{""targetDiv"":""gpt-ad-a25a683a-f564-4739-802d-1b506cdc9afc"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 4RM77G"",""aamgnrc1"":""7131 Spumante Ct"",""bd"":""4"",""fsbid"":""11527"",""city"":""Gilroy"",""proptp"":""sfh"",""pid"":""2083388475"",""zestibuck"":""900-999k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3000-3499"",""price"":""994880"",""sqft"":""3279"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/gilroy/glen-loma-ranch/provence?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_glen-loma-ranch-provence"",""state"":""CA"",""mlong"":""-121.594"",""cnty"":""Contra_Costa"",""prange"":""900-999k"",""zip"":""95020"",""mlat"":""36.994"",""plid"":""28722555"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrlxx9ryhzlgs1000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""hood"":""Clayton_Valley"",""yrblt"":""2010-2019"",""zestimate"":""987321"",""premieragent"":""no"",""builderChatId"":""11527-822649"",""dma"":""37""}}","null","null","null","null"
"1572918970-8796","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/homedetails/7432-Hoylake-Ct-Gilroy-CA-95020/59684366_zpid/","Gilroy, CA 95020","Pre-foreclosure / auction","7432 Hoylake Ct,","","","3","https://www.zillow.com/gilroy-ca/3_p/","","","","","null","4","null","$1,019,432","$1,019,432","Single Family","2000","Other","No Data","Single Family","0.29 acres","null","6","6","5","{""targetDiv"":""gpt-ad-cb454f01-e557-4119-a932-2e65d8939986"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""7432 Hoylake Ct"",""bd"":""4"",""city"":""Gilroy"",""proptp"":""sfh"",""pid"":""59684366"",""lot"":""3"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""6467018888229801085"",""sqftrange"":""3500-3999"",""price"":""1228232"",""sqft"":""3750"",""posting_url"":"""",""mlong"":""-121.618533"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95020"",""mlat"":""37.001108"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1228232"",""premieragent"":""no""}}","null","null","null","null"
"1572919720-9645","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/community/blanc-at-glen-loma-ranch/2084445263_zpid/","Gilroy, CA 95020","New construction","Buildable plan: Residence 1, Blanc at Glen Loma Ranch,","","","","","","","","","1,953","4","3","$741,833","$750,900","Single Family","2019","No Data","No Data","Single Family","No Data","null","6","6","5","{""targetDiv"":""gpt-ad-6e51771a-5311-4601-83b2-7ba4d68877eb"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" TTVBRA"",""aamgnrc1"":""6450 Godani St"",""bd"":""4"",""fsbid"":""13809"",""city"":""Gilroy"",""proptp"":""sfh"",""pid"":""2084445263"",""zestibuck"":""700-799k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""750900"",""sqft"":""1953"",""posting_url"":""https://www.tripointehomes.com/northern-california/blanc-at-glen-loma/residence-1-42319/?utm_medium=referral&utm_source=zillow-feed&nhf_channel=6&nhf_listing_id=558227&nhf_listing_type=plan&utm_term=plan_Residence1&utm_campaign=tripointe-zillow-feed"",""state"":""CA"",""mlong"":""-121.58417"",""cnty"":""Sonoma"",""prange"":""700-799k"",""zip"":""95020"",""mlat"":""36.988898"",""plid"":""25106471"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjjympzoonf6u0000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""2010-2019"",""zestimate"":""741833"",""premieragent"":""no"",""builderChatId"":""13809-820097"",""dma"":""37""}}","null","null","null","null"
"1572919265-9125","https://www.zillow.com/homes/gilroy-CA_rb/","","https://www.zillow.com/homedetails/2121-Columbine-Ct-Gilroy-CA-95020/63066880_zpid/","Gilroy, CA 95020","For sale","2121 Columbine Ct,","2","https://www.zillow.com/gilroy-ca/2_p/","","","","","","","4,707","5","5","null","$1,950,000","Single Family","2002","Forced air","Central","Single Family","0.46 acres","$6,500/mo","7","5","7","{""targetDiv"":""gpt-ad-7d9d1399-1d71-4df3-8a15-d1c358a86fe5"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2121 Columbine Ct"",""bd"":""5"",""fsbid"":""4383"",""city"":""Gilroy"",""proptp"":""sfh"",""pid"":""63066880"",""lot"":""3"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""9214579837664463773"",""sqftrange"":""4500-4999"",""price"":""1950000"",""sqft"":""4707"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/gilroy/2121-columbine-ct/pid_32923654/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.616213"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""95020"",""mlat"":""37.021745"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb569qbpmc9nq0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1948250"",""premieragent"":""no""}}","null","null","null","null"
