web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572897478-405","https://www.zillow.com/homes/half-moon-bay,-ca_rb/","","https://www.zillow.com/homedetails/18-Pelican-Cir-18-Half-Moon-Bay-CA-94019/2082712065_zpid/","Half Moon Bay, CA 94019","For sale","18 Pelican Cir # 18,","","","784","2","1","$306,823","$295,000","Mobile / Manufactured","2012","Forced air","None","Mobile / Manufactured","$376","$3,200/mo","4","5","8","No Data","null","null","null","null"
"1572897452-396","https://www.zillow.com/homes/half-moon-bay,-ca_rb/","","https://www.zillow.com/homedetails/200-Correas-St-Half-Moon-Bay-CA-94019/15569978_zpid/","Half Moon Bay, CA 94019","For sale","200 Correas St,","","","2,360","3","4","$1,876,014","$1,898,888","Single Family","1989","Forced air","None","Single Family","7,492 sqft","$5,500/mo","4","5","8","No Data","null","null","null","null"
"1572897475-404","https://www.zillow.com/homes/half-moon-bay,-ca_rb/","","https://www.zillow.com/homedetails/205-Troon-Way-205-Half-Moon-Bay-CA-94019/2082817723_zpid/","Half Moon Bay, CA 94019","For sale","205 Troon Way # 205,","","","1,360","3","2","$823,183","$799,000","Condo","1990","Forced air","Central","Condo","$317/month","$4,000/mo","4","5","8","No Data","null","null","null","null"
"1572897466-401","https://www.zillow.com/homes/half-moon-bay,-ca_rb/","","https://www.zillow.com/homedetails/161-Turnberry-Rd-Half-Moon-Bay-CA-94019/15589085_zpid/","Half Moon Bay, CA 94019","For sale","161 Turnberry Rd,","","","3,540","5","3","$1,825,327","$1,850,000","Single Family","1990","Forced air","None","Single Family","7,670 sqft","$5,400/mo","4","5","8","{""targetDiv"":""gpt-ad-2a73302c-cd0e-4d69-afd5-fd3f839480bd"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""161 Turnberry Rd"",""bd"":""5"",""fsbid"":""13698"",""city"":""Half_Moon_Bay"",""proptp"":""sfh"",""pid"":""15589085"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-4265384370036659749"",""sqftrange"":""3500-3999"",""price"":""1850000"",""sqft"":""3540"",""posting_url"":""http://www.stellakjohnson.com"",""mlong"":""-122.432851"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94019"",""mlat"":""37.437709"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3jvzz4eeokgb0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1990-1999"",""zestimate"":""1825327"",""premieragent"":""no""}}","null","null","null","null"
"1572897480-406","https://www.zillow.com/homes/half-moon-bay,-ca_rb/","","https://www.zillow.com/homedetails/6-Lighthouse-Rd-6-Half-Moon-Bay-CA-94019/2111283075_zpid/","Half Moon Bay, CA 94019","For sale","6 Lighthouse Rd # 6,","","","1,248","2","2","$407,879","$405,000","Mobile / Manufactured","1975","Forced air","None","Mobile / Manufactured","$325","$3,950/mo","4","5","8","No Data","null","null","null","null"
"1572897502-414","https://www.zillow.com/homes/half-moon-bay,-ca_rb/","","https://www.zillow.com/homedetails/939-The-Alameda-El-Granada-CA-94019/15553408_zpid/","El Granada, CA 94019","For sale","939 The Alameda,","","","2,310","3","2","$1,475,003","$1,475,000","Single Family","1987","Forced air","None","Single Family","5,998 sqft","$4,500/mo","5","5","8","{""targetDiv"":""gpt-ad-fa4c9348-9c93-4bab-bc0f-ec2142cb53f7"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""939 The Alameda"",""bd"":""3"",""fsbid"":""13753"",""city"":""El_Granada"",""proptp"":""sfh"",""pid"":""15553408"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""9186713465988617919"",""sqftrange"":""2000-2499"",""price"":""1475000"",""sqft"":""2310"",""posting_url"":""https://www.pacificunion.com/real-estate/939-the-alameda-el-granada-ca-94018/ML81771882/78789489"",""mlong"":""-122.465352"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94019"",""mlat"":""37.500844"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjfb2nocdzqvr1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1980-1989"",""zestimate"":""1475003"",""premieragent"":""no""}}","null","null","null","null"
"1572897444-393","https://www.zillow.com/homes/half-moon-bay,-ca_rb/","","https://www.zillow.com/homedetails/0-Summer-Creek-Ct-Half-Moon-Bay-CA-94019/2083560793_zpid/","Half Moon Bay, CA 94019","Lot/land","0 Summer Creek Ct,","","","null","6 acres","null","null","$8,800,000","null","null","null","null","null","null","$2,450/mo","5","5","8","{""targetDiv"":""gpt-ad-d76fc4b5-492e-466f-b4a2-d440842f3658"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94019"",""aamgnrc1"":""0 Summer Creek Ct"",""mlat"":""37.48682"",""bd"":""0"",""fsbid"":""4383"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISu4fvnevzdnav1000000000.jpg"",""zusr"":""true"",""city"":""Half_Moon_Bay"",""proptp"":""lot"",""pid"":""2083560793"",""lot"":""8"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-1118639334457758778"",""premieragent"":""no"",""price"":""8800000"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/half-moon-bay/0-summer-creek-ct/pid_31361874/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.415165"",""state"":""CA"",""prange"":""8m-8_999m""}}","null","null","null","null"
"1572897439-391","https://www.zillow.com/homes/half-moon-bay,-ca_rb/","","https://www.zillow.com/homedetails/0-Del-Monte-Rd-El-Granada-CA-94018/2126735061_zpid/","El Granada, CA 94018","Lot/land","0 Del Monte Rd,","","","null","5,601 sqft","null","None","$299,000","null","null","null","null","null","null","$2,450/mo","5","5","8","{""targetDiv"":""gpt-ad-7eb97632-00c5-4606-b24c-66363361dff2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94018"",""aamgnrc1"":""0 Del Monte Rd"",""mlat"":""37.5088"",""bd"":""0"",""fsbid"":""15050"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrlh5tua2694w1000000000.jpg"",""zusr"":""true"",""city"":""El_Granada"",""proptp"":""lot"",""pid"":""2126735061"",""lot"":""2"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-2783729794965956246"",""premieragent"":""no"",""price"":""299000"",""posting_url"":"""",""mlong"":""-122.466645"",""state"":""CA"",""prange"":""250-299k""}}","null","null","null","null"
"1572897460-399","https://www.zillow.com/homes/half-moon-bay,-ca_rb/","","https://www.zillow.com/homedetails/Pine-Ave-Half-Moon-Bay-CA-94019/181435728_zpid/","Half Moon Bay, CA 94019","For sale","Pine Ave,","","","1,090","2","2","$638,898","$629,000","Condo","1986","Forced air","None","Condo","$540/month","$3,800/mo","4","5","8","No Data","null","null","null","null"
"1572897372-369","https://www.zillow.com/homes/half-moon-bay,-ca_rb/","","https://www.zillow.com/homedetails/0-Grandview-Ter-Half-Moon-Bay-CA-94019/2095235538_zpid/","Half Moon Bay, CA 94019","Lot/land","0 Grandview Ter,","2","https://www.zillow.com/half-moon-bay-ca/2_p/","null","4.6 acres","null","None","$2,900,000","null","null","null","null","null","null","$2,418/mo","4","5","8","{""targetDiv"":""gpt-ad-f75bb823-1798-419f-9538-8793c52a7772"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94019"",""aamgnrc1"":""0 Grandview Ter"",""mlat"":""37.4711"",""bd"":""0"",""fsbid"":""15050"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjnhchie4wsnt1000000000.jpg"",""zusr"":""true"",""city"":""Half_Moon_Bay"",""proptp"":""lot"",""pid"":""2095235538"",""lot"":""7"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-1603635643710709393"",""premieragent"":""no"",""price"":""2900000"",""posting_url"":"""",""mlong"":""-122.4402"",""state"":""CA"",""prange"":""2_5-2_999m""}}","null","null","null","null"
