web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href
"1572901115-636","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/0-Auberry-Rd-Clovis-CA-93619/2106521574_zpid/","Clovis, CA 93619","For sale","0 Auberry Rd,","","","","","","","","","null","--","null","None","$1,599,700","Single Family","No Data","No Data","No Data","No Data","20.19 acres","null","10","10","10","null","Other","null","Electricity Available","null","","","","","",""
"1572897825-359","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/2413-Chapel-Hill-Cir-Stockton-CA-95209/15281825_zpid/","Stockton, CA 95209","For sale","2413 Chapel Hill Cir,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","1,698","3","2","$369,900","$369,900","Single Family","1979","Forced air","Central","2 spaces","8,459 sqft","$1,795/mo","2","2","4","Granite Counters","Stucco, Wood","Composition","All Public","$1,538","NEXT","https://www.zillow.com/homes/for_sale/6_p/","NEXT","https://www.zillow.com/homes/for_sale/7_p/","NEXT","https://www.zillow.com/homes/for_sale/8_p/"
"1572900748-606","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/4060-Tammy-Ln-Shingle-Springs-CA-95682/18616361_zpid/","Shingle Springs, CA 95682","For sale","4060 Tammy Ln,","","","","","","","","","1,620","3","2","$432,126","$449,400","Single Family","1965","Forced air, Stove","Central","2 spaces","1.18 acres","$1,895/mo","7","7","8","Tub w/Shower Over, Window","Frame, Aluminum Siding","Composition","Propane, Propane Tank Leased, All Public","$1,992","","","","","",""
"1572899282-488","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/2431-Sea-Lion-Way-Turlock-CA-95380/89167661_zpid/","Turlock, CA 95380","For sale","2431 Sea Lion Way,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","1,608","3","2","$347,453","$390,000","Single Family","2014","Forced air","Central","2 spaces","3,833 sqft","$1,725/mo","3","4","7","Double Sinks, Shower Stall(s), Sitting Area","Frame, Stone, Stucco","Tile","Natural Gas Connected, All Public","$4,196","","","","","",""
"1572898400-416","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/126-Afton-Rd-Salinas-CA-93905/19321447_zpid/","Salinas, CA 93905","For sale","126 Afton Rd,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","1,222","2","1","$398,947","$439,000","Single Family","1947","Wall","None","Attached Garage","7,300 sqft","$2,100/mo","3","3","4","null","Concrete","null","Public Utilities","$679","NEXT","https://www.zillow.com/homes/for_sale/6_p/","","","",""
"1572900236-570","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/Verdale-Ave-Val-Verde-CA-91384/2083480235_zpid/","Val Verde, CA 91384","Lot/land","Verdale Ave,","2","https://www.zillow.com/homes/for_sale/2_p/","","","","","","","null","0.3 acres","null","None","$15,000","null","null","null","null","null","null","$1,650/mo","7","6","9","null","Sale","Yes","null","null","","","","","",""
"1572898845-455","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/2024-Severus-Dr-Vallejo-CA-94589/15661418_zpid/","Vallejo, CA 94589","For sale","2024 Severus Dr,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","1,104","3","2","$382,081","$389,900","Single Family","1963","Other","No Data","Attached Garage","5,662 sqft","$2,175/mo","4","6","6","null","Composition","null","null","$2,537","","","","","",""
"1572899680-530","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/31246-Blue-Sky-Way-Castaic-CA-91384/136695631_zpid/","Castaic, CA 91384","For sale","31246 Blue Sky Way,","","","3","https://www.zillow.com/homes/for_sale/3_p/","","","","","1,512","2","2","$127,737","$129,000","Mobile / Manufactured","1996","Forced air","Central","3 spaces","$85","$2,660/mo","7","6","9","null","Pier Jacks","1996","Water Connected, Sewer Connected, Electricity Connected, Natural Gas Connected","$435","","","","","",""
"1572900897-618","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/31-Magnolia-Ave-San-Anselmo-CA-94960/80744072_zpid/","San Anselmo, CA 94960","For sale","31 Magnolia Ave,","","","","","","","","","2,272","3","2","$1,350,762","$1,495,000","Single Family","1903","Wall","No Data","Attached Garage","4,356 sqft","$4,950/mo","9","8","9","null","Composition","null","null","$14,279","","","","","",""
"1572898979-471","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/9416-Kanosh-Cobble-Dr-Bakersfield-CA-93313/2082145841_zpid/","Bakersfield, CA 93313","For sale","9416 Kanosh Cobble Dr,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","null","4","null","None","$300,000","Single Family","2019","No Data","No Data","No Data","8,128 sqft","null","5","5","4","null","No","null","null","null","","","","","",""
