web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572904451-903","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/97-Kennedy-Ln-SPC-31-Healdsburg-CA-95448/2086432493_zpid/","Healdsburg, CA 95448","For sale","97 Kennedy Ln SPC 31,","","","3","https://www.zillow.com/healdsburg-ca/3_p/","","","960","2","2","$250,429","$259,000","Mobile / Manufactured","1965","No Data","No Data","No Data","$270","$2,040/mo","3","4","7","null","No","null","null","null"
"1572904184-806","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/97-Kennedy-Ln-SPC-27-Healdsburg-CA-95448/2084962950_zpid/","Healdsburg, CA 95448","For sale","97 Kennedy Ln SPC 27,","","","3","https://www.zillow.com/healdsburg-ca/3_p/","","","null","--","null","$336,016","$345,000","Mobile / Manufactured","No Data","No Data","No Data","No Data","No Data","$2,819/mo","3","4","7","null","No","null","null","null"
"1572904342-872","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/325-Monte-Vista-Ave-A-B-C-Healdsburg-CA-95448/2083394207_zpid/","Healdsburg, CA 95448","For sale","325 Monte Vista Ave # A-B-C,","","","3","https://www.zillow.com/healdsburg-ca/3_p/","","","2,908","8","3","$777,279","$799,000","Multi Family","1948","No Data","No Data","No Data","$275","$2,500/mo","3","4","7","null","Composition","null","null","null"
"1572907899-1356","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/4725-Dry-Creek-Rd-Healdsburg-CA-95448/300263305_zpid/","Healdsburg, CA 95448","For sale","4725 Dry Creek Rd,","","","","","","","2,537","3","3","$4,363,759","$4,600,000","Single Family","1989","None","No Data","15 spaces","32.23 acres","$4,900/mo","3","4","7","null","No","null","null","$11,230"
"1572908541-1531","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/1240-Emerald-Ranch-Rd-Healdsburg-CA-95448/300263232_zpid/","Healdsburg, CA 95448","Lot/land","1240 Emerald Ranch Rd,","","","","","","","null","20 acres","null","None","$2,900,000","null","null","null","null","null","null","$2,250/mo","3","4","7","null","Residential","Other","Elec @ Lot Line, Underground, Elec Avail","$23,922"
"1572908581-1546","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/202-Foss-Creek-Cir-APT-A-Healdsburg-CA-95448/83156263_zpid/","Healdsburg, CA 95448","For sale","202 Foss Creek Cir APT A,","","","","","","","null","2","null","$585,217","$589,999","Condo","1988","No Data","None","No Data","$395/month","$2,400/mo","3","4","7","null","No","null","null","$4,482"
"1572904364-878","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/1891-Toyon-Dr-LOT-2199-Healdsburg-CA-95448/2088581454_zpid/","Healdsburg, CA 95448","Lot/land","1891 Toyon Dr LOT 2199,","","","3","https://www.zillow.com/healdsburg-ca/3_p/","","","null","5.34 acres","null","None","$699,000","null","null","null","null","null","null","$2,400/mo","3","4","7","null","Hills, Water, Valley","null","Elec @ Street, Elec Avail","null"
"1572907472-1216","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/2435-Riverview-Dr-Healdsburg-CA-95448/96054879_zpid/","Healdsburg, CA 95448","Lot/land","2435 Riverview Dr,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","null","0.35 acres","null","null","$49,000","null","null","null","null","null","null","null","3","4","7","null","Forest/Woods","null","Elec @ Street","$533"
"1572904305-854","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/129-Moonlight-Dr-Healdsburg-CA-95448/96071940_zpid/","Healdsburg, CA 95448","For sale","129 Moonlight Dr,","","","3","https://www.zillow.com/healdsburg-ca/3_p/","","","2,951","4","4","$2,261,836","$2,395,000","Single Family","2006","No Data","No Data","2 spaces","0.35 acres","$7,711/mo","3","4","7","null","Composition","null","null","$16,970"
"1572907318-1186","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/337-Matheson-St-Healdsburg-CA-95448/184971426_zpid/","Healdsburg, CA 95448","For sale","337 Matheson St,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","2,465","3","3","$2,643,773","$2,795,000","Single Family","1915","None","No Data","No Data","0.38 acres","$9,027/mo","3","4","7","null","Composition","null","null","$28,439"
"1572907802-1322","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/(undisclosed-Address)-Healdsburg-CA-95448/2082924659_zpid/","Healdsburg, CA 95448","For sale","(undisclosed Address),","","","","","","","3,530","8","9","$2,637,070","$2,795,000","Single Family","1913","No Data","No Data","8 spaces","0.36 acres","null","3","4","7","null","No","null","null","null"
"1572903682-665","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/3555-Wallace-Creek-Rd-Healdsburg-CA-95448/2084748797_zpid/","Healdsburg, CA 95448","Lot/land","3555 Wallace Creek Rd,","","","","","4","https://www.zillow.com/healdsburg-ca/4_p/","null","105.56 acres","null","None","$1,795,000","null","null","null","null","null","null","$2,525/mo","6","null","null","null","Single-Family, Open Pasture, Recreation","Barns with Elec, Barns with Water, Garage","Phone Avail, Internet Available, Propane","null"
"1572903814-698","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/935-Harold-Ln-Healdsburg-CA-95448/15744986_zpid/","Healdsburg, CA 95448","Pre-foreclosure","935 Harold Ln,","","","","","4","https://www.zillow.com/healdsburg-ca/4_p/","null","3","null","$461,990","$461,990","Single Family","1950","None","No Data","Detached Garage","7,840 sqft","null","3","4","7","null","No","null","null","$3,630"
"1572905080-1113","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/361-Arabian-Way-Healdsburg-CA-95448/51604399_zpid/","Healdsburg, CA 95448","For sale","361 Arabian Way,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","2,412","4","3","null","$889,000","Single Family","2000","No Data","Central","2 spaces","4,356 sqft","$3,300/mo","3","4","7","null","Composition","null","null","$7,819"
"1572903761-684","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/6345-Mountain-View-Ranch-Rd-Healdsburg-CA-95448/300263265_zpid/","Healdsburg, CA 95448","For sale","6345 Mountain View Ranch Rd,","","","","","4","https://www.zillow.com/healdsburg-ca/4_p/","4,078","4","5","$2,539,037","$2,699,000","Single Family","1994","No Data","No Data","No Data","11 acres","$6,300/mo","3","4","7","null","No","null","null","$7,761"
"1572908056-1407","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/371-Orchard-St-Healdsburg-CA-95448/15745912_zpid/","Healdsburg, CA 95448","For sale","371 Orchard St,","","","","","","","1,072","2","2","$694,685","$710,000","Single Family","1977","None","No Data","2 spaces","4,356 sqft","$2,500/mo","3","4","7","null","Composition","null","null","$5,381"
"1572908092-1420","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/1670-Chiquita-Rd-Healdsburg-CA-95448/15819166_zpid/","Healdsburg, CA 95448","Auction","1670 Chiquita Rd,","","","","","","","null","2","null","null","$654,292","Single Family","1939","None","No Data","No Data","0.74 acres","$2,950/mo","3","4","7","null","No","null","null","$5,013"
"1572908529-1528","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/8676-Palmer-Creek-Rd-Healdsburg-CA-95448/184911258_zpid/","Healdsburg, CA 95448","For sale","8676 Palmer Creek Rd,","","","","","","","1,480","3","2","$3,064,898","$3,200,000","Single Family","1979","None","No Data","No Data","577 acres","$3,450/mo","6","null","null","null","No","null","null","$9,211"
"1572908425-1493","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/(undisclosed-Address)-Healdsburg-CA-95448/2082542035_zpid/","Healdsburg, CA 95448","Lot/land","(undisclosed Address),","","","","","","","null","0.47 acres","null","None","$395,000","null","null","null","null","null","null","null","3","4","7","null","null","null","Elec @ Street","null"
"1572903725-678","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/9203-N-Chalk-Hill-Rd-Healdsburg-CA-95448/2084364899_zpid/","Healdsburg, CA 95448","Lot/land","9203 N Chalk Hill Rd,","","","","","4","https://www.zillow.com/healdsburg-ca/4_p/","null","23.89 acres","null","None","$1,600,000","null","null","null","null","null","null","$2,400/mo","NA","3","7","null","Hills, Panoramic, Forest/Woods, Mountain, Vineyard","null","Elec @ Lot Line, Elec Avail, Propane","null"
"1572907824-1331","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/5255-W-Dry-Creek-Rd-Healdsburg-CA-95448/15819001_zpid/","Healdsburg, CA 95448","For sale","5255 W Dry Creek Rd,","","","","","","","1,620","3","3","$1,456,935","$1,495,000","Single Family","1988","None","No Data","6 spaces","7.05 acres","$2,800/mo","3","4","7","null","No","null","null","$9,186"
"1572904703-984","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/8207-W-Dry-Creek-Rd-Healdsburg-CA-95448/125126285_zpid/","Healdsburg, CA 95448","For sale","8207 W Dry Creek Rd,","","","3","https://www.zillow.com/healdsburg-ca/3_p/","","","4,200","3","6","null","$2,799,000","Single Family","1980","Wall","No Data","2 spaces","10.67 acres","$5,000/mo","6","5","NA","null","Composition","null","null","$15,531"
"1572904486-916","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/501-Hidden-Acres-Rd-Healdsburg-CA-95448/15745342_zpid/","Healdsburg, CA 95448","For sale","501 Hidden Acres Rd,","","","3","https://www.zillow.com/healdsburg-ca/3_p/","","","2,681","4","3","$1,828,066","$1,945,000","Single Family","1964","None","No Data","2 spaces","0.27 acres","$6,283/mo","3","4","7","null","No","null","null","$18,662"
"1572905063-1108","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/1489-Gumview-Rd-Windsor-CA-95492/15807351_zpid/","Windsor, CA 95492","Pre-foreclosure","1489 Gumview Rd,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","null","2","null","$388,742","$388,742","Single Family","1940","None","No Data","1 space","0.61 acres","null","NA","3","7","null","No","null","null","$4,158"
"1572908613-1555","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/(undisclosed-Address)-Healdsburg-CA-95448/2082365587_zpid/","Healdsburg, CA 95448","For sale","(undisclosed Address),","","","","","","","1,999","8","8","None","$4,950,000","Single Family","1873","No Data","No Data","No Data","6.01 acres","null","3","4","7","null","Composition","null","null","null"
"1572908556-1536","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/705-Brown-St-Healdsburg-CA-95448/15744113_zpid/","Healdsburg, CA 95448","For sale","705 Brown St,","","","","","","","null","3","null","$830,893","$849,000","Single Family","1910","None","No Data","On street","3,920 sqft","$2,950/mo","3","4","7","null","Composition","null","null","$8,735"
"1572903701-671","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/1490-Felta-Rd-Healdsburg-CA-95448/2098672722_zpid/","Healdsburg, CA 95448","Lot/land","1490 Felta Rd,","","","","","4","https://www.zillow.com/healdsburg-ca/4_p/","null","160 acres","null","None","$5,900,000","null","null","null","null","null","null","$2,700/mo","6","null","null","null","Residential","Panoramic, Forest/Woods","Elec @ Pole","null"
"1572904909-1054","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/422-Grant-St-Healdsburg-CA-95448/15744373_zpid/","Healdsburg, CA 95448","For sale","422 Grant St,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","3,637","7","4","$1,054,657","$1,095,000","Multi Family","1940","None","No Data","No Data","$301","$2,400/mo","3","4","7","null","Other","null","null","$6,146"
"1572908215-1460","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/208-Foss-Creek-Cir-APT-B-Healdsburg-CA-95448/15818971_zpid/","Healdsburg, CA 95448","For sale","208 Foss Creek Cir APT B,","","","","","","","960","2","2","$594,407","$599,000","Condo","1988","None","No Data","No Data","$395/month","$2,400/mo","3","4","7","null","No","null","null","$4,849"
"1572904279-843","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/225-Clear-Ridge-Dr-Healdsburg-CA-95448/250021176_zpid/","Healdsburg, CA 95448","For sale","225 Clear Ridge Dr,","","","3","https://www.zillow.com/healdsburg-ca/3_p/","","","3,430","4","4","$3,502,511","$3,695,000","Single Family","2019","Other","Central","2 spaces","1.46 acres","$7,000/mo","3","4","7","null","No","null","null","$9,271"
"1572907218-1163","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/673-Limerick-Ln-Healdsburg-CA-95448/2084041395_zpid/","Healdsburg, CA 95448","For sale","673 Limerick Ln,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","4,273","4","5","null","$5,750,000","Single Family","1989","Gas","No Data","No Data","10.97 acres","$3,950/mo","3","4","7","null","No","null","null","null"
"1572907450-1211","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/4982-W-Soda-Rock-Ln-Healdsburg-CA-95448/15818185_zpid/","Healdsburg, CA 95448","For sale","4982 W Soda Rock Ln,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","1,865","3","4","$3,535,714","$3,750,000","Single Family","2004","No Data","No Data","8 spaces","4.52 acres","$3,900/mo","3","4","7","null","No","null","null","$28,749"
"1572904265-838","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/2670-N-Fitch-Mountain-Rd-Healdsburg-CA-95448/15817914_zpid/","Healdsburg, CA 95448","For sale","2670 N Fitch Mountain Rd,","","","3","https://www.zillow.com/healdsburg-ca/3_p/","","","840","2","1","$527,488","$535,000","Single Family","1932","Forced air","No Data","No Data","4,356 sqft","$2,400/mo","3","4","7","null","No","null","null","$4,826"
"1572907642-1268","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/4011-Mill-Creek-Rd-Healdsburg-CA-95448/15823302_zpid/","Healdsburg, CA 95448","For sale","4011 Mill Creek Rd,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","1,832","3","4","$1,172,967","$1,199,900","Single Family","1963","None","No Data","2 spaces","0.32 acres","$3,000/mo","6","null","null","null","No","null","null","$4,111"
"1572904859-1037","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/14850-Mcdonough-Heights-Rd-Healdsburg-CA-95448/15818093_zpid/","Healdsburg, CA 95448","For sale","14850 Mcdonough Heights Rd,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","4,000","3","4","$2,821,880","$2,995,000","Single Family","1959","Forced air, Radiant, Stove","Central","12 spaces","2.13 acres","$3,325/mo","3","4","7","null","Asphalt","null","null","$1,253"
