web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572897832-454","https://www.zillow.com/homes/hercules,-ca_rb/","","https://www.zillow.com/homedetails/118-Cortes-Ct-Hercules-CA-94547/18486354_zpid/","Hercules, CA 94547","Pre-foreclosure / auction","118 Cortes Ct,","","","null","4","null","$669,211","$669,211","Single Family","1989","Other","No Data","Single Family","7,000 sqft","null","5","5","5","{""targetDiv"":""gpt-ad-4f4337de-bf71-44d7-9964-d4c8df4bc7fb"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""118 Cortes Ct"",""bd"":""4"",""city"":""Hercules"",""proptp"":""sfh"",""pid"":""18486354"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_foreclosure"",""zguidh"":""-6563562102050967114"",""sqftrange"":""2000-2499"",""price"":""689909"",""sqft"":""2171"",""posting_url"":"""",""mlong"":""-122.242444"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94547"",""mlat"":""37.997281"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISinlj5hwwv7bh1000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1980-1989"",""zestimate"":""689909"",""premieragent"":""no""}}","null","null","null","null"
"1572897794-442","https://www.zillow.com/homes/hercules,-ca_rb/","","https://www.zillow.com/homedetails/1003-Shorebird-Dr-Hercules-CA-94547/68037564_zpid/","Hercules, CA 94547","For sale","1003 Shorebird Dr,","","","2,730","5","3","null","$799,800","Single Family","2004","Forced air","Central","Single Family","5,912 sqft","null","3","5","5","{""targetDiv"":""gpt-ad-bff211b6-1cfb-4a45-b5ff-a213fc475f89"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1003 Shorebird Dr"",""bd"":""5"",""fsbid"":""3031"",""city"":""Hercules"",""proptp"":""sfh"",""pid"":""68037564"",""lot"":""2"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""-8051344518019310142"",""sqftrange"":""2500-2999"",""price"":""799800"",""sqft"":""2730"",""posting_url"":""http://www.century21.com/property/1003-Shorebird-Dr-Hercules-CA-94547/4268254/detail"",""mlong"":""-122.269098"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94547"",""mlat"":""38.02453"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzngoz0lfnj4d0000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2000-2009"",""zestimate"":""801126"",""premieragent"":""no""}}","null","null","null","null"
"1572897892-476","https://www.zillow.com/homes/hercules,-ca_rb/","","https://www.zillow.com/homedetails/405-Olympus-APT-7-Hercules-CA-94547/18499536_zpid/","Hercules, CA 94547","For sale","405 Olympus APT 7,","","","1,180","2","3","$391,720","$389,000","Condo","1988","Forced air","Central","Condo","$410/month","$2,450/mo","6","5","5","No Data","null","null","null","null"
"1572897778-437","https://www.zillow.com/homes/hercules,-ca_rb/","","https://www.zillow.com/homedetails/69-Ben-Lomond-Hercules-CA-94547/18500399_zpid/","Hercules, CA 94547","Pre-foreclosure / auction","69 Ben Lomond,","2","https://www.zillow.com/hercules-ca/2_p/","null","3","null","$521,536","$521,536","Single Family","1990","Forced air","Central","Single Family","3,300 sqft","null","6","5","5","{""targetDiv"":""gpt-ad-7eecb5c0-3189-489e-87e0-4dcd14663736"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""69 Ben Lomond"",""bd"":""3"",""city"":""Hercules"",""proptp"":""sfh"",""pid"":""18500399"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""6528171343339543359"",""sqftrange"":""1500-1999"",""price"":""537666"",""sqft"":""1743"",""posting_url"":"""",""mlong"":""-122.278979"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94547"",""mlat"":""38.007157"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1990-1999"",""zestimate"":""537666"",""premieragent"":""no""}}","null","null","null","null"
"1572897813-448","https://www.zillow.com/homes/hercules,-ca_rb/","","https://www.zillow.com/homedetails/244-Napoli-Ct-Hercules-CA-94547/18487134_zpid/","Hercules, CA 94547","Pre-foreclosure","244 Napoli Ct,","","","null","2","null","$337,466","$337,466","Condo","1993","No Data","No Data","Condo","$310/month","null","5","5","5","No Data","null","null","null","null"
"1572897816-449","https://www.zillow.com/homes/hercules,-ca_rb/","","https://www.zillow.com/homedetails/262-Beechnut-Dr-Hercules-CA-94547/18503887_zpid/","Hercules, CA 94547","Pre-foreclosure","262 Beechnut Dr,","","","null","4","null","$659,501","$659,501","Single Family","1980","No Data","No Data","Single Family","8,540 sqft","null","3","5","5","{""targetDiv"":""gpt-ad-6040ed91-ddda-4339-be7f-6010fc9ab5d2"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""262 Beechnut Dr"",""bd"":""4"",""city"":""Hercules"",""proptp"":""sfh"",""pid"":""18503887"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_foreclosure"",""zguidh"":""-6883501988312651747"",""sqftrange"":""2000-2499"",""price"":""679898"",""sqft"":""2409"",""posting_url"":"""",""mlong"":""-122.243157"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94547"",""mlat"":""38.00095"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1980-1989"",""zestimate"":""679898"",""premieragent"":""no""}}","null","null","null","null"
"1572897889-475","https://www.zillow.com/homes/hercules,-ca_rb/","","https://www.zillow.com/homedetails/340-N-Wildwood-Hercules-CA-94547/18500172_zpid/","Hercules, CA 94547","For sale","340 N Wildwood,","","","1,413","3","3","$495,918","$495,000","Condo","1988","Forced air","Central","Condo","$390/month","$2,695/mo","6","5","5","{""targetDiv"":""gpt-ad-adbb0f25-1029-4b42-8458-6770aec5b613"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""340 N Wildwood"",""bd"":""3"",""fsbid"":""14106"",""city"":""Hercules"",""proptp"":""cnd"",""pid"":""18500172"",""lot"":""1"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""-8506741978788640220"",""sqftrange"":""1000-1499"",""price"":""495000"",""sqft"":""1413"",""posting_url"":"""",""mlong"":""-122.278228"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""94547"",""mlat"":""38.010112"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrtjg9bc5cmo70000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""495918"",""premieragent"":""no""}}","null","null","null","null"
"1572897829-453","https://www.zillow.com/homes/hercules,-ca_rb/","","https://www.zillow.com/homedetails/194-Scotts-Valley-Hercules-CA-94547/18500501_zpid/","Hercules, CA 94547","Pre-foreclosure","194 Scotts Valley,","","","1,570","3","3","null","null","Miscellaneous","1992","Electric","No Data","Miscellaneous","null","null","6","5","5","{""targetDiv"":""gpt-ad-7b456f55-c8a2-455f-82a9-79036872e9cd"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94547"",""aamgnrc1"":""194 Scotts Valley"",""mlat"":""38.004367"",""bd"":""3"",""z_listing_image_url"":"""",""zusr"":""true"",""city"":""Hercules"",""pid"":""18500501"",""yrblt"":""1990-1999"",""lot"":""1"",""listtp"":""buy_foreclosure"",""zguidh"":""8623683572918129771"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""sqft"":""1570"",""posting_url"":"""",""mlong"":""-122.280406"",""state"":""CA"",""park"":""yes""}}","null","null","null","null"
"1572897776-436","https://www.zillow.com/homes/hercules,-ca_rb/","","https://www.zillow.com/homedetails/151-Bluebird-Ct-Hercules-CA-94547/18505806_zpid/","Hercules, CA 94547","Pre-foreclosure","151 Bluebird Ct,","2","https://www.zillow.com/hercules-ca/2_p/","null","4","null","$626,512","$626,512","Single Family","1986","Forced air","No Data","Single Family","7,200 sqft","null","5","5","5","{""targetDiv"":""gpt-ad-d4cc5d90-a9a0-45c8-b29e-74e092eebc2b"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""151 Bluebird Ct"",""bd"":""4"",""city"":""Hercules"",""proptp"":""sfh"",""pid"":""18505806"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_foreclosure"",""zguidh"":""9134547508956174834"",""sqftrange"":""1500-1999"",""price"":""645889"",""sqft"":""1879"",""posting_url"":"""",""mlong"":""-122.262443"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94547"",""mlat"":""37.998983"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1980-1989"",""zestimate"":""645889"",""premieragent"":""no""}}","null","null","null","null"
"1572897894-477","https://www.zillow.com/homes/hercules,-ca_rb/","","https://www.zillow.com/homedetails/2-Lancaster-Hercules-CA-94547/18502761_zpid/","Hercules, CA 94547","For sale","2 Lancaster,","","","918","2","2","$409,184","$399,999","Condo","1984","Forced air","No Data","Condo","$318/month","null","3","3","6","{""targetDiv"":""gpt-ad-c18a28ba-5937-4ba9-aa19-051687927426"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2 Lancaster"",""bd"":""2"",""fsbid"":""3020"",""city"":""Hercules"",""proptp"":""cnd"",""pid"":""18502761"",""lot"":""1"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""320857549689660892"",""sqftrange"":""500-999"",""price"":""399999"",""sqft"":""918"",""posting_url"":""http://www.homeresearch.com/Listing/Detail/153131?src=zillow"",""mlong"":""-122.257929"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94547"",""mlat"":""38.017463"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvstq83bp6qs31000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""409184"",""premieragent"":""no""}}","null","null","null","null"
