web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572898031-480","https://www.zillow.com/homes/hillsborough,-ca_rb/","","https://www.zillow.com/homedetails/165-Woodridge-Rd-Hillsborough-CA-94010/181398700_zpid/","Hillsborough, CA 94010","Lot/land","165 Woodridge Rd,","2","https://www.zillow.com/hillsborough-ca/2_p/","null","2.19 acres","null","None","$7,500,000","null","null","null","null","null","null","$3,800/mo","9","9","7","No Data","null","null","null","null"
"1572898085-499","https://www.zillow.com/homes/hillsborough,-ca_rb/","","https://www.zillow.com/homedetails/1158-Barroilhet-Dr-Hillsborough-CA-94010/15520941_zpid/","Hillsborough, CA 94010","For sale","1158 Barroilhet Dr,","","","5,270","5","7","$5,058,543","$5,250,000","Single Family","1990","Forced air","Central","Single Family","0.7 acres","$13,433/mo","9","9","7","{""targetDiv"":""gpt-ad-16d69757-ccdd-402f-afd0-0e1ef9479e06"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1158 Barroilhet Dr"",""bd"":""5"",""fsbid"":""13698"",""city"":""Hillsborough"",""proptp"":""sfh"",""pid"":""15520941"",""lot"":""4"",""zestibuck"":""5m-5_999m"",""listtp"":""buy_agent"",""zguidh"":""4158891665250286340"",""sqftrange"":""5000-5999"",""price"":""5250000"",""sqft"":""5270"",""posting_url"":""http://pattydwyergroup.com"",""mlong"":""-122.362744"",""state"":""CA"",""park"":""yes"",""prange"":""5m-5_999m"",""zip"":""94010"",""mlat"":""37.565128"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb9hc7lcgbm281000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1990-1999"",""zestimate"":""5058543"",""premieragent"":""no""}}","null","null","null","null"
"1572898156-523","https://www.zillow.com/homes/hillsborough,-ca_rb/","","https://www.zillow.com/homedetails/15-Pilarcitos-Ct-Hillsborough-CA-94010/15535141_zpid/","Hillsborough, CA 94010","For sale","15 Pilarcitos Ct,","","","3,678","5","5","$3,549,152","$3,490,000","Single Family","1976","Forced air","None","Single Family","1.45 acres","$7,753/mo","9","9","7","{""targetDiv"":""gpt-ad-ebbbd287-f980-4703-b49a-fd89f2fc8e20"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""15 Pilarcitos Ct"",""bd"":""5"",""fsbid"":""13698"",""city"":""Hillsborough"",""proptp"":""sfh"",""pid"":""15535141"",""lot"":""6"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""-127761947706399106"",""sqftrange"":""3500-3999"",""price"":""3490000"",""sqft"":""3678"",""posting_url"":""http://www.greenbanker.com"",""mlong"":""-122.360098"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""94010"",""mlat"":""37.532092"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnux4hqqehz1s1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1970-1979"",""zestimate"":""3549152"",""premieragent"":""no""}}","null","null","null","null"
"1572898125-513","https://www.zillow.com/homes/hillsborough,-ca_rb/","","https://www.zillow.com/homedetails/2915-Ralston-Ave-Hillsborough-CA-94010/61471956_zpid/","Hillsborough, CA 94010","For sale","2915 Ralston Ave,","","","3,840","4","5","null","$2,999,888","Single Family","1974","Forced air","None","Single Family","2.27 acres","$16,933/mo","9","9","10","{""targetDiv"":""gpt-ad-4b55559f-1969-4774-81a6-5d7b2b527963"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2915 Ralston Ave"",""bd"":""4"",""fsbid"":""14224"",""city"":""Hillsborough"",""proptp"":""sfh"",""pid"":""61471956"",""lot"":""7"",""zestibuck"":""6m-6_999m"",""listtp"":""buy_agent"",""zguidh"":""6329811343614880506"",""sqftrange"":""3500-3999"",""price"":""2999888"",""sqft"":""3840"",""posting_url"":"""",""mlong"":""-122.365044"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""94010"",""mlat"":""37.55984"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb9xsa7erhdv41000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1970-1979"",""zestimate"":""6369085"",""premieragent"":""no""}}","null","null","null","null"
"1572898151-522","https://www.zillow.com/homes/hillsborough,-ca_rb/","","https://www.zillow.com/homedetails/2327-Summit-Dr-Hillsborough-CA-94010/15515802_zpid/","Hillsborough, CA 94010","For sale","2327 Summit Dr,","","","2,810","4","3","$3,156,942","$2,995,000","Single Family","1965","Forced air","None","Single Family","10,349 sqft","$7,963/mo","9","9","10","No Data","null","null","null","null"
"1572898056-489","https://www.zillow.com/homes/hillsborough,-ca_rb/","","https://www.zillow.com/homedetails/240-Pinehill-Rd-Hillsborough-CA-94010/15519366_zpid/","Hillsborough, CA 94010","For sale","240 Pinehill Rd,","","","8,930","3","8","$16,947,086","$17,900,000","Single Family","1965","Radiant","None","Single Family","2.06 acres","$45,468/mo","9","9","10","{""targetDiv"":""gpt-ad-4be49212-29e7-4431-80fe-a53841558988"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""240 Pinehill Rd"",""bd"":""3"",""fsbid"":""13698"",""city"":""Hillsborough"",""proptp"":""sfh"",""pid"":""15519366"",""lot"":""7"",""zestibuck"":""15m_and_up"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-5757918728905484202"",""sqftrange"":""8000-8999"",""price"":""17900000"",""sqft"":""8930"",""posting_url"":""http://www.greenbanker.com"",""mlong"":""-122.366068"",""state"":""CA"",""park"":""yes"",""prange"":""15m_and_up"",""zip"":""94010"",""mlat"":""37.557535"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISircz6bo4xzce0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1960-1969"",""zestimate"":""16947086"",""premieragent"":""no""}}","null","null","null","null"
"1572898076-496","https://www.zillow.com/homes/hillsborough,-ca_rb/","","https://www.zillow.com/homedetails/761-El-Cerrito-Ave-Hillsborough-CA-94010/15522669_zpid/","Hillsborough, CA 94010","For sale","761 El Cerrito Ave,","","","3,160","4","4","$3,153,131","$3,198,000","Single Family","1962","Forced air","None","Single Family","0.53 acres","$8,366/mo","9","9","7","No Data","null","null","null","null"
"1572898158-524","https://www.zillow.com/homes/hillsborough,-ca_rb/","","https://www.zillow.com/homedetails/2205-Skyfarm-Dr-Hillsborough-CA-94010/181379162_zpid/","Hillsborough, CA 94010","Lot/land","2205 Skyfarm Dr,","","","null","0.82 acres","null","None","$4,000,000","null","null","null","null","null","null","$3,800/mo","9","9","10","{""targetDiv"":""gpt-ad-1987ce88-6183-4eff-b338-20fe320ba476"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94010"",""aamgnrc1"":""2205 Skyfarm Dr"",""mlat"":""37.571021"",""bd"":""0"",""fsbid"":""13698"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr9wwygr5xcx61000000000.jpg"",""zusr"":""true"",""city"":""Hillsborough"",""proptp"":""lot"",""pid"":""181379162"",""lot"":""5"",""listtp"":""buy_agent"",""zguidh"":""7185793831892854743"",""premieragent"":""no"",""price"":""4000000"",""posting_url"":""http://www.greenbanker.com"",""mlong"":""-122.368537"",""state"":""CA"",""prange"":""4m-4_999m""}}","null","null","null","null"
"1572898094-502","https://www.zillow.com/homes/hillsborough,-ca_rb/","","https://www.zillow.com/homedetails/35-Knightwood-Ln-Hillsborough-CA-94010/15516049_zpid/","Hillsborough, CA 94010","For sale","35 Knightwood Ln,","","","3,645","4","4","null","$5,650,000","Single Family","1956","Forced air","Central","Single Family","0.5 acres","$15,192/mo","9","9","10","No Data","null","null","null","null"
"1572898143-519","https://www.zillow.com/homes/hillsborough,-ca_rb/","","https://www.zillow.com/homedetails/20-Tea-Tree-Ct-Hillsborough-CA-94010/15517015_zpid/","Hillsborough, CA 94010","For sale","20 Tea Tree Ct,","","","3,380","5","4","$3,625,802","$3,680,000","Single Family","1974","Forced air","Other","Single Family","0.58 acres","$10,000/mo","9","9","10","No Data","null","null","null","null"
