web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572898374-559","https://www.zillow.com/homes/lafayette,-ca_rb/","","https://www.zillow.com/homedetails/229-Seclusion-Valley-Way-Lafayette-CA-94549/249604371_zpid/","Lafayette, CA 94549","New construction","229 Seclusion Valley Way,","","","4,012","4","5","$2,461,410","$2,550,000","Single Family","2019","Forced air","Central","Single Family","0.63 acres","null","10","10","10","{""targetDiv"":""gpt-ad-d5692e7e-9e86-47bc-bbe1-fddef709462f"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""229 Seclusion Valley Way"",""bd"":""4"",""fsbid"":""16588"",""city"":""Lafayette"",""proptp"":""sfh"",""pid"":""249604371"",""lot"":""4"",""zestibuck"":""2-2_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""4000-4499"",""price"":""2550000"",""sqft"":""4012"",""posting_url"":""https://hylandslafayette.com/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=38500&nhf_listing_type=community&utm_term=comm_Hylands&utm_campaign=Lafayette%2FCA"",""state"":""CA"",""mlong"":""-122.1143"",""cnty"":""Contra_Costa"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""94549"",""mlat"":""37.8992"",""plid"":""13436965"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf87bkcgvh1vb1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Brown_Avenue"",""yrblt"":""2010-2019"",""zestimate"":""2461410"",""premieragent"":""no"",""builderChatId"":""16588-788663"",""dma"":""37""}}","null","null","null","null"
"1572898284-530","https://www.zillow.com/homes/lafayette,-ca_rb/","","https://www.zillow.com/homedetails/858-Acalanes-Rd-Lafayette-CA-94549/18468638_zpid/","Lafayette, CA 94549","Pre-foreclosure","858 Acalanes Rd,","2","https://www.zillow.com/lafayette-ca/2_p/","null","3","null","$1,272,958","$1,272,958","Single Family","1939","Other","No Data","Single Family","0.58 acres","null","10","10","10","{""targetDiv"":""gpt-ad-0b8ea8cb-fa56-41c2-81a6-1876a248128a"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""858 Acalanes Rd"",""bd"":""3"",""city"":""Lafayette"",""proptp"":""sfh"",""pid"":""18468638"",""lot"":""4"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""-7434348213844552882"",""sqftrange"":""1500-1999"",""price"":""1312328"",""sqft"":""1788"",""posting_url"":"""",""mlong"":""-122.157068"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94549"",""mlat"":""37.884511"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Acalanes_Valley"",""yrblt"":""1920-1939"",""zestimate"":""1312328"",""premieragent"":""no""}}","null","null","null","null"
"1572898331-545","https://www.zillow.com/homes/lafayette,-ca_rb/","","https://www.zillow.com/homedetails/1017-Windsor-Dr-Lafayette-CA-94549/18419341_zpid/","Lafayette, CA 94549","For sale","1017 Windsor Dr,","","","null","--","null","$1,796,187","$1,749,500","Multi Family","1964","Forced air","Central","Multi Family","$514","null","10","10","10","{""targetDiv"":""gpt-ad-1a93f6eb-5f2f-42ce-a3b1-779bab6eedfa"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1017 Windsor Dr"",""bd"":""0"",""fsbid"":""14106"",""city"":""Lafayette"",""proptp"":""mfh"",""pid"":""18419341"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-3001221643202368370"",""sqftrange"":""3000-3499"",""price"":""1749500"",""oh"":""yes"",""sqft"":""3406"",""posting_url"":""http://www.erinmartinhomes.com"",""mlong"":""-122.090362"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94549"",""mlat"":""37.892617"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjb8x5ka9ks5o1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Circle_Creek"",""yrblt"":""1960-1969"",""zestimate"":""1796187"",""premieragent"":""no""}}","null","null","null","null"
"1572898294-534","https://www.zillow.com/homes/lafayette,-ca_rb/","","https://www.zillow.com/homedetails/1306-Masterson-Ln-Lafayette-CA-94549/18411493_zpid/","Lafayette, CA 94549","Pre-foreclosure / auction","1306 Masterson Ln,","2","https://www.zillow.com/lafayette-ca/2_p/","null","5","null","$1,259,099","$1,259,099","Single Family","1974","Other","Central","Single Family","0.45 acres","null","9","10","10","{""targetDiv"":""gpt-ad-ccfdc684-3457-444a-a899-0384eb9d7f4d"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1306 Masterson Ln"",""bd"":""5"",""city"":""Lafayette"",""proptp"":""sfh"",""pid"":""18411493"",""lot"":""3"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""3309392817014149373"",""sqftrange"":""2000-2499"",""price"":""1298041"",""sqft"":""2040"",""posting_url"":"""",""mlong"":""-122.092668"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94549"",""mlat"":""37.907715"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1298041"",""premieragent"":""no""}}","null","null","null","null"
"1572898396-564","https://www.zillow.com/homes/lafayette,-ca_rb/","","https://www.zillow.com/homedetails/871-Las-Trampas-Rd-Lafayette-CA-94549/18463958_zpid/","Lafayette, CA 94549","For sale","871 Las Trampas Rd,","","","2,201","4","3","$1,328,021","$1,295,000","Single Family","1975","Forced air","Central","Single Family","0.81 acres","$4,636/mo","10","10","10","No Data","null","null","null","null"
"1572898307-538","https://www.zillow.com/homes/lafayette,-ca_rb/","","https://www.zillow.com/homedetails/1239-Sunrise-Ridge-Dr-Lafayette-CA-94549/18487701_zpid/","Lafayette, CA 94549","For sale","1239 Sunrise Ridge Dr,","","","3,653","6","4","$1,510,100","$1,495,000","Single Family","1998","Forced air","Central","Single Family","0.28 acres","null","6","6","7","{""targetDiv"":""gpt-ad-ca09224d-a439-49c9-9f3b-85aa36128e33"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1239 Sunrise Ridge Dr"",""bd"":""6"",""fsbid"":""13862"",""city"":""Lafayette"",""proptp"":""sfh"",""pid"":""18487701"",""lot"":""3"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-907558237755608010"",""sqftrange"":""3500-3999"",""price"":""1495000"",""sqft"":""3653"",""posting_url"":"""",""mlong"":""-122.114393"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94549"",""mlat"":""37.951795"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvkbf19jor5ed1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1990-1999"",""zestimate"":""1510100"",""premieragent"":""no""}}","null","null","null","null"
"1572898388-562","https://www.zillow.com/homes/lafayette,-ca_rb/","","https://www.zillow.com/homedetails/145-Arbor-View-Ln-Lafayette-CA-94549/124733939_zpid/","Lafayette, CA 94549","Lot/land","145 Arbor View Ln,","","","null","0.9 acres","null","None","$1,250,000","null","null","null","null","null","null","null","9","10","10","{""targetDiv"":""gpt-ad-6546804f-43a1-4c3f-bf48-c3d4def0e929"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94549"",""aamgnrc1"":""145 Arbor View Ln"",""mlat"":""37.94149"",""bd"":""5"",""fsbid"":""13599"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7avgnhu1r3u50000000000.jpg"",""zusr"":""true"",""city"":""Lafayette"",""proptp"":""lot"",""pid"":""124733939"",""yrblt"":""2010-2019"",""lot"":""5"",""listtp"":""buy_agent"",""zguidh"":""-628233080382968463"",""premieragent"":""no"",""sqftrange"":""4000-4499"",""price"":""1250000"",""sqft"":""4300"",""posting_url"":""https://www.bhhs.com/drysdaleproperties-ca326/ca/145-arbor-view-ln-lafayette-94549/pid-2188929654?lead=MemberKey%3DCA326-001%26LeadBrand%3D11413101711000010000"",""mlong"":""-122.100895"",""state"":""CA"",""prange"":""1-1_499m""}}","null","null","null","null"
"1572898443-581","https://www.zillow.com/homes/lafayette,-ca_rb/","","https://www.zillow.com/homedetails/857A-Mountain-View-Dr-Lafayette-CA-94549/2085740572_zpid/","Lafayette, CA 94549","New construction","857A Mountain View Dr,","","","4,222","5","4","$2,076,483","$2,075,000","Single Family","1995","Forced air","Central","Single Family","0.42 acres","$7,170/mo","10","10","10","{""targetDiv"":""gpt-ad-970524ca-7301-4be3-8514-edfc5d6ac90c"",""slot"":""zillow/property_details/buy_new_home/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""857A Mountain View Dr"",""bd"":""5"",""fsbid"":""14106"",""city"":""Lafayette"",""proptp"":""sfh"",""pid"":""2085740572"",""lot"":""3"",""zestibuck"":""2-2_499m"",""listtp"":""buy_new_home"",""zguidh"":""-1385025536144960886"",""sqftrange"":""4000-4499"",""price"":""2075000"",""oh"":""yes"",""sqft"":""4222"",""posting_url"":""http://www.erinmartinhomes.com"",""mlong"":""-122.126677"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94549"",""mlat"":""37.883907"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf8js52gvrq240000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1990-1999"",""zestimate"":""2076483"",""premieragent"":""no""}}","null","null","null","null"
"1572898414-577","https://www.zillow.com/homes/lafayette,-ca_rb/","","https://www.zillow.com/homedetails/105-Villa-Ct-Lafayette-CA-94549/18404644_zpid/","Lafayette, CA 94549","Pre-foreclosure","105 Villa Ct,","","","null","6","null","$1,247,140","$1,247,140","Single Family","1962","No Data","No Data","Single Family","0.37 acres","null","7","6","9","{""targetDiv"":""gpt-ad-f820ee2f-e4bf-4e5c-ad3e-b6898a6fd05e"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""105 Villa Ct"",""bd"":""6"",""city"":""Lafayette"",""proptp"":""sfh"",""pid"":""18404644"",""lot"":""3"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""6686192258491284679"",""sqftrange"":""2500-2999"",""price"":""1285712"",""sqft"":""2770"",""posting_url"":"""",""mlong"":""-122.095696"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94549"",""mlat"":""37.930972"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1960-1969"",""zestimate"":""1285712"",""premieragent"":""no""}}","null","null","null","null"
"1572898274-526","https://www.zillow.com/homes/lafayette,-ca_rb/","","https://www.zillow.com/homedetails/1899-Reliez-Valley-Rd-Lafayette-CA-94549/95384752_zpid/","Lafayette, CA 94549","Lot/land","1899 Reliez Valley Rd,","2","https://www.zillow.com/lafayette-ca/2_p/","null","2.47 acres","null","None","$3,500,000","null","null","null","null","null","null","null","9","10","10","No Data","null","null","null","null"
