web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572898514-618","https://www.zillow.com/homes/los-altos,-ca_rb/","","https://www.zillow.com/homedetails/465-Knoll-Dr-Los-Altos-CA-94024/19628832_zpid/","Los Altos, CA 94024","For sale","465 Knoll Dr,","","","4,329","5","6","$5,946,455","$5,999,000","Single Family","1999","Forced air","Central","Single Family","0.6 acres","$13,944/mo","9","10","9","{""targetDiv"":""gpt-ad-177b684f-2adc-47e5-9f04-31db0d967ac2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""465 Knoll Dr"",""bd"":""5"",""fsbid"":""13698"",""city"":""Los_Altos"",""proptp"":""sfh"",""pid"":""19628832"",""lot"":""4"",""zestibuck"":""5m-5_999m"",""listtp"":""buy_agent"",""zguidh"":""-3479704555141652376"",""sqftrange"":""4000-4499"",""price"":""5999000"",""sqft"":""4329"",""posting_url"":""http://www.monikadavidson.com"",""mlong"":""-122.103438"",""state"":""CA"",""park"":""yes"",""prange"":""5m-5_999m"",""zip"":""94024"",""mlat"":""37.359342"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrhm2v4paq83q0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Loyola"",""yrblt"":""1990-1999"",""zestimate"":""5946455"",""premieragent"":""no""}}","null","null","null","null"
"1572898447-584","https://www.zillow.com/homes/los-altos,-ca_rb/","","https://www.zillow.com/homedetails/1070-Mercedes-Ave-APT-23-Los-Altos-CA-94022/19523982_zpid/","Los Altos, CA 94022","For sale","1070 Mercedes Ave APT 23,","","","960","2","2","$1,233,749","$1,175,000","Condo","1972","Baseboard","Wall","Condo","$550/month","$3,400/mo","8","9","9","{""targetDiv"":""gpt-ad-8b095121-2d53-421e-a785-9e49bb5b3b5b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 23"",""aamgnrc1"":""1070 Mercedes Ave"",""bd"":""2"",""fsbid"":""13753"",""city"":""Los_Altos"",""proptp"":""cnd"",""pid"":""19523982"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-1901810340101411459"",""sqftrange"":""500-999"",""price"":""1175000"",""sqft"":""960"",""posting_url"":""https://www.pacificunion.com/real-estate/1070-mercedes-avenue-23-los-altos-ca-94022/ML81765191/76596482"",""mlong"":""-122.117724"",""state"":""CA"",""prange"":""1-1_499m"",""zip"":""94022"",""mlat"":""37.402253"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjb81hf9bv4xr1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1233749"",""premieragent"":""no""}}","null","null","null","null"
"1572898568-651","https://www.zillow.com/homes/los-altos,-ca_rb/","","https://www.zillow.com/homedetails/540-Gabilan-St-Los-Altos-CA-94022/19526051_zpid/","Los Altos, CA 94022","For sale","540 Gabilan St,","","","1,775","3","3","$2,054,761","$1,998,000","Townhouse","1997","Forced air","Central","Townhouse","2,365 sqft","$5,200/mo","9","9","9","{""targetDiv"":""gpt-ad-746dbdd4-134f-4620-bfc6-f3146ebe811d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""540 Gabilan St"",""bd"":""3"",""fsbid"":""16701"",""city"":""Los_Altos"",""proptp"":""twn"",""pid"":""19526051"",""lot"":""1"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""972189910497211617"",""sqftrange"":""1500-1999"",""price"":""1998000"",""sqft"":""1775"",""posting_url"":""http://www.DavidTroyer.com"",""mlong"":""-122.110853"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94022"",""mlat"":""37.373315"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr51e4zho1vhq1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1990-1999"",""zestimate"":""2054761"",""premieragent"":""no""}}","null","null","null","null"
"1572898474-598","https://www.zillow.com/homes/los-altos,-ca_rb/","","https://www.zillow.com/homedetails/487-Tyndall-St-APT-5-Los-Altos-CA-94022/19526419_zpid/","Los Altos, CA 94022","For sale","487 Tyndall St APT 5,","","","850","2","1","$1,000,858","$998,000","Condo","1963","Electric","Other","Condo","$215/month","$3,195/mo","9","9","9","{""targetDiv"":""gpt-ad-12c32c56-0734-4da0-8f1a-fcd4000cf389"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 5"",""aamgnrc1"":""487 Tyndall St"",""bd"":""2"",""fsbid"":""13698"",""city"":""Los_Altos"",""proptp"":""cnd"",""pid"":""19526419"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""6988897829077832276"",""sqftrange"":""500-999"",""price"":""998000"",""sqft"":""850"",""posting_url"":""http://www.deleonrealty.com"",""mlong"":""-122.112856"",""state"":""CA"",""prange"":""900-999k"",""zip"":""94022"",""mlat"":""37.37433"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3bx7p0ai2ur90000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1960-1969"",""zestimate"":""1000858"",""premieragent"":""no""}}","null","null","null","null"
"1572898458-590","https://www.zillow.com/homes/los-altos,-ca_rb/","","https://www.zillow.com/homedetails/1728-Hawkins-Dr-Los-Altos-CA-94024/19534606_zpid/","Los Altos, CA 94024","Pre-foreclosure","1728 Hawkins Dr,","","","null","4","null","$2,128,078","$2,128,078","Single Family","1960","Other","No Data","Single Family","9,976 sqft","null","9","10","9","{""targetDiv"":""gpt-ad-b6d6492c-a089-405e-ad48-3cf12476f605"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1728 Hawkins Dr"",""bd"":""4"",""city"":""Los_Altos"",""proptp"":""sfh"",""pid"":""19534606"",""lot"":""2"",""zestibuck"":""2_5-2_999m"",""listtp"":""buy_foreclosure"",""zguidh"":""-8165719354368859044"",""sqftrange"":""2000-2499"",""price"":""2563950"",""sqft"":""2052"",""posting_url"":"""",""mlong"":""-122.064378"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""94024"",""mlat"":""37.358115"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1960-1969"",""zestimate"":""2563950"",""premieragent"":""no""}}","null","null","null","null"
"1572898525-623","https://www.zillow.com/homes/los-altos,-ca_rb/","","https://www.zillow.com/homedetails/1265-Thurston-Ave-Los-Altos-CA-94024/19620466_zpid/","Los Altos, CA 94024","For sale","1265 Thurston Ave,","","","3,321","4","4","$3,754,120","$3,798,000","Single Family","1997","Forced air","Central","Single Family","0.26 acres","$8,936/mo","9","8","9","{""targetDiv"":""gpt-ad-38f652a5-cb50-4184-bf16-581702c9bee3"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1265 Thurston Ave"",""bd"":""4"",""fsbid"":""13698"",""city"":""Los_Altos"",""proptp"":""sfh"",""pid"":""19620466"",""lot"":""3"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""-6044120448061917881"",""sqftrange"":""3000-3499"",""price"":""3798000"",""sqft"":""3321"",""posting_url"":""http://www.AndyRealEstate.com"",""mlong"":""-122.078751"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""94024"",""mlat"":""37.348548"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvw8t7lxh1fx81000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1990-1999"",""zestimate"":""3754120"",""premieragent"":""no""}}","null","null","null","null"
"1572898540-634","https://www.zillow.com/homes/los-altos,-ca_rb/","","https://www.zillow.com/homedetails/690-Milverton-Rd-Los-Altos-CA-94022/19527126_zpid/","Los Altos, CA 94022","For sale","690 Milverton Rd,","","","1,899","3","2","$2,564,359","$2,395,000","Single Family","1951","Forced air","None","Single Family","0.28 acres","$5,989/mo","9","9","9","{""targetDiv"":""gpt-ad-f9a0a7d3-6c50-47ab-8694-28a1afb53725"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""690 Milverton Rd"",""bd"":""3"",""fsbid"":""13698"",""city"":""Los_Altos"",""proptp"":""sfh"",""pid"":""19527126"",""lot"":""3"",""zestibuck"":""2_5-2_999m"",""listtp"":""buy_agent"",""zguidh"":""3425813982401222283"",""sqftrange"":""1500-1999"",""price"":""2395000"",""sqft"":""1899"",""posting_url"":""http://www.kevinclu.com"",""mlong"":""-122.113772"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94022"",""mlat"":""37.36812"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzvm6cmiyygrx0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1940-1959"",""zestimate"":""2564359"",""premieragent"":""no""}}","null","null","null","null"
"1572898494-606","https://www.zillow.com/homes/los-altos,-ca_rb/","","https://www.zillow.com/homedetails/268-Delphi-Cir-Los-Altos-CA-94022/19524823_zpid/","Los Altos, CA 94022","For sale","268 Delphi Cir,","","","null","4","null","$3,503,609","$3,499,000","Single Family","1981","Forced air","Central","Single Family","10,023 sqft","$8,500/mo","9","9","9","No Data","null","null","null","null"
"1572898483-600","https://www.zillow.com/homes/los-altos,-ca_rb/","","https://www.zillow.com/homedetails/201-Fremont-Ave-Los-Altos-CA-94024/19532131_zpid/","Los Altos, CA 94024","For sale","201 Fremont Ave,","","","1,686","3","7","$3,833,172","$3,795,000","Single Family","1921","Forced air","Wall","Single Family","0.82 acres","$6,500/mo","9","10","9","{""targetDiv"":""gpt-ad-39d6bb96-b33f-433a-afe9-cd0ba18b05e8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""201 Fremont Ave"",""bd"":""3"",""fsbid"":""13698"",""city"":""Los_Altos"",""proptp"":""sfh"",""pid"":""19532131"",""lot"":""5"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""9131582215508814307"",""sqftrange"":""1500-1999"",""price"":""3795000"",""sqft"":""1686"",""posting_url"":""http://www.RyanGowdy.com"",""mlong"":""-122.10934"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""94024"",""mlat"":""37.370338"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr594ab695sq20000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1920-1939"",""zestimate"":""3833172"",""premieragent"":""no""}}","null","null","null","null"
"1572898443-582","https://www.zillow.com/homes/los-altos,-ca_rb/","","https://www.zillow.com/homedetails/622-Covington-Rd-Los-Altos-CA-94024/19532052_zpid/","Los Altos, CA 94024","For sale","622 Covington Rd,","","","3,684","5","6","$4,769,343","$4,988,000","Single Family","2019","Forced air","Central","Single Family","0.33 acres","$4,200/mo","9","10","9","{""targetDiv"":""gpt-ad-e1bf4a2f-9f27-409f-a500-f6196e3d480c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""622 Covington Rd"",""bd"":""5"",""fsbid"":""16701"",""city"":""Los_Altos"",""proptp"":""sfh"",""pid"":""19532052"",""lot"":""3"",""zestibuck"":""4m-4_999m"",""listtp"":""buy_agent"",""zguidh"":""3545713960341475044"",""sqftrange"":""3500-3999"",""price"":""4988000"",""sqft"":""3684"",""posting_url"":"""",""mlong"":""-122.099109"",""state"":""CA"",""park"":""yes"",""prange"":""4m-4_999m"",""zip"":""94024"",""mlat"":""37.365583"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS76c7ovl2pcrw1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""2010-2019"",""zestimate"":""4769343"",""premieragent"":""no""}}","null","null","null","null"
