web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920039-2080","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/11460-Summit-Wood-Rd-Los-Altos-CA-94022/19629266_zpid/","Los Altos, CA 94022","For sale","11460 Summit Wood Rd,","2,424","3","3","$2,826,572","$2,850,000","Single Family","1973","Other","No Data","2 spaces","1.09 acres","$7,185/mo","9","9","9","Whole House / Attic Fan","Tile","null","Public Utilities","$16,594"
"1572919714-1992","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/W-Sunset-Dr-Los-Altos-Hills-CA-94022/153186307_zpid/","Los Altos Hills, CA 94022","Lot/land","W Sunset Dr,","null","5.47 acres","null","null","$16,000,000","null","null","null","null","null","null","$3,495/mo","9","9","9","null","null","null","null","$23,641"
"1572919709-1991","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/26920-Almaden-Ct-Los-Altos-Hills-CA-94022/19528771_zpid/","Los Altos Hills, CA 94022","For sale","26920 Almaden Ct,","3,224","4","3","$3,368,050","$3,495,000","Single Family","1968","Forced air","None","2 spaces","1.05 acres","$7,852/mo","9","8","10","null","Other","null","Public Utilities","$3,059"
"1572919690-1987","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/27466-Sunrise-Farm-Rd-Los-Altos-Hills-CA-94022/19528496_zpid/","Los Altos Hills, CA 94022","For sale","27466 Sunrise Farm Rd,","6,922","6","8","null","$8,480,000","Single Family","2001","Forced air","No Data","3 spaces","1.31 acres","$18,667/mo","9","8","10","null","No","null","Public Utilities","$85,985"
"1572920132-2103","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/27621-Via-Cerro-Gordo-Los-Altos-Hills-CA-94022/19529126_zpid/","Los Altos Hills, CA 94022","For sale","27621 Via Cerro Gordo,","3,480","2","3","$4,500,040","$4,500,000","Single Family","1973","Forced air","Central","3 spaces","2.11 acres","$10,657/mo","9","8","10","null","Composition","null","Public Utilities","$4,980"
"1572920285-2144","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/26540-Conejo-Ct-Los-Altos-Hills-CA-94022/19527979_zpid/","Los Altos Hills, CA 94022","For sale","26540 Conejo Ct,","3,435","4","4","$4,318,672","$4,288,000","Single Family","1959","Forced air","Central","2 spaces","1.04 acres","$11,000/mo","9","8","10","null","Composition","null","Public Utilities, Solar Panels - Owned","$28,949"
"1572919679-1984","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/28011-Elena-Rd-Los-Altos-Hills-CA-94022/19528237_zpid/","Los Altos Hills, CA 94022","For sale","28011 Elena Rd,","8,912","5","8","null","$10,800,000","Single Family","1983","Forced air","Central","6 spaces","4.2 acres","$23,774/mo","9","8","10","null","No","null","null","$53,084"
"1572920432-2187","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/12000-S-El-Monte-Rd-Los-Altos-Hills-CA-94022/19629201_zpid/","Los Altos Hills, CA 94022","For sale","12000 S El Monte Rd,","3,113","5","4","$3,285,305","$3,298,000","Single Family","1963","Forced air","Central","2 spaces","0.94 acres","$8,109/mo","9","9","9","null","Composition","null","Public Utilities, Natural Gas, Solar Panels - Owned","$24,074"
"1572920465-2197","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/26886-Alejandro-Dr-Los-Altos-Hills-CA-94022/19527469_zpid/","Los Altos Hills, CA 94022","For sale","26886 Alejandro Dr,","5,500","5","5","null","$5,995,000","Single Family","1959","Forced air","Central","3 spaces","1.05 acres","$13,976/mo","9","8","10","null","Tile","null","null","$51,069"
"1572920408-2178","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/11801-Francemont-Dr-Los-Altos-Hills-CA-94022/19632390_zpid/","Los Altos Hills, CA 94022","For sale","11801 Francemont Dr,","5,326","5","8","$6,251,572","$6,488,000","Single Family","1996","Forced air","Central","2 spaces","1.1 acres","$14,965/mo","9","9","9","null","Tile","null","Individual Electric Meters, Individual Gas Meters","$59,234"
