web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572900424-1367","https://www.zillow.com/homes/los-gatos-CA_rb/","","https://www.zillow.com/homedetails/16461-S-Kennedy-Rd-Los-Gatos-CA-95030/19750754_zpid/","Los Gatos, CA 95030","Lot/land","16461 S Kennedy Rd,","","","3","https://www.zillow.com/los-gatos-ca/3_p/","null","2.43 acres","null","null","$3,798,000","null","null","null","null","null","null","$3,200/mo","10","9","10","{""targetDiv"":""gpt-ad-f6bf5a9d-58da-4bfc-a1af-67d83c113263"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95030"",""aamgnrc1"":""16461 S Kennedy Rd"",""mlat"":""37.22253"",""bd"":""0"",""fsbid"":""4383"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr5hya6ptdnvt1000000000.jpg"",""zusr"":""true"",""city"":""Los_Gatos"",""proptp"":""lot"",""pid"":""19750754"",""yrblt"":""1920-1939"",""lot"":""7"",""listtp"":""buy_agent"",""zguidh"":""826245077528193849"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""3798000"",""sqft"":""1974"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/los-gatos/16461-s-south-kennedy-rd/pid_31857760/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.956403"",""state"":""CA"",""prange"":""3m-3_999m""}}","null","null","null","null"
"1572900735-1669","https://www.zillow.com/homes/los-gatos-CA_rb/","","https://www.zillow.com/homedetails/263-Los-Gatos-Blvd-Los-Gatos-CA-95030/153436434_zpid/","Los Gatos, CA 95030","For sale","263 Los Gatos Blvd,","","","","","null","--","null","$3,100,004","$3,100,000","Multi Family","1990","Forced air","Central","Multi Family","$684","$2,985/mo","10","9","10","{""targetDiv"":""gpt-ad-7668daca-8206-47e0-a55d-884e12953050"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""263 Los Gatos Blvd"",""bd"":""0"",""fsbid"":""13698"",""city"":""Los_Gatos"",""proptp"":""mfh"",""pid"":""153436434"",""lot"":""2"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""-1355828141947196744"",""sqftrange"":""4500-4999"",""price"":""3100000"",""sqft"":""4530"",""posting_url"":"""",""mlong"":""-121.970471"",""state"":""CA"",""prange"":""3m-3_999m"",""zip"":""95030"",""mlat"":""37.22469"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfg57yx2h0zsw1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1990-1999"",""zestimate"":""3100004"",""premieragent"":""no""}}","null","null","null","null"
"1572900446-1382","https://www.zillow.com/homes/los-gatos-CA_rb/","","https://www.zillow.com/homedetails/16140-Cypress-Way-Los-Gatos-CA-95030/19750936_zpid/","Los Gatos, CA 95030","Lot/land","16140 Cypress Way,","2","https://www.zillow.com/los-gatos-ca/2_p/","","","null","3.21 acres","null","None","$1,500,000","null","null","null","null","null","null","$3,500/mo","10","9","10","{""targetDiv"":""gpt-ad-03eb32db-e880-416e-af2a-38e554daa3b4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95030"",""aamgnrc1"":""16140 Cypress Way"",""mlat"":""37.211028"",""bd"":""2"",""fsbid"":""13698"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzjdz2zuvd7or1000000000.jpg"",""zusr"":""true"",""city"":""Los_Gatos"",""proptp"":""lot"",""pid"":""19750936"",""yrblt"":""1900-1919"",""lot"":""7"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""7747886802375755873"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""1500000"",""sqft"":""1260"",""posting_url"":""http://www.therealexperts.com"",""mlong"":""-121.96118"",""state"":""CA"",""prange"":""1_5-1_999m""}}","null","null","null","null"
"1572900472-1402","https://www.zillow.com/homes/los-gatos-CA_rb/","","https://www.zillow.com/homedetails/105-Westchester-Dr-Los-Gatos-CA-95032/19746625_zpid/","Los Gatos, CA 95032","Pre-foreclosure / auction","105 Westchester Dr,","2","https://www.zillow.com/los-gatos-ca/2_p/","","","null","3","null","$1,450,421","$1,450,421","Single Family","1963","Other","No Data","Single Family","7,840 sqft","null","8","9","9","{""targetDiv"":""gpt-ad-11cd1c27-b04d-4842-b1f4-26a794211b91"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""105 Westchester Dr"",""bd"":""3"",""city"":""Los_Gatos"",""proptp"":""sfh"",""pid"":""19746625"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_foreclosure"",""zguidh"":""7029248689477885182"",""sqftrange"":""2000-2499"",""price"":""1747496"",""sqft"":""2060"",""posting_url"":"""",""mlong"":""-121.944651"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""95032"",""mlat"":""37.239789"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISly4xa332a37s0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1960-1969"",""zestimate"":""1747496"",""premieragent"":""no""}}","null","null","null","null"
"1572900674-1594","https://www.zillow.com/homes/los-gatos-CA_rb/","","https://www.zillow.com/homedetails/429-Hershner-Dr-Los-Gatos-CA-95032/19748513_zpid/","Los Gatos, CA 95032","For sale","429 Hershner Dr,","","","","","1,735","4","2","$1,522,800","$1,500,000","Single Family","1965","Forced air","Wall","Single Family","6,621 sqft","$4,000/mo","8","9","9","{""targetDiv"":""gpt-ad-74e7db50-a85d-4b68-9997-75d02b223c19"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""429 Hershner Dr"",""bd"":""4"",""fsbid"":""16701"",""city"":""Los_Gatos"",""proptp"":""sfh"",""pid"":""19748513"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""2244579580116082530"",""sqftrange"":""1500-1999"",""price"":""1500000"",""sqft"":""1735"",""posting_url"":""http://www.tsegroup.com"",""mlong"":""-121.923925"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""95032"",""mlat"":""37.242928"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7y9so1uhskiw1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1960-1969"",""zestimate"":""1522800"",""premieragent"":""no""}}","null","null","null","null"
"1572900579-1494","https://www.zillow.com/homes/los-gatos-CA_rb/","","https://www.zillow.com/homedetails/14685-Oka-Rd-SPC-15-Los-Gatos-CA-95032/2082785259_zpid/","Los Gatos, CA 95032","For sale","14685 Oka Rd SPC 15,","","","","","1,260","3","2","null","$420,000","Mobile / Manufactured","2003","Forced air","No Data","Mobile / Manufactured","$333","$3,400/mo","9","9","10","{""targetDiv"":""gpt-ad-600a2971-271c-4d9c-9862-ee0207141a3d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Spc 15"",""aamgnrc1"":""14685 Oka Rd"",""bd"":""3"",""fsbid"":""4383"",""city"":""Los_Gatos"",""proptp"":""mm"",""pid"":""2082785259"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""-5673477293690733039"",""sqftrange"":""1000-1499"",""price"":""420000"",""sqft"":""1260"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/los-gatos/14685-oka-rd-15/pid_32257404/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.961022"",""state"":""CA"",""prange"":""400-449k"",""zip"":""95032"",""mlat"":""37.25618"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjvjj63ypgruc1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""2000-2009"",""zestimate"":""420003"",""premieragent"":""no""}}","null","null","null","null"
"1572900535-1460","https://www.zillow.com/homes/los-gatos-CA_rb/","","https://www.zillow.com/homedetails/100-Reservoir-Rd-Los-Gatos-CA-95030/89475183_zpid/","Los Gatos, CA 95030","For sale","100 Reservoir Rd,","2","https://www.zillow.com/los-gatos-ca/2_p/","","","4,800","4","6","$4,087,329","$4,268,000","Single Family","2008","Forced air, Radiant","Central","Single Family","0.43 acres","$11,000/mo","10","9","10","{""targetDiv"":""gpt-ad-5a2f2f41-a508-45ce-a20b-0ee02b1f94d9"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""100 Reservoir Rd"",""bd"":""4"",""fsbid"":""13698"",""city"":""Los_Gatos"",""proptp"":""sfh"",""pid"":""89475183"",""lot"":""3"",""zestibuck"":""4m-4_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-3007388912003220983"",""sqftrange"":""4500-4999"",""price"":""4268000"",""sqft"":""4800"",""posting_url"":""http://www.duckygrabill.com"",""mlong"":""-121.980943"",""state"":""CA"",""park"":""yes"",""prange"":""4m-4_999m"",""zip"":""95030"",""mlat"":""37.217716"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfkwu5qjwrre20000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""2000-2009"",""zestimate"":""4087329"",""premieragent"":""no""}}","null","null","null","null"
"1572900549-1469","https://www.zillow.com/homes/los-gatos-CA_rb/","","https://www.zillow.com/homedetails/15280-Blackberry-Hill-Rd-Los-Gatos-CA-95030/19751616_zpid/","Los Gatos, CA 95030","For sale","15280 Blackberry Hill Rd,","2","https://www.zillow.com/los-gatos-ca/2_p/","","","3,937","5","4","null","$2,800,000","Single Family","1980","Forced air","Central","Single Family","6.33 acres","$6,418/mo","10","9","10","{""targetDiv"":""gpt-ad-1762f4c0-5f92-4757-b727-7a697cbb2e59"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""15280 Blackberry Hill Rd"",""bd"":""5"",""fsbid"":""3031"",""city"":""Los_Gatos"",""proptp"":""sfh"",""pid"":""19751616"",""lot"":""8"",""zestibuck"":""2_5-2_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-2032334202453649025"",""sqftrange"":""3500-3999"",""price"":""2800000"",""sqft"":""3937"",""posting_url"":""http://www.century21.com/property/15280-Blackberry-Hill-Rd-Los-Gatos-CA-95030/11561340/detail"",""mlong"":""-121.950471"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""95030"",""mlat"":""37.206596"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISuwgbbezp56g71000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1980-1989"",""zestimate"":""2722873"",""premieragent"":""no""}}","null","null","null","null"
"1572900731-1664","https://www.zillow.com/homes/los-gatos-CA_rb/","","https://www.zillow.com/homedetails/15-Peralta-Ave-Los-Gatos-CA-95030/116156816_zpid/","Los Gatos, CA 95030","For sale","15 Peralta Ave,","","","","","1,225","2","2","$1,783,522","$1,788,000","Single Family","1890","Gas","None","Single Family","5,000 sqft","$3,400/mo","10","9","10","{""targetDiv"":""gpt-ad-5af0b875-4af2-46f4-81e8-b8fc1ec1fda4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""15 Peralta Ave"",""bd"":""2"",""fsbid"":""13698"",""city"":""Los_Gatos"",""proptp"":""sfh"",""pid"":""116156816"",""lot"":""1"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""8781991586771769461"",""sqftrange"":""1000-1499"",""price"":""1788000"",""sqft"":""1225"",""posting_url"":"""",""mlong"":""-121.989321"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""95030"",""mlat"":""37.226024"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn2spjsgp76aq0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""pre1900"",""zestimate"":""1783522"",""premieragent"":""no""}}","null","null","null","null"
"1572900530-1455","https://www.zillow.com/homes/los-gatos-CA_rb/","","https://www.zillow.com/homedetails/17915-Foster-Rd-Los-Gatos-CA-95030/19751590_zpid/","Los Gatos, CA 95030","For sale","17915 Foster Rd,","2","https://www.zillow.com/los-gatos-ca/2_p/","","","6,946","6","6","$4,299,879","$4,495,000","Single Family","1955","Forced air","Central","Single Family","3.59 acres","$11,500/mo","10","9","10","{""targetDiv"":""gpt-ad-bf7fd878-f667-4102-9701-0b0f2d9a29d8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""17915 Foster Rd"",""bd"":""6"",""fsbid"":""15050"",""city"":""Los_Gatos"",""proptp"":""sfh"",""pid"":""19751590"",""lot"":""7"",""zestibuck"":""4m-4_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-2642317152778363273"",""sqftrange"":""6000-6999"",""price"":""4495000"",""sqft"":""6946"",""posting_url"":"""",""mlong"":""-121.972744"",""state"":""CA"",""park"":""yes"",""prange"":""4m-4_999m"",""zip"":""95030"",""mlat"":""37.209112"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS768436cq5nxd1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1940-1959"",""zestimate"":""4299879"",""premieragent"":""no""}}","null","null","null","null"
