web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572900765-1707","https://www.zillow.com/homes/menlo-park-CA_rb/","","https://www.zillow.com/homedetails/1368-Sevier-Ave-Menlo-Park-CA-94025/15569587_zpid/","Menlo Park, CA 94025","For sale","1368 Sevier Ave,","","","","","1,210","3","2","$1,387,163","$1,399,888","Single Family","1949","Forced air","Central","Single Family","5,749 sqft","$4,200/mo","2","8","null","{""targetDiv"":""gpt-ad-a84e1e15-8561-4378-9b19-44968e1c9c57"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1368 Sevier Ave"",""bd"":""3"",""fsbid"":""16701"",""city"":""Menlo_Park"",""proptp"":""sfh"",""pid"":""15569587"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-1158060864198941711"",""sqftrange"":""1000-1499"",""price"":""1399888"",""sqft"":""1210"",""posting_url"":"""",""mlong"":""-122.154817"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94025"",""mlat"":""37.478588"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjbkq444fuxqi1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Belle_Haven"",""yrblt"":""1940-1959"",""zestimate"":""1387163"",""premieragent"":""no""}}","null","null","null","null"
"1572900627-1544","https://www.zillow.com/homes/menlo-park-CA_rb/","","https://www.zillow.com/homedetails/1251-Valparaiso-Ave-Menlo-Park-CA-94025/15594640_zpid/","Menlo Park, CA 94025","For sale","1251 Valparaiso Ave,","2","https://www.zillow.com/menlo-park-ca/2_p/","","","4,170","5","5","$5,299,851","$5,388,000","Single Family","1992","Forced air","Central","Single Family","0.57 acres","$14,058/mo","9","8","8","{""targetDiv"":""gpt-ad-17d7153f-3a37-470d-b77c-ce20fd2d6517"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1251 Valparaiso Ave"",""bd"":""5"",""fsbid"":""13698"",""city"":""Menlo_Park"",""proptp"":""sfh"",""pid"":""15594640"",""lot"":""4"",""zestibuck"":""5m-5_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""2392494443997860230"",""sqftrange"":""4000-4499"",""price"":""5388000"",""sqft"":""4170"",""posting_url"":""http://parc-agency.com"",""mlong"":""-122.194833"",""state"":""CA"",""park"":""yes"",""prange"":""5m-5_999m"",""zip"":""94025"",""mlat"":""37.446598"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvspnfrue8ppn1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Central_Menlo_Park"",""yrblt"":""1990-1999"",""zestimate"":""5299851"",""premieragent"":""no""}}","null","null","null","null"
"1572900489-1419","https://www.zillow.com/homes/menlo-park-CA_rb/","","https://www.zillow.com/homedetails/1224-Hollyburne-Ave-Menlo-Park-CA-94025/15582082_zpid/","Menlo Park, CA 94025","Pre-foreclosure / auction","1224 Hollyburne Ave,","","","3","https://www.zillow.com/menlo-park-ca/3_p/","null","4","null","$914,356","$914,356","Single Family","1947","No Data","No Data","Single Family","5,749 sqft","null","2","8","null","{""targetDiv"":""gpt-ad-3ee6f61c-56d8-440c-ab1d-02d64e73fabc"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1224 Hollyburne Ave"",""bd"":""4"",""city"":""Menlo_Park"",""proptp"":""sfh"",""pid"":""15582082"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""-2348170561515950435"",""sqftrange"":""1000-1499"",""price"":""1235617"",""sqft"":""1270"",""posting_url"":"""",""mlong"":""-122.157753"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94025"",""mlat"":""37.474804"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Belle_Haven"",""yrblt"":""1940-1959"",""zestimate"":""1235617"",""premieragent"":""no""}}","null","null","null","null"
"1572900528-1454","https://www.zillow.com/homes/menlo-park-CA_rb/","","https://www.zillow.com/homedetails/678-San-Benito-Ave-Menlo-Park-CA-94025/15579378_zpid/","Menlo Park, CA 94025","Pre-foreclosure","678 San Benito Ave,","2","https://www.zillow.com/menlo-park-ca/2_p/","","","null","3","null","$963,235","$963,235","Single Family","1964","Other","No Data","Single Family","3,920 sqft","null","2","5","8","{""targetDiv"":""gpt-ad-b3763e36-bc46-4e48-a29b-d6286e5a4664"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""678 San Benito Ave"",""bd"":""3"",""city"":""Menlo_Park"",""proptp"":""sfh"",""pid"":""15579378"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""-5267479731376502316"",""sqftrange"":""1000-1499"",""price"":""1301670"",""sqft"":""1250"",""posting_url"":"""",""mlong"":""-122.193865"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94025"",""mlat"":""37.474769"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS23fgdszgy8oz0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Fair_Oaks"",""yrblt"":""1960-1969"",""zestimate"":""1301670"",""premieragent"":""no""}}","null","null","null","null"
"1572900563-1477","https://www.zillow.com/homes/menlo-park-CA_rb/","","https://www.zillow.com/homedetails/1390-Delfino-Way-Menlo-Park-CA-94025/15594280_zpid/","Menlo Park, CA 94025","For sale","1390 Delfino Way,","2","https://www.zillow.com/menlo-park-ca/2_p/","","","2,650","4","4","$3,597,333","$3,698,000","Single Family","1990","Forced air","Central","Single Family","8,280 sqft","$9,800/mo","9","8","8","{""targetDiv"":""gpt-ad-5f49a051-3a01-4418-b52d-96ec11b1806c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1390 Delfino Way"",""bd"":""4"",""fsbid"":""13698"",""city"":""Menlo_Park"",""proptp"":""sfh"",""pid"":""15594280"",""lot"":""2"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""3282968794065033504"",""sqftrange"":""2500-2999"",""price"":""3698000"",""sqft"":""2650"",""posting_url"":""http://parc-agency.com"",""mlong"":""-122.201687"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""94025"",""mlat"":""37.43863"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISz78v631ciz2k0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""University_Heights"",""yrblt"":""1990-1999"",""zestimate"":""3597333"",""premieragent"":""no""}}","null","null","null","null"
"1572900656-1574","https://www.zillow.com/homes/menlo-park-CA_rb/","","https://www.zillow.com/homedetails/625-Hobart-St-Menlo-Park-CA-94025/15595536_zpid/","Menlo Park, CA 94025","For sale","625 Hobart St,","2","https://www.zillow.com/menlo-park-ca/2_p/","","","4,968","5","6","$6,615,600","$6,800,000","Single Family","2010","Forced air, Radiant","Central","Single Family","0.26 acres","$17,680/mo","9","8","8","{""targetDiv"":""gpt-ad-bcc22f8a-36b7-49ff-81ac-0d7370c68f3a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""625 Hobart St"",""bd"":""5"",""fsbid"":""14224"",""city"":""Menlo_Park"",""proptp"":""sfh"",""pid"":""15595536"",""lot"":""3"",""zestibuck"":""6m-6_999m"",""listtp"":""buy_agent"",""zguidh"":""7594048668613333987"",""sqftrange"":""4500-4999"",""price"":""6800000"",""sqft"":""4968"",""posting_url"":""http://www.SybariteRealty.com"",""mlong"":""-122.189043"",""state"":""CA"",""park"":""yes"",""prange"":""6m-6_999m"",""zip"":""94025"",""mlat"":""37.438738"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjnp6m4dghzdc0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Central_Menlo_Park"",""yrblt"":""2010-2019"",""zestimate"":""6615600"",""premieragent"":""no""}}","null","null","null","null"
"1572900799-1746","https://www.zillow.com/homes/menlo-park-CA_rb/","","https://www.zillow.com/homedetails/401-Oak-Ct-Menlo-Park-CA-94025/15587391_zpid/","Menlo Park, CA 94025","For sale","401 Oak Ct,","","","","","3,010","4","3","$3,401,774","$3,195,000","Single Family","1941","Forced air","None","Single Family","0.37 acres","$8,621/mo","8","8","8","{""targetDiv"":""gpt-ad-3de94bd7-aaa5-440a-833e-230c5ca1ffc3"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""401 Oak Ct"",""bd"":""4"",""fsbid"":""13698"",""city"":""Menlo_Park"",""proptp"":""sfh"",""pid"":""15587391"",""lot"":""3"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""-2502197580861747102"",""sqftrange"":""3000-3499"",""price"":""3195000"",""sqft"":""3010"",""posting_url"":""http://www.mcnairgroup.com"",""mlong"":""-122.148007"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""94025"",""mlat"":""37.458141"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbdk5bzjaxmn50000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""The_Willows"",""yrblt"":""1940-1959"",""zestimate"":""3401774"",""premieragent"":""no""}}","null","null","null","null"
"1572900788-1735","https://www.zillow.com/homes/menlo-park-CA_rb/","","https://www.zillow.com/homedetails/1111-Woodland-Ave-Menlo-Park-CA-94025/82955495_zpid/","Menlo Park, CA 94025","For sale","1111 Woodland Ave,","","","","","1,993","4","3","$2,682,457","$2,595,000","Single Family","2007","Forced air","Central","Single Family","5,610 sqft","$6,863/mo","8","8","8","{""targetDiv"":""gpt-ad-9cf9873f-39eb-489c-86d1-bf572bf96887"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1111 Woodland Ave"",""bd"":""4"",""fsbid"":""13698"",""city"":""Menlo_Park"",""proptp"":""sfh"",""pid"":""82955495"",""lot"":""2"",""zestibuck"":""2_5-2_999m"",""listtp"":""buy_agent"",""zguidh"":""2182026900578185332"",""sqftrange"":""1500-1999"",""price"":""2595000"",""sqft"":""1993"",""posting_url"":""http://www.colleenforaker.com"",""mlong"":""-122.152172"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""94025"",""mlat"":""37.45846"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7yx689so2uhu0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""The_Willows"",""yrblt"":""2000-2009"",""zestimate"":""2682457"",""premieragent"":""no""}}","null","null","null","null"
"1572900821-1760","https://www.zillow.com/homes/menlo-park-CA_rb/","","https://www.zillow.com/homedetails/1539-Laurel-Pl-Menlo-Park-CA-94025/15581428_zpid/","Menlo Park, CA 94025","For sale","1539 Laurel Pl,","","","","","1,240","3","1","None","$2,800,000","Single Family","1951","Other","Wall","Single Family","0.25 acres","$4,000/mo","8","8","8","{""targetDiv"":""gpt-ad-c8ea33d4-2f64-41a7-9c5e-425d71453029"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94025"",""aamgnrc1"":""1539 Laurel Pl"",""mlat"":""37.458847"",""bd"":""3"",""fsbid"":""13698"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbdgawvdzcs831000000000.jpg"",""zusr"":""true"",""city"":""Menlo_Park"",""proptp"":""sfh"",""pid"":""15581428"",""yrblt"":""1940-1959"",""lot"":""3"",""listtp"":""buy_agent"",""zguidh"":""-9029808038859347609"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""2800000"",""sqft"":""1240"",""posting_url"":""http://www.RealEstatebyTim.com"",""mlong"":""-122.188091"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m""}}","null","null","null","null"
"1572900633-1551","https://www.zillow.com/homes/menlo-park-CA_rb/","","https://www.zillow.com/homedetails/2355-Sharon-Rd-Menlo-Park-CA-94025/15637609_zpid/","Menlo Park, CA 94025","For sale","2355 Sharon Rd,","2","https://www.zillow.com/menlo-park-ca/2_p/","","","1,200","2","2","$1,200,000","$1,200,000","Condo","1968","Forced air","Central","Condo","$504/month","$3,950/mo","9","8","null","{""targetDiv"":""gpt-ad-2fa3b500-a8ed-4ce2-a47d-f49bad4213bd"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2355 Sharon Rd"",""bd"":""2"",""fsbid"":""16701"",""city"":""Menlo_Park"",""proptp"":""cnd"",""pid"":""15637609"",""lot"":""7"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""7448845638756439362"",""sqftrange"":""1000-1499"",""price"":""1200000"",""sqft"":""1200"",""posting_url"":"""",""mlong"":""-122.198215"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94025"",""mlat"":""37.427015"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3jj22j0vvseg0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Sharon_Heights"",""yrblt"":""1960-1969"",""zestimate"":""1200000"",""premieragent"":""no""}}","null","null","null","null"
