web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572900886-1815","https://www.zillow.com/homes/mill-valley-CA_rb/","","https://www.zillow.com/homedetails/165-Marion-Ave-Mill-Valley-CA-94941/19255501_zpid/","Mill Valley, CA 94941","For sale","165 Marion Ave,","","","","","2,515","4","3","null","$1,549,000","Single Family","1903","Other","No Data","Single Family","10,018 sqft","$6,700/mo","9","9","9","{""targetDiv"":""gpt-ad-076fe476-2969-42e8-b9a4-a684d097ae22"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""165 Marion Ave"",""bd"":""4"",""fsbid"":""4383"",""city"":""Mill_Valley"",""proptp"":""sfh"",""pid"":""19255501"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""3508141956961250187"",""sqftrange"":""2500-2999"",""price"":""1549000"",""sqft"":""2515"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/mill-valley/165-marion-ave/pid_32929688/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.557357"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94941"",""mlat"":""37.906099"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbhjrq6bqysao0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Cascade_Canyon"",""yrblt"":""1900-1919"",""zestimate"":""1679132"",""premieragent"":""no""}}","null","null","null","null"
"1572900881-1811","https://www.zillow.com/homes/mill-valley-CA_rb/","","https://www.zillow.com/homedetails/135-Elinor-Ave-Mill-Valley-CA-94941/19256421_zpid/","Mill Valley, CA 94941","For sale","135 Elinor Ave,","","","","","2,655","5","4","$2,986,332","$2,850,000","Single Family","1937","Forced air, Radiant","No Data","Single Family","7,840 sqft","$10,246/mo","9","9","9","{""targetDiv"":""gpt-ad-95854ce0-1ffc-4920-9e04-1652a116f1f6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""135 Elinor Ave"",""bd"":""5"",""fsbid"":""14224"",""city"":""Mill_Valley"",""proptp"":""sfh"",""pid"":""19256421"",""lot"":""2"",""zestibuck"":""2_5-2_999m"",""listtp"":""buy_agent"",""zguidh"":""-8946106922519239772"",""sqftrange"":""2500-2999"",""price"":""2850000"",""sqft"":""2655"",""posting_url"":"""",""mlong"":""-122.540582"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""94941"",""mlat"":""37.909154"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfcyyjie5yb3t0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Warner_Canyon/Kite_Hill"",""yrblt"":""1920-1939"",""zestimate"":""2986332"",""premieragent"":""no""}}","null","null","null","null"
"1572900783-1730","https://www.zillow.com/homes/mill-valley-CA_rb/","","https://www.zillow.com/homedetails/11-Sky-Rd-Mill-Valley-CA-94941/58766867_zpid/","Mill Valley, CA 94941","Pre-foreclosure","11 Sky Rd,","","","","","3,458","4","3","$2,553,888","$2,553,888","Single Family","1993","Other","Central","Single Family","0.46 acres","null","9","9","9","{""targetDiv"":""gpt-ad-76e3ad74-f34b-4051-83d7-1ec8ad97a768"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""11 Sky Rd"",""bd"":""4"",""city"":""Mill_Valley"",""proptp"":""sfh"",""pid"":""58766867"",""lot"":""3"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_foreclosure"",""zguidh"":""-7019128217802259718"",""sqftrange"":""3000-3499"",""price"":""3428757"",""sqft"":""3458"",""posting_url"":"""",""mlong"":""-122.506612"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""94941"",""mlat"":""37.901571"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn6fqa5zupz0f0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Strawberry"",""yrblt"":""1990-1999"",""zestimate"":""3428757"",""premieragent"":""no""}}","null","null","null","null"
"1572900606-1517","https://www.zillow.com/homes/mill-valley-CA_rb/","","https://www.zillow.com/homedetails/61-N-Knoll-Rd-Mill-Valley-CA-94941/19259296_zpid/","Mill Valley, CA 94941","For sale","61 N Knoll Rd,","2","https://www.zillow.com/mill-valley-ca/2_p/","","","5,072","7","5","$3,017,736","$3,120,000","Single Family","1969","Baseboard","No Data","Single Family","0.28 acres","$10,990/mo","9","9","9","{""targetDiv"":""gpt-ad-6caca1f3-f50b-41b4-8885-6021ca5f896d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""61 N Knoll Rd"",""bd"":""7"",""fsbid"":""13601"",""city"":""Mill_Valley"",""proptp"":""sfh"",""pid"":""19259296"",""lot"":""3"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""6693544596817156835"",""sqftrange"":""5000-5999"",""price"":""3120000"",""sqft"":""5072"",""posting_url"":""http://greathomes.org/mls/property/21914243"",""mlong"":""-122.512688"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""94941"",""mlat"":""37.904619"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISm2wkmux6jfaq0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Strawberry"",""yrblt"":""1960-1969"",""zestimate"":""3017736"",""premieragent"":""no""}}","null","null","null","null"
"1572900709-1641","https://www.zillow.com/homes/mill-valley-CA_rb/","","https://www.zillow.com/homedetails/41-Ethel-Ave-Mill-Valley-CA-94941/19255534_zpid/","Mill Valley, CA 94941","For sale","41 Ethel Ave,","2","https://www.zillow.com/mill-valley-ca/2_p/","","","1,709","3","3","null","$1,595,000","Single Family","1922","Forced air","None","Single Family","7,265 sqft","$5,995/mo","9","9","9","{""targetDiv"":""gpt-ad-d185d97c-c9fa-4493-bca9-f2d1bc7b4be0"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""41 Ethel Ave"",""bd"":""3"",""fsbid"":""9457"",""city"":""Mill_Valley"",""proptp"":""sfh"",""pid"":""19255534"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""5010391672932646522"",""sqftrange"":""1500-1999"",""price"":""1595000"",""sqft"":""1709"",""posting_url"":""https://www.sothebysrealty.com/id/q9rmj9"",""mlong"":""-122.549632"",""state"":""CA"",""prange"":""1_5-1_999m"",""zip"":""94941"",""mlat"":""37.904182"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvkvaz3dkahbl0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Cascade_Canyon"",""yrblt"":""1920-1939"",""zestimate"":""1627029"",""premieragent"":""no""}}","null","null","null","null"
"1572900571-1485","https://www.zillow.com/homes/mill-valley-CA_rb/","","https://www.zillow.com/homedetails/25-Roque-Moraes-Ct-Mill-Valley-CA-94941/80747436_zpid/","Mill Valley, CA 94941","For sale","25 Roque Moraes Ct,","","","3","https://www.zillow.com/mill-valley-ca/3_p/","null","6","null","None","$3,999,999","Multi Family","1959","No Data","No Data","Multi Family","$876","$11,750/mo","9","9","9","{""targetDiv"":""gpt-ad-7850f350-a96a-45d9-8778-849cd1301792"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94941"",""aamgnrc1"":""25 Roque Moraes Ct"",""mlat"":""37.900658"",""bd"":""6"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISm6j9ko05mhj50000000000.jpg"",""zusr"":""true"",""city"":""Mill_Valley"",""proptp"":""mfh"",""pid"":""80747436"",""hood"":""Bayfront/Enchanted_Knolls/Shelter_Ridge"",""yrblt"":""1940-1959"",""lot"":""2"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""1061885024478618625"",""premieragent"":""no"",""sqftrange"":""4500-4999"",""price"":""3999999"",""sqft"":""4568"",""posting_url"":""http://greathomes.org/mls/property/21823294"",""mlong"":""-122.525304"",""state"":""CA"",""prange"":""3m-3_999m""}}","null","null","null","null"
"1572900898-1825","https://www.zillow.com/homes/mill-valley-CA_rb/","","https://www.zillow.com/homedetails/3223-Shelter-Bay-Ave-Mill-Valley-CA-94941/19258271_zpid/","Mill Valley, CA 94941","For sale","3223 Shelter Bay Ave,","","","","","1,124","2","3","$973,957","$899,000","Condo","1965","Forced air","No Data","Condo","$884/month","$3,900/mo","9","9","9","{""targetDiv"":""gpt-ad-90dc9bfe-41cb-4118-a5fd-919ad24d3efc"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3223 Shelter Bay Ave"",""bd"":""2"",""fsbid"":""13753"",""city"":""Mill_Valley"",""proptp"":""cnd"",""pid"":""19258271"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""-8302119182351076307"",""sqftrange"":""1000-1499"",""price"":""899000"",""sqft"":""1124"",""posting_url"":""https://www.pacificunion.com/real-estate/3223-shelter-bay-avenue-mill-valley-ca-94941/21926283/78745411"",""mlong"":""-122.518992"",""state"":""CA"",""prange"":""800-899k"",""zip"":""94941"",""mlat"":""37.89209"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISneh9h3acgjux1000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""hood"":""Bayfront/Enchanted_Knolls/Shelter_Ridge"",""yrblt"":""1960-1969"",""zestimate"":""973957"",""premieragent"":""no""}}","null","null","null","null"
"1572900602-1515","https://www.zillow.com/homes/mill-valley-CA_rb/","","https://www.zillow.com/homedetails/420-Laverne-Ave-Mill-Valley-CA-94941/19263169_zpid/","Mill Valley, CA 94941","Lot/land","420 Laverne Ave,","2","https://www.zillow.com/mill-valley-ca/2_p/","","","null","0.28 acres","null","None","$1,695,000","null","null","null","null","null","null","$3,900/mo","9","9","9","{""targetDiv"":""gpt-ad-f474bd41-176e-4d49-9000-e5b8d7abc3b8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94941"",""aamgnrc1"":""420 Laverne Ave"",""mlat"":""37.897275"",""bd"":""4"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7yxe2m458lrr1000000000.jpg"",""zusr"":""true"",""city"":""Mill_Valley"",""proptp"":""lot"",""pid"":""19263169"",""hood"":""Homestead_Valley"",""yrblt"":""1960-1969"",""lot"":""3"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""7568740406702355385"",""premieragent"":""no"",""sqftrange"":""3000-3499"",""price"":""1695000"",""sqft"":""3249"",""posting_url"":""http://greathomes.org/mls/property/21913109"",""mlong"":""-122.549666"",""state"":""CA"",""prange"":""1_5-1_999m""}}","null","null","null","null"
"1572900660-1581","https://www.zillow.com/homes/mill-valley-CA_rb/","","https://www.zillow.com/homedetails/720-Edgewood-Ave-Mill-Valley-CA-94941/19262999_zpid/","Mill Valley, CA 94941","For sale","720 Edgewood Ave,","2","https://www.zillow.com/mill-valley-ca/2_p/","","","5,955","5","4","null","$6,750,000","Single Family","2002","Other","No Data","Single Family","6.6 acres","$22,357/mo","9","9","9","No Data","null","null","null","null"
"1572900838-1775","https://www.zillow.com/homes/mill-valley-CA_rb/","","https://www.zillow.com/homedetails/150-Seminary-Dr-APT-2F-Mill-Valley-CA-94941/19262452_zpid/","Mill Valley, CA 94941","For sale","150 Seminary Dr APT 2F,","","","","","789","1","1","null","$624,000","Single Family","1974","Other","No Data","Single Family","1,799 sqft","$3,000/mo","9","9","9","{""targetDiv"":""gpt-ad-9677eb93-dae1-44ea-a71f-c54bb29a8be6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 2F"",""aamgnrc1"":""150 Seminary Dr"",""bd"":""1"",""fsbid"":""9457"",""city"":""Mill_Valley"",""proptp"":""sfh"",""pid"":""19262452"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""2554230252979058586"",""sqftrange"":""500-999"",""price"":""624000"",""sqft"":""789"",""posting_url"":""https://www.sothebysrealty.com/id/bpvvg7"",""mlong"":""-122.509013"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94941"",""mlat"":""37.887542"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjrcv36zbdr8k0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Strawberry"",""yrblt"":""1970-1979"",""zestimate"":""633819"",""premieragent"":""no""}}","null","null","null","null"
