web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572919956-2053","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/22-Bertocchi-Ln-Millbrae-CA-94030/15500298_zpid/","Millbrae, CA 94030","For sale","22 Bertocchi Ln,","2,425","4","4","$2,359,808","$2,290,000","Single Family","1968","Forced air","None","3 spaces","6,133 sqft","$5,602/mo","9","7","9","None","Tile","null","Individual Electric Meters, Individual Gas Meters","$17,189"
"1572919928-2043","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/88-S-Broadway-UNIT-2302-Millbrae-CA-94030/82953374_zpid/","Millbrae, CA 94030","For sale","88 S Broadway UNIT 2302,","1,756","2","2","$1,749,999","$1,680,000","Condo","2007","Forced air","Central","Attached Garage","$619/month","$4,500/mo","7","7","9","null","Tile","null","Individual Electric Meters, Public Utilities, Individual Gas Meters","$17,959"
"1572919794-2012","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/219-Cuardo-Ave-Millbrae-CA-94030/15509902_zpid/","Millbrae, CA 94030","Pre-foreclosure","219 Cuardo Ave,","null","4","null","$1,178,368","$1,178,368","Single Family","1955","Other","No Data","Attached Garage","5,270 sqft","null","7","7","9","null","No","null","null","$1,315"
"1572919731-1996","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/1132-Millbrae-Ave-Millbrae-CA-94030/15510248_zpid/","Millbrae, CA 94030","For sale","1132 Millbrae Ave,","3,900","5","4","null","$2,488,000","Single Family","1967","Forced air","None","2 spaces","7,348 sqft","$6,391/mo","7","7","9","None","Composition","null","Public Utilities","$20,534"
"1572919741-1998","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/13-Corte-Ana-Millbrae-CA-94030/15509749_zpid/","Millbrae, CA 94030","Pre-foreclosure / auction","13 Corte Ana,","1,140","3","1","null","null","Single Family","1945","No Data","None","Attached Garage","4,743 sqft","null","7","7","9","null","No","null","Public Utilities","$8,462"
"1572919745-2000","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/651-Capuchino-Dr-Millbrae-CA-94030/15500400_zpid/","Millbrae, CA 94030","Pre-foreclosure / auction","651 Capuchino Dr,","4,280","5","4","$2,506,473","$2,506,473","Single Family","1988","Forced air, Other","No Data","3 spaces","0.54 acres","null","9","7","9","null","Tile","null","null","$26,689"
"1572919778-2007","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/710-Santa-Barbara-Ave-Millbrae-CA-94030/89238132_zpid/","Millbrae, CA 94030","For sale","710 Santa Barbara Ave,","4,140","5","6","$3,707,314","$3,800,000","Single Family","2008","Forced air","Central","Attached Garage","0.37 acres","$9,995/mo","9","7","9","null","Other","null","Public Utilities","$24,186"
"1572920048-2083","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/815-Larkspur-Dr-Millbrae-CA-94030/15501219_zpid/","Millbrae, CA 94030","For sale","815 Larkspur Dr,","1,880","3","2","null","$1,658,000","Single Family","1963","Forced air","None","Attached Garage","8,951 sqft","$4,500/mo","9","7","9","None","Composition","null","Public Utilities","$2,010"
"1572919751-2001","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/1330-Millbrae-Ave-Millbrae-CA-94030/15510041_zpid/","Millbrae, CA 94030","For sale","1330 Millbrae Ave,","2,910","3","3","$2,213,625","$2,198,000","Single Family","1980","Forced air","None","Attached Garage","0.46 acres","$5,586/mo","7","7","9","None","Shake/Shingle","null","Public Utilities","$8,044"
"1572920211-2125","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/11-Robert-Pl-Millbrae-CA-94030/15502213_zpid/","Millbrae, CA 94030","For sale","11 Robert Pl,","1,430","3","2","$1,576,343","$1,498,000","Single Family","1948","Forced air","None","Carport","5,135 sqft","$4,500/mo","9","7","9","null","Composition","null","Public Utilities","$1,412"
"1572919810-2016","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/250-Poplar-Ave-Millbrae-CA-94030/15509651_zpid/","Millbrae, CA 94030","Pre-foreclosure / auction","250 Poplar Ave,","null","3","null","$1,206,979","$1,206,979","Single Family","1928","Forced air","Central","On street, Attached Garage","6,185 sqft","null","7","7","9","Central","Asphalt","null","null","$1,655"
"1572919824-2020","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/318-Beverly-Ave-Millbrae-CA-94030/15509790_zpid/","Millbrae, CA 94030","Coming soon: Oct 3.","318 Beverly Ave,","920","3","1","$1,187,360","$1,350,000","Single Family","1944","No Data","No Data","2 spaces","5,000 sqft","$3,800/mo","7","7","9","null","Composition","null","null","$8,444"
"1572920058-2086","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/910-Hacienda-Way-Millbrae-CA-94030/15500307_zpid/","Millbrae, CA 94030","For sale","910 Hacienda Way,","2,220","3","3","$2,142,874","$1,938,000","Single Family","1926","Other","None","Attached Garage","8,694 sqft","$4,895/mo","9","7","9","None","No","null","Public Utilities","$1,746"
"1572920171-2114","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/219-Castenada-Dr-Millbrae-CA-94030/15510532_zpid/","Millbrae, CA 94030","For sale","219 Castenada Dr,","2,030","4","2","$2,425,354","$2,250,000","Single Family","1959","Forced air","None","Attached Garage","0.46 acres","$5,586/mo","7","7","9","null","Metal","null","Public Utilities","$2,023"
"1572920226-2127","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/3-View-Ter-Millbrae-CA-94030/15510256_zpid/","Millbrae, CA 94030","For sale","3 View Ter,","2,360","3","2","null","$1,800,000","Single Family","1960","Forced air","None","Carport","10,798 sqft","$5,401/mo","7","7","9","None","No","null","Public Utilities","$5,766"
