web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572904022-750","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/77-S-Milpitas-Blvd-Milpitas-CA-95035/2084473422_zpid/","Milpitas, CA 95035","For sale","77 S Milpitas Blvd,","","","3","https://www.zillow.com/milpitas-ca/3_p/","","","1,555","2","2","$984,512","$1,006,715","Condo","2019","Forced air","Central","2 spaces","$442/month","$3,395/mo","7","8","9","null","Composition","null","Public Utilities","null"
"1572907151-1150","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/community/somont/2088296349_zpid/","Milpitas, CA 95035","New construction","Buildable plan: Residence 8, SoMont,","","","","","","","1,522","3","2.5","None","$1,000,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","9","9","{""targetDiv"":""gpt-ad-778d4c2b-3ca1-491a-81dd-1f5f8f3df04a"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" OJH8XJ"",""aamgnrc1"":""1630 Delano St"",""bd"":""3"",""fsbid"":""11527"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""2088296349"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""1500-1999"",""price"":""1000880"",""sqft"":""1522"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/milpitas/somont?utm_medium=listing&utm_source=zillowtrulia&nhf_channel=6&nhf_listing_id=49317&nhf_listing_type=community&utm_term=comm_SoMont&utm_campaign=bahlen_listing_zillowtrulia_somont"",""state"":""CA"",""mlong"":""-121.921"",""cnty"":""Santa_Clara"",""prange"":""1-1_499m"",""zip"":""95035"",""mlat"":""37.452"",""plid"":""31573"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISegpetyg0nxan1000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""11527-815754"",""dma"":""37""}}","Yes","null","null","null"
"1572903955-735","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/3463-Calaveras-Rd-Milpitas-CA-95035/300472231_zpid/","Milpitas, CA 95035","For sale","3463 Calaveras Rd,","","","3","https://www.zillow.com/milpitas-ca/3_p/","","","1,700","3","2","None","$10,000,000","Single Family","1960","No Data","Wall","No Data","32.64 acres","$3,300/mo","7","8","9","null","Composition","null","Propane On Site, Public Utilities","$2,012"
"1572908113-1427","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/1604-Quail-Dr-Milpitas-CA-95035/19478350_zpid/","Milpitas, CA 95035","For sale","1604 Quail Dr,","","","","","","","1,717","4","3","$1,201,480","$1,145,000","Single Family","1978","Forced air","None","2 spaces","6,847 sqft","$3,800/mo","7","9","9","null","Tile","null","Individual Electric Meters","$7,989"
"1572905122-1129","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/120-Dixon-Landing-Rd-SPC-79-Milpitas-CA-95035/2082480655_zpid/","Milpitas, CA 95035","For sale","120 Dixon Landing Rd SPC 79,","2","https://www.zillow.com/milpitas-ca/2_p/","","","","","1,780","4","2","$400,381","$399,996","Mobile / Manufactured","No Data","No Data","No Data","No Data","$225","$3,650/mo","8","9","9","null","No","null","null","null"
"1572907851-1343","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/community/somont/2088296358_zpid/","Milpitas, CA 95035","New construction","Buildable plan: Residence 15, SoMont,","","","","","","","2,306","4","3.5","None","$1,233,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","9","9","{""targetDiv"":""gpt-ad-af10fb4c-4348-4126-9aed-e19741abb6cf"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" NSYARZ"",""aamgnrc1"":""1630 Delano St"",""bd"":""4"",""fsbid"":""11527"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""2088296358"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""2000-2499"",""price"":""1233880"",""sqft"":""2306"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/milpitas/somont?utm_medium=listing&utm_source=zillowtrulia&nhf_channel=6&nhf_listing_id=49317&nhf_listing_type=community&utm_term=comm_SoMont&utm_campaign=bahlen_listing_zillowtrulia_somont"",""state"":""CA"",""mlong"":""-121.921"",""cnty"":""Santa_Clara"",""prange"":""1-1_499m"",""zip"":""95035"",""mlat"":""37.452"",""plid"":""31573"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISe0t2qhcuqfrg0000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""11527-815754"",""dma"":""37""}}","Yes","null","null","null"
"1572903772-688","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/1655-Delano-St-UNIT-21-Milpitas-CA-95035/300482502_zpid/","Milpitas, CA 95035","New construction","1655 Delano St UNIT 21,","","","","","4","https://www.zillow.com/milpitas-ca/4_p/","1,458","3","3","$952,972","$973,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","9","7","7","{""targetDiv"":""gpt-ad-fbc6dcc4-85c8-46f7-9fc2-5083df54160c"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 21"",""aamgnrc1"":""1655 Delano St"",""bd"":""3"",""fsbid"":""11527"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""300482502"",""zestibuck"":""900-999k"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""1000-1499"",""price"":""973880"",""sqft"":""1458"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/milpitas/somont?utm_medium=listing&utm_source=zillowtrulia&nhf_channel=6&nhf_listing_id=49317&nhf_listing_type=community&utm_term=comm_SoMont&utm_campaign=bahlen_listing_zillowtrulia_somont"",""state"":""CA"",""mlong"":""-121.893924"",""cnty"":""Santa_Clara"",""prange"":""900-999k"",""zip"":""95035"",""mlat"":""37.408345"",""plid"":""31573"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr516a69kzbay0000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""2010-2019"",""zestimate"":""952972"",""premieragent"":""no"",""builderChatId"":""11527-815754"",""dma"":""37""}}","Yes","null","null","$3,764"
"1572907212-1162","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/514-Vista-Spring-Ct-Milpitas-CA-95035/19479158_zpid/","Milpitas, CA 95035","For sale","514 Vista Spring Ct,","","","","","","","4,311","4","6","null","$2,100,000","Single Family","1992","Forced air","Central","3 spaces","1.47 acres","$6,200/mo","null","null","null","null","Tile","null","Propane On Site, Individual Electric Meters","$20,379"
"1572903768-685","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/390-Hearst-Dr-Milpitas-CA-95035/300479937_zpid/","Milpitas, CA 95035","New construction","390 Hearst Dr,","","","","","4","https://www.zillow.com/milpitas-ca/4_p/","1,774","2","4","$985,106","$999,990","Townhouse","2019","Other","Central","Townhouse","1,476 sqft","null","3","8","9","Heating - 2+ Zones","Composition","null","Individual Electric Meters","$4,881"
"1572904146-791","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/community/prynt-in-milpitas/2082501403_zpid/","Milpitas, CA 95035","New construction","Buildable plan: Residence 6 Prynt, Prynt in Milpitas,","","","3","https://www.zillow.com/milpitas-ca/3_p/","","","1,786","3","3","$1,042,044","$1,042,000","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","8","9","{""targetDiv"":""gpt-ad-fbc39adf-9cfd-4996-aeeb-0b134418f31e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" JUVNZM"",""aamgnrc1"":""Open By Appointment Only"",""bd"":""3"",""fsbid"":""12949"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""2082501403"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""1500-1999"",""price"":""1042000"",""sqft"":""1786"",""posting_url"":""https://www.taylormorrison.com/ca/bay-area/milpitas/prynt?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=39581&nhf_listing_type=community&utm_term=comm_PryntinMilpitas&utm_campaign=Milpitas%2FCA"",""state"":""CA"",""mlong"":""-121.899646"",""cnty"":""Marin"",""prange"":""1-1_499m"",""zip"":""95035"",""mlat"":""37.431389"",""plid"":""39772"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS37ypk0jhcek01000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1042044"",""premieragent"":""no"",""builderChatId"":""12949-812707"",""dma"":""37""}}","Yes","null","null","null"
"1572907536-1233","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/community/somont/2088296352_zpid/","Milpitas, CA 95035","New construction","Buildable plan: Residence 9, SoMont,","","","","","","","1,530","3","2.5","None","$1,003,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","9","9","{""targetDiv"":""gpt-ad-54eb0e97-045f-4869-aa3e-33246467f6d0"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" OK11IX"",""aamgnrc1"":""1630 Delano St"",""bd"":""3"",""fsbid"":""11527"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""2088296352"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""1500-1999"",""price"":""1003880"",""sqft"":""1530"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/milpitas/somont?utm_medium=listing&utm_source=zillowtrulia&nhf_channel=6&nhf_listing_id=49317&nhf_listing_type=community&utm_term=comm_SoMont&utm_campaign=bahlen_listing_zillowtrulia_somont"",""state"":""CA"",""mlong"":""-121.921"",""cnty"":""Santa_Clara"",""prange"":""1-1_499m"",""zip"":""95035"",""mlat"":""37.452"",""plid"":""31573"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISah3zl3mce80n1000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""11527-815754"",""dma"":""37""}}","Yes","null","null","null"
"1572908257-1471","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/370-Hearst-Dr-Milpitas-CA-95035/300275294_zpid/","Milpitas, CA 95035","For sale","370 Hearst Dr,","","","","","","","1,774","2","4","$990,186","$999,990","Condo","2019","Forced air","Central","2 spaces","$442/month","$3,500/mo","3","8","9","null","Composition","null","Public Utilities","$4,568"
"1572905048-1102","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/115-Coelho-St-Milpitas-CA-95035/19473821_zpid/","Milpitas, CA 95035","Pre-foreclosure / auction","115 Coelho St,","2","https://www.zillow.com/milpitas-ca/2_p/","","","","","null","3","null","$704,063","$704,063","Single Family","1954","Other","No Data","2 spaces","7,500 sqft","null","7","9","9","null","No","null","null","$801"
"1572904757-1001","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/1617-Carl-Ave-Milpitas-CA-95035/19477795_zpid/","Milpitas, CA 95035","Pre-foreclosure","1617 Carl Ave,","2","https://www.zillow.com/milpitas-ca/2_p/","","","","","null","3","null","$751,861","$751,861","Single Family","1962","Other","No Data","2 spaces","8,720 sqft","null","7","8","9","null","No","null","null","$2,550"
"1572903991-741","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/community/prynt-in-milpitas/2082501398_zpid/","Milpitas, CA 95035","New construction","Buildable plan: Residence 10 Prynt, Prynt in Milpitas,","","","3","https://www.zillow.com/milpitas-ca/3_p/","","","1,555","2","3","$1,032,002","$1,032,000","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","8","9","{""targetDiv"":""gpt-ad-b57ad16e-cc6e-4c84-8d62-a8cee243ef44"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" ABPIVJ"",""aamgnrc1"":""Open By Appointment Only"",""bd"":""2"",""fsbid"":""12949"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""2082501398"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""1500-1999"",""price"":""1032000"",""sqft"":""1555"",""posting_url"":""https://www.taylormorrison.com/ca/bay-area/milpitas/prynt?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=39581&nhf_listing_type=community&utm_term=comm_PryntinMilpitas&utm_campaign=Milpitas%2FCA"",""state"":""CA"",""mlong"":""-121.899646"",""cnty"":""Sonoma"",""prange"":""1-1_499m"",""zip"":""95035"",""mlat"":""37.431389"",""plid"":""39772"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS729e4x3mh0k01000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1032002"",""premieragent"":""no"",""builderChatId"":""12949-812707"",""dma"":""37""}}","Yes","null","null","null"
