web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572898569-652","https://www.zillow.com/homes/moraga,-ca_rb/","","https://www.zillow.com/homedetails/194-Miramonte-Dr-Moraga-CA-94556/18471954_zpid/","Moraga, CA 94556","For sale","194 Miramonte Dr,","","","1,514","4","2","$822,500","$799,000","Townhouse","1965","Forced air","Central","Townhouse","1,624 sqft","null","9","10","9","{""targetDiv"":""gpt-ad-f554373f-30ca-4bb5-be00-167edbd30a21"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""194 Miramonte Dr"",""bd"":""4"",""fsbid"":""14106"",""city"":""Moraga"",""proptp"":""twn"",""pid"":""18471954"",""lot"":""1"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""1663055072893287504"",""sqftrange"":""1500-1999"",""price"":""799000"",""sqft"":""1514"",""posting_url"":"""",""mlong"":""-122.144955"",""state"":""CA"",""prange"":""700-799k"",""zip"":""94556"",""mlat"":""37.839526"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3zncll9focb91000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1960-1969"",""zestimate"":""822500"",""premieragent"":""no""}}","null","null","null","null"
"1572898501-610","https://www.zillow.com/homes/moraga,-ca_rb/","","https://www.zillow.com/homedetails/2026-Ascot-Dr-Moraga-CA-94556/18469392_zpid/","Moraga, CA 94556","For sale","2026 Ascot Dr,","","","1,687","3","3","$711,088","$720,000","Townhouse","1972","Forced air","Central","Townhouse","1 acre","null","9","10","10","{""targetDiv"":""gpt-ad-42d878ae-e0e2-417e-b5c8-d34f778619d2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2026 Ascot Dr"",""bd"":""3"",""fsbid"":""14106"",""city"":""Moraga"",""proptp"":""twn"",""pid"":""18469392"",""lot"":""5,6"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-7478894215490912966"",""sqftrange"":""1500-1999"",""price"":""720000"",""sqft"":""1687"",""posting_url"":""http://www.eastbayresidential.com"",""mlong"":""-122.129151"",""state"":""CA"",""prange"":""700-799k"",""zip"":""94556"",""mlat"":""37.857909"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf0hd29y3s1i91000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""1970-1979"",""zestimate"":""711088"",""premieragent"":""no""}}","null","null","null","null"
"1572898566-650","https://www.zillow.com/homes/moraga,-ca_rb/","","https://www.zillow.com/community/moraga-town-center/2083072977_zpid/","Moraga, CA 94556","New construction","Buildable plan: Plan 5, Moraga Town Center,","","","1,960","3","3","$1,165,007","$1,165,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","9","10","9","{""targetDiv"":""gpt-ad-d1476535-c848-41b2-8f1e-f8708fb0e45e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 8HZ5RG"",""aamgnrc1"":""771 Country Club Dr"",""bd"":""3"",""fsbid"":""13081"",""city"":""Moraga"",""proptp"":""sfh"",""pid"":""2083072977"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""1165000"",""sqft"":""1960"",""posting_url"":""https://www.kbhome.com/new-homes-north-bay-central-valley/moraga-town-center/plan-5?utm_source=zillowgroup&utm_medium=listing&utm_floorPlanID=00640222-229.1960"",""state"":""CA"",""mlong"":""-122.135192"",""cnty"":""Contra_Costa"",""prange"":""1-1_499m"",""zip"":""94556"",""mlat"":""37.836693"",""plid"":""28628024"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr5h6t5rx6tjr1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1165007"",""premieragent"":""no"",""builderChatId"":""13081-820700"",""dma"":""37""}}","null","null","null","null"
"1572898604-674","https://www.zillow.com/homes/moraga,-ca_rb/","","https://www.zillow.com/homedetails/244-Calle-La-Montana-Moraga-CA-94556/18469893_zpid/","Moraga, CA 94556","For sale","244 Calle La Montana,","","","2,632","4","3","$1,458,730","$1,395,000","Single Family","1973","Forced air","None","Single Family","0.34 acres","$4,950/mo","9","10","10","{""targetDiv"":""gpt-ad-9b22c60d-c7ba-410d-b6d5-e1b2e6c50a9c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""244 Calle La Montana"",""bd"":""4"",""fsbid"":""14106"",""city"":""Moraga"",""proptp"":""sfh"",""pid"":""18469893"",""lot"":""3"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""7429428395379516102"",""sqftrange"":""2500-2999"",""price"":""1395000"",""oh"":""yes"",""sqft"":""2632"",""posting_url"":""http://www.ContraCostaLiving.com"",""mlong"":""-122.135957"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94556"",""mlat"":""37.873182"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnmnfok72r4ue1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1458730"",""premieragent"":""no""}}","null","null","null","null"
"1572898533-629","https://www.zillow.com/homes/moraga,-ca_rb/","","https://www.zillow.com/homedetails/1126-Wallace-Cir-Moraga-CA-94556/2082469307_zpid/","Moraga, CA 94556","New construction","1126 Wallace Cir,","","","2,342","4","4","$1,175,149","$1,175,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","9","10","9","{""targetDiv"":""gpt-ad-44f5daea-647e-4476-9547-46994afb4ba3"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1126 Wallace Cir"",""bd"":""4"",""fsbid"":""13081"",""city"":""Moraga"",""proptp"":""sfh"",""pid"":""2082469307"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""1175000"",""sqft"":""2342"",""posting_url"":""https://www.kbhome.com/new-homes-north-bay-central-valley/moraga-town-center/plan-4?utm_source=zillowgroup&utm_medium=listing&utm_floorPlanID=00640222-323.2323"",""state"":""CA"",""mlong"":""-122.135192"",""cnty"":""Santa_Clara"",""prange"":""1-1_499m"",""zip"":""94556"",""mlat"":""37.836693"",""plid"":""28628024"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrhibz2cv369q0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1175149"",""premieragent"":""no"",""builderChatId"":""13081-820700"",""dma"":""37""}}","null","null","null","null"
"1572898529-626","https://www.zillow.com/homes/moraga,-ca_rb/","","https://www.zillow.com/homedetails/112-Wallace-Cir-Moraga-CA-94556/2082476861_zpid/","Moraga, CA 94556","New construction","112 Wallace Cir,","","","2,010","3","3","$1,120,223","$1,120,000","Single Family","2019","Gas","Central","Single Family","2,482 sqft","null","9","10","9","{""targetDiv"":""gpt-ad-7426047f-d052-4cd0-8238-09eed9c45919"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""112 Wallace Cir"",""bd"":""3"",""fsbid"":""13081"",""city"":""Moraga"",""proptp"":""sfh"",""pid"":""2082476861"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""1120000"",""sqft"":""2010"",""posting_url"":""https://www.kbhome.com/new-homes-north-bay-central-valley/moraga-town-center/plan-3?utm_source=zillowgroup&utm_medium=listing&utm_floorPlanID=00640222-223.2010"",""state"":""CA"",""mlong"":""-122.135192"",""cnty"":""Contra_Costa"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94556"",""mlat"":""37.836693"",""plid"":""28628024"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjbgzgw7nv89q0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1120223"",""premieragent"":""no"",""builderChatId"":""13081-820700"",""dma"":""37""}}","null","null","null","null"
"1572898574-657","https://www.zillow.com/homes/moraga,-ca_rb/","","https://www.zillow.com/community/moraga-town-center/2082817061_zpid/","Moraga, CA 94556","New construction","Buildable plan: Plan 7, Moraga Town Center,","","","2,355","4","4","$1,260,007","$1,260,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","9","10","9","{""targetDiv"":""gpt-ad-d2072caa-ce47-4929-a182-a9dc79884763"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" T61WW9"",""aamgnrc1"":""771 Country Club Dr"",""bd"":""4"",""fsbid"":""13081"",""city"":""Moraga"",""proptp"":""sfh"",""pid"":""2082817061"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""1260000"",""sqft"":""2355"",""posting_url"":""https://www.kbhome.com/new-homes-north-bay-central-valley/moraga-town-center/plan-7?utm_source=zillowgroup&utm_medium=listing&utm_floorPlanID=00640222-234.2355"",""state"":""CA"",""mlong"":""-122.135192"",""cnty"":""Contra_Costa"",""prange"":""1-1_499m"",""zip"":""94556"",""mlat"":""37.836693"",""plid"":""28628024"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbhvgimxaprff0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1260007"",""premieragent"":""no"",""builderChatId"":""13081-820700"",""dma"":""37""}}","null","null","null","null"
"1572898490-604","https://www.zillow.com/homes/moraga,-ca_rb/","","https://www.zillow.com/homedetails/1984-Ascot-Dr-APT-D-Moraga-CA-94556/18470294_zpid/","Moraga, CA 94556","For sale","1984 Ascot Dr APT D,","","","1,473","3","2","$631,260","$625,000","Condo","1970","Forced air","Central","Condo","$528/month","$3,100/mo","9","10","10","{""targetDiv"":""gpt-ad-ab21ac18-94c6-4a30-ab5f-4d76c2b42d7e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt D"",""aamgnrc1"":""1984 Ascot Dr"",""bd"":""3"",""fsbid"":""14106"",""city"":""Moraga"",""proptp"":""cnd"",""pid"":""18470294"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-5357012497552544174"",""sqftrange"":""1000-1499"",""price"":""625000"",""sqft"":""1473"",""posting_url"":""http://www.TheOlsenTeam.com"",""mlong"":""-122.130208"",""state"":""CA"",""prange"":""600-699k"",""zip"":""94556"",""mlat"":""37.859068"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzrbjbsi5gs780000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1970-1979"",""zestimate"":""631260"",""premieragent"":""no""}}","null","null","null","null"
"1572898560-647","https://www.zillow.com/homes/moraga,-ca_rb/","","https://www.zillow.com/community/moraga-town-center/2083072978_zpid/","Moraga, CA 94556","New construction","Buildable plan: Plan 3, Moraga Town Center,","","","2,010","3","3","$1,105,007","$1,105,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","9","10","9","{""targetDiv"":""gpt-ad-880b331b-116e-408c-bffd-879f69be0d0a"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" LN0ZYV"",""aamgnrc1"":""771 Country Club Dr"",""bd"":""3"",""fsbid"":""13081"",""city"":""Moraga"",""proptp"":""sfh"",""pid"":""2083072978"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""1105000"",""sqft"":""2010"",""posting_url"":""https://www.kbhome.com/new-homes-north-bay-central-valley/moraga-town-center/plan-3?utm_source=zillowgroup&utm_medium=listing&utm_floorPlanID=00640222-223.2010"",""state"":""CA"",""mlong"":""-122.135192"",""cnty"":""Contra_Costa"",""prange"":""1-1_499m"",""zip"":""94556"",""mlat"":""37.836693"",""plid"":""28628024"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISna6i996t17kr1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1105007"",""premieragent"":""no"",""builderChatId"":""13081-820700"",""dma"":""37""}}","null","null","null","null"
"1572898595-669","https://www.zillow.com/homes/moraga,-ca_rb/","","https://www.zillow.com/homedetails/100-Sandringham-Dr-S-Moraga-CA-94556/18473585_zpid/","Moraga, CA 94556","For sale","100 Sandringham Dr S,","","","2,743","5","3","$1,413,019","$1,395,000","Single Family","1975","Forced air","Central","Single Family","8,999 sqft","$4,929/mo","9","10","10","{""targetDiv"":""gpt-ad-067fe914-3bca-406c-af08-4ea0676483ee"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""100 Sandringham Dr S"",""bd"":""5"",""fsbid"":""14106"",""city"":""Moraga"",""proptp"":""sfh"",""pid"":""18473585"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""628008937333934127"",""sqftrange"":""2500-2999"",""price"":""1395000"",""sqft"":""2743"",""posting_url"":""http://www.Orinda.com"",""mlong"":""-122.122474"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94556"",""mlat"":""37.834436"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISna6mof8ozgxf1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1413019"",""premieragent"":""no""}}","null","null","null","null"
