web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,page6,page6-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572919898-9827","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/622-Buck-Hill-Ct-Morgan-Hill-CA-95037/64748710_zpid/","Morgan Hill, CA 95037","For sale","622 Buck Hill Ct,","","","3","https://www.zillow.com/morgan-hill-ca/3_p/","","","","","","","3,018","5","3","$1,321,022","$1,349,950","Single Family","2006","Other","Central","Single Family","0.27 acres","$4,200/mo","4","4","8","{""targetDiv"":""gpt-ad-14a6530c-1afd-4166-a634-59dae39548ce"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""622 Buck Hill Ct"",""bd"":""5"",""fsbid"":""16701"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""64748710"",""lot"":""3"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""5299328653230431128"",""sqftrange"":""3000-3499"",""price"":""1349950"",""sqft"":""3018"",""posting_url"":""http://www.interorealestate.com/agents/Dan.Gluhaic"",""mlong"":""-121.662662"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95037"",""mlat"":""37.118054"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrdngnnnke9f30000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1321022"",""premieragent"":""no""}}","null","null","null","null"
"1572920133-10000","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/00-Dahlberg-Dr-Morgan-Hill-CA-95037/2082323317_zpid/","Morgan Hill, CA 95037","Lot/land","00 Dahlberg Dr,","","","","","","","","","","","null","5.47 acres","null","null","$948,999","null","null","null","null","null","null","null","4","4","8","{""targetDiv"":""gpt-ad-9f8f93b0-91cf-4cf9-a870-14687927dc31"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95037"",""aamgnrc1"":""00 Dahlberg Dr"",""mlat"":""37.118208"",""bd"":""0"",""fsbid"":""4383"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzz9fpdh6kenq1000000000.jpg"",""zusr"":""true"",""city"":""Morgan_Hill"",""proptp"":""lot"",""pid"":""2082323317"",""lot"":""8"",""listtp"":""buy_agent"",""zguidh"":""-739529788652150098"",""premieragent"":""no"",""price"":""948999"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/morgan-hill/00-dahlberg-dr/pid_33235946/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.686364"",""state"":""CA"",""prange"":""900-999k""}}","null","null","null","null"
"1572919300-9158","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/18580-Castle-Hill-Dr-Morgan-Hill-CA-95037/153545575_zpid/","Morgan Hill, CA 95037","Lot/land","18580 Castle Hill Dr,","","","","","","","5","https://www.zillow.com/morgan-hill-ca/5_p/","","","null","1.27 acres","null","None","$795,000","null","null","null","null","null","null","$2,825/mo","2","6","8","{""targetDiv"":""gpt-ad-1dca2ef3-828b-465f-970b-65660a15d12d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95037"",""aamgnrc1"":""18580 Castle Hill Dr"",""mlat"":""37.133678"",""bd"":""0"",""fsbid"":""13698"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb9dpm2dyk0o01000000000.jpg"",""zusr"":""true"",""city"":""Morgan_Hill"",""proptp"":""lot"",""pid"":""153545575"",""lot"":""6"",""listtp"":""buy_agent"",""zguidh"":""4333094275650385807"",""premieragent"":""no"",""price"":""795000"",""posting_url"":""http://www.scountyrealty.com"",""mlong"":""-121.68701"",""state"":""CA"",""prange"":""700-799k""}}","null","null","null","null"
"1572919130-8977","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/0-Sleepy-Valley-Rd-Morgan-Hill-CA-95037/2106683836_zpid/","Morgan Hill, CA 95037","Lot/land","0 Sleepy Valley Rd,","","","","","","","","","6","https://www.zillow.com/morgan-hill-ca/6_p/","null","260.45 acres","null","null","$2,499,990","null","null","null","null","null","null","$2,850/mo","3","6","8","{""targetDiv"":""gpt-ad-78b3434a-34d4-4dcb-9d64-624e0d55a4e2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95037"",""aamgnrc1"":""0 Sleepy Valley Rd"",""mlat"":""37.1341"",""bd"":""0"",""fsbid"":""4383"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISukjtde56k30s0000000000.jpg"",""zusr"":""true"",""city"":""Morgan_Hill"",""proptp"":""lot"",""pid"":""2106683836"",""lot"":""11"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""2592169779860445991"",""premieragent"":""no"",""price"":""2499990"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/morgan-hill/0-sleepy-valley-rd/pid_31346029/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.6501"",""state"":""CA"",""prange"":""2-2_499m""}}","null","null","null","null"
"1572920234-10054","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/189-Sierra-Ct-Morgan-Hill-CA-95037/19847717_zpid/","Morgan Hill, CA 95037","For sale","189 Sierra Ct,","","","","","","","","","","","2,808","4","3","$1,099,999","$1,099,999","Single Family","1997","Forced air","Central","Single Family","7,344 sqft","$4,200/mo","2","6","8","{""targetDiv"":""gpt-ad-3f2d6618-990e-4bde-b55a-0d378fb1a608"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""189 Sierra Ct"",""bd"":""4"",""fsbid"":""17077"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""19847717"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""7861698741903671611"",""sqftrange"":""2500-2999"",""price"":""1099999"",""sqft"":""2808"",""posting_url"":""https://www.redfin.com/syndicate/x/mlsListings/ML81773716"",""mlong"":""-121.665291"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95037"",""mlat"":""37.141351"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzz93wyob9u9k0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1990-1999"",""zestimate"":""1099999"",""premieragent"":""no""}}","null","null","null","null"
"1572919862-9790","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/17280-Lakeview-Dr-Morgan-Hill-CA-95037/19846221_zpid/","Morgan Hill, CA 95037","For sale","17280 Lakeview Dr,","","","3","https://www.zillow.com/morgan-hill-ca/3_p/","","","","","","","2,294","4","3","null","$1,142,500","Single Family","1973","Forced air","Central","Single Family","0.54 acres","$4,095/mo","6","4","7","{""targetDiv"":""gpt-ad-644a656e-a858-434e-8bcb-1616ac38c502"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""17280 Lakeview Dr"",""bd"":""4"",""fsbid"":""4383"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""19846221"",""lot"":""4"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""5887138660953794204"",""sqftrange"":""2000-2499"",""price"":""1142500"",""sqft"":""2294"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/morgan-hill/17280-lakeview-dr/pid_31820659/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.602276"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95037"",""mlat"":""37.150045"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISniw3mkl5pc7m0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1127654"",""premieragent"":""no""}}","null","null","null","null"
"1572919942-9863","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/710-San-Ramon-Ct-Morgan-Hill-CA-95037/19860400_zpid/","Morgan Hill, CA 95037","For sale","710 San Ramon Ct,","2","https://www.zillow.com/morgan-hill-ca/2_p/","","","","","","","","","2,435","4","3","$1,088,006","$1,088,000","Single Family","1997","Forced air","Central","Single Family","6,490 sqft","$3,850/mo","4","6","8","{""targetDiv"":""gpt-ad-4033088a-a6cc-4236-bb4d-907ecc40a7c8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""710 San Ramon Ct"",""bd"":""4"",""fsbid"":""13698"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""19860400"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-776273529583265529"",""sqftrange"":""2000-2499"",""price"":""1088000"",""sqft"":""2435"",""posting_url"":"""",""mlong"":""-121.632883"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95037"",""mlat"":""37.122339"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvoeskw7r40vp0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1990-1999"",""zestimate"":""1088006"",""premieragent"":""no""}}","null","null","null","null"
"1572919616-9524","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/0000-Palm-Morgan-Hill-CA-95037/2088226079_zpid/","Morgan Hill, CA 95037","Lot/land","0000 Palm,","","","","","4","https://www.zillow.com/morgan-hill-ca/4_p/","","","","","null","9 acres","null","None","$999,950","null","null","null","null","null","null","$2,825/mo","2","6","8","{""targetDiv"":""gpt-ad-f810ec9f-7ab5-4ce5-988f-1e235ac342a7"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95037"",""aamgnrc1"":""0000 Palm"",""mlat"":""37.183749"",""bd"":""0"",""fsbid"":""16701"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISz3hjoywde8ns1000000000.jpg"",""zusr"":""true"",""city"":""Morgan_Hill"",""proptp"":""lot"",""pid"":""2088226079"",""lot"":""8"",""listtp"":""buy_agent"",""zguidh"":""-7735859221601678787"",""premieragent"":""no"",""price"":""999950"",""posting_url"":""http://www.interorealestate.com/agents/Dan.Gluhaic"",""mlong"":""-121.708397"",""state"":""CA"",""prange"":""900-999k""}}","null","null","null","null"
"1572920272-10062","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/17090-Pistache-Dr-Morgan-Hill-CA-95037/116156391_zpid/","Morgan Hill, CA 95037","For sale","17090 Pistache Dr,","","","","","","","","","","","2,943","5","3","null","$1,099,888","Single Family","2013","Forced air","Central","Single Family","5,519 sqft","$3,900/mo","6","6","7","{""targetDiv"":""gpt-ad-63fe38c7-7555-4e51-8f65-31387c346d6e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""17090 Pistache Dr"",""bd"":""5"",""fsbid"":""4383"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""116156391"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-9109217313259408501"",""sqftrange"":""2500-2999"",""price"":""1099888"",""sqft"":""2943"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/morgan-hill/17090-pistache-dr/pid_33510227/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.631071"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95037"",""mlat"":""37.135698"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj7pj740ybb0l1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1099893"",""premieragent"":""no""}}","null","null","null","null"
"1572919650-9566","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/15517-Monterey-Rd-Morgan-Hill-CA-95037/2083278088_zpid/","Morgan Hill, CA 95037","For sale","15517 Monterey Rd,","","","","","4","https://www.zillow.com/morgan-hill-ca/4_p/","","","","","1,409","3","3","$745,650","$751,935","Townhouse","2018","Forced air","Central","Townhouse","1,406 sqft","$3,300/mo","7","4","8","{""targetDiv"":""gpt-ad-b9a7a79a-f7f5-4a85-bc8a-56cb03e4762f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""15517 Monterey Rd"",""bd"":""3"",""fsbid"":""13698"",""city"":""Morgan_Hill"",""proptp"":""twn"",""pid"":""2083278088"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-3939862414241948368"",""sqftrange"":""1000-1499"",""price"":""751935"",""sqft"":""1409"",""posting_url"":""http://www.vandaele.com"",""mlong"":""-121.636615"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""95037"",""mlat"":""37.108224"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrt3cfgz0dyat0000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""2010-2019"",""zestimate"":""745650"",""premieragent"":""no""}}","null","null","null","null"
