web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572900827-1765","https://www.zillow.com/homes/mountain-view-CA_rb/","","https://www.zillow.com/homedetails/1007-Boranda-Ave-Mountain-View-CA-94040/153192224_zpid/","Mountain View, CA 94040","For sale","1007 Boranda Ave,","","","","","null","--","null","$3,603,564","$3,600,000","Multi Family","1971","Forced air","None","Multi Family","$837","$3,800/mo","7","7","9","{""targetDiv"":""gpt-ad-dbf1a63c-d94c-4d24-af1d-91ad6a9bd95a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1007 Boranda Ave"",""bd"":""0"",""fsbid"":""13698"",""city"":""Mountain_View"",""proptp"":""mfh"",""pid"":""153192224"",""lot"":""3"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""4410425123340479163"",""sqftrange"":""4000-4499"",""price"":""3600000"",""sqft"":""4303"",""posting_url"":"""",""mlong"":""-122.081823"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""94040"",""mlat"":""37.382522"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnaqt7vx867je1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Cuesta_Park"",""yrblt"":""1970-1979"",""zestimate"":""3603564"",""premieragent"":""no""}}","null","null","null","null"
"1572900717-1647","https://www.zillow.com/homes/mountain-view-CA_rb/","","https://www.zillow.com/homedetails/874-San-Simeon-Dr-Mountain-View-CA-94043/19513075_zpid/","Mountain View, CA 94043","Pre-foreclosure","874 San Simeon Dr,","2","https://www.zillow.com/mountain-view-ca/2_p/","","","null","3","null","$1,235,995","$1,235,995","Single Family","1962","Other","No Data","Single Family","6,076 sqft","null","7","6","9","{""targetDiv"":""gpt-ad-47ef161e-1f90-459a-bff0-701b2ef68a9e"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""874 San Simeon Dr"",""bd"":""3"",""city"":""Mountain_View"",""proptp"":""sfh"",""pid"":""19513075"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""5122023970997567601"",""sqftrange"":""1000-1499"",""price"":""1489151"",""sqft"":""1060"",""posting_url"":"""",""mlong"":""-122.074364"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94043"",""mlat"":""37.405311"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1960-1969"",""zestimate"":""1489151"",""premieragent"":""no""}}","null","null","null","null"
"1572900682-1607","https://www.zillow.com/homes/mountain-view-CA_rb/","","https://www.zillow.com/homedetails/564-Annie-Laurie-St-APT-11-Mountain-View-CA-94043/19517110_zpid/","Mountain View, CA 94043","For sale","564 Annie Laurie St APT 11,","2","https://www.zillow.com/mountain-view-ca/2_p/","","","606","1","1","$697,930","$679,000","Condo","1963","Wall","None","Condo","$375/month","$2,575/mo","9","6","9","{""targetDiv"":""gpt-ad-b1b18636-6176-4ed2-975b-8b7282daee48"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 11"",""aamgnrc1"":""564 Annie Laurie St"",""bd"":""1"",""fsbid"":""13698"",""city"":""Mountain_View"",""proptp"":""cnd"",""pid"":""19517110"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""7442522032742259525"",""sqftrange"":""500-999"",""price"":""679000"",""sqft"":""606"",""posting_url"":"""",""mlong"":""-122.060898"",""state"":""CA"",""prange"":""600-699k"",""zip"":""94043"",""mlat"":""37.404416"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS37an2ujt9k3t0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Wagon_Wheel"",""yrblt"":""1960-1969"",""zestimate"":""697930"",""premieragent"":""no""}}","null","null","null","null"
"1572900936-1843","https://www.zillow.com/homes/mountain-view-CA_rb/","","https://www.zillow.com/homedetails/2239-Mora-Pl-BLDG-4-Mountain-View-CA-94040/2088143885_zpid/","Mountain View, CA 94040","New construction","2239 Mora Pl BLDG 4,","","","","","1,687","3","4","$1,767,822","$1,705,194","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","7","9","{""targetDiv"":""gpt-ad-409d114a-461e-49e6-a1b2-1026866cef72"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Bldg 4"",""aamgnrc1"":""2239 Mora Pl"",""bd"":""3"",""fsbid"":""11527"",""city"":""Mountain_View"",""proptp"":""twn"",""pid"":""2088143885"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""1705194"",""sqft"":""1687"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/mountain-view/estancia?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_estancia"",""state"":""CA"",""mlong"":""-122.102"",""cnty"":""Marin"",""prange"":""1_5-1_999m"",""zip"":""94040"",""mlat"":""37.4035"",""plid"":""1541947"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn6zlowgviko31000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Blithedale_Canyon"",""yrblt"":""2010-2019"",""zestimate"":""1767822"",""premieragent"":""no"",""builderChatId"":""11527-814435"",""dma"":""37""}}","null","null","null","null"
"1572900893-1822","https://www.zillow.com/homes/mountain-view-CA_rb/","","https://www.zillow.com/homedetails/831-E-Dana-St-Mountain-View-CA-94041/153177182_zpid/","Mountain View, CA 94041","For sale","831 E Dana St,","","","","","null","--","null","$1,995,155","$1,898,000","Multi Family","1965","Forced air","None","Multi Family","$735","$3,850/mo","8","7","9","{""targetDiv"":""gpt-ad-388d1779-55eb-4548-a61e-a45497c9a63e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""831 E Dana St"",""bd"":""0"",""fsbid"":""13698"",""city"":""Mountain_View"",""proptp"":""mfh"",""pid"":""153177182"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-5949149887183667723"",""sqftrange"":""2500-2999"",""price"":""1898000"",""sqft"":""2581"",""posting_url"":""http://www.torisellsrealestate.com"",""mlong"":""-122.05995"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94041"",""mlat"":""37.381505"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzfaqihpgydm70000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Moffett_Boulevard"",""yrblt"":""1960-1969"",""zestimate"":""1995155"",""premieragent"":""no""}}","null","null","null","null"
"1572900756-1696","https://www.zillow.com/homes/mountain-view-CA_rb/","","https://www.zillow.com/homedetails/99-Fairchild-Dr-Mountain-View-CA-94043/300480476_zpid/","Mountain View, CA 94043","New construction","99 Fairchild Dr,","","","","","1,783","4","4","$1,519,702","$1,490,000","Townhouse","2019","Forced air","Central","Townhouse","1,572 sqft","null","6","6","9","{""targetDiv"":""gpt-ad-94d1dea8-c2be-4b8c-b1a7-8bf3685df351"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""99 Fairchild Dr"",""bd"":""4"",""fsbid"":""12949"",""city"":""Mountain_View"",""proptp"":""twn"",""pid"":""300480476"",""lot"":""1"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""1490000"",""sqft"":""1783"",""posting_url"":""https://www.taylormorrison.com/ca/bay-area/mountain-view/6sixty/floor-plans/residence-4-6sixty-plan/home-available-now-at-99-fairchild-drive-94043"",""state"":""CA"",""mlong"":""-122.062221"",""cnty"":""Santa_Clara"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94043"",""mlat"":""37.406245"",""plid"":""5163494"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj3i33vkkcqo30000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1519702"",""premieragent"":""no"",""builderChatId"":""12949-812698"",""dma"":""37""}}","null","null","null","null"
"1572900791-1737","https://www.zillow.com/homes/mountain-view-CA_rb/","","https://www.zillow.com/homedetails/1075-Space-Park-Way-SPACE-41-Mountain-View-CA-94043/153148786_zpid/","Mountain View, CA 94043","For sale","1075 Space Park Way SPACE 41,","","","","","1,266","3","2","null","$295,000","Mobile / Manufactured","2001","Forced air","Central","Mobile / Manufactured","$233","$3,000/mo","7","6","9","{""targetDiv"":""gpt-ad-7c8475d1-c39b-4fa2-8bf7-e9f05a399dd8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Space 41"",""aamgnrc1"":""1075 Space Park Way"",""bd"":""3"",""fsbid"":""4383"",""city"":""Mountain_View"",""proptp"":""mm"",""pid"":""153148786"",""lot"":""8"",""zestibuck"":""250-299k"",""listtp"":""buy_agent"",""zguidh"":""3035824244916832594"",""sqftrange"":""1000-1499"",""price"":""295000"",""sqft"":""1266"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/mountain-view/1075-space-park-way-41/pid_32773654/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.071536"",""state"":""CA"",""prange"":""250-299k"",""zip"":""94043"",""mlat"":""37.417099"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb5q40o0dsc3m0000000000.jpg"",""zusr"":""true"",""price_band"":""z200"",""yrblt"":""2000-2009"",""zestimate"":""297772"",""premieragent"":""no""}}","null","null","null","null"
"1572900658-1578","https://www.zillow.com/homes/mountain-view-CA_rb/","","https://www.zillow.com/homedetails/128-Beverly-St-Mountain-View-CA-94043/19518344_zpid/","Mountain View, CA 94043","Pre-foreclosure / auction","128 Beverly St,","2","https://www.zillow.com/mountain-view-ca/2_p/","","","null","4","null","$1,683,194","$1,683,194","Single Family","1997","Other","No Data","Single Family","3,200 sqft","null","8","6","9","No Data","null","null","null","null"
"1572900927-1839","https://www.zillow.com/homes/mountain-view-CA_rb/","","https://www.zillow.com/homedetails/2235-Mora-Pl-BLDG-4-Mountain-View-CA-94040/2088143890_zpid/","Mountain View, CA 94040","New construction","2235 Mora Pl BLDG 4,","","","","","1,687","3","4","$1,756,240","$1,694,023","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","null","null","null","{""targetDiv"":""gpt-ad-806c9ec9-ae11-4a78-aee1-2a7e42d57046"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Bldg 4"",""aamgnrc1"":""2235 Mora Pl"",""bd"":""3"",""fsbid"":""11527"",""city"":""Mountain_View"",""proptp"":""twn"",""pid"":""2088143890"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""1694023"",""sqft"":""1687"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/mountain-view/estancia?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_estancia"",""state"":""CA"",""mlong"":""-122.102"",""cnty"":""Marin"",""prange"":""1_5-1_999m"",""zip"":""94040"",""mlat"":""37.4035"",""plid"":""1541947"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf0x96qcnano31000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Warner_Canyon/Kite_Hill"",""yrblt"":""2010-2019"",""zestimate"":""1756240"",""premieragent"":""no"",""builderChatId"":""11527-814435"",""dma"":""37""}}","null","null","null","null"
"1572900663-1584","https://www.zillow.com/homes/mountain-view-CA_rb/","","https://www.zillow.com/community/estancia/2085396411_zpid/","Mountain View, CA 94040","New construction","Buildable plan: Residence 1, Estancia,","2","https://www.zillow.com/mountain-view-ca/2_p/","","","1,295","2","2.5","$1,332,691","$1,369,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","7","9","{""targetDiv"":""gpt-ad-482d7a06-bc5d-4544-94db-b3848d8b2609"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 4DORQQ"",""aamgnrc1"":""2290 Mora Pl"",""bd"":""2"",""fsbid"":""11527"",""city"":""Mountain_View"",""proptp"":""twn"",""pid"":""2085396411"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""1369880"",""sqft"":""1295"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/mountain-view/estancia?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_estancia"",""state"":""CA"",""mlong"":""-122.102"",""cnty"":""Alameda"",""prange"":""1-1_499m"",""zip"":""94040"",""mlat"":""37.4035"",""plid"":""1541947"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnuxgmanx13k51000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1332691"",""premieragent"":""no"",""builderChatId"":""11527-814435"",""dma"":""37""}}","null","null","null","null"
