web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href,next_page9,next_page9-href,next_page10,next_page10-href,next_page11,next_page11-href,next_page12,next_page12-href
"1572910577-7414","https://www.zillow.com/homes/napa-CA_rb/","","https://www.zillow.com/homedetails/42-Sea-Breeze-Ct-Napa-CA-94559/19414196_zpid/","Napa, CA 94559","For sale","42 Sea Breeze Ct,","","","","","4","https://www.zillow.com/napa-ca/4_p/","","","2,077","3","3","null","$1,295,000","Single Family","1994","Forced air, Other","Central","Single Family","8,712 sqft","$4,500/mo","1","2","7","No Data","null","null","null","null","","","","","","","","","","","","","",""
"1572909974-7111","https://www.zillow.com/homes/napa-CA_rb/","","https://www.zillow.com/homedetails/332-Brown-St-Napa-CA-94559/2088927955_zpid/","Napa, CA 94559","For sale","332 Brown St,","","","","","","","5","https://www.zillow.com/napa-ca/5_p/","null","5","null","None","$1,449,000","Multi Family","1978","No Data","No Data","Multi Family","$322","$5,500/mo","2","3","7","No Data","null","null","null","null","NEXT","https://www.zillow.com/napa-ca/6_p/","NEXT","https://www.zillow.com/napa-ca/7_p/","NEXT","https://www.zillow.com/napa-ca/8_p/","NEXT","https://www.zillow.com/napa-ca/9_p/","","","","","",""
"1572909806-7026","https://www.zillow.com/homes/napa-CA_rb/","","https://www.zillow.com/homedetails/2596-1st-St-G-Napa-CA-94558/240299737_zpid/","Napa, CA 94558","For sale","2596 1st St # G,","","","","","","","5","https://www.zillow.com/napa-ca/5_p/","1,850","3","3","$745,151","$755,443","Single Family","2018","Other","Central","Single Family","1,892 sqft","$3,000/mo","4","2","7","No Data","null","null","null","null","NEXT","https://www.zillow.com/napa-ca/6_p/","NEXT","https://www.zillow.com/napa-ca/7_p/","NEXT","https://www.zillow.com/napa-ca/8_p/","NEXT","https://www.zillow.com/napa-ca/9_p/","NEXT","https://www.zillow.com/napa-ca/10_p/","","","",""
"1572910301-7278","https://www.zillow.com/homes/napa-CA_rb/","","https://www.zillow.com/homedetails/1044-Von-Brandt-St-Napa-CA-94559/19395054_zpid/","Napa, CA 94559","For sale","1044 Von Brandt St,","","","","","","","5","https://www.zillow.com/napa-ca/5_p/","1,328","2","1","None","$599,000","Single Family","1950","Other","None","Single Family","8,712 sqft","$2,500/mo","2","2","7","No Data","null","null","null","null","NEXT","https://www.zillow.com/napa-ca/6_p/","","","","","","","","","","","",""
"1572909765-7006","https://www.zillow.com/homes/napa-CA_rb/","","https://www.zillow.com/homedetails/532-Westgate-Dr-Napa-CA-94558/19423803_zpid/","Napa, CA 94558","Lot/land","532 Westgate Dr,","","","","","","","5","https://www.zillow.com/napa-ca/5_p/","null","0.34 acres","null","None","$575,000","null","null","null","null","null","null","null","9","3","6","{""targetDiv"":""gpt-ad-ae4fa091-8ece-4202-bdb5-0111fb52ff75"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94558"",""aamgnrc1"":""532 Westgate Dr"",""mlat"":""38.353333"",""bd"":""4"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISz395kv5aoula1000000000.jpg"",""zusr"":""true"",""city"":""Napa"",""proptp"":""lot"",""pid"":""19423803"",""yrblt"":""1980-1989"",""lot"":""3"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-1280509930525210223"",""premieragent"":""no"",""sqftrange"":""3500-3999"",""price"":""575000"",""sqft"":""3848"",""posting_url"":""http://greathomes.org/mls/property/21825703"",""mlong"":""-122.252291"",""state"":""CA"",""prange"":""500-599k""}}","null","null","null","null","NEXT","https://www.zillow.com/napa-ca/6_p/","NEXT","https://www.zillow.com/napa-ca/7_p/","NEXT","https://www.zillow.com/napa-ca/8_p/","NEXT","https://www.zillow.com/napa-ca/9_p/","NEXT","https://www.zillow.com/napa-ca/10_p/","NEXT","https://www.zillow.com/napa-ca/11_p/","",""
"1572910650-7450","https://www.zillow.com/homes/napa-CA_rb/","","https://www.zillow.com/homedetails/1031-Berry-Ln-Napa-CA-94558/19416272_zpid/","Napa, CA 94558","For sale","1031 Berry Ln,","","","3","https://www.zillow.com/napa-ca/3_p/","","","","","1,986","3","2","$1,278,723","$1,300,000","Single Family","1980","Other","None","Single Family","1 acre","$4,500/mo","7","3","6","No Data","null","null","null","null","","","","","","","","","","","","","",""
"1572909894-7073","https://www.zillow.com/homes/napa-CA_rb/","","https://www.zillow.com/homedetails/2141-Cuttings-Wharf-Rd-Napa-CA-94559/130979779_zpid/","Napa, CA 94559","Lot/land","2141 Cuttings Wharf Rd,","","","","","","","5","https://www.zillow.com/napa-ca/5_p/","null","21.6 acres","null","null","$3,800,000","null","null","null","null","null","null","$2,514/mo","6","2","7","{""targetDiv"":""gpt-ad-930b778c-815a-4ff8-a12d-8f538ca5c832"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94559"",""aamgnrc1"":""2141 Cuttings Wharf Rd"",""mlat"":""38.237699"",""bd"":""3"",""fsbid"":""2877"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISa5aoobllfpvw0000000000.jpg"",""zusr"":""true"",""city"":""Napa"",""proptp"":""lot"",""pid"":""130979779"",""yrblt"":""1900-1919"",""lot"":""10"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""1845921950063304406"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""3800000"",""sqft"":""1281"",""posting_url"":""http://www.coldwellbanker.com/listingdetail/CBREGS3H/"",""mlong"":""-122.312727"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m""}}","null","null","null","null","NEXT","https://www.zillow.com/napa-ca/6_p/","NEXT","https://www.zillow.com/napa-ca/7_p/","NEXT","https://www.zillow.com/napa-ca/8_p/","NEXT","https://www.zillow.com/napa-ca/9_p/","","","","","",""
"1572909830-7039","https://www.zillow.com/homes/napa-CA_rb/","","https://www.zillow.com/homedetails/605-Cottage-Dr-LOT-606-Napa-CA-94558/2083757195_zpid/","Napa, CA 94558","For sale","605 Cottage Dr LOT 606,","","","","","","","5","https://www.zillow.com/napa-ca/5_p/","1,004","2","2","null","$795,000","Condo","1972","No Data","No Data","Condo","$563/month","$2,600/mo","9","3","6","{""targetDiv"":""gpt-ad-8ee14fb6-233f-4034-b1f4-9ac6d73988b4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Lot 606"",""aamgnrc1"":""605 Cottage Dr"",""bd"":""2"",""fsbid"":""14642"",""city"":""Napa"",""proptp"":""cnd"",""pid"":""2083757195"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""8766361834986562775"",""sqftrange"":""1000-1499"",""price"":""795000"",""sqft"":""1004"",""posting_url"":""http://www.TheMaglioccoGroup.com"",""mlong"":""-122.266618"",""state"":""CA"",""prange"":""700-799k"",""zip"":""94558"",""mlat"":""38.353762"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfcyap2ro9dz10000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""1970-1979"",""zestimate"":""772611"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/napa-ca/6_p/","NEXT","https://www.zillow.com/napa-ca/7_p/","NEXT","https://www.zillow.com/napa-ca/8_p/","NEXT","https://www.zillow.com/napa-ca/9_p/","NEXT","https://www.zillow.com/napa-ca/10_p/","","","",""
"1572909722-6983","https://www.zillow.com/homes/napa-CA_rb/","","https://www.zillow.com/homedetails/538-Westgate-Dr-Napa-CA-94558/111416341_zpid/","Napa, CA 94558","Lot/land","538 Westgate Dr,","","","","","","","5","https://www.zillow.com/napa-ca/5_p/","null","0.34 acres","null","None","$350,000","null","null","null","null","null","null","null","9","3","6","{""targetDiv"":""gpt-ad-6ed63a29-191c-456f-83b4-a57ce56fbec3"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94558"",""aamgnrc1"":""538 Westgate Dr"",""mlat"":""38.354079"",""bd"":""0"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISeob96ppe1bbh1000000000.jpg"",""zusr"":""true"",""city"":""Napa"",""proptp"":""lot"",""pid"":""111416341"",""lot"":""3"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-1063840495610934337"",""premieragent"":""no"",""price"":""350000"",""posting_url"":""http://greathomes.org/mls/property/21912239"",""mlong"":""-122.25171"",""state"":""CA"",""prange"":""350-399k""}}","null","null","null","null","NEXT","https://www.zillow.com/napa-ca/6_p/","NEXT","https://www.zillow.com/napa-ca/7_p/","NEXT","https://www.zillow.com/napa-ca/8_p/","NEXT","https://www.zillow.com/napa-ca/9_p/","NEXT","https://www.zillow.com/napa-ca/10_p/","NEXT","https://www.zillow.com/napa-ca/11_p/","",""
"1572910979-7610","https://www.zillow.com/homes/napa-CA_rb/","","https://www.zillow.com/homedetails/7-Valley-Club-Cir-Napa-CA-94558/19409118_zpid/","Napa, CA 94558","For sale","7 Valley Club Cir,","","","","","","","","","1,983","3","3","$725,662","$729,900","Condo","1988","Other","No Data","Condo","$535/month","$3,300/mo","4","4","6","{""targetDiv"":""gpt-ad-293cc37e-3376-4218-adb4-217103e96b4b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""7 Valley Club Cir"",""bd"":""3"",""fsbid"":""13601"",""city"":""Napa"",""proptp"":""cnd"",""pid"":""19409118"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""2306989636059416549"",""sqftrange"":""1500-1999"",""price"":""729900"",""sqft"":""1983"",""posting_url"":""http://greathomes.org/mls/property/21926270"",""mlong"":""-122.294169"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94558"",""mlat"":""38.332833"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvkvemksyi2bs1000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Vintage"",""yrblt"":""1980-1989"",""zestimate"":""725662"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","",""
