web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572900697-1627","https://www.zillow.com/homes/newark-ca_rb/","","https://www.zillow.com/homedetails/36815-Hafner-St-Newark-CA-94560/24927125_zpid/","Newark, CA 94560","Pre-foreclosure","36815 Hafner St,","2","https://www.zillow.com/newark-ca/2_p/","","","null","3","null","$581,451","$581,451","Single Family","1954","No Data","No Data","Single Family","5,000 sqft","null","4","4","6","{""targetDiv"":""gpt-ad-c293cf87-3c9f-4f56-b9e9-1b66ea85c45a"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""36815 Hafner St"",""bd"":""3"",""city"":""Newark"",""proptp"":""sfh"",""pid"":""24927125"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_foreclosure"",""zguidh"":""-8312600499343504410"",""sqftrange"":""500-999"",""price"":""668335"",""sqft"":""923"",""posting_url"":"""",""mlong"":""-122.030226"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94560"",""mlat"":""37.539894"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1940-1959"",""zestimate"":""668335"",""premieragent"":""no""}}","null","null","null","null"
"1572900852-1787","https://www.zillow.com/homes/newark-ca_rb/","","https://www.zillow.com/community/skylark-at-sanctuary-village/2082605867_zpid/","Fremont, CA 94538","New construction","Buildable plan: Skylark Plan Three, Skylark at Sanctuary Village,","","","","","3,535","5","6","$1,538,954","$1,539,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","9","4","6","{""targetDiv"":""gpt-ad-e7d02aa0-e504-415b-86b6-f31386b320a1"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 363CCZ"",""aamgnrc1"":""39514 S Darner Dr"",""bd"":""5"",""fsbid"":""14581"",""city"":""Fremont"",""proptp"":""sfh"",""pid"":""2082605867"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3500-3999"",""price"":""1539000"",""sqft"":""3535"",""posting_url"":""https://landseahomes.com/skylark-sanctuary-village/skylark-plan-three?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=572330&nhf_listing_type=plan&utm_term=plan_SkylarkPlanThree&utm_campaign=Fremont%2FCA"",""state"":""CA"",""mlong"":""-121.999444"",""cnty"":""Alameda"",""prange"":""1_5-1_999m"",""zip"":""94538"",""mlat"":""37.513056"",""plid"":""26146367"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISblan0uj0im400000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1538954"",""premieragent"":""no"",""builderChatId"":""14581-817871"",""dma"":""37""}}","null","null","null","null"
"1572900889-1819","https://www.zillow.com/homes/newark-ca_rb/","","https://www.zillow.com/homedetails/36634-Cherry-St-Newark-CA-94560/24926915_zpid/","Newark, CA 94560","For sale","36634 Cherry St,","","","","","942","3","1","$643,269","$669,000","Single Family","1953","Wall","Central","Single Family","5,000 sqft","$2,750/mo","3","4","6","No Data","null","null","null","null"
"1572900686-1611","https://www.zillow.com/homes/newark-ca_rb/","","https://www.zillow.com/homedetails/37601-Crocus-Ct-Newark-CA-94560/24928826_zpid/","Newark, CA 94560","Pre-foreclosure","37601 Crocus Ct,","2","https://www.zillow.com/newark-ca/2_p/","","","null","4","null","$824,139","$824,139","Single Family","1965","Forced air","No Data","Single Family","7,187 sqft","null","6","4","6","{""targetDiv"":""gpt-ad-2bbd23c0-0734-4672-938a-a17553e04495"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""37601 Crocus Ct"",""bd"":""4"",""city"":""Newark"",""proptp"":""sfh"",""pid"":""24928826"",""lot"":""2"",""zestibuck"":""900-999k"",""listtp"":""buy_foreclosure"",""zguidh"":""5935109871348529755"",""sqftrange"":""1500-1999"",""price"":""947287"",""sqft"":""1899"",""posting_url"":"""",""mlong"":""-122.022832"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94560"",""mlat"":""37.531241"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISh3q996xeaufh0000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1960-1969"",""zestimate"":""947287"",""premieragent"":""no""}}","null","null","null","null"
"1572900743-1681","https://www.zillow.com/homes/newark-ca_rb/","","https://www.zillow.com/homedetails/36532-Olive-St-Newark-CA-94560/24921065_zpid/","Newark, CA 94560","For sale","36532 Olive St,","","","","","1,944","4","2","$959,594","$949,999","Single Family","1993","Forced air","Central","Single Family","7,300 sqft","$3,500/mo","3","4","6","{""targetDiv"":""gpt-ad-4e790fb9-4c69-45c0-adaa-9f906b80a1a1"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""36532 Olive St"",""bd"":""4"",""fsbid"":""14106"",""city"":""Newark"",""proptp"":""sfh"",""pid"":""24921065"",""lot"":""2"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""-1510977728966750652"",""sqftrange"":""1500-1999"",""price"":""949999"",""sqft"":""1944"",""posting_url"":"""",""mlong"":""-122.041323"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94560"",""mlat"":""37.534431"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrp4ua00vwy641000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1990-1999"",""zestimate"":""959594"",""premieragent"":""no""}}","null","null","null","null"
"1572900670-1587","https://www.zillow.com/homes/newark-ca_rb/","","https://www.zillow.com/homedetails/39428-Dragonfly-St-Newark-CA-94560/2083471840_zpid/","Newark, CA 94560","New construction","39428 Dragonfly St,","2","https://www.zillow.com/newark-ca/2_p/","","","3,490","4","5","$1,585,247","$1,598,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","9","4","6","{""targetDiv"":""gpt-ad-e7cc3ded-0e9a-4ce3-8559-6a3a5d982f86"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""39428 Dragonfly St"",""bd"":""4"",""fsbid"":""12653"",""city"":""Newark"",""proptp"":""sfh"",""pid"":""2083471840"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_builder_community"",""stale"":""yes"",""zguidh"":""1805368842246238228"",""sqftrange"":""3000-3499"",""price"":""1598000"",""sqft"":""3490"",""posting_url"":""http://www.drhorton.com/california/bay-area/newark/camellia-at-sanctuary-village/qmis/39428-dragonfly-street.aspx"",""state"":""CA"",""mlong"":""-121.996"",""cnty"":""Santa_Clara"",""prange"":""1_5-1_999m"",""zip"":""94560"",""mlat"":""37.5134"",""plid"":""14513931"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn2w42kv2toan1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Monta_Loma"",""yrblt"":""2010-2019"",""zestimate"":""1585247"",""premieragent"":""no"",""builderChatId"":""12653-812008"",""dma"":""37""}}","null","null","null","null"
"1572900771-1714","https://www.zillow.com/homes/newark-ca_rb/","","https://www.zillow.com/homedetails/6315-Joaquin-Murieta-Ave-APT-B-Newark-CA-94560/25060250_zpid/","Newark, CA 94560","For sale by owner","6315 Joaquin Murieta Ave APT B,","","","","","1,394","3","3","$659,996","$655,000","Townhouse","1981","No Data","No Data","Townhouse","1,084 sqft","$3,000/mo","9","4","6","{""targetDiv"":""gpt-ad-b0c65ae3-ba1c-4c04-8021-7be65e6de293"",""slot"":""zillow/property_details/buy_owner/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt B"",""aamgnrc1"":""6315 Joaquin Murieta Ave"",""bd"":""3"",""city"":""Newark"",""proptp"":""twn"",""pid"":""25060250"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_owner"",""zguidh"":""7273145508327394097"",""sqftrange"":""1000-1499"",""price"":""655000"",""sqft"":""1394"",""posting_url"":"""",""mlong"":""-122.000584"",""state"":""CA"",""prange"":""600-699k"",""zip"":""94560"",""mlat"":""37.518563"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr9gwf11js78p0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1980-1989"",""zestimate"":""659996"",""premieragent"":""no""}}","null","null","null","null"
"1572900719-1650","https://www.zillow.com/homes/newark-ca_rb/","","https://www.zillow.com/homedetails/39865-Cedar-Blvd-UNIT-243-Newark-CA-94560/25061313_zpid/","Newark, CA 94560","For sale","39865 Cedar Blvd UNIT 243,","2","https://www.zillow.com/newark-ca/2_p/","","","777","1","1","$416,602","$416,600","Condo","1986","No Data","None","Condo","$342/month","$2,300/mo","9","4","6","{""targetDiv"":""gpt-ad-aa47a321-ad3a-4a17-9c67-574b4f1d47aa"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 243"",""aamgnrc1"":""39865 Cedar Blvd"",""bd"":""1"",""fsbid"":""13862"",""city"":""Newark"",""proptp"":""cnd"",""pid"":""25061313"",""lot"":""8"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""-7209740691724113267"",""sqftrange"":""500-999"",""price"":""416600"",""sqft"":""777"",""posting_url"":"""",""mlong"":""-121.995291"",""state"":""CA"",""prange"":""400-449k"",""zip"":""94560"",""mlat"":""37.519248"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvoq1g81exk810000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""416602"",""premieragent"":""no""}}","null","null","null","null"
"1572900836-1773","https://www.zillow.com/homes/newark-ca_rb/","","https://www.zillow.com/homedetails/5178-Tenaya-Ave-Newark-CA-94560/24927598_zpid/","Newark, CA 94560","For sale","5178 Tenaya Ave,","","","","","1,200","3","2","$779,999","$775,000","Single Family","1955","Forced air","No Data","Single Family","5,005 sqft","$3,200/mo","4","4","6","No Data","null","null","null","null"
"1572900706-1638","https://www.zillow.com/homes/newark-ca_rb/","","https://www.zillow.com/homedetails/37118-Birch-St-Newark-CA-94560/24927877_zpid/","Newark, CA 94560","For sale","37118 Birch St,","2","https://www.zillow.com/newark-ca/2_p/","","","1,101","3","1","null","$835,000","Single Family","1953","Forced air","Central","Single Family","6,534 sqft","$3,100/mo","6","4","6","{""targetDiv"":""gpt-ad-b46152d2-b2e4-461f-bf32-b6608696c44c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""37118 Birch St"",""bd"":""3"",""fsbid"":""4383"",""city"":""Newark"",""proptp"":""sfh"",""pid"":""24927877"",""lot"":""2"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""2911402225459554899"",""sqftrange"":""1000-1499"",""price"":""835000"",""sqft"":""1101"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/newark/37118-birch-st/pid_32355138/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.027727"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94560"",""mlat"":""37.536938"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvs54rfbxxhew1000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1940-1959"",""zestimate"":""835003"",""premieragent"":""no""}}","null","null","null","null"
