web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572908106-1425","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/1542-Center-Rd-APT-99-Novato-CA-94947/19281574_zpid/","Novato, CA 94947","For sale","1542 Center Rd APT 99,","","","","","","","973","2","2","$410,174","$415,000","Condo","1975","Other","Central","No Data","$416/month","$2,695/mo","6","6","8","null","Composition","null","null","$4,712"
"1572908399-1483","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/711-Alice-St-Novato-CA-94945/19288579_zpid/","Novato, CA 94945","For sale","711 Alice St,","","","","","","","1,126","2","1","$739,005","$739,000","Single Family","1950","No Data","No Data","1 space","7,405 sqft","$3,295/mo","6","6","8","null","No","null","null","$9,040"
"1572908530-1529","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/193-Bolling-Cir-Novato-CA-94949/68564917_zpid/","Novato, CA 94949","For sale","193 Bolling Cir,","","","","","","","1,459","3","2","$264,583","$267,696","Condo","2005","Other","No Data","No Data","$264/month","$3,719/mo","4","8","null","null","Composition","null","null","$3,718"
"1572908557-1537","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/108B-Oliva-Ct-Novato-CA-94947/2082289312_zpid/","Novato, CA 94947","For sale","108B Oliva Ct,","","","","","","","1,288","3","2","$531,085","$525,000","Condo","1974","No Data","No Data","No Data","$444/month","null","7","6","8","null","No","null","null","null"
"1572907811-1327","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/84-Carnoustie-Hts-Novato-CA-94949/19291660_zpid/","Novato, CA 94949","For sale","84 Carnoustie Hts,","2","https://www.zillow.com/novato-ca/2_p/","","","","","2,863","3","3","null","$1,635,000","Single Family","1974","Other","No Data","3 spaces","1.09 acres","$6,250/mo","5","5","8","null","No","null","null","$18,502"
"1572908422-1492","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/308-Sunset-Pkwy-Novato-CA-94947/19287201_zpid/","Novato, CA 94947","For sale","308 Sunset Pkwy,","","","","","","","1,750","3","2","$749,213","$749,000","Single Family","1954","Other","No Data","1 space","7,405 sqft","$3,500/mo","5","5","8","null","No","null","null","$9,678"
"1572904482-913","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/120-Windwalker-Way-Novato-CA-94945/19284005_zpid/","Novato, CA 94945","Auction","120 Windwalker Way,","","","3","https://www.zillow.com/novato-ca/3_p/","","","null","4","null","null","$1,147,670","Single Family","2002","Other","No Data","3 spaces","0.42 acres","$6,500/mo","4","6","8","null","No","null","null","$18,122"
"1572908650-1568","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/20-Deerfield-Ln-Novato-CA-94947/19286870_zpid/","Novato, CA 94947","For sale","20 Deerfield Ln,","","","","","","","1,497","3","2","null","$679,000","Condo","1978","Other","No Data","2 spaces","$430/month","$3,450/mo","6","5","null","null","Composition","null","null","$3,401"
"1572904875-1043","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/57-Dolphin-Isle-Novato-CA-94949/19290455_zpid/","Novato, CA 94949","Pre-foreclosure / auction","57 Dolphin Isle,","","","3","https://www.zillow.com/novato-ca/3_p/","","","null","3","null","$767,426","$767,426","Single Family","1987","Other","No Data","2 spaces","9,360 sqft","null","4","8","null","null","No","null","null","$9,853"
"1572905030-1095","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/122-Oliva-Ct-C-Novato-CA-94947/19280043_zpid/","Novato, CA 94947","For sale","122 Oliva Ct # C,","","","3","https://www.zillow.com/novato-ca/3_p/","","","1,288","3","2","$513,636","$519,900","Condo","1972","Other","No Data","Attached Garage","$444/month","$3,200/mo","7","6","8","null","Composition","null","null","$7,122"
"1572908606-1552","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/108B-Oliva-Ct-B-Novato-CA-94947/2082287511_zpid/","Novato, CA 94947","For sale","108B Oliva Ct # B,","","","","","","","1,288","3","1","null","$525,000","Condo","1974","Gas","No Data","No Data","No Data","null","7","6","8","null","No","null","null","null"
"1572903868-713","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/(undisclosed-Address)-Novato-CA-94947/2083004956_zpid/","Novato, CA 94947","For sale","(undisclosed Address),","","","","","4","https://www.zillow.com/novato-ca/4_p/","1,252","2","2","$459,966","$460,000","Condo","1976","No Data","No Data","No Data","$458/month","null","4","8","null","null","Composition","null","null","null"
"1572907494-1223","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/24-Newport-Landing-Dr-Novato-CA-94949/54641897_zpid/","Novato, CA 94949","For sale","24 Newport Landing Dr,","2","https://www.zillow.com/novato-ca/2_p/","","","","","3,006","5","3","null","$1,099,000","Single Family","2003","Other","No Data","2 spaces","4,356 sqft","$4,750/mo","4","8","null","null","No","null","null","$12,550"
"1572908712-1587","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/42-Bridle-Path-Ln-Novato-CA-94945/19278796_zpid/","Novato, CA 94945","For sale","42 Bridle Path Ln,","","","","","","","1,724","3","3","$726,064","$729,000","Condo","1990","Other","No Data","1 space","$519/month","$3,500/mo","7","6","8","null","Shake/Shingle","null","null","$5,322"
"1572904727-991","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/222-Redhawk-Rd-Novato-CA-94949/19293138_zpid/","Novato, CA 94949","Pre-foreclosure","222 Redhawk Rd,","","","3","https://www.zillow.com/novato-ca/3_p/","","","null","3","null","$503,648","$503,648","Single Family","1990","Other","No Data","1 space","1,598 sqft","null","4","8","null","null","Composition","null","null","$9,541"
"1572904425-894","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/746-Diablo-Ave-Novato-CA-94947/19281009_zpid/","Novato, CA 94947","Pre-foreclosure / auction","746 Diablo Ave,","","","3","https://www.zillow.com/novato-ca/3_p/","","","null","3","null","$520,438","$520,438","Single Family","1952","Forced air","Central","2 spaces","6,969 sqft","null","6","NA","8","null","Composition","null","null","$8,959"
