web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href,next_page9,next_page9-href,next_page10,next_page10-href,next_page11,next_page11-href,next_page12,next_page12-href,next_page13,next_page13-href,next_page14,next_page14-href,next_page15,next_page15-href,next_page16,next_page16-href,next_page17,next_page17-href,next_page18,next_page18-href,next_page19,next_page19-href,next_page20,next_page20-href
"1572907668-6459","https://www.zillow.com/homes/oakland-CA_rb/","","https://www.zillow.com/homedetails/5424-Broadway-Oakland-CA-94618/24810269_zpid/","Oakland, CA 94618","For sale","5424 Broadway,","","","","","4","https://www.zillow.com/oakland-ca/4_p/","","","1,623","3","2","$1,331,100","$1,195,000","Single Family","1920","Forced air","Central","Single Family","3,798 sqft","$4,200/mo","1","6","8","{""targetDiv"":""gpt-ad-e49d6035-1eee-4864-bf6c-e22aa45110f8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5424 Broadway"",""bd"":""3"",""fsbid"":""15263"",""city"":""Oakland"",""proptp"":""sfh"",""pid"":""24810269"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-7366090955299940723"",""sqftrange"":""1500-1999"",""price"":""1195000"",""oh"":""yes"",""sqft"":""1623"",""posting_url"":"""",""mlong"":""-122.248797"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94618"",""mlat"":""37.839568"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7i9d8p02v7s41000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Upper_Rockridge"",""yrblt"":""1920-1939"",""zestimate"":""1331100"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572906116-5257","https://www.zillow.com/homes/oakland-CA_rb/","","https://www.zillow.com/homedetails/811-York-St-APT-325-Oakland-CA-94610/2082602580_zpid/","Oakland, CA 94610","For sale","811 York St APT 325,","","","","","","","5","https://www.zillow.com/oakland-ca/5_p/","615","1","1","$564,481","$529,000","Condo","1975","Radiant","None","Condo","$551/month","$2,520/mo","7","1","7","{""targetDiv"":""gpt-ad-7c592925-e8c0-45e9-8d95-479fb346b97c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 325"",""aamgnrc1"":""811 York St"",""bd"":""1"",""fsbid"":""15263"",""city"":""Oakland"",""proptp"":""cnd"",""pid"":""2082602580"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""8509115665359014961"",""sqftrange"":""500-999"",""price"":""529000"",""sqft"":""615"",""posting_url"":"""",""mlong"":""-122.243942"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94610"",""mlat"":""37.813163"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjzeaf5vybqmt0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Lakeshore"",""yrblt"":""1970-1979"",""zestimate"":""564481"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/oakland-ca/6_p/","NEXT","https://www.zillow.com/oakland-ca/7_p/","NEXT","https://www.zillow.com/oakland-ca/8_p/","NEXT","https://www.zillow.com/oakland-ca/9_p/","NEXT","https://www.zillow.com/oakland-ca/10_p/","NEXT","https://www.zillow.com/oakland-ca/11_p/","","","","","","","","","","","","","","","","","",""
"1572908165-6763","https://www.zillow.com/homes/oakland-CA_rb/","","https://www.zillow.com/homedetails/2574-Oliver-Ave-Oakland-CA-94605/24807701_zpid/","Oakland, CA 94605","For sale","2574 Oliver Ave,","","","","","","","","","1,723","3","2","$722,394","$675,000","Single Family","1948","Gas","None","Single Family","8,524 sqft","$3,000/mo","NA","6","null","{""targetDiv"":""gpt-ad-0916ed03-ffef-4ba8-8702-f0e39d2dc730"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2574 Oliver Ave"",""bd"":""3"",""fsbid"":""14106"",""city"":""Oakland"",""proptp"":""sfh"",""pid"":""24807701"",""lot"":""2"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-2651447025688790618"",""sqftrange"":""1500-1999"",""price"":""675000"",""sqft"":""1723"",""posting_url"":""http://www.ChimereWashington.com"",""mlong"":""-122.153262"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94605"",""mlat"":""37.746865"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbtsi7pfp3hua1000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Foothill_Square"",""yrblt"":""1940-1959"",""zestimate"":""722394"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572908142-6749","https://www.zillow.com/homes/oakland-CA_rb/","","https://www.zillow.com/homedetails/180-Caldecott-Ln-UNIT-105-Oakland-CA-94618/152859495_zpid/","Oakland, CA 94618","For sale","180 Caldecott Ln UNIT 105,","","","","","","","","","773","1","1","$524,721","$499,000","Condo","1995","Baseboard","None","Condo","$459/month","$2,500/mo","7","9","8","{""targetDiv"":""gpt-ad-1f8ce09e-b4a4-40f0-8f1f-b812e18f3999"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 105"",""aamgnrc1"":""180 Caldecott Ln"",""bd"":""1"",""fsbid"":""14106"",""city"":""Oakland"",""proptp"":""cnd"",""pid"":""152859495"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-6951112632765420709"",""sqftrange"":""500-999"",""price"":""499000"",""sqft"":""773"",""posting_url"":""http://www.eastbayresidential.com"",""mlong"":""-122.220263"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""94618"",""mlat"":""37.855688"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzzdunthdr3ig1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Claremont"",""yrblt"":""1990-1999"",""zestimate"":""524721"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572907797-6537","https://www.zillow.com/homes/oakland-CA_rb/","","https://www.zillow.com/homedetails/416-Jones-Ave-Oakland-CA-94603/24802494_zpid/","Oakland, CA 94603","For sale","416 Jones Ave,","","","3","https://www.zillow.com/oakland-ca/3_p/","","","","","1,164","3","2","$540,749","$525,000","Single Family","1987","Forced air","Central","Single Family","4,055 sqft","$2,995/mo","4","6","null","{""targetDiv"":""gpt-ad-02fd1d54-b9ad-48bf-8114-ac8d32c2d02f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""416 Jones Ave"",""bd"":""3"",""fsbid"":""14106"",""city"":""Oakland"",""proptp"":""sfh"",""pid"":""24802494"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-7635398266367029088"",""sqftrange"":""1000-1499"",""price"":""525000"",""sqft"":""1164"",""posting_url"":""http://www.fohlandmcclellan.com"",""mlong"":""-122.188564"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94603"",""mlat"":""37.735034"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3f481h7puyxy0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Brookfield_Village"",""yrblt"":""1980-1989"",""zestimate"":""540749"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572906109-5251","https://www.zillow.com/homes/oakland-CA_rb/","","https://www.zillow.com/homedetails/222-Broadway-APT-808-Oakland-CA-94607/94687813_zpid/","Oakland, CA 94607","Pre-foreclosure","222 Broadway APT 808,","","","","","","","5","https://www.zillow.com/oakland-ca/5_p/","null","2","null","null","null","Single Family","2009","No Data","No Data","Single Family","No Data","null","NA","null","null","{""targetDiv"":""gpt-ad-02919dcb-9f9e-4f47-a653-3398ee77d0ad"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 808"",""zip"":""94607"",""aamgnrc1"":""222 Broadway"",""mlat"":""37.79617"",""bd"":""2"",""z_listing_image_url"":"""",""zusr"":""true"",""city"":""Oakland"",""proptp"":""sfh"",""pid"":""94687813"",""hood"":""Produce_&_Waterfront"",""yrblt"":""2000-2009"",""listtp"":""buy_foreclosure"",""zguidh"":""9213860865882172469"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""sqft"":""1286"",""posting_url"":"""",""mlong"":""-122.276178"",""state"":""CA"",""park"":""yes""}}","null","null","null","null","NEXT","https://www.zillow.com/oakland-ca/6_p/","NEXT","https://www.zillow.com/oakland-ca/7_p/","NEXT","https://www.zillow.com/oakland-ca/8_p/","NEXT","https://www.zillow.com/oakland-ca/9_p/","NEXT","https://www.zillow.com/oakland-ca/10_p/","NEXT","https://www.zillow.com/oakland-ca/11_p/","","","","","","","","","","","","","","","","","",""
"1572905492-4761","https://www.zillow.com/homes/oakland-CA_rb/","","https://www.zillow.com/homedetails/847-E-18th-St-Oakland-CA-94606/24759101_zpid/","Oakland, CA 94606","For sale","847 E 18th St,","","","","","","","5","https://www.zillow.com/oakland-ca/5_p/","null","--","null","$1,109,146","$1,099,000","Multi Family","1916","Gas","Central","Multi Family","$398","$3,200/mo","4","NA","null","{""targetDiv"":""gpt-ad-61754b97-79c8-4082-8b96-6799e174f26f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""847 E 18th St"",""bd"":""0"",""fsbid"":""15263"",""city"":""Oakland"",""proptp"":""mfh"",""pid"":""24759101"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""4052375061651342483"",""sqftrange"":""2500-2999"",""price"":""1099000"",""sqft"":""2762"",""posting_url"":"""",""mlong"":""-122.247137"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94606"",""mlat"":""37.795401"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjr06or5i5vxa0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Clinton"",""yrblt"":""1900-1919"",""zestimate"":""1109146"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/oakland-ca/6_p/","NEXT","https://www.zillow.com/oakland-ca/7_p/","NEXT","https://www.zillow.com/oakland-ca/8_p/","NEXT","https://www.zillow.com/oakland-ca/9_p/","NEXT","https://www.zillow.com/oakland-ca/10_p/","NEXT","https://www.zillow.com/oakland-ca/11_p/","NEXT","https://www.zillow.com/oakland-ca/12_p/","NEXT","https://www.zillow.com/oakland-ca/13_p/","NEXT","https://www.zillow.com/oakland-ca/14_p/","","","","","","","","","","","",""
"1572905558-4812","https://www.zillow.com/homes/oakland-CA_rb/","","https://www.zillow.com/homedetails/(undisclosed-Address)-Oakland-CA-94619/2085357891_zpid/","Oakland, CA 94619","Lot/land","(undisclosed Address),","","","","","","","5","https://www.zillow.com/oakland-ca/5_p/","null","7,562 sqft","null","None","$79,000","null","null","null","null","null","null","null","5","NA","NA","{""targetDiv"":""gpt-ad-389d0f6d-7a82-42e8-b9fa-0a6e37a93b69"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94619"",""aamgnrc1"":""(undisclosed Address)"",""mlat"":""37.79023"",""bd"":""0"",""fsbid"":""15263"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISyzhx8jj38q781000000000.jpg"",""zusr"":""true"",""city"":""Oakland"",""proptp"":""lot"",""pid"":""2085357891"",""lot"":""2"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""7786111628111247020"",""premieragent"":""no"",""price"":""79000"",""posting_url"":"""",""mlong"":""-122.18553"",""state"":""CA"",""prange"":""0-100k""}}","null","null","null","null","NEXT","https://www.zillow.com/oakland-ca/6_p/","NEXT","https://www.zillow.com/oakland-ca/7_p/","NEXT","https://www.zillow.com/oakland-ca/8_p/","NEXT","https://www.zillow.com/oakland-ca/9_p/","NEXT","https://www.zillow.com/oakland-ca/10_p/","NEXT","https://www.zillow.com/oakland-ca/11_p/","NEXT","https://www.zillow.com/oakland-ca/12_p/","NEXT","https://www.zillow.com/oakland-ca/13_p/","NEXT","https://www.zillow.com/oakland-ca/14_p/","","","","","","","","","","","",""
"1572905709-4937","https://www.zillow.com/homes/oakland-CA_rb/","","https://www.zillow.com/homedetails/10425-Bancroft-Ave-Oakland-CA-94603/24805515_zpid/","Oakland, CA 94603","For sale","10425 Bancroft Ave,","","","","","","","5","https://www.zillow.com/oakland-ca/5_p/","null","4","null","$838,554","$800,000","Multi Family","1959","Other","None","Multi Family","$334","$3,000/mo","1","6","null","{""targetDiv"":""gpt-ad-6db11768-d75c-46d1-a94b-302b2c88b61b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""10425 Bancroft Ave"",""bd"":""4"",""fsbid"":""13599"",""city"":""Oakland"",""proptp"":""mfh"",""pid"":""24805515"",""lot"":""2"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""-6304091941789682865"",""sqftrange"":""2000-2499"",""price"":""800000"",""sqft"":""2396"",""posting_url"":""https://www.bhhs.com/drysdaleproperties-ca326/ca/10425-bancroft-avenue-oakland-94603/pid-2186351480?lead=CompanyKey%3DCA326%26LeadBrand%3D11413101711000010000"",""mlong"":""-122.157859"",""state"":""CA"",""prange"":""800-899k"",""zip"":""94603"",""mlat"":""37.742462"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzveklw0lvc040000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""hood"":""Iveywood"",""yrblt"":""1940-1959"",""zestimate"":""838554"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/oakland-ca/6_p/","NEXT","https://www.zillow.com/oakland-ca/7_p/","NEXT","https://www.zillow.com/oakland-ca/8_p/","NEXT","https://www.zillow.com/oakland-ca/9_p/","NEXT","https://www.zillow.com/oakland-ca/10_p/","NEXT","https://www.zillow.com/oakland-ca/11_p/","NEXT","https://www.zillow.com/oakland-ca/12_p/","NEXT","https://www.zillow.com/oakland-ca/13_p/","","","","","","","","","","","","","",""
"1572907390-6275","https://www.zillow.com/homes/oakland-CA_rb/","","https://www.zillow.com/homedetails/75-Duncan-Way-Oakland-CA-94611/24817869_zpid/","Oakland, CA 94611","For sale","75 Duncan Way,","","","","","","","5","https://www.zillow.com/oakland-ca/5_p/","1,372","2","1","None","$898,900","Single Family","1927","Forced air","None","Single Family","7,126 sqft","$3,950/mo","9","9","8","No Data","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
