web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572904358-876","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/4660-Duarte-Ave-Oakley-CA-94561/18292393_zpid/","Oakley, CA 94561","Pre-foreclosure","4660 Duarte Ave,","","","","","4","https://www.zillow.com/oakley-ca/4_p/","null","3","null","$428,839","$428,839","Single Family","1988","Other","No Data","2 spaces","6,000 sqft","null","1","3","5","null","No","null","null","$8,468"
"1572907603-1258","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/23-Puffin-Cir-Oakley-CA-94561/68041470_zpid/","Oakley, CA 94561","For sale","23 Puffin Cir,","","","3","https://www.zillow.com/oakley-ca/3_p/","","","2,550","3","3","$524,904","$524,900","Single Family","2005","No Data","Central","2 spaces","6,098 sqft","$2,800/mo","3","4","5","null","No","null","null","$9,596"
"1572909421-1714","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/community/laurel-at-emerson-ranch/2082649492_zpid/","Oakley, CA 94561","New construction","Buildable plan: Residence 4, Laurel at Emerson Ranch,","","","","","","","3,564","5","4","$649,993","$649,990","Single Family","2019","No Data","No Data","Single Family","No Data","null","3","4","5","{""targetDiv"":""gpt-ad-25ef2249-91cb-4702-9d63-dbc296f45976"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" TH1XCZ"",""aamgnrc1"":""347 Hansford Way"",""bd"":""5"",""fsbid"":""14748"",""city"":""Oakley"",""proptp"":""sfh"",""pid"":""2082649492"",""zestibuck"":""600-699k"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""3500-3999"",""price"":""649990"",""sqft"":""3564"",""posting_url"":""https://www.brookfieldresidential.com/new-homes/california/east-bay/oakley/emerson-ranch/laurel?utm_source=GJ_NewHomeFeed_Laurel_Boulevard&utm_medium=listing&utm_campaign=brookfieldnorcal_laurel"",""state"":""CA"",""mlong"":""-121.683283"",""cnty"":""Contra_Costa"",""prange"":""600-699k"",""zip"":""94561"",""mlat"":""37.995442"",""plid"":""867088"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnq6lw6jzkoa70000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2010-2019"",""zestimate"":""649993"",""premieragent"":""no"",""builderChatId"":""14748-778537"",""dma"":""37""}}","Yes","null","null","null"
"1572908775-1606","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/2120-El-Lago-Dr-Oakley-CA-94561/18295040_zpid/","Oakley, CA 94561","For sale","2120 El Lago Dr,","","","","","","","2,065","4","3","null","$500,000","Single Family","1996","Forced air","Central","2 spaces","8,071 sqft","$2,700/mo","5","3","5","null","Composition","null","null","$6,068"
"1572909440-1717","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/4673-Mammouth-Ln-Oakley-CA-94561/68034699_zpid/","Oakley, CA 94561","For sale","4673 Mammouth Ln,","","","","","","","2,750","5","3","$550,561","$544,500","Single Family","2003","Forced air","Central","2 spaces","6,308 sqft","$2,800/mo","3","4","5","null","Tile","null","null","$5,081"
"1572907654-1273","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/0000-Wildhorse-Oakley-CA-94561/2083634073_zpid/","Oakley, CA 94561","Lot/land","0000 Wildhorse,","","","3","https://www.zillow.com/oakley-ca/3_p/","","","null","10 acres","null","None","$469,000","null","null","null","null","null","null","null","3","5","null","null","Unimproved","Active","null","null"
"1572909450-1720","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/community/northpoint-at-delaney-park/2082314998_zpid/","null","null","null","","","","","","","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1572904145-790","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/420-Hazelnut-Dr-Oakley-CA-94561/18291525_zpid/","Oakley, CA 94561","Pre-foreclosure / auction","420 Hazelnut Dr,","","","","","4","https://www.zillow.com/oakley-ca/4_p/","null","4","null","$551,294","$551,294","Single Family","1986","Other","Central","2 spaces","10,560 sqft","null","4","3","5","null","No","null","null","$5,614"
"1572908465-1505","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/16-Verbena-Ct-Oakley-CA-94561/72556675_zpid/","Oakley, CA 94561","For sale","16 Verbena Ct,","2","https://www.zillow.com/oakley-ca/2_p/","","","","","2,503","4","3","$578,000","$578,000","Single Family","2006","Forced air","Central","3 spaces","7,840 sqft","null","7","3","5","null","Stucco","Tile","null","$8,589"
"1572904477-911","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/4888-Winchester-Dr-Oakley-CA-94561/68032902_zpid/","Oakley, CA 94561","Pre-foreclosure / auction","4888 Winchester Dr,","","","","","4","https://www.zillow.com/oakley-ca/4_p/","null","3","null","$501,717","$501,717","Single Family","2003","No Data","Central","2 spaces","6,830 sqft","null","3","3","5","null","No","null","null","$7,062"
