web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572901514-2099","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/community/wilder-in-orinda/2082501390_zpid/","Orinda, CA 94563","New construction","Buildable plan: Residence 6 Wilder, Wilder in Orinda,","","","","","4,360","5","7","$2,271,351","$2,340,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","9","10","9","{""targetDiv"":""gpt-ad-71251245-1e43-4712-ab92-b2139545f68f"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" TITMIN"",""aamgnrc1"":""12 Wilder Rd"",""bd"":""5"",""fsbid"":""12949"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""2082501390"",""zestibuck"":""2-2_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""4000-4499"",""price"":""2340000"",""sqft"":""4360"",""posting_url"":""https://www.taylormorrison.com/ca/bay-area/orinda/wilder-canyon?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=39584&nhf_listing_type=community&utm_term=comm_WilderinOrinda&utm_campaign=Orinda%2FCA"",""state"":""CA"",""mlong"":""-122.18376"",""cnty"":""Santa_Clara"",""prange"":""2-2_499m"",""zip"":""94563"",""mlat"":""37.86124"",""plid"":""13167"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzfq27d1fbej01000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""South_of_Midtown"",""yrblt"":""2010-2019"",""zestimate"":""2271351"",""premieragent"":""no"",""builderChatId"":""12949-812706"",""dma"":""37""}}","null","null","null","null"
"1572901280-1871","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/12-Parklane-Dr-Orinda-CA-94563/18477615_zpid/","Orinda, CA 94563","Pre-foreclosure / auction","12 Parklane Dr,","2","https://www.zillow.com/orinda-ca/2_p/","","","null","4","null","$1,350,245","$1,350,245","Single Family","1949","Forced air","No Data","Single Family","0.28 acres","null","9","10","9","{""targetDiv"":""gpt-ad-10432f3b-6d01-4fb5-99cc-dc5e2bb4005d"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""12 Parklane Dr"",""bd"":""4"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""18477615"",""lot"":""3"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""4357306340127432482"",""sqftrange"":""1500-1999"",""price"":""1392006"",""sqft"":""1958"",""posting_url"":"""",""mlong"":""-122.158818"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94563"",""mlat"":""37.874572"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1392006"",""premieragent"":""no""}}","null","null","null","null"
"1572901424-1999","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/79-Yarrow-Valley-Ln-Orinda-CA-94563/18487553_zpid/","Orinda, CA 94563","For sale","79 Yarrow Valley Ln,","","","","","4,223","5","5","$2,136,838","$2,190,000","Single Family","1992","Forced air","Central","Single Family","0.55 acres","null","9","10","9","{""targetDiv"":""gpt-ad-41eac84a-ff74-4c20-b31f-a822df230590"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""79 Yarrow Valley Ln"",""bd"":""5"",""fsbid"":""14106"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""18487553"",""lot"":""4"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""-7667488769173359224"",""sqftrange"":""4000-4499"",""price"":""2190000"",""sqft"":""4223"",""posting_url"":"""",""mlong"":""-122.177847"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94563"",""mlat"":""37.91433"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjr02p1ndngef0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1990-1999"",""zestimate"":""2136838"",""premieragent"":""no""}}","null","null","null","null"
"1572901243-1856","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/35-Bigleaf-Rd-Orinda-CA-94563/95426354_zpid/","Orinda, CA 94563","Lot/land","35 Bigleaf Rd,","","","3","https://www.zillow.com/orinda-ca/3_p/","null","0.54 acres","null","None","$799,000","null","null","null","null","null","null","null","9","10","9","{""targetDiv"":""gpt-ad-00ede9ca-80c2-47a5-89ff-e3201f4f0e4b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94563"",""aamgnrc1"":""35 Bigleaf Rd"",""mlat"":""37.865766"",""bd"":""0"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnehpl9y7sfs91000000000.jpg"",""zusr"":""true"",""city"":""Orinda"",""proptp"":""lot"",""pid"":""95426354"",""lot"":""4"",""listtp"":""buy_agent"",""zguidh"":""-1201501104217228800"",""premieragent"":""no"",""price"":""799000"",""posting_url"":""http://orindawilder.com"",""mlong"":""-122.181673"",""state"":""CA"",""prange"":""700-799k""}}","null","null","null","null"
"1572901312-1896","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/5-Madrone-Pl-Orinda-CA-94563/18476255_zpid/","Orinda, CA 94563","Pre-foreclosure / auction","5 Madrone Pl,","2","https://www.zillow.com/orinda-ca/2_p/","","","1,631","3","2","$1,020,494","$1,020,494","Single Family","1971","Other","No Data","Single Family","0.41 acres","null","9","10","9","{""targetDiv"":""gpt-ad-2b065269-6df9-4713-8c2f-cf292533e52e"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94563"",""aamgnrc1"":""5 Madrone Pl"",""mlat"":""37.882631"",""bd"":""3"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISijq0zl0o5ztd1000000000.jpg"",""zusr"":""true"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""18476255"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1052056"",""lot"":""3"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""-1822013329696528889"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""775000"",""sqft"":""1631"",""posting_url"":"""",""mlong"":""-122.201126"",""state"":""CA"",""prange"":""700-799k""}}","null","null","null","null"
"1572901473-2052","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/community/wilder-in-orinda/2082501389_zpid/","Orinda, CA 94563","New construction","Buildable plan: Residence 4 Wilder, Wilder in Orinda,","","","","","4,147","4","6","$2,238,994","$2,300,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","9","10","9","{""targetDiv"":""gpt-ad-c07df4d4-74f2-43a3-b9f9-6daf6859c081"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 395VP8"",""aamgnrc1"":""12 Wilder Rd"",""bd"":""4"",""fsbid"":""12949"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""2082501389"",""zestibuck"":""2-2_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""4000-4499"",""price"":""2300000"",""sqft"":""4147"",""posting_url"":""https://www.taylormorrison.com/ca/bay-area/orinda/wilder-canyon?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=39584&nhf_listing_type=community&utm_term=comm_WilderinOrinda&utm_campaign=Orinda%2FCA"",""state"":""CA"",""mlong"":""-122.18376"",""cnty"":""Contra_Costa"",""prange"":""2-2_499m"",""zip"":""94563"",""mlat"":""37.86124"",""plid"":""13167"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7msepj5njbj01000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""2010-2019"",""zestimate"":""2238994"",""premieragent"":""no"",""builderChatId"":""12949-812706"",""dma"":""37""}}","null","null","null","null"
"1572901379-1957","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/21-Ichabod-Ln-Orinda-CA-94563/18476706_zpid/","Orinda, CA 94563","For sale","21 Ichabod Ln,","","","","","null","4","null","$1,565,357","$1,548,880","Single Family","1966","Forced air","Central","Single Family","1.03 acres","null","9","10","9","{""targetDiv"":""gpt-ad-a1f40021-e97d-4ae1-9b1d-8f9153d81fd5"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""21 Ichabod Ln"",""bd"":""4"",""fsbid"":""13379"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""18476706"",""lot"":""6"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""3661138095701483401"",""sqftrange"":""2000-2499"",""price"":""1548880"",""sqft"":""2034"",""posting_url"":""http://www.homesmartinternational.com/"",""mlong"":""-122.198191"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94563"",""mlat"":""37.909065"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3zfae0cm7huf0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1960-1969"",""zestimate"":""1565357"",""premieragent"":""no""}}","null","null","null","null"
"1572901467-2046","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/99-Tappan-Lane-Orinda-CA-94563/18476926_zpid/","Orinda, CA 94563","For sale","99 Tappan Lane,","","","","","5,211","5","5","null","$4,700,000","Single Family","1982","Forced air","Central","Single Family","1.15 acres","null","9","10","9","{""targetDiv"":""gpt-ad-aaa9a5e6-b2b0-4ec8-a299-568eb5de7dec"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""99 Tappan Lane"",""bd"":""5"",""fsbid"":""9457"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""18476926"",""lot"":""6"",""zestibuck"":""4m-4_999m"",""listtp"":""buy_agent"",""zguidh"":""-2838299557892351543"",""sqftrange"":""5000-5999"",""price"":""4700000"",""sqft"":""5211"",""posting_url"":""https://www.sothebysrealty.com/id/jgm526"",""mlong"":""-122.19718"",""state"":""CA"",""park"":""yes"",""prange"":""4m-4_999m"",""zip"":""94563"",""mlat"":""37.911529"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn2goaborzt0x0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1980-1989"",""zestimate"":""4437365"",""premieragent"":""no""}}","null","null","null","null"
"1572901501-2086","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/community/wilder-in-orinda/2082501388_zpid/","Orinda, CA 94563","New construction","Buildable plan: Residence 2 Wilder, Wilder in Orinda,","","","","","3,331","4","5","$1,869,384","$1,885,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","9","10","9","{""targetDiv"":""gpt-ad-aa03c000-900d-4d70-a316-30abde6b0cb2"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" N0H9NL"",""aamgnrc1"":""12 Wilder Rd"",""bd"":""4"",""fsbid"":""12949"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""2082501388"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3000-3499"",""price"":""1885000"",""sqft"":""3331"",""posting_url"":""https://www.taylormorrison.com/ca/bay-area/orinda/wilder-canyon?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=39584&nhf_listing_type=community&utm_term=comm_WilderinOrinda&utm_campaign=Orinda%2FCA"",""state"":""CA"",""mlong"":""-122.18376"",""cnty"":""Contra_Costa"",""prange"":""1_5-1_999m"",""zip"":""94563"",""mlat"":""37.86124"",""plid"":""13167"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfsuq7q9vr8j01000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1869384"",""premieragent"":""no"",""builderChatId"":""12949-812706"",""dma"":""37""}}","null","null","null","null"
"1572901477-2056","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/12-Rabble-Rd-Orinda-CA-94563/95444134_zpid/","Orinda, CA 94563","Lot/land","12 Rabble Rd,","","","","","null","0.39 acres","null","None","$875,000","null","null","null","null","null","null","null","9","10","9","{""targetDiv"":""gpt-ad-c744c0af-0d53-4e45-8e17-9bc1aaae1263"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94563"",""aamgnrc1"":""12 Rabble Rd"",""mlat"":""37.864485"",""bd"":""6"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISneht4b74x5qn1000000000.jpg"",""zusr"":""true"",""city"":""Orinda"",""proptp"":""lot"",""pid"":""95444134"",""lot"":""3"",""listtp"":""buy_agent"",""zguidh"":""4258400494330361943"",""premieragent"":""no"",""sqftrange"":""4000-4499"",""price"":""875000"",""sqft"":""4070"",""posting_url"":"""",""mlong"":""-122.182234"",""state"":""CA"",""prange"":""800-899k""}}","null","null","null","null"
