web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920245-2132","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/748-Claridge-Dr-Pacifica-CA-94044/15476412_zpid/","Pacifica, CA 94044","For sale","748 Claridge Dr,","1,220","3","2","$968,996","$899,000","Single Family","1954","Forced air","None","Attached Garage","6,181 sqft","$3,850/mo","7","5","null","None","Composition","null","Public Utilities","$9,375"
"1572920395-2174","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/30-Aurora-Ct-Pacifica-CA-94044/15493844_zpid/","Pacifica, CA 94044","For sale","30 Aurora Ct,","2,010","3","2","$1,288,038","$1,188,888","Single Family","1952","Forced air","None","Carport","5,074 sqft","$4,200/mo","7","5","null","null","No","null","Public Utilities","$2,346"
"1572919971-2061","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/659-Claridge-Dr-Pacifica-CA-94044/15476305_zpid/","Pacifica, CA 94044","Auction","659 Claridge Dr,","null","3","null","null","$825,506","Single Family","1954","Forced air","No Data","1 space","4,791 sqft","$3,950/mo","7","5","null","null","No","null","null","$7,090"
"1572919855-2027","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/318-Horizon-Way-Pacifica-CA-94044/15477428_zpid/","Pacifica, CA 94044","Pre-foreclosure","318 Horizon Way,","null","3","null","$732,050","$732,050","Single Family","1964","Other","No Data","Attached Garage","3,963 sqft","null","7","5","null","null","No","null","null","$8,953"
"1572920373-2168","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/423-Norfolk-Dr-425-Pacifica-CA-94044/2082591792_zpid/","Pacifica, CA 94044","For sale","423 Norfolk Dr # 425,","4,646","8","6","$1,849,695","$1,825,000","Single Family","2017","Forced air","None","Attached Garage","7,649 sqft","$4,500/mo","7","5","null","null","No","null","Public Utilities","null"
"1572919835-2023","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/Linda-Mar-Blvd-Pacifica-CA-94044/2093227588_zpid/","Pacifica, CA 94044","For sale by owner","Linda Mar Blvd,","null","145 acres","null","None","$2,999,999","null","null","null","null","null","null","$3,295/mo","7","5","null","null","null","null","null","null"
"1572920539-2217","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/84-San-Jose-Ave-Pacifica-CA-94044/15489423_zpid/","Pacifica, CA 94044","For sale","84 San Jose Ave,","1,027","2","2","$961,965","$875,000","Single Family","1999","Forced air","None","Off street","2,252 sqft","$3,795/mo","7","5","null","null","Composition","null","null","$10,606"
"1572920015-2074","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/900-Oddstad-Blvd-Pacifica-CA-94044/181364668_zpid/","Pacifica, CA 94044","Lot/land","900 Oddstad Blvd,","null","0.77 acres","null","None","$320,000","null","null","null","null","null","null","$3,650/mo","7","5","null","null","Residential Lots & Land","Square Feet","Electricity - Available at Street","$4,113"
"1572920595-2232","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/1003-Anza-Dr-Pacifica-CA-94044/15503076_zpid/","Pacifica, CA 94044","For sale","1003 Anza Dr,","1,040","3","1","$1,002,836","$949,000","Single Family","1954","Forced air","None","Attached Garage","7,348 sqft","$3,975/mo","7","5","null","null","Composition","null","Generator, Public Utilities, Natural Gas","$9,060"
"1572920607-2233","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/540-Loma-Vista-Ter-Pacifica-CA-94044/15489397_zpid/","Pacifica, CA 94044","For sale","540 Loma Vista Ter,","2,100","3","3","$1,270,474","$1,250,000","Single Family","1979","Forced air","None","Attached Garage","5,331 sqft","$4,100/mo","7","5","null","None","Composition","null","Public Utilities, Natural Gas","$11,562"
