web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572901697-2299","https://www.zillow.com/homes/palo-alto-ca_rb/","","https://www.zillow.com/homedetails/3162-Middlefield-Rd-Palo-Alto-CA-94306/19504107_zpid/","Palo Alto, CA 94306","For sale","3162 Middlefield Rd,","","","","","998","2","2","$941,228","$925,000","Condo","1963","Forced air","None","Condo","$360/month","$3,600/mo","9","9","10","{""targetDiv"":""gpt-ad-1ab48c86-3f32-4a79-9584-7159ccc588e6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3162 Middlefield Rd"",""bd"":""2"",""fsbid"":""16701"",""city"":""Palo_Alto"",""proptp"":""cnd"",""pid"":""19504107"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""-5933453470430879564"",""sqftrange"":""500-999"",""price"":""925000"",""sqft"":""998"",""posting_url"":""http://www.SiliconValleyHomesByLisa.com"",""mlong"":""-122.123475"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94306"",""mlat"":""37.42937"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjfbucvg8y0461000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""hood"":""Midtown"",""yrblt"":""1960-1969"",""zestimate"":""941228"",""premieragent"":""no""}}","null","null","null","null"
"1572901477-2058","https://www.zillow.com/homes/palo-alto-ca_rb/","","https://www.zillow.com/homedetails/440-Cesano-Ct-APT-311-Palo-Alto-CA-94306/19510268_zpid/","Palo Alto, CA 94306","For sale","440 Cesano Ct APT 311,","","","","","1,103","1","1","$999,499","$950,000","Condo","1981","Forced air","Central","Condo","$485/month","$3,300/mo","8","9","9","{""targetDiv"":""gpt-ad-5d9b3ae3-b77b-48dc-b8c6-629d446a46ce"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 311"",""aamgnrc1"":""440 Cesano Ct"",""bd"":""1"",""fsbid"":""13698"",""city"":""Palo_Alto"",""proptp"":""cnd"",""pid"":""19510268"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""-4161390009574504596"",""sqftrange"":""1000-1499"",""price"":""950000"",""sqft"":""1103"",""posting_url"":""http://www.loreleimangan.com"",""mlong"":""-122.117535"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94306"",""mlat"":""37.405649"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7iph20mxu2p21000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""hood"":""Monroe_Park"",""yrblt"":""1980-1989"",""zestimate"":""999499"",""premieragent"":""no""}}","null","null","null","null"
"1572901399-1975","https://www.zillow.com/homes/palo-alto-ca_rb/","","https://www.zillow.com/homedetails/2001-Webster-St-Palo-Alto-CA-94301/61322348_zpid/","Palo Alto, CA 94301","For sale","2001 Webster St,","2","https://www.zillow.com/palo-alto-ca/2_p/","","","5,042","5","6","$9,492,152","$9,980,000","Single Family","2004","Forced air","Central","Single Family","8,755 sqft","$22,215/mo","9","8","10","{""targetDiv"":""gpt-ad-a4421118-768d-4925-b0ac-27acfabf9783"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2001 Webster St"",""bd"":""5"",""fsbid"":""15050"",""city"":""Palo_Alto"",""proptp"":""sfh"",""pid"":""61322348"",""lot"":""2"",""zestibuck"":""9m-9_999m"",""listtp"":""buy_agent"",""zguidh"":""-6855519298773387212"",""sqftrange"":""5000-5999"",""price"":""9980000"",""sqft"":""5042"",""posting_url"":"""",""mlong"":""-122.139117"",""state"":""CA"",""park"":""yes"",""prange"":""9m-9_999m"",""zip"":""94301"",""mlat"":""37.437947"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfwlyyek95cyi0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Old_Palo_Alto"",""yrblt"":""2000-2009"",""zestimate"":""9492152"",""premieragent"":""no""}}","null","null","null","null"
"1572901395-1970","https://www.zillow.com/homes/palo-alto-ca_rb/","","https://www.zillow.com/homedetails/650-Santa-Rita-Ave-Palo-Alto-CA-94301/19496365_zpid/","Palo Alto, CA 94301","For sale","650 Santa Rita Ave,","2","https://www.zillow.com/palo-alto-ca/2_p/","","","2,330","3","4","$4,937,616","$4,988,000","Single Family","1936","Forced air","Central","Single Family","7,919 sqft","$11,774/mo","9","8","10","{""targetDiv"":""gpt-ad-d78f399d-622d-486a-81eb-0e815d0629e4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""650 Santa Rita Ave"",""bd"":""3"",""fsbid"":""13698"",""city"":""Palo_Alto"",""proptp"":""sfh"",""pid"":""19496365"",""lot"":""2"",""zestibuck"":""4m-4_999m"",""listtp"":""buy_agent"",""zguidh"":""-3602614686247070954"",""sqftrange"":""2000-2499"",""price"":""4988000"",""sqft"":""2330"",""posting_url"":""http://www.deleonrealty.com"",""mlong"":""-122.137281"",""state"":""CA"",""park"":""yes"",""prange"":""4m-4_999m"",""zip"":""94301"",""mlat"":""37.437721"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvsh5wt6qyvcr1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Old_Palo_Alto"",""yrblt"":""1920-1939"",""zestimate"":""4937616"",""premieragent"":""no""}}","null","null","null","null"
"1572901557-2147","https://www.zillow.com/homes/palo-alto-ca_rb/","","https://www.zillow.com/homedetails/1027-Middlefield-Rd-Palo-Alto-CA-94301/2087895406_zpid/","Palo Alto, CA 94301","For sale","1027 Middlefield Rd,","","","","","1,672","4","4","$2,915,752","$2,895,000","Single Family","2019","Forced air","Central","Single Family","2,465 sqft","$7,100/mo","9","8","10","{""targetDiv"":""gpt-ad-87d95e29-796b-4df6-b57e-b6c134d5a179"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1027 Middlefield Rd"",""bd"":""4"",""fsbid"":""15050"",""city"":""Palo_Alto"",""proptp"":""sfh"",""pid"":""2087895406"",""lot"":""1"",""zestibuck"":""2_5-2_999m"",""listtp"":""buy_agent"",""zguidh"":""-3288971746001814071"",""sqftrange"":""1500-1999"",""price"":""2895000"",""sqft"":""1672"",""posting_url"":"""",""mlong"":""-122.150044"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""94301"",""mlat"":""37.446644"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3bhzz2ny98ea1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Community_Center"",""yrblt"":""2010-2019"",""zestimate"":""2915752"",""premieragent"":""no""}}","null","null","null","null"
"1572901347-1926","https://www.zillow.com/homes/palo-alto-ca_rb/","","https://www.zillow.com/homedetails/360-Everett-Ave-APT-3B-Palo-Alto-CA-94301/19495437_zpid/","Palo Alto, CA 94301","For sale","360 Everett Ave APT 3B,","2","https://www.zillow.com/palo-alto-ca/2_p/","","","1,762","2","2","null","$1,999,995","Condo","1961","Forced air","None","Condo","$1,164/month","$5,204/mo","7","8","10","{""targetDiv"":""gpt-ad-13faec9c-c35b-43cc-b77f-e7b30b26ce62"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 3B"",""aamgnrc1"":""360 Everett Ave"",""bd"":""2"",""fsbid"":""4383"",""city"":""Palo_Alto"",""proptp"":""cnd"",""pid"":""19495437"",""lot"":""1"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""2856337024485411449"",""sqftrange"":""1500-1999"",""price"":""1999995"",""sqft"":""1762"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/palo-alto/360-everett-ave-3b/pid_32552644/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.163254"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94301"",""mlat"":""37.448027"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzn0k9lut63mv1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Downtown_North"",""yrblt"":""1960-1969"",""zestimate"":""2067919"",""premieragent"":""no""}}","null","null","null","null"
"1572901686-2288","https://www.zillow.com/homes/palo-alto-ca_rb/","","https://www.zillow.com/homedetails/775-Clara-Dr-Palo-Alto-CA-94303/19500033_zpid/","Palo Alto, CA 94303","For sale","775 Clara Dr,","","","","","1,967","4","2","$3,166,208","$3,000,888","Single Family","1955","Other","No Data","Single Family","6,385 sqft","$7,466/mo","9","9","10","{""targetDiv"":""gpt-ad-d528c30c-6fff-458a-bf88-d7931ae9b73c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""775 Clara Dr"",""bd"":""4"",""fsbid"":""35"",""city"":""Palo_Alto"",""proptp"":""sfh"",""pid"":""19500033"",""lot"":""2"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""3261162736434668948"",""sqftrange"":""1500-1999"",""price"":""3000888"",""sqft"":""1967"",""posting_url"":""http://www.kw.com/homes-for-sale/94303/CA/Palo-Alto/775-Clara-Drive/3yd-KW-281_81773567.html"",""mlong"":""-122.124407"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""94303"",""mlat"":""37.43345"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7yt7qwtp6p3v0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Midtown"",""yrblt"":""1940-1959"",""zestimate"":""3166208"",""premieragent"":""no""}}","null","null","null","null"
"1572901319-1901","https://www.zillow.com/homes/palo-alto-ca_rb/","","https://www.zillow.com/homedetails/575-Everett-Ave-Palo-Alto-CA-94301/19494559_zpid/","Palo Alto, CA 94301","For sale","575 Everett Ave,","2","https://www.zillow.com/palo-alto-ca/2_p/","","","2,395","5","4","$3,799,019","$3,875,000","Single Family","1900","Forced air","None","Single Family","5,074 sqft","$9,109/mo","7","8","10","{""targetDiv"":""gpt-ad-e3f25253-8d3b-4c0d-8f9c-8e247e77e83f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""575 Everett Ave"",""bd"":""5"",""fsbid"":""15050"",""city"":""Palo_Alto"",""proptp"":""sfh"",""pid"":""19494559"",""lot"":""1"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""-4711482624227144599"",""sqftrange"":""2000-2499"",""price"":""3875000"",""sqft"":""2395"",""posting_url"":"""",""mlong"":""-122.160962"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""94301"",""mlat"":""37.45101"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3jn5rrfd5cpd0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Downtown_North"",""yrblt"":""1900-1919"",""zestimate"":""3799019"",""premieragent"":""no""}}","null","null","null","null"
"1572901483-2065","https://www.zillow.com/homes/palo-alto-ca_rb/","","https://www.zillow.com/homedetails/2088-Channing-Ave-Palo-Alto-CA-94303/153114672_zpid/","Palo Alto, CA 94303","For sale","2088 Channing Ave,","","","","","2,779","4","4","$3,079,884","$2,999,888","Single Family","2015","Forced air","Central","Single Family","3,515 sqft","$9,000/mo","8","8","10","{""targetDiv"":""gpt-ad-0a51cb7f-da73-46d7-9a31-e75dc0aa2473"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2088 Channing Ave"",""bd"":""4"",""fsbid"":""15050"",""city"":""Palo_Alto"",""proptp"":""sfh"",""pid"":""153114672"",""lot"":""1"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""6844114512844435059"",""sqftrange"":""2500-2999"",""price"":""2999888"",""sqft"":""2779"",""posting_url"":""http://www.realtorcocotan.com"",""mlong"":""-122.125058"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""94303"",""mlat"":""37.44852"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7606n4bqre3j1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Duveneck_-_St._Francis"",""yrblt"":""2010-2019"",""zestimate"":""3079884"",""premieragent"":""no""}}","null","null","null","null"
"1572901596-2189","https://www.zillow.com/homes/palo-alto-ca_rb/","","https://www.zillow.com/homedetails/3421-Orinda-St-Palo-Alto-CA-94306/19503496_zpid/","Palo Alto, CA 94306","For sale","3421 Orinda St,","","","","","1,036","3","2","$2,023,894","$1,989,000","Single Family","1951","Forced air","Central","Single Family","3,301 sqft","$4,100/mo","5","8","10","{""targetDiv"":""gpt-ad-75b90432-e59f-4683-87e3-94bf2e2a3d4f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3421 Orinda St"",""bd"":""3"",""fsbid"":""15050"",""city"":""Palo_Alto"",""proptp"":""sfh"",""pid"":""19503496"",""lot"":""1"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""1091411764007534652"",""sqftrange"":""1000-1499"",""price"":""1989000"",""sqft"":""1036"",""posting_url"":""http://www.jonsrealty.com"",""mlong"":""-122.13348"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94306"",""mlat"":""37.421466"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfoj7axfd8wh91000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Ventura"",""yrblt"":""1940-1959"",""zestimate"":""2023894"",""premieragent"":""no""}}","null","null","null","null"
