web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572908678-1577","https://www.zillow.com/homes/Petaluma-CA_rb/","","https://www.zillow.com/homedetails/461-Pepper-Ln-Petaluma-CA-94952/15823724_zpid/","Petaluma, CA 94952","For sale","461 Pepper Ln,","2","https://www.zillow.com/petaluma-ca/2_p/","","","","","2,860","3","3","$1,270,802","$1,299,000","Single Family","2000","Radiant","Other, Solar","10 spaces","5 acres","$3,200/mo","9","6","8","Other, Solar","Composition","null","null","$11,409"
"1572907843-1338","https://www.zillow.com/homes/Petaluma-CA_rb/","","https://www.zillow.com/homedetails/179-King-Rd-Petaluma-CA-94952/15823471_zpid/","Petaluma, CA 94952","For sale","179 King Rd,","","","3","https://www.zillow.com/petaluma-ca/3_p/","","","1,947","3","2","$1,128,929","$1,145,000","Single Family","1960","None","No Data","Off street, Attached Garage","0.82 acres","$2,800/mo","9","6","8","null","Composition","null","null","$1,867"
"1572908207-1458","https://www.zillow.com/homes/Petaluma-CA_rb/","","https://www.zillow.com/homedetails/414-1st-St-Petaluma-CA-94952/83157077_zpid/","Petaluma, CA 94952","For sale","414 1st St,","2","https://www.zillow.com/petaluma-ca/2_p/","","","","","1,471","2","3","$654,505","$654,500","Condo","2009","Forced air","Central","1 space","$385/month","$2,700/mo","6","6","8","null","No","null","null","$5,129"
"1572909377-1703","https://www.zillow.com/homes/Petaluma-CA_rb/","","https://www.zillow.com/homedetails/6701-Red-Hill-Rd-Petaluma-CA-94952/2082243485_zpid/","Petaluma, CA 94952","For sale","6701 Red Hill Rd,","","","","","","","--","6","2","null","$6,900,000","Single Family","No Data","No Data","No Data","No Data","772 acres","null","NA","6","8","null","No","null","null","null"
"1572909500-1734","https://www.zillow.com/homes/Petaluma-CA_rb/","","https://www.zillow.com/homedetails/1614-Calle-Ranchero-Petaluma-CA-94954/15768786_zpid/","null","null","null","","","","","","","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1572907304-1183","https://www.zillow.com/homes/Petaluma-CA_rb/","","https://www.zillow.com/homedetails/1741-E-Madison-St-Petaluma-CA-94954/15847326_zpid/","Petaluma, CA 94954","Pre-foreclosure","1741 E Madison St,","","","3","https://www.zillow.com/petaluma-ca/3_p/","","","null","4","null","$508,271","$508,271","Single Family","1969","None","No Data","No Data","6,098 sqft","null","5","6","8","null","No","null","null","$7,599"
"1572908137-1435","https://www.zillow.com/homes/Petaluma-CA_rb/","","https://www.zillow.com/homedetails/5463-Hillsborough-Dr-Petaluma-CA-94954/15834310_zpid/","Petaluma, CA 94954","Pre-foreclosure","5463 Hillsborough Dr,","2","https://www.zillow.com/petaluma-ca/2_p/","","","","","3,300","4","5","$1,091,504","$1,091,504","Single Family","1986","Forced air","Central, Solar","5 spaces","12.8 acres","null","7","6","8","Central, Solar","Tile","null","null","$18,025"
"1572908499-1516","https://www.zillow.com/homes/Petaluma-CA_rb/","","https://www.zillow.com/homedetails/901-Wood-Sorrel-Dr-Petaluma-CA-94954/15835330_zpid/","Petaluma, CA 94954","For sale","901 Wood Sorrel Dr,","2","https://www.zillow.com/petaluma-ca/2_p/","","","","","1,276","3","2","null","$549,000","Single Family","1987","Other","No Data","2 spaces","5,227 sqft","$2,700/mo","8","6","8","null","Composition","null","null","$5,721"
"1572907524-1232","https://www.zillow.com/homes/Petaluma-CA_rb/","","https://www.zillow.com/homedetails/(undisclosed-Address)-Petaluma-CA-94954/2088338189_zpid/","Petaluma, CA 94954","For sale","(undisclosed Address),","","","3","https://www.zillow.com/petaluma-ca/3_p/","","","1,785","4","2","None","$650,000","Single Family","1969","No Data","No Data","No Data","6,098 sqft","null","4","6","8","null","No","null","null","null"
"1572908958-1659","https://www.zillow.com/homes/Petaluma-CA_rb/","","https://www.zillow.com/homedetails/2590-Chileno-Valley-Rd-Petaluma-CA-94952/2083038285_zpid/","Petaluma, CA 94952","Lot/land","2590 Chileno Valley Rd,","","","","","","","null","49.35 acres","null","None","$3,750,000","null","null","null","null","null","null","$3,000/mo","NA","6","8","null","null","null","null","null"
