web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920064-2088","https://www.zillow.com/homes/piedmont,-ca_rb/","","https://www.zillow.com/homedetails/312-Sheridan-Ave-Piedmont-CA-94611/24826482_zpid/","Piedmont, CA 94611","For sale","312 Sheridan Ave,","4,856","5","6","$3,471,420","$3,495,000","Single Family","1920","Forced air","Central, Other","Attached Garage","7,487 sqft","$10,455/mo","NA","10","10","null","Wood Siding, Brick, Composition Shingles","Composition","null","$36,779"
"1572919962-2056","https://www.zillow.com/homes/piedmont,-ca_rb/","","https://www.zillow.com/homedetails/4399-Whittle-Ave-Oakland-CA-94602/24773686_zpid/","Oakland, CA 94602","For sale","4399 Whittle Ave,","1,672","4","2","None","$899,000","Single Family","1922","Forced air","None","No Data","8,908 sqft","$4,000/mo","NA","null","null","Forced Air 1 Zone","Stucco","1922","null","$1,631"
"1572920033-2077","https://www.zillow.com/homes/piedmont,-ca_rb/","","https://www.zillow.com/homedetails/610-Boulevard-Way-Piedmont-CA-94610/24746017_zpid/","Piedmont, CA 94610","Pre-foreclosure","610 Boulevard Way,","null","2","null","$1,120,129","$1,120,129","Single Family","1927","No Data","No Data","Detached Garage","7,125 sqft","null","9","10","10","null","No","null","null","$4,135"
"1572920045-2082","https://www.zillow.com/homes/piedmont,-ca_rb/","","https://www.zillow.com/homedetails/210-Sunnyside-Ave-Piedmont-CA-94611/24825091_zpid/","Piedmont, CA 94611","Coming soon: Sep 13.","210 Sunnyside Ave,","2,500","4","4","$1,857,904","$1,900,000","Single Family","1927","No Data","No Data","Detached Garage","3,049 sqft","$5,603/mo","9","10","10","null","No","null","null","$7,616"
"1572920004-2070","https://www.zillow.com/homes/piedmont,-ca_rb/","","https://www.zillow.com/homedetails/4213-Terrace-St-Oakland-CA-94611/24750470_zpid/","Oakland, CA 94611","For sale","4213 Terrace St,","null","--","null","$1,330,737","$1,180,000","Multi Family","1924","Forced air","No Data","Attached Garage","$787","$3,300/mo","1","6","8","null","No","null","null","$12,680"
"1572919911-2039","https://www.zillow.com/homes/piedmont,-ca_rb/","","https://www.zillow.com/homedetails/1061-Trestle-Glen-Rd-Oakland-CA-94610/24763243_zpid/","Oakland, CA 94610","For sale","1061 Trestle Glen Rd,","1,806","3","2","null","$1,349,000","Single Family","1925","Forced air","None","Attached Garage","3,571 sqft","$4,500/mo","5","6","3","null","Stucco","1925","null","$13,303"
"1572919901-2037","https://www.zillow.com/homes/piedmont,-ca_rb/","","https://www.zillow.com/homedetails/1056-El-Centro-Ave-Oakland-CA-94602/24765425_zpid/","Oakland, CA 94602","For sale","1056 El Centro Ave,","1,469","3","1","None","$869,000","Single Family","1930","Forced air","Central","1 space","3,598 sqft","$3,900/mo","NA","null","null","Central 1 Zone A/C","Stucco","1930","null","$5,679"
"1572920011-2072","https://www.zillow.com/homes/piedmont,-ca_rb/","","https://www.zillow.com/homedetails/151-Lakeside-Dr-APT-112-Oakland-CA-94612/2082146631_zpid/","Oakland, CA 94612","For sale","151 Lakeside Dr APT 112,","621","1","1","None","$399,000","Condo","1974","Radiant","None","No Data","$357/month","null","9","8","null","Community Facility","Stucco & Stone","1974","null","null"
"1572920022-2076","https://www.zillow.com/homes/piedmont,-ca_rb/","","https://www.zillow.com/homedetails/5962-Johnston-Dr-Oakland-CA-94611/24813592_zpid/","Oakland, CA 94611","Coming soon: Dec 3.","5962 Johnston Dr,","1,326","3","1","$1,111,224","$950,000","Single Family","1926","No Data","No Data","Detached Garage","0.31 acres","$4,000/mo","9","9","3","null","No","null","null","$6,238"
"1572919892-2034","https://www.zillow.com/homes/piedmont,-ca_rb/","","https://www.zillow.com/homedetails/6168-Contra-Costa-Rd-Oakland-CA-94618/68020902_zpid/","Oakland, CA 94618","For sale","6168 Contra Costa Rd,","3,467","5","4","$2,602,808","$2,380,000","Single Family","2005","Forced air","None","Attached Garage","9,500 sqft","$6,816/mo","9","8","null","null","Composition","null","null","$25,163"
"1572919985-2063","https://www.zillow.com/homes/piedmont,-ca_rb/","","https://www.zillow.com/homedetails/58-Vernon-St-302-Oakland-CA-94610/2082159466_zpid/","Oakland, CA 94610","New construction","58 Vernon St # 302,","1,296","2","2","None","$1,095,000","Condo","2019","Radiant","No Data","No Data","$720/month","null","9","NA","null","null","Yes","null","null","null"
