web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572919954-2052","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/436-Felice-Cir-Pinole-CA-94564/72556945_zpid/","Pinole, CA 94564","For sale","436 Felice Cir,","null","--","null","$708,327","$705,000","Multi Family","2006","Forced air","Central","2 spaces","$312","$3,195/mo","6","2","4","null","Composition","null","null","$6,720"
"1572919943-2048","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/2410-Seville-Ct-Pinole-CA-94564/18485356_zpid/","Pinole, CA 94564","Pre-foreclosure","2410 Seville Ct,","1,504","4","2","$590,327","$590,327","Single Family","1971","Other","No Data","2 spaces","6,969 sqft","null","4","2","4","null","No","null","null","$9,142"
"1572920080-2092","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/215-Brenda-Ct-Pinole-CA-94564/18496058_zpid/","Pinole, CA 94564","Pre-foreclosure","215 Brenda Ct,","null","4","null","$724,836","$724,836","Single Family","1965","No Data","No Data","2 spaces","0.27 acres","null","4","2","4","null","No","null","null","$6,891"
"1572920345-2160","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/3201-Ramona-St-Pinole-CA-94564/18484109_zpid/","Pinole, CA 94564","For sale","3201 Ramona St,","1,492","3","2","$629,307","$609,900","Single Family","1958","Forced air","No Data","2 spaces","9,600 sqft","$2,900/mo","4","2","4","null","Stucco, Brick, Wood","Composition","All Public","$5,295"
"1572920402-2177","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/3282-Estates-Ave-Pinole-CA-94564/18485542_zpid/","Pinole, CA 94564","For sale","3282 Estates Ave,","2,240","5","3","$729,000","$719,000","Single Family","1972","Forced air","No Data","2 spaces","0.26 acres","$3,150/mo","4","2","4","null","Composition","null","null","$6,477"
"1572919958-2054","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/810-Patrick-Dr-Pinole-CA-94564/18496349_zpid/","Pinole, CA 94564","Pre-foreclosure / auction","810 Patrick Dr,","892","3","1","$430,389","$430,389","Single Family","1954","No Data","No Data","1 space","7,260 sqft","null","6","2","4","null","No","null","null","$2,883"
"1572920062-2087","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/0-Pinon-Ave-Pinole-CA-94564/2082711365_zpid/","Pinole, CA 94564","Lot/land","0 Pinon Ave,","null","0.29 acres","null","null","$400,000","null","null","null","null","null","null","$1,800/mo","4","2","4","null","Residential Lots & Land","Square Feet","Available - Not On Site","null"
"1572920091-2094","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/917-Tara-Hills-Dr-Pinole-CA-94564/18497769_zpid/","Pinole, CA 94564","For sale","917 Tara Hills Dr,","1,410","4","2","$598,693","$579,000","Single Family","1965","Other","Other","2 spaces","7,200 sqft","null","3","2","4","null","Metal","null","null","$8,036"
"1572920337-2158","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/341-Danny-Ct-Pinole-CA-94564/18496085_zpid/","Pinole, CA 94564","For sale","341 Danny Ct,","1,404","3","2","$575,537","$569,999","Single Family","1972","Forced air","None","2 spaces","5,702 sqft","$2,800/mo","4","2","4","null","Composition","null","Public Utilities","$4,679"
"1572920151-2108","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/3150-Avis-Way-Pinole-CA-94564/18518969_zpid/","Pinole, CA 94564","Pre-foreclosure / auction","3150 Avis Way,","null","4","null","$864,064","$864,064","Single Family","1989","Other","No Data","3 spaces","0.35 acres","null","3","2","4","null","Shake/Shingle","null","null","$10,466"
"1572919938-2046","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/912-Belmont-Way-Pinole-CA-94564/18496925_zpid/","Pinole, CA 94564","For sale","912 Belmont Way,","null","--","null","$801,665","$795,000","Multi Family","1939","Other","None","4 spaces","$190","$2,995/mo","null","null","null","null","Composition","null","null","$7,287"
"1572919948-2051","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/725-San-Pablo-Ave-Pinole-CA-94564/2084717163_zpid/","Pinole, CA 94564","Lot/land","725 San Pablo Ave,","null","1.56 acres","null","None","$2,698,000","null","null","null","null","null","null","$1,850/mo","6","2","4","null","OtherSee all","null","Other","null"
"1572920436-2189","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/1731-Marlesta-Rd-Pinole-CA-94564/18495087_zpid/","Pinole, CA 94564","For sale","1731 Marlesta Rd,","1,216","3","2","$612,204","$599,000","Single Family","1959","Forced air","Central","2 spaces","7,056 sqft","null","4","2","4","null","Stucco, Wood","Composition","All Public","$4,175"
"1572920035-2078","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/549-Bantry-Rd-Pinole-CA-94564/18498923_zpid/","Pinole, CA 94564","For sale","549 Bantry Rd,","1,790","4","3","$701,752","$695,000","Single Family","1991","Forced air","Central","2 spaces","6,912 sqft","$3,200/mo","6","2","4","null","Composition","null","null","$7,048"
"1572919933-2044","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/1212-Hazel-Dr-Pinole-CA-94564/18496024_zpid/","Pinole, CA 94564","Pre-foreclosure / auction","1212 Hazel Dr,","null","5","null","$709,633","$709,633","Single Family","1939","No Data","No Data","Off street","10,001 sqft","null","4","2","4","null","No","null","null","$5,850"
"1572920010-2071","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/207-Dutra-Ct-Pinole-CA-94564/18496036_zpid/","Pinole, CA 94564","For sale","207 Dutra Ct,","2,208","5","3","$757,495","$749,000","Single Family","1966","Forced air","Other","2 spaces","7,701 sqft","null","4","2","4","null","Composition","null","null","$4,816"
"1572920463-2196","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/1212-Marionola-Way-Pinole-CA-94564/18495409_zpid/","Pinole, CA 94564","Coming soon: Nov 14.","1212 Marionola Way,","1,018","2","2","$356,162","$350,000","Townhouse","1972","Forced air, Other","None","1 space","1,000 sqft","null","4","2","4","null","No","null","null","$5,751"
"1572920271-2139","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/2811-Ruff-Ave-Pinole-CA-94564/18485881_zpid/","Pinole, CA 94564","For sale","2811 Ruff Ave,","1,280","3","2","null","$629,900","Single Family","1984","Other","No Data","2 spaces","6,952 sqft","null","3","2","4","null","No","null","null","$6,325"
"1572920416-2181","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/2259-Orleans-Dr-Pinole-CA-94564/18494460_zpid/","Pinole, CA 94564","For sale","2259 Orleans Dr,","1,396","3","2","$570,755","$565,000","Single Family","1956","Wall","None","2 spaces","6,298 sqft","$2,775/mo","4","2","4","Shower Stall(s)","Frame, Stucco, Wood","Double Pane Windows","All Public","$2,171"
"1572920284-2143","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/2931-Doidge-Ave-Pinole-CA-94564/18484727_zpid/","Pinole, CA 94564","For sale","2931 Doidge Ave,","1,998","4","2","$641,742","$625,000","Single Family","1966","Forced air","None","2 spaces","8,550 sqft","null","4","2","4","None","Composition","null","null","$2,253"
"1572920054-2085","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/406-Roble-Ave-Pinole-CA-94564/18496570_zpid/","Pinole, CA 94564","For sale","406 Roble Ave,","1,881","4","2","None","$575,000","Single Family","1989","Forced air","Other","2 spaces","7,261 sqft","null","4","2","4","null","Shake/Shingle","null","null","$5,236"
