web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572919476-9361","https://www.zillow.com/homes/pittsburg-CA_rb/","","https://www.zillow.com/homedetails/143-Saturn-Ct-Pittsburg-CA-94565/82855166_zpid/","Pittsburg, CA 94565","For sale","143 Saturn Ct,","2","https://www.zillow.com/pittsburg-ca/2_p/","","","","","","","2,232","5","3","$495,910","$495,000","Single Family","2006","Forced air","Central","Single Family","2,853 sqft","null","3","3","4","{""targetDiv"":""gpt-ad-63741357-2120-47a3-bd48-c93c656a16f0"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""143 Saturn Ct"",""bd"":""5"",""fsbid"":""14106"",""city"":""Pittsburg"",""proptp"":""sfh"",""pid"":""82855166"",""lot"":""1"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""1984702602746337206"",""sqftrange"":""2000-2499"",""price"":""495000"",""sqft"":""2232"",""posting_url"":"""",""mlong"":""-121.865253"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""94565"",""mlat"":""38.007558"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrldm3jsbalsr1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""2000-2009"",""zestimate"":""495910"",""premieragent"":""no""}}","null","null","null","null"
"1572919587-9490","https://www.zillow.com/homes/pittsburg-CA_rb/","","https://www.zillow.com/homedetails/144-Keel-Ct-Pittsburg-CA-94565/18332747_zpid/","Pittsburg, CA 94565","For sale","144 Keel Ct,","2","https://www.zillow.com/pittsburg-ca/2_p/","","","","","","","2,286","4","2","$520,951","$519,950","Single Family","1978","Forced air","Central","Single Family","5,828 sqft","null","3","3","4","{""targetDiv"":""gpt-ad-2701a456-9006-49aa-b2d5-c8b305810f34"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""144 Keel Ct"",""bd"":""4"",""fsbid"":""14106"",""city"":""Pittsburg"",""proptp"":""sfh"",""pid"":""18332747"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-1759381811592348610"",""sqftrange"":""2000-2499"",""price"":""519950"",""sqft"":""2286"",""posting_url"":"""",""mlong"":""-121.915049"",""state"":""CA"",""prange"":""500-599k"",""zip"":""94565"",""mlat"":""38.025858"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfozn9w8lo0ji0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1970-1979"",""zestimate"":""520951"",""premieragent"":""no""}}","null","null","null","null"
"1572919470-9351","https://www.zillow.com/homes/pittsburg-CA_rb/","","https://www.zillow.com/homedetails/21-Wedgewood-Ct-Pittsburg-CA-94565/72552568_zpid/","Pittsburg, CA 94565","For sale","21 Wedgewood Ct,","2","https://www.zillow.com/pittsburg-ca/2_p/","","","","","","","3,103","7","4","$599,114","$624,000","Single Family","2006","Forced air","Central","Single Family","6,098 sqft","$3,200/mo","6","3","4","{""targetDiv"":""gpt-ad-942a6c39-fa1d-43f5-aaf9-4daf2e2ca82c"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""21 Wedgewood Ct"",""bd"":""7"",""fsbid"":""3020"",""city"":""Pittsburg"",""proptp"":""sfh"",""pid"":""72552568"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_foreclosure"",""zguidh"":""1681201617467261931"",""sqftrange"":""3000-3499"",""price"":""624000"",""sqft"":""3103"",""posting_url"":""http://www.homeresearch.com/Listing/Detail/152196?src=zillow"",""mlong"":""-121.924805"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94565"",""mlat"":""38.01878"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjzuictb90jdc0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2000-2009"",""zestimate"":""617644"",""premieragent"":""no""}}","null","null","null","null"
"1572919453-9331","https://www.zillow.com/homes/pittsburg-CA_rb/","","https://www.zillow.com/homedetails/124-Maureen-Cir-124-Bay-Point-CA-94565/2082535478_zpid/","Bay Point, CA 94565","For sale","124 Maureen Cir # 124,","2","https://www.zillow.com/pittsburg-ca/2_p/","","","","","","","1,344","2","2","$125,762","$125,000","Mobile / Manufactured","No Data","Forced air","Central","Mobile / Manufactured","$93","$2,400/mo","2","3","4","{""targetDiv"":""gpt-ad-48d938d4-827b-4acd-a57d-dc79f35af69c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 124"",""aamgnrc1"":""124 Maureen Cir"",""bd"":""2"",""fsbid"":""15050"",""city"":""Bay_Point"",""proptp"":""mm"",""pid"":""2082535478"",""zestibuck"":""100-149k"",""listtp"":""buy_agent"",""zguidh"":""-8536073748320011018"",""sqftrange"":""1000-1499"",""price"":""125000"",""sqft"":""1344"",""posting_url"":"""",""mlong"":""-121.929116"",""state"":""CA"",""prange"":""100-149k"",""zip"":""94565"",""mlat"":""38.020953"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzv6m9up1f3780000000000.jpg"",""zusr"":""true"",""price_band"":""z100"",""hood"":""Bay_Point"",""zestimate"":""125762"",""premieragent"":""no""}}","null","null","null","null"
"1572918803-8659","https://www.zillow.com/homes/pittsburg-CA_rb/","","https://www.zillow.com/homedetails/210-Amerson-Ave-Bay-Point-CA-94565/95373930_zpid/","Bay Point, CA 94565","Lot/land","210 Amerson Ave,","","","","","","","5","https://www.zillow.com/pittsburg-ca/5_p/","null","0.5 acres","null","None","$725,000","null","null","null","null","null","null","null","1","1","4","No Data","null","null","null","null"
"1572918839-8686","https://www.zillow.com/homes/pittsburg-CA_rb/","","https://www.zillow.com/community/positano-at-san-marco/2092402561_zpid/","Pittsburg, CA 94565","New construction","Buildable plan: Carina, Positano at San Marco,","","","","","","","5","https://www.zillow.com/pittsburg-ca/5_p/","2,770","5","3","None","$665,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","null","null","null","{""targetDiv"":""gpt-ad-e8949b17-43b5-41c9-8bdd-f44a31667dc6"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" U89CU"",""aamgnrc1"":""2549 Modena Dr"",""bd"":""5"",""fsbid"":""14920"",""city"":""Pittsburg"",""proptp"":""sfh"",""pid"":""2092402561"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2500-2999"",""price"":""665000"",""sqft"":""2770"",""posting_url"":""http://www.discoveryhomes.com/pittsburg-ca/positanoat-san-marco?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=30410&nhf_listing_type=community&utm_term=comm_PositanoatSanMarco&utm_campaign=Pittsburg%2FCA"",""state"":""CA"",""mlong"":""-121.975959"",""cnty"":""Contra_Costa"",""prange"":""600-699k"",""zip"":""94565"",""mlat"":""38.016559"",""plid"":""32701"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISy317s8c0zi010000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""14920-770817"",""dma"":""37""}}","null","null","null","null"
"1572919190-9040","https://www.zillow.com/homes/pittsburg-CA_rb/","","https://www.zillow.com/homedetails/1043-Bending-Willow-Way-Pittsburg-CA-94565/72549387_zpid/","Pittsburg, CA 94565","For sale","1043 Bending Willow Way,","","","3","https://www.zillow.com/pittsburg-ca/3_p/","","","","","null","3","null","$510,982","$510,000","Single Family","2006","Forced air","Central","Single Family","4,347 sqft","$2,750/mo","3","3","4","{""targetDiv"":""gpt-ad-a41ac7a9-fe41-4b58-89e4-3f4d11762455"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1043 Bending Willow Way"",""bd"":""3"",""fsbid"":""14073"",""city"":""Pittsburg"",""proptp"":""sfh"",""pid"":""72549387"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""7537776311002804998"",""sqftrange"":""2000-2499"",""price"":""510000"",""sqft"":""2422"",""posting_url"":"""",""mlong"":""-121.903651"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94565"",""mlat"":""38.024641"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfk0qwavsd66g0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""510982"",""premieragent"":""no""}}","null","null","null","null"
"1572919420-9296","https://www.zillow.com/homes/pittsburg-CA_rb/","","https://www.zillow.com/homedetails/522-Scudero-Cir-Pittsburg-CA-94565/67698361_zpid/","Pittsburg, CA 94565","Pre-foreclosure","522 Scudero Cir,","2","https://www.zillow.com/pittsburg-ca/2_p/","","","","","","","1,883","5","3","$442,193","$442,193","Single Family","2004","No Data","Central","Single Family","2,831 sqft","null","4","NA","4","{""targetDiv"":""gpt-ad-8499f9f4-3953-4666-8c14-394ed907e441"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""522 Scudero Cir"",""bd"":""5"",""city"":""Pittsburg"",""proptp"":""sfh"",""pid"":""67698361"",""lot"":""1"",""zestibuck"":""450-499k"",""listtp"":""buy_foreclosure"",""zguidh"":""4682605191110131979"",""sqftrange"":""1500-1999"",""price"":""455870"",""sqft"":""1883"",""posting_url"":"""",""mlong"":""-121.893149"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""94565"",""mlat"":""38.027528"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""2000-2009"",""zestimate"":""455870"",""premieragent"":""no""}}","null","null","null","null"
"1572919064-8903","https://www.zillow.com/homes/pittsburg-CA_rb/","","https://www.zillow.com/homedetails/124-Banyon-Dr-Pittsburg-CA-94565/2097997685_zpid/","Pittsburg, CA 94565","For sale","124 Banyon Dr,","","","","","4","https://www.zillow.com/pittsburg-ca/4_p/","","","1,762","2","2","$139,034","$139,950","Mobile / Manufactured","No Data","No Data","No Data","Mobile / Manufactured","$79","$2,400/mo","3","3","4","{""targetDiv"":""gpt-ad-a613beb6-3993-44da-bdda-cc1018dd2dbc"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94565"",""aamgnrc1"":""124 Banyon Dr"",""mlat"":""38.005829"",""bd"":""2"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7idsq813ebdq1000000000.jpg"",""zusr"":""true"",""city"":""Pittsburg"",""proptp"":""mm"",""pid"":""2097997685"",""price_band"":""z100"",""zestimate"":""139034"",""zestibuck"":""100-149k"",""listtp"":""buy_agent"",""zguidh"":""-3294797222993222541"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""139950"",""sqft"":""1762"",""posting_url"":"""",""mlong"":""-121.880375"",""state"":""CA"",""prange"":""100-149k""}}","null","null","null","null"
"1572918904-8742","https://www.zillow.com/homes/pittsburg-CA_rb/","","https://www.zillow.com/homedetails/542-Scudero-Cir-Pittsburg-CA-94565/67705715_zpid/","Pittsburg, CA 94565","Pre-foreclosure","542 Scudero Cir,","","","","","","","5","https://www.zillow.com/pittsburg-ca/5_p/","null","4","null","$432,718","$432,718","Single Family","2004","No Data","Central","Single Family","3,006 sqft","null","4","3","4","{""targetDiv"":""gpt-ad-f209cea8-6aa5-4c3b-806f-256510a44543"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""542 Scudero Cir"",""bd"":""4"",""city"":""Pittsburg"",""proptp"":""sfh"",""pid"":""67705715"",""lot"":""1"",""zestibuck"":""400-449k"",""listtp"":""buy_foreclosure"",""zguidh"":""-2407444027485578630"",""sqftrange"":""1500-1999"",""price"":""446102"",""sqft"":""1778"",""posting_url"":"""",""mlong"":""-121.893799"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94565"",""mlat"":""38.027322"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""2000-2009"",""zestimate"":""446102"",""premieragent"":""no""}}","null","null","null","null"
