web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572898710-747","https://www.zillow.com/homes/pleasant-hill,-ca_rb/","","https://www.zillow.com/community/greyson-place/2085860022_zpid/","Pleasant Hill, CA 94523","New construction","Buildable plan: Residence 2, Greyson Place,","","","2,226","3","3.5","$865,225","$874,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","3","6","4","{""targetDiv"":""gpt-ad-1f83e486-fb8e-4cdc-9895-820cb0df66a0"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" IBGUKQ"",""aamgnrc1"":""66 Mayhew Way"",""bd"":""3"",""fsbid"":""13809"",""city"":""Pleasant_Hill"",""proptp"":""sfh"",""pid"":""2085860022"",""zestibuck"":""800-899k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""874000"",""sqft"":""2226"",""posting_url"":""https://www.tripointehomes.com/northern-california/greyson-place/residence-2-38185/?utm_medium=referral&utm_source=zillow-feed&nhf_channel=6&nhf_listing_id=456354&nhf_listing_type=plan&utm_term=plan_Residence2&utm_campaign=tripointe-zillow-feed"",""state"":""CA"",""mlong"":""-122.058776"",""cnty"":""Contra_Costa"",""prange"":""800-899k"",""zip"":""94523"",""mlat"":""37.936445"",""plid"":""8027631"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISe8z0b8obehjn1000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2010-2019"",""zestimate"":""865225"",""premieragent"":""no"",""builderChatId"":""13809-806650"",""dma"":""37""}}","null","null","null","null"
"1572898583-662","https://www.zillow.com/homes/pleasant-hill,-ca_rb/","","https://www.zillow.com/homedetails/340-Rock-Creek-Way-Pleasant-Hill-CA-94523/18365320_zpid/","Pleasant Hill, CA 94523","For sale","340 Rock Creek Way,","2","https://www.zillow.com/pleasant-hill-ca/2_p/","null","2","null","$528,231","$530,000","Condo","1985","Forced air","Central","Condo","$400/month","$2,600/mo","5","6","9","{""targetDiv"":""gpt-ad-4895b4ec-50b8-4aff-b804-5c526a386bf6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""340 Rock Creek Way"",""bd"":""2"",""fsbid"":""14224"",""city"":""Pleasant_Hill"",""proptp"":""cnd"",""pid"":""18365320"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""6361422962416912979"",""sqftrange"":""1000-1499"",""price"":""530000"",""sqft"":""1162"",""posting_url"":""http://www.JeannieAnderson.com"",""mlong"":""-122.05563"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94523"",""mlat"":""37.959912"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb5imcnjkgh2w1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Ellinwood"",""yrblt"":""1980-1989"",""zestimate"":""528231"",""premieragent"":""no""}}","null","null","null","null"
"1572898626-683","https://www.zillow.com/homes/pleasant-hill,-ca_rb/","","https://www.zillow.com/homedetails/166-Doray-Dr-Pleasant-Hill-CA-94523/18390055_zpid/","Pleasant Hill, CA 94523","Pre-foreclosure","166 Doray Dr,","","","null","3","null","$688,611","$688,611","Single Family","1950","No Data","No Data","Single Family","7,500 sqft","null","5","6","9","No Data","null","null","null","null"
"1572898661-704","https://www.zillow.com/homes/pleasant-hill,-ca_rb/","","https://www.zillow.com/homedetails/412-Saddlebrook-Ln-Pleasant-Hill-CA-94523/18395004_zpid/","Pleasant Hill, CA 94523","For sale","412 Saddlebrook Ln,","","","1,790","3","2","$970,105","$950,000","Single Family","1985","Forced air","Central","Single Family","8,398 sqft","$3,550/mo","9","6","9","{""targetDiv"":""gpt-ad-560c7731-2f0e-4d5e-9465-593dc1f3583e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""412 Saddlebrook Ln"",""bd"":""3"",""fsbid"":""14106"",""city"":""Pleasant_Hill"",""proptp"":""sfh"",""pid"":""18395004"",""lot"":""2"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""2476416054615576370"",""sqftrange"":""1500-1999"",""price"":""950000"",""sqft"":""1790"",""posting_url"":"""",""mlong"":""-122.094323"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94523"",""mlat"":""37.965131"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS37qvj58ndy8j1000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""hood"":""Saddle_Ridge"",""yrblt"":""1980-1989"",""zestimate"":""970105"",""premieragent"":""no""}}","null","null","null","null"
"1572898701-740","https://www.zillow.com/homes/pleasant-hill,-ca_rb/","","https://www.zillow.com/community/greyson-place/2085860019_zpid/","Pleasant Hill, CA 94523","New construction","Buildable plan: Residence 1, Greyson Place,","","","1,858","3","3.5","$815,900","$815,900","Single Family","2019","No Data","No Data","Single Family","No Data","null","3","6","4","{""targetDiv"":""gpt-ad-bd065f8b-9a4b-49ac-9768-fc97e34f84df"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" HUF84X"",""aamgnrc1"":""66 Mayhew Way"",""bd"":""3"",""fsbid"":""13809"",""city"":""Pleasant_Hill"",""proptp"":""sfh"",""pid"":""2085860019"",""zestibuck"":""800-899k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""815900"",""sqft"":""1858"",""posting_url"":""https://www.tripointehomes.com/northern-california/greyson-place/residence-1-38169/?utm_medium=referral&utm_source=zillow-feed&nhf_channel=6&nhf_listing_id=456355&nhf_listing_type=plan&utm_term=plan_Residence1&utm_campaign=tripointe-zillow-feed"",""state"":""CA"",""mlong"":""-122.058776"",""cnty"":""Contra_Costa"",""prange"":""800-899k"",""zip"":""94523"",""mlat"":""37.936445"",""plid"":""8027631"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISi7pb9g4q4f0o1000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2010-2019"",""zestimate"":""815900"",""premieragent"":""no"",""builderChatId"":""13809-806650"",""dma"":""37""}}","null","null","null","null"
"1572898743-770","https://www.zillow.com/homes/pleasant-hill,-ca_rb/","","https://www.zillow.com/homedetails/31-Monte-Cresta-Ave-Pleasant-Hill-CA-94523/18389776_zpid/","Pleasant Hill, CA 94523","For sale","31 Monte Cresta Ave,","","","800","2","1","$439,709","$439,000","Condo","1978","Forced air","Central","Condo","$390/month","null","7","6","9","{""targetDiv"":""gpt-ad-de7a424b-268c-454e-b684-4de9fc2cae3f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""31 Monte Cresta Ave"",""bd"":""2"",""fsbid"":""14311"",""city"":""Pleasant_Hill"",""proptp"":""cnd"",""pid"":""18389776"",""lot"":""1"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""2156753467507807383"",""sqftrange"":""500-999"",""price"":""439000"",""sqft"":""800"",""posting_url"":""http://MelanieSellsHomes.com"",""mlong"":""-122.07073"",""state"":""CA"",""prange"":""400-449k"",""zip"":""94523"",""mlat"":""37.934387"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr98i73jo3wnw1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""439709"",""premieragent"":""no""}}","null","null","null","null"
"1572898673-713","https://www.zillow.com/homes/pleasant-hill,-ca_rb/","","https://www.zillow.com/homedetails/2442-Geraldine-Dr-Pleasant-Hill-CA-94523/18387244_zpid/","Pleasant Hill, CA 94523","For sale","2442 Geraldine Dr,","","","1,087","3","1","$661,402","$639,000","Single Family","1950","Gas","Wall","Single Family","6,751 sqft","$2,850/mo","null","null","null","No Data","null","null","null","null"
"1572898574-656","https://www.zillow.com/homes/pleasant-hill,-ca_rb/","","https://www.zillow.com/homedetails/204-Sunspring-Ct-Pleasant-Hill-CA-94523/18365297_zpid/","Pleasant Hill, CA 94523","Pre-foreclosure","204 Sunspring Ct,","2","https://www.zillow.com/pleasant-hill-ca/2_p/","null","2","null","$510,825","$510,825","Condo","1985","No Data","Central","Condo","$440/month","null","5","6","9","No Data","null","null","null","null"
"1572898580-660","https://www.zillow.com/homes/pleasant-hill,-ca_rb/","","https://www.zillow.com/homedetails/38-Oak-Gate-Pl-Pleasant-Hill-CA-94523/59399410_zpid/","Pleasant Hill, CA 94523","Pre-foreclosure","38 Oak Gate Pl,","2","https://www.zillow.com/pleasant-hill-ca/2_p/","1,686","3","3","$695,463","$695,463","Single Family","2002","No Data","Central","Single Family","2,287 sqft","null","3","6","4","{""targetDiv"":""gpt-ad-9cecfae3-4a89-4f99-ba36-6d4d3a37992d"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""38 Oak Gate Pl"",""bd"":""3"",""city"":""Pleasant_Hill"",""proptp"":""sfh"",""pid"":""59399410"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_foreclosure"",""zguidh"":""5249048490187524183"",""sqftrange"":""1500-1999"",""price"":""716973"",""sqft"":""1686"",""posting_url"":"""",""mlong"":""-122.056481"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94523"",""mlat"":""37.939821"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""2000-2009"",""zestimate"":""716973"",""premieragent"":""no""}}","null","null","null","null"
"1572898613-678","https://www.zillow.com/homes/pleasant-hill,-ca_rb/","","https://www.zillow.com/homedetails/266-Scottsdale-Rd-Pleasant-Hill-CA-94523/18393487_zpid/","Pleasant Hill, CA 94523","For sale","266 Scottsdale Rd,","","","1,599","3","3","$586,769","$585,000","Townhouse","1984","Forced air","Central","Townhouse","1,723 sqft","null","6","6","9","{""targetDiv"":""gpt-ad-cc0e1548-f003-49ec-b2c7-753f294589c2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""266 Scottsdale Rd"",""bd"":""3"",""fsbid"":""15050"",""city"":""Pleasant_Hill"",""proptp"":""twn"",""pid"":""18393487"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-8889601398202761789"",""sqftrange"":""1500-1999"",""price"":""585000"",""sqft"":""1599"",""posting_url"":"""",""mlong"":""-122.069893"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94523"",""mlat"":""37.97924"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzfqifq9uio5k0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Camelback"",""yrblt"":""1980-1989"",""zestimate"":""586769"",""premieragent"":""no""}}","null","null","null","null"
