web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572907901-1359","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/1429-White-Stable-Dr-Pleasanton-CA-94566/58878076_zpid/","Pleasanton, CA 94566","For sale","1429 White Stable Dr,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","3,991","5","6","$1,892,081","$1,899,900","Single Family","2000","Forced air","Central","Attached Garage","10,018 sqft","$5,743/mo","8","8","9","null","Tile","null","null","$28,283"
"1572907667-1277","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/1137-Via-Di-Salerno-Pleasanton-CA-94566/25087385_zpid/","Pleasanton, CA 94566","For sale","1137 Via Di Salerno,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","5,411","5","5","$2,885,499","$2,985,000","Single Family","1999","Forced air","Central","3 spaces","0.55 acres","$8,675/mo","8","8","9","null","Tile","null","null","$31,094"
"1572904220-820","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/5719-Dimas-Ct-Pleasanton-CA-94566/72700238_zpid/","Pleasanton, CA 94566","Foreclosed","5719 Dimas Ct,","","","","","4","https://www.zillow.com/pleasanton-ca/4_p/","4,959","4","6","$2,110,021","$2,110,021","Single Family","2006","Forced air","Central","Attached Garage","0.35 acres","null","10","8","9","null","Tile","null","null","$24,695"
"1572904054-757","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/7815-Canyon-Meadow-Cir-APT-B-Pleasanton-CA-94588/25068998_zpid/","Pleasanton, CA 94588","Pre-foreclosure","7815 Canyon Meadow Cir APT B,","","","","","4","https://www.zillow.com/pleasanton-ca/4_p/","null","2","null","$490,388","$490,388","Condo","1991","No Data","No Data","Detached Garage","$460/month","null","9","9","9","null","No","null","null","$2,890"
"1572908574-1545","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/7211-Valley-View-Ct-Pleasanton-CA-94588/25067765_zpid/","Pleasanton, CA 94588","For sale","7211 Valley View Ct,","","","","","","","1,928","3","2","null","$828,000","Single Family","1987","No Data","Central","Off street, Attached Garage","2,613 sqft","$3,450/mo","9","9","9","null","No","null","null","$5,814"
"1572908248-1469","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/53-Golf-Rd-Pleasanton-CA-94566/25082121_zpid/","Pleasanton, CA 94566","For sale","53 Golf Rd,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","4,970","5","3","null","$1,998,000","Single Family","1969","Forced air","Central","8 spaces","0.52 acres","$5,875/mo","10","8","9","Central","Tile","null","null","$28,417"
"1572909408-1710","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/1545-Loganberry-Way-Pleasanton-CA-94566/25080116_zpid/","Pleasanton, CA 94566","For sale by owner","1545 Loganberry Way,","","","","","","","1,377","3","2","$933,245","$919,000","Single Family","1965","No Data","No Data","2 spaces","6,500 sqft","$3,300/mo","7","9","9","null","Composition","null","null","$5,462"
"1572904795-1015","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/48-Bunker-Ln-Pleasanton-CA-94566/25082256_zpid/","Pleasanton, CA 94566","Pre-foreclosure","48 Bunker Ln,","","","3","https://www.zillow.com/pleasanton-ca/3_p/","","","null","4","null","$1,595,743","$1,595,743","Single Family","1976","No Data","No Data","Detached Garage","1.46 acres","null","10","8","9","null","No","null","null","$12,172"
"1572907803-1324","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/5275-Club-House-Dr-Pleasanton-CA-94566/299077898_zpid/","Pleasanton, CA 94566","New construction","5275 Club House Dr,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","5,186","5","6","$2,918,084","$2,999,900","Single Family","2019","Forced air","Central, Other","Attached Garage","0.48 acres","null","10","8","9","null","Tile","null","null","$11,233"
"1572908827-1623","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/4426-Yuma-Ct-Pleasanton-CA-94588/25077890_zpid/","Pleasanton, CA 94588","For sale","4426 Yuma Ct,","","","","","","","1,130","3","2","$645,340","$639,500","Townhouse","1971","Forced air","Central","2 spaces","901 sqft","$2,700/mo","8","9","9","Central","Tile","null","null","$4,695"
"1572907773-1313","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/1018-Via-Di-Salerno-Pleasanton-CA-94566/25087407_zpid/","Pleasanton, CA 94566","For sale","1018 Via Di Salerno,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","5,000","4","4","null","$2,350,000","Single Family","1999","Forced air, Heat pump","Central","Attached Garage","0.55 acres","$6,862/mo","8","8","9","null","Tile","null","null","$16,855"
"1572904147-792","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/2170-Arroyo-Ct-Pleasanton-CA-94588/25081549_zpid/","Pleasanton, CA 94588","Pre-foreclosure","2170 Arroyo Ct,","","","","","4","https://www.zillow.com/pleasanton-ca/4_p/","null","2","null","$435,113","$435,113","Condo","1972","No Data","No Data","1 space","$320/month","null","9","9","9","null","Other","null","null","$4,700"
"1572907946-1369","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/1527-Honey-Suckle-Ct-Pleasanton-CA-94588/25082094_zpid/","Pleasanton, CA 94588","For sale","1527 Honey Suckle Ct,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","6,572","5","6","$3,403,265","$3,499,000","Single Family","1997","Forced air","Central","Attached Garage","1.04 acres","$10,238/mo","10","8","9","null","Tile","null","null","$24,539"
"1572904340-869","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/3940-Promenade-Way-Pleasanton-CA-94566/25076120_zpid/","Pleasanton, CA 94566","Pre-foreclosure","3940 Promenade Way,","","","3","https://www.zillow.com/pleasanton-ca/3_p/","","","null","3","null","$796,479","$796,479","Single Family","1994","Electric","No Data","3 spaces","3,780 sqft","null","7","9","9","null","No","null","null","$4,277"
"1572907999-1387","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/4341-Bevilacqua-Ct-Pleasanton-CA-94566/24930950_zpid/","Pleasanton, CA 94566","For sale","4341 Bevilacqua Ct,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","1,536","3","3","$1,020,000","$1,020,000","Single Family","1975","Forced air","Central","Attached Garage","7,605 sqft","$3,450/mo","8","8","9","null","No","null","Public Utilities, Individual Gas Meters","$3,602"
"1572908367-1474","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/4341-Krause-St-Pleasanton-CA-94588/25083109_zpid/","Pleasanton, CA 94588","For sale","4341 Krause St,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","1,480","2","3","$823,784","$837,950","Single Family","1985","Forced air","Central","2 spaces","3,476 sqft","$3,078/mo","9","9","9","Central","Composition","null","null","$6,635"
"1572905015-1091","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/1944-Fiorio-Cir-Pleasanton-CA-94566/25084095_zpid/","Pleasanton, CA 94566","Pre-foreclosure","1944 Fiorio Cir,","","","3","https://www.zillow.com/pleasanton-ca/3_p/","","","null","2","null","$692,627","$692,627","Single Family","1987","Gas","No Data","Detached Garage","3,325 sqft","null","7","9","9","null","No","null","null","$9,072"
"1572904296-851","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/4043-Nevis-St-Pleasanton-CA-94566/24931848_zpid/","Pleasanton, CA 94566","Pre-foreclosure","4043 Nevis St,","","","3","https://www.zillow.com/pleasanton-ca/3_p/","","","null","4","null","$896,468","$896,468","Single Family","1959","No Data","No Data","Detached Garage","6,000 sqft","null","7","9","9","null","No","null","null","$7,250"
"1572908893-1642","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/3325-Hadsell-Ct-Pleasanton-CA-94588/25075553_zpid/","Pleasanton, CA 94588","For sale","3325 Hadsell Ct,","","","","","","","1,971","4","3","$1,179,848","$1,170,000","Single Family","1993","Forced air","Central","2 spaces","4,499 sqft","$3,697/mo","8","9","9","null","Composition","null","null","$8,908"
"1572909272-1678","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/1140-Tiffany-Ln-Pleasanton-CA-94566/25079819_zpid/","Pleasanton, CA 94566","For sale","1140 Tiffany Ln,","","","","","","","1,708","3","3","$806,672","$899,950","Single Family","1986","Forced air","Central","Attached Garage","2,975 sqft","$3,300/mo","7","9","9","null","Composition","null","null","$4,477"
"1572904679-974","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/40-Huested-St-Pleasanton-CA-94566/2085367779_zpid/","Pleasanton, CA 94566","New construction","40 Huested St,","","","3","https://www.zillow.com/pleasanton-ca/3_p/","","","2,402","4","4","$1,075,265","$1,090,220","Single Family","2019","No Data","No Data","Single Family","1,742 sqft","null","7","9","9","Attached Garage","Composition","null","null","null"
"1572905089-1118","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/2197-Arroyo-Ct-APT-4-Pleasanton-CA-94588/2109024962_zpid/","Pleasanton, CA 94588","For sale","2197 Arroyo Ct APT 4,","","","3","https://www.zillow.com/pleasanton-ca/3_p/","","","810","2","1","$477,464","$480,000","Condo","1971","Forced air","Central","Carport","$340/month","$2,300/mo","9","9","9","null","Other","null","null","null"
"1572904445-900","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/5959-Bryce-Canyon-Ct-Pleasanton-CA-94588/25066365_zpid/","Pleasanton, CA 94588","Coming soon: Oct 31.","5959 Bryce Canyon Ct,","","","3","https://www.zillow.com/pleasanton-ca/3_p/","","","1,744","3","3","$989,264","$1,165,000","Single Family","1971","No Data","No Data","Detached Garage","9,767 sqft","$3,475/mo","10","9","9","null","No","null","null","$3,105"
"1572904882-1044","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/3231-Vineyard-Ave-SPC-42-Pleasanton-CA-94566/2083454361_zpid/","Pleasanton, CA 94566","For sale","3231 Vineyard Ave SPC 42,","","","3","https://www.zillow.com/pleasanton-ca/3_p/","","","1,440","3","2","$239,977","$240,000","Mobile / Manufactured","No Data","No Data","No Data","No Data","$167","$3,100/mo","10","8","9","null","No","null","null","null"
"1572907439-1208","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/10-Foothill-Pl-Pleasanton-CA-94588/25082704_zpid/","Pleasanton, CA 94588","For sale","10 Foothill Pl,","","","3","https://www.zillow.com/pleasanton-ca/3_p/","","","3,686","4","4","$1,751,720","$1,800,000","Single Family","1985","Forced air","Central","Attached Garage","0.47 acres","$5,294/mo","9","9","9","null","Tile","null","null","$8,322"
"1572907630-1264","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/3760-Selvante-St-Pleasanton-CA-94566/25087626_zpid/","Pleasanton, CA 94566","For sale","3760 Selvante St,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","7,840","5","6","$3,411,124","$3,550,000","Single Family","2002","Forced air","Central","Attached Garage","0.57 acres","$10,248/mo","8","8","8","null","Tile","null","null","$29,544"
"1572904368-879","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/6300-Alisal-St-Pleasanton-CA-94566/25086739_zpid/","Pleasanton, CA 94566","For sale","6300 Alisal St,","","","3","https://www.zillow.com/pleasanton-ca/3_p/","","","1,680","3","2","None","$2,650,000","Single Family","1964","Forced air","Evaporative","20 spaces","7.21 acres","$3,500/mo","10","8","9","null","Composition","null","null","$2,933"
"1572908463-1504","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/2839-Victoria-Ridge-Ct-Pleasanton-CA-94566/25085345_zpid/","Pleasanton, CA 94566","For sale","2839 Victoria Ridge Ct,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","3,270","5","3","$1,696,008","$1,695,999","Single Family","1990","Forced air","Central","3 spaces","8,502 sqft","$5,127/mo","10","8","9","null","Shake/Shingle","null","null","$11,346"
"1572907473-1218","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/3899-Vine-St-Pleasanton-CA-94566/24931226_zpid/","Pleasanton, CA 94566","For sale","3899 Vine St,","","","3","https://www.zillow.com/pleasanton-ca/3_p/","","","860","2","2","$612,261","$619,000","Townhouse","1985","Forced air","Central","Attached Garage","1,668 sqft","$2,500/mo","8","8","9","null","Composition","null","null","$2,605"
"1572904526-926","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/3263-Vineyard-Ave-SPC-67-Pleasanton-CA-94566/2134404813_zpid/","Pleasanton, CA 94566","For sale","3263 Vineyard Ave SPC 67,","","","3","https://www.zillow.com/pleasanton-ca/3_p/","","","1,540","3","2","$375,066","$375,000","Mobile / Manufactured","2009","Forced air","Central","2 spaces","$244","$3,099/mo","10","8","9","Central","Shake/Shingle","null","null","null"
"1572908796-1613","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/3242-Novara-Way-Pleasanton-CA-94566/25087348_zpid/","Pleasanton, CA 94566","For sale","3242 Novara Way,","","","","","","","6,997","5","6","$3,372,785","$3,499,000","Single Family","2000","Forced air","Central","Attached Garage","0.54 acres","$10,095/mo","8","8","9","null","Tile","null","null","$34,509"
"1572908075-1413","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/2904-Takens-Ct-Pleasanton-CA-94588/25081436_zpid/","Pleasanton, CA 94588","For sale","2904 Takens Ct,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","3,830","6","4","$2,095,310","$2,099,980","Single Family","1996","Forced air","Central","Attached Garage","0.3 acres","$6,338/mo","9","9","9","null","Tile","null","null","$17,335"
"1572908126-1431","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/7742-Redbud-Ct-Pleasanton-CA-94588/25067142_zpid/","Pleasanton, CA 94588","For sale","7742 Redbud Ct,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","1,467","3","2","$917,966","$919,000","Single Family","1970","Forced air","None","Attached Garage","5,950 sqft","$3,300/mo","9","9","9","null","Tile","null","null","$1,013"
"1572907753-1305","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/2122-Arroyo-Ct-APT-2-Pleasanton-CA-94588/2082668282_zpid/","Pleasanton, CA 94588","For sale","2122 Arroyo Ct APT 2,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","903","2","1","$488,108","$485,000","Condo","1972","Forced air","Central","Carport","$340/month","$2,295/mo","9","9","9","null","Composition","null","null","null"
"1572908017-1394","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/6308-Inspiration-Ter-Pleasanton-CA-94566/299077916_zpid/","Pleasanton, CA 94566","New construction","6308 Inspiration Ter,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","7,420","7","8","$3,873,570","$3,999,000","Single Family","2019","Forced air","Central","Detached Garage","0.92 acres","null","10","8","9","null","Tile","null","null","$14,510"
"1572909318-1689","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/788-Donata-Ct-Pleasanton-CA-94566/25087659_zpid/","Pleasanton, CA 94566","For sale","788 Donata Ct,","","","","","","","6,608","5","7","$2,772,272","$2,850,000","Single Family","2001","Forced air","Central","Attached Garage","0.57 acres","$8,306/mo","8","8","8","null","Tile","null","null","$35,436"
"1572908920-1650","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/community/homestead-at-irby-ranch/2084876453_zpid/","Pleasanton, CA 94566","New construction","Buildable plan: Residence 1, The Homestead at Irby Ranch,","","","","","","","2,066","4","3.5","$1,058,434","$1,074,950","Single Family","2019","No Data","No Data","Single Family","No Data","null","7","9","9","Attached Garage","Yes","null","null","null"
"1572907846-1340","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/915-Kolln-St-Pleasanton-CA-94566/24931720_zpid/","Pleasanton, CA 94566","For sale","915 Kolln St,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","1,630","3","2","$1,176,170","$1,175,000","Single Family","1957","Forced air","Central","Attached Garage","5,998 sqft","$3,500/mo","7","9","9","null","Composition","null","null","$4,423"
"1572909337-1692","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/4071-Blacow-St-Pleasanton-CA-94566/25082995_zpid/","Pleasanton, CA 94566","For sale","4071 Blacow St,","","","","","","","1,567","3","2","$1,002,929","$995,000","Single Family","1984","Forced air","Central","Attached Garage","9,683 sqft","$3,475/mo","7","9","9","null","Composition","null","Public Utilities","$5,511"
"1572908688-1580","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/1619-Calle-Santiago-Pleasanton-CA-94566/25080911_zpid/","Pleasanton, CA 94566","For sale","1619 Calle Santiago,","","","","","","","941","2","2","$742,269","$739,950","Townhouse","1971","Forced air","Central","Attached Garage","3,145 sqft","$2,650/mo","null","null","null","null","Composition","null","null","$7,640"
"1572907977-1380","https://www.zillow.com/homes/Pleasanton-CA_rb/","","https://www.zillow.com/homedetails/3014-Yuma-Way-Pleasanton-CA-94588/25077885_zpid/","Pleasanton, CA 94588","For sale","3014 Yuma Way,","2","https://www.zillow.com/pleasanton-ca/2_p/","","","","","988","2","2","$538,891","$538,888","Townhouse","1971","Forced air","Central","Carport","779 sqft","$2,500/mo","8","9","9","null","Tile","null","null","$2,150"
