web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920518-2211","https://www.zillow.com/homes/portola-valley,-ca_rb/","","https://www.zillow.com/homedetails/110-Corte-Madera-Rd-Portola-Valley-CA-94028/15602405_zpid/","Portola Valley, CA 94028","For sale","110 Corte Madera Rd,","1,910","3","2","null","$2,395,000","Single Family","1954","Radiant","No Data","Attached Garage","0.29 acres","$5,717/mo","9","7","null","null","Composition","null","Public Utilities","$16,777"
"1572920411-2180","https://www.zillow.com/homes/portola-valley,-ca_rb/","","https://www.zillow.com/homedetails/180-Willowbrook-Dr-Portola-Valley-CA-94028/15602350_zpid/","Portola Valley, CA 94028","For sale","180 Willowbrook Dr,","3,520","4","3","null","$3,600,000","Single Family","1965","Forced air","None","Attached Garage","1.24 acres","$9,332/mo","9","7","null","null","No","null","Public Utilities","$6,665"
"1572920375-2170","https://www.zillow.com/homes/portola-valley,-ca_rb/","","https://www.zillow.com/homedetails/60-Valencia-Ct-Portola-Valley-CA-94028/15602316_zpid/","Portola Valley, CA 94028","For sale","60 Valencia Ct,","2,600","4","4","null","$2,650,000","Single Family","1959","Forced air","None","6 spaces","2.11 acres","$6,953/mo","9","7","null","null","No","null","null","$2,578"
"1572920170-2113","https://www.zillow.com/homes/portola-valley,-ca_rb/","","https://www.zillow.com/homedetails/4394-Alpine-Rd-Portola-Valley-CA-94028/15602120_zpid/","Portola Valley, CA 94028","Lot/land","4394 Alpine Rd,","null","1.14 acres","null","None","$2,495,000","null","null","null","null","null","null","$4,500/mo","9","7","null","null","Residential Lots & Land","Square Feet","Gas - Available at Street, Electricity - Available at Street, Public Utilities","$44,503"
"1572920577-2227","https://www.zillow.com/homes/portola-valley,-ca_rb/","","https://www.zillow.com/homedetails/277-Mapache-Dr-Portola-Valley-CA-94028/15601027_zpid/","Portola Valley, CA 94028","For sale","277 Mapache Dr,","3,500","3","5","null","$7,750,000","Single Family","1996","Forced air","Central","6 spaces","2.5 acres","$20,087/mo","9","7","null","null","Tile","null","Public Utilities, Natural Gas","$72,980"
"1572920256-2136","https://www.zillow.com/homes/portola-valley,-ca_rb/","","https://www.zillow.com/homedetails/229-Grove-Dr-Portola-Valley-CA-94028/15601988_zpid/","Portola Valley, CA 94028","For sale","229 Grove Dr,","2,990","4","2","null","$4,150,000","Single Family","1955","Radiant","None","Attached Garage","1.04 acres","$10,821/mo","9","7","null","null","Metal","null","Public Utilities","$29,745"
"1572920182-2116","https://www.zillow.com/homes/portola-valley,-ca_rb/","","https://www.zillow.com/homedetails/501-Wayside-Rd-Portola-Valley-CA-94028/248309597_zpid/","Portola Valley, CA 94028","Lot/land","501 Wayside Rd,","null","1.59 acres","null","null","$1,295,000","null","null","null","null","null","null","$3,950/mo","9","7","null","null","Residential Lots & Land","Square Feet","None / No Utilities","$885"
"1572920354-2162","https://www.zillow.com/homes/portola-valley,-ca_rb/","","https://www.zillow.com/homedetails/50-Hayfields-Rd-Portola-Valley-CA-94028/15600925_zpid/","Portola Valley, CA 94028","For sale","50 Hayfields Rd,","5,125","4","4","$4,551,125","$4,695,000","Single Family","1992","Forced air","Central","3 spaces","1.48 acres","$12,165/mo","9","7","null","Central AC","No","null","Public Utilities","$28,318"
"1572920324-2153","https://www.zillow.com/homes/portola-valley,-ca_rb/","","https://www.zillow.com/homedetails/447-Westridge-Dr-Portola-Valley-CA-94028/15601669_zpid/","Portola Valley, CA 94028","For sale","447 Westridge Dr,","6,968","6","6","null","$12,000,000","Single Family","1996","Other","Central","Attached Garage","4.69 acres","$30,709/mo","9","7","null","null","No","null","null","$79,424"
"1572920494-2206","https://www.zillow.com/homes/portola-valley,-ca_rb/","","https://www.zillow.com/homedetails/95-Palmer-Ln-Portola-Valley-CA-94028/15602105_zpid/","Portola Valley, CA 94028","For sale","95 Palmer Ln,","3,165","4","4","$3,886,661","$3,950,000","Single Family","1991","Forced air","None","2 spaces","1.02 acres","$11,068/mo","9","7","null","null","Composition","null","Public Utilities","$24,195"
