web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572901422-1997","https://www.zillow.com/homes/redwood-city-ca_rb/","","https://www.zillow.com/homedetails/247-Santa-Clara-Ave-Redwood-City-CA-94061/15592903_zpid/","Redwood City, CA 94061","For sale","247 Santa Clara Ave,","2","https://www.zillow.com/redwood-city-ca/2_p/","","","3,244","5","5","$3,547,577","$3,598,000","Single Family","2019","Heat pump","Central","Single Family","9,400 sqft","$9,547/mo","5","5","7","{""targetDiv"":""gpt-ad-450fe716-21d3-4d5b-a3a0-e458dd00337f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""247 Santa Clara Ave"",""bd"":""5"",""fsbid"":""13698"",""city"":""Redwood_City"",""proptp"":""sfh"",""pid"":""15592903"",""lot"":""2"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""-2155392166677561115"",""sqftrange"":""3000-3499"",""price"":""3598000"",""sqft"":""3244"",""posting_url"":""http://www.realsmartgroup.com"",""mlong"":""-122.226888"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""94061"",""mlat"":""37.451972"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS76szon3af6tq1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""2010-2019"",""zestimate"":""3547577"",""premieragent"":""no""}}","null","null","null","null"
"1572901461-2039","https://www.zillow.com/homes/redwood-city-ca_rb/","","https://www.zillow.com/homedetails/909-Nob-Hill-Rd-Redwood-City-CA-94061/15572129_zpid/","Redwood City, CA 94061","For sale","909 Nob Hill Rd,","2","https://www.zillow.com/redwood-city-ca/2_p/","","","1,870","4","3","$2,424,954","$2,400,000","Single Family","1958","Forced air","None","Single Family","0.55 acres","$6,289/mo","8","7","null","{""targetDiv"":""gpt-ad-e92bea0e-accd-40e2-9637-e72b51f66165"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""909 Nob Hill Rd"",""bd"":""4"",""fsbid"":""15050"",""city"":""Redwood_City"",""proptp"":""sfh"",""pid"":""15572129"",""lot"":""4"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""4890904728780176469"",""sqftrange"":""1500-1999"",""price"":""2400000"",""sqft"":""1870"",""posting_url"":""http://www.tysonsales.com"",""mlong"":""-122.251387"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94061"",""mlat"":""37.462047"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn20cquavxlph0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Farm_Hill"",""yrblt"":""1940-1959"",""zestimate"":""2424954"",""premieragent"":""no""}}","null","null","null","null"
"1572901333-1913","https://www.zillow.com/homes/redwood-city-ca_rb/","","https://www.zillow.com/homedetails/109-Wayne-Ct-E-Redwood-City-CA-94063/15568866_zpid/","Redwood City, CA 94063","Pre-foreclosure","109 Wayne Ct E,","","","3","https://www.zillow.com/redwood-city-ca/3_p/","null","3","null","$1,030,814","$1,030,814","Single Family","1973","No Data","No Data","Single Family","6,215 sqft","null","4","5","6","{""targetDiv"":""gpt-ad-5b3cb915-d1ed-4ac0-9302-0f6214f32045"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""109 Wayne Ct E"",""bd"":""3"",""city"":""Redwood_City"",""proptp"":""sfh"",""pid"":""15568866"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""6887247690198368832"",""sqftrange"":""2000-2499"",""price"":""1392993"",""sqft"":""2081"",""posting_url"":"""",""mlong"":""-122.1857"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94063"",""mlat"":""37.480155"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Friendly_Acres"",""yrblt"":""1970-1979"",""zestimate"":""1392993"",""premieragent"":""no""}}","null","null","null","null"
"1572901503-2088","https://www.zillow.com/homes/redwood-city-ca_rb/","","https://www.zillow.com/homedetails/620-Maple-St-Redwood-City-CA-94063/15566047_zpid/","Redwood City, CA 94063","Pre-foreclosure","620 Maple St,","2","https://www.zillow.com/redwood-city-ca/2_p/","","","null","4","null","$792,591","$792,591","Single Family","1885","No Data","No Data","Single Family","4,965 sqft","null","5","5","6","{""targetDiv"":""gpt-ad-62ee848b-4530-4cfc-a436-12e12d6ba158"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""620 Maple St"",""bd"":""4"",""city"":""Redwood_City"",""proptp"":""sfh"",""pid"":""15566047"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""3802807254358721311"",""sqftrange"":""1000-1499"",""price"":""1071070"",""sqft"":""1300"",""posting_url"":"""",""mlong"":""-122.224454"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94063"",""mlat"":""37.485075"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Stambaugh-Heller"",""yrblt"":""pre1900"",""zestimate"":""1071070"",""premieragent"":""no""}}","null","null","null","null"
"1572901597-2190","https://www.zillow.com/homes/redwood-city-ca_rb/","","https://www.zillow.com/homedetails/245-Edgewood-Rd-Redwood-City-CA-94062/15563182_zpid/","Redwood City, CA 94062","For sale","245 Edgewood Rd,","","","","","2,000","3","2","$1,593,887","$2,099,000","Single Family","1955","Forced air","Central","Single Family","6,799 sqft","$5,700/mo","7","6","null","{""targetDiv"":""gpt-ad-532c2e32-c9cd-4bc0-81c9-259825f353b1"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""245 Edgewood Rd"",""bd"":""3"",""fsbid"":""13698"",""city"":""Redwood_City"",""proptp"":""sfh"",""pid"":""15563182"",""lot"":""2"",""zestibuck"":""2-2_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""-3324618848292612831"",""sqftrange"":""2000-2499"",""price"":""2099000"",""sqft"":""2000"",""posting_url"":"""",""mlong"":""-122.244523"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94062"",""mlat"":""37.490176"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzn0c7m3pgsdq0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Edgewood_Park"",""yrblt"":""1940-1959"",""zestimate"":""2193263"",""premieragent"":""no""}}","null","null","null","null"
"1572901613-2207","https://www.zillow.com/homes/redwood-city-ca_rb/","","https://www.zillow.com/homedetails/550-Shorebird-Cir-UNIT-2105-Redwood-City-CA-94065/15636367_zpid/","Redwood City, CA 94065","For sale","550 Shorebird Cir UNIT 2105,","","","","","1,300","2","3","null","$1,249,000","Condo","1980","Forced air","None","Condo","$46/month","$4,000/mo","8","9","9","{""targetDiv"":""gpt-ad-69002ae7-7cc8-4ee0-a64d-7bc83f77a7bb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 2105"",""aamgnrc1"":""550 Shorebird Cir"",""bd"":""2"",""fsbid"":""4383"",""city"":""Redwood_City"",""proptp"":""cnd"",""pid"":""15636367"",""lot"":""8"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-3227602614869563187"",""sqftrange"":""1000-1499"",""price"":""1249000"",""sqft"":""1300"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/redwood-city/550-shorebird-cir-2105/pid_33406387/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.254924"",""state"":""CA"",""prange"":""1-1_499m"",""zip"":""94065"",""mlat"":""37.533174"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7af0kvgxydkx0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Redwood_Shores"",""yrblt"":""1980-1989"",""zestimate"":""1319855"",""premieragent"":""no""}}","null","null","null","null"
"1572901623-2220","https://www.zillow.com/homes/redwood-city-ca_rb/","","https://www.zillow.com/homedetails/4000-Farm-Hill-Blvd-APT-302-Redwood-City-CA-94061/15634336_zpid/","Redwood City, CA 94061","For sale","4000 Farm Hill Blvd APT 302,","","","","","916","2","1","$732,634","$699,000","Condo","1973","Baseboard","None","Condo","$488/month","$3,395/mo","8","7","null","{""targetDiv"":""gpt-ad-c3b46088-ff92-46f9-ba9a-96dc93154589"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 302"",""aamgnrc1"":""4000 Farm Hill Blvd"",""bd"":""2"",""fsbid"":""14311"",""city"":""Redwood_City"",""proptp"":""cnd"",""pid"":""15634336"",""lot"":""8"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""7660742320848939239"",""sqftrange"":""500-999"",""price"":""699000"",""oh"":""yes"",""sqft"":""916"",""posting_url"":""http://www.robreynolds.com"",""mlong"":""-122.261557"",""state"":""CA"",""prange"":""600-699k"",""zip"":""94061"",""mlat"":""37.451158"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzbbkjt4rp2k21000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Farm_Hill"",""yrblt"":""1970-1979"",""zestimate"":""732634"",""premieragent"":""no""}}","null","null","null","null"
"1572901300-1886","https://www.zillow.com/homes/redwood-city-ca_rb/","","https://www.zillow.com/homedetails/3404-Rolison-Rd-Redwood-City-CA-94063/15567743_zpid/","Redwood City, CA 94063","For sale","3404 Rolison Rd,","","","3","https://www.zillow.com/redwood-city-ca/3_p/","null","--","null","$1,889,055","$1,838,000","Multi Family","1964","Gas","None","Multi Family","$614","$3,200/mo","4","5","6","{""targetDiv"":""gpt-ad-9b51737d-9e30-48ad-9f8c-574ccd3eee9f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3404 Rolison Rd"",""bd"":""0"",""fsbid"":""13698"",""city"":""Redwood_City"",""proptp"":""mfh"",""pid"":""15567743"",""lot"":""1"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""4907184078835276009"",""sqftrange"":""2500-2999"",""price"":""1838000"",""sqft"":""2992"",""posting_url"":""http://www.marcusmillichap.com/robertjohnston"",""mlong"":""-122.193047"",""state"":""CA"",""prange"":""1_5-1_999m"",""zip"":""94063"",""mlat"":""37.485471"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf4kiviswr6qt1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Friendly_Acres"",""yrblt"":""1960-1969"",""zestimate"":""1889055"",""premieragent"":""no""}}","null","null","null","null"
"1572901549-2141","https://www.zillow.com/homes/redwood-city-ca_rb/","","https://www.zillow.com/homedetails/2-Sequoia-Way-Redwood-City-CA-94061/15593017_zpid/","Redwood City, CA 94061","For sale","2 Sequoia Way,","2","https://www.zillow.com/redwood-city-ca/2_p/","","","1,980","3","3","$1,995,000","$1,995,000","Single Family","1948","Forced air","None","Single Family","0.32 acres","$5,495/mo","5","5","7","{""targetDiv"":""gpt-ad-a69c19b1-4c92-4a31-857b-34904f1c97da"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2 Sequoia Way"",""bd"":""3"",""fsbid"":""13753"",""city"":""Redwood_City"",""proptp"":""sfh"",""pid"":""15593017"",""lot"":""3"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-8374901102018995242"",""sqftrange"":""1500-1999"",""price"":""1995000"",""sqft"":""1980"",""posting_url"":""https://www.pacificunion.com/real-estate/2-sequoia-way-redwood-city-ca-94061/ML81767749/77688672"",""mlong"":""-122.222354"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94061"",""mlat"":""37.449768"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr1udk8fk5dwr1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1995000"",""premieragent"":""no""}}","null","null","null","null"
"1572901586-2176","https://www.zillow.com/homes/redwood-city-ca_rb/","","https://www.zillow.com/homedetails/Haven-Ave-Redwood-City-CA-94063/249628574_zpid/","Redwood City, CA 94063","For sale","Haven Ave,","2","https://www.zillow.com/redwood-city-ca/2_p/","","","1,820","4","2","null","$1,499,000","Single Family","1940","Forced air","Central","Single Family","5,828 sqft","null","4","5","6","{""targetDiv"":""gpt-ad-cf629dc1-b544-4b38-943b-8e50286d31f2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94063"",""aamgnrc1"":""Haven Ave"",""mlat"":""37.487996"",""bd"":""4"",""fsbid"":""4383"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj7hp2yte8h480000000000.jpg"",""zusr"":""true"",""city"":""Redwood_city"",""proptp"":""sfh"",""pid"":""249628574"",""hood"":""Harbor"",""yrblt"":""1940-1959"",""lot"":""2"",""listtp"":""buy_agent"",""zguidh"":""3792447248816034229"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""1499000"",""sqft"":""1820"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/redwood-city/haven-ave/pid_33228911/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.190304"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m""}}","null","null","null","null"
