web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href
"1572903212-3042","https://www.zillow.com/homes/richmond-CA_rb/","","https://www.zillow.com/homedetails/710-28th-St-Richmond-CA-94804/18542825_zpid/","Richmond, CA 94804","Auction","710 28th St,","","","","","4","https://www.zillow.com/richmond-ca/4_p/","","","null","5","null","null","$568,070","Single Family","1911","No Data","No Data","Single Family","4,791 sqft","null","2","1","2","{""targetDiv"":""gpt-ad-ab041507-2d5f-4af0-a506-f35c643d1e10"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""710 28th St"",""bd"":""5"",""fsbid"":""16886"",""city"":""Richmond"",""proptp"":""sfh"",""pid"":""18542825"",""lot"":""1"",""listtp"":""buy_foreclosure"",""stale"":""yes"",""zguidh"":""-9143695259864903604"",""sqftrange"":""2000-2499"",""price"":""568070"",""sqft"":""2094"",""posting_url"":""http://www.auction.com/details/710-28th-st-richmond-ca-94804-2769039-e_14327/?utm_source=zillow&utm_medium=feed&utm_campaign=trustee&utm_name=partner"",""mlong"":""-122.340296"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94804"",""mlat"":""37.942521"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnis0xri3kvn31000000000.jpg"",""zusr"":""true"",""hood"":""North_and_East"",""yrblt"":""1900-1919"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572902809-2831","https://www.zillow.com/homes/richmond-CA_rb/","","https://www.zillow.com/homedetails/6305-Jerilynn-Ave-Richmond-CA-94806/18515182_zpid/","Richmond, CA 94806","Pre-foreclosure","6305 Jerilynn Ave,","","","","","","","5","https://www.zillow.com/richmond-ca/5_p/","null","3","null","$602,686","$602,686","Single Family","1977","No Data","No Data","Single Family","6,600 sqft","null","3","2","3","{""targetDiv"":""gpt-ad-b15fbe38-b5b0-4d14-91d5-db6c57f6a8f1"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""6305 Jerilynn Ave"",""bd"":""3"",""city"":""Richmond"",""proptp"":""sfh"",""pid"":""18515182"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_foreclosure"",""zguidh"":""-1884056252854770047"",""sqftrange"":""1500-1999"",""price"":""621326"",""sqft"":""1807"",""posting_url"":"""",""mlong"":""-122.318311"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94806"",""mlat"":""37.958416"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1970-1979"",""zestimate"":""621326"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/richmond-ca/6_p/","","","",""
"1572903448-3227","https://www.zillow.com/homes/richmond-CA_rb/","","https://www.zillow.com/homedetails/63-Shoreline-Ct-Richmond-CA-94804/72551935_zpid/","Richmond, CA 94804","For sale","63 Shoreline Ct,","2","https://www.zillow.com/richmond-ca/2_p/","","","","","","","959","2","2","$444,777","$450,000","Condo","1990","Baseboard","Central","Condo","$425/month","$2,700/mo","2","5","2","{""targetDiv"":""gpt-ad-eebba1a1-927f-4a5b-8316-737561d3f8bb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""63 Shoreline Ct"",""bd"":""2"",""fsbid"":""15263"",""city"":""Richmond"",""proptp"":""cnd"",""pid"":""72551935"",""lot"":""1"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""2666496039795963033"",""sqftrange"":""500-999"",""price"":""450000"",""sqft"":""959"",""posting_url"":"""",""mlong"":""-122.34293"",""state"":""CA"",""prange"":""450-499k"",""zip"":""94804"",""mlat"":""37.911112"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3rtzcs8qarnz0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""hood"":""Marina_Bay"",""yrblt"":""1990-1999"",""zestimate"":""444777"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572903773-3479","https://www.zillow.com/homes/richmond-CA_rb/","","https://www.zillow.com/community/waterline/2082685393_zpid/","Point Richmond, CA 94801","New construction","Buildable plan: Plan 2A, Waterline,","","","","","","","","","2,116","3","3","$1,375,002","$1,375,000","Condo","2019","No Data","No Data","Condo","No Data","null","2","5","2","{""targetDiv"":""gpt-ad-b954f91d-3d03-491a-8448-4b7cef6aa67e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" CYHTFJ"",""aamgnrc1"":""101 Seacliff Ct"",""bd"":""3"",""fsbid"":""13022"",""city"":""Point_Richmond"",""proptp"":""cnd"",""pid"":""2082685393"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""1375000"",""sqft"":""2116"",""posting_url"":""https://www.sheahomes.com/new-homes/california/bay-area/point-richmond/waterline/plan-2a/"",""state"":""CA"",""mlong"":""-122.375567"",""cnty"":""Solano"",""prange"":""1-1_499m"",""zip"":""94801"",""mlat"":""37.909402"",""plid"":""32584"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnu5b7ttv55wu1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Point_Richmond"",""yrblt"":""2010-2019"",""zestimate"":""1375002"",""premieragent"":""no"",""builderChatId"":""13022-807128"",""dma"":""35""}}","null","null","null","null","","","","","",""
"1572903180-3010","https://www.zillow.com/homes/richmond-CA_rb/","","https://www.zillow.com/homedetails/504-Bridge-View-Ct-Richmond-CA-94801/68034581_zpid/","Richmond, CA 94801","For sale","504 Bridge View Ct,","","","","","4","https://www.zillow.com/richmond-ca/4_p/","","","2,487","3","3","$994,265","$995,000","Single Family","2005","Forced air","Central","Single Family","3,367 sqft","null","2","5","2","{""targetDiv"":""gpt-ad-4ceff90e-6ccb-46be-9721-11b3406e1727"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""504 Bridge View Ct"",""bd"":""3"",""fsbid"":""13273"",""city"":""Richmond"",""proptp"":""sfh"",""pid"":""68034581"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-4546961744583412065"",""sqftrange"":""2000-2499"",""price"":""995000"",""sqft"":""2487"",""posting_url"":"""",""mlong"":""-122.373314"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94801"",""mlat"":""37.91069"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjn5ze2u4av9l0000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""hood"":""Point_Richmond"",""yrblt"":""2000-2009"",""zestimate"":""994265"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572903478-3250","https://www.zillow.com/homes/richmond-CA_rb/","","https://www.zillow.com/homedetails/100-Waterview-Dr-Richmond-CA-94804/18549516_zpid/","Richmond, CA 94804","For sale","100 Waterview Dr,","2","https://www.zillow.com/richmond-ca/2_p/","","","","","","","1,695","3","3","null","$899,000","Single Family","1997","Forced air","Other","Single Family","3,497 sqft","$3,500/mo","2","5","2","{""targetDiv"":""gpt-ad-cfb5de93-2572-42ca-9310-3a202305c2f2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""100 Waterview Dr"",""bd"":""3"",""fsbid"":""4383"",""city"":""Richmond"",""proptp"":""sfh"",""pid"":""18549516"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""8705407968059637486"",""sqftrange"":""1500-1999"",""price"":""899000"",""sqft"":""1695"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/richmond/100-waterview-dr/pid_32955059/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.346615"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94804"",""mlat"":""37.908838"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7ean1mndcxja1000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""hood"":""Marina_Bay"",""yrblt"":""1990-1999"",""zestimate"":""908564"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572902598-2701","https://www.zillow.com/homes/richmond-CA_rb/","","https://www.zillow.com/homedetails/26-Sunset-Ln-Richmond-CA-94801/2082357230_zpid/","Richmond, CA 94801","New construction","26 Sunset Ln,","","","","","","","5","https://www.zillow.com/richmond-ca/5_p/","2,625","2","3","$1,365,008","$1,365,000","Condo","2019","No Data","No Data","Condo","No Data","null","2","5","2","{""targetDiv"":""gpt-ad-971722b7-4fa6-4282-bbad-b7401d44ad32"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""26 Sunset Ln"",""bd"":""2"",""fsbid"":""13022"",""city"":""Richmond"",""proptp"":""cnd"",""pid"":""2082357230"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2500-2999"",""price"":""1365000"",""sqft"":""2625"",""posting_url"":""https://www.sheahomes.com/new-homes/california/bay-area/point-richmond/waterline/plan-4e/"",""state"":""CA"",""mlong"":""-122.374003"",""cnty"":""Contra_Costa"",""prange"":""1-1_499m"",""zip"":""94801"",""mlat"":""37.909034"",""plid"":""32584"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISna6ylhx0vwh71000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Point_Richmond"",""yrblt"":""2010-2019"",""zestimate"":""1365008"",""premieragent"":""no"",""builderChatId"":""13022-807128"",""dma"":""37""}}","null","null","null","null","NEXT","https://www.zillow.com/richmond-ca/6_p/","NEXT","https://www.zillow.com/richmond-ca/7_p/","",""
"1572902849-2848","https://www.zillow.com/homes/richmond-CA_rb/","","https://www.zillow.com/homedetails/5601-Doremus-Ave-Richmond-CA-94805/18538752_zpid/","Richmond, CA 94805","Pre-foreclosure","5601 Doremus Ave,","","","","","","","5","https://www.zillow.com/richmond-ca/5_p/","null","3","null","$784,645","$784,645","Single Family","1957","No Data","No Data","Single Family","4,500 sqft","null","4","5","5","{""targetDiv"":""gpt-ad-fc5668fa-0b89-45be-b01c-6a9c7e5b3332"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5601 Doremus Ave"",""bd"":""3"",""city"":""Richmond"",""proptp"":""sfh"",""pid"":""18538752"",""lot"":""1"",""zestibuck"":""800-899k"",""listtp"":""buy_foreclosure"",""zguidh"":""445137876986373435"",""sqftrange"":""2000-2499"",""price"":""808913"",""sqft"":""2404"",""posting_url"":"""",""mlong"":""-122.320756"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94805"",""mlat"":""37.943523"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z800"",""hood"":""Richmond_Heights"",""yrblt"":""1940-1959"",""zestimate"":""808913"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/richmond-ca/6_p/","","","",""
"1572902806-2829","https://www.zillow.com/homes/richmond-CA_rb/","","https://www.zillow.com/homedetails/5010-Clinton-Ave-Richmond-CA-94805/18538231_zpid/","Richmond, CA 94805","Pre-foreclosure","5010 Clinton Ave,","","","","","","","5","https://www.zillow.com/richmond-ca/5_p/","null","3","null","$526,209","$526,209","Single Family","1912","Forced air","No Data","Single Family","4,800 sqft","null","4","2","null","{""targetDiv"":""gpt-ad-38655b47-8a96-4b10-816a-18b2cc4d9526"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5010 Clinton Ave"",""bd"":""3"",""city"":""Richmond"",""proptp"":""sfh"",""pid"":""18538231"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""-1702553900104267709"",""sqftrange"":""1000-1499"",""price"":""542484"",""sqft"":""1204"",""posting_url"":"""",""mlong"":""-122.325966"",""state"":""CA"",""prange"":""500-599k"",""zip"":""94805"",""mlat"":""37.940486"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z500"",""hood"":""Richmond_Heights"",""yrblt"":""1900-1919"",""zestimate"":""542484"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/richmond-ca/6_p/","","","",""
"1572902926-2882","https://www.zillow.com/homes/richmond-CA_rb/","","https://www.zillow.com/homedetails/70-Waterline-Pl-Richmond-CA-94801/2082357229_zpid/","Richmond, CA 94801","New construction","70 Waterline Pl,","","","","","","","5","https://www.zillow.com/richmond-ca/5_p/","2,986","3","4","$1,625,006","$1,625,000","Condo","2019","No Data","No Data","Condo","No Data","null","2","5","2","{""targetDiv"":""gpt-ad-5d8e70ff-a6f3-4bdb-ae8c-0128b15da7a4"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""70 Waterline Pl"",""bd"":""3"",""fsbid"":""13022"",""city"":""Richmond"",""proptp"":""cnd"",""pid"":""2082357229"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2500-2999"",""price"":""1625000"",""sqft"":""2986"",""posting_url"":""https://www.sheahomes.com/new-homes/california/bay-area/point-richmond/waterline/plan-2c/"",""state"":""CA"",""mlong"":""-122.374659"",""cnty"":""Contra_Costa"",""prange"":""1_5-1_999m"",""zip"":""94801"",""mlat"":""37.90902"",""plid"":""32584"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvg8a4o193uh71000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Point_Richmond"",""yrblt"":""2010-2019"",""zestimate"":""1625006"",""premieragent"":""no"",""builderChatId"":""13022-807128"",""dma"":""37""}}","null","null","null","null","","","","","",""
