web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572901645-2242","https://www.zillow.com/homes/rohnert-park-CA_rb/","","https://www.zillow.com/homedetails/1644-Kassidy-Pl-Rohnert-Park-CA-94928/241873454_zpid/","Rohnert Park, CA 94928","For sale","1644 Kassidy Pl,","","","","","2,430","4","3","$649,002","$649,000","Single Family","2016","Forced air","Central","Single Family","3,920 sqft","$3,450/mo","5","5","5","{""targetDiv"":""gpt-ad-ca6c167e-6b41-48ce-8529-8119a4375a2a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1644 Kassidy Pl"",""bd"":""4"",""fsbid"":""13601"",""city"":""Rohnert_Park"",""proptp"":""sfh"",""pid"":""241873454"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""4284648517468589398"",""sqftrange"":""2000-2499"",""price"":""649000"",""sqft"":""2430"",""posting_url"":""http://greathomes.org/mls/property/21926289"",""mlong"":""-122.687576"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94928"",""mlat"":""38.348812"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISv86rx9yq8rbc0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2010-2019"",""zestimate"":""649002"",""premieragent"":""no""}}","null","null","null","null"
"1572901658-2256","https://www.zillow.com/homes/rohnert-park-CA_rb/","","https://www.zillow.com/homedetails/5200-Kim-Pl-Rohnert-Park-CA-94928/241873672_zpid/","Rohnert Park, CA 94928","For sale","5200 Kim Pl,","","","","","2,007","3","3","$628,895","$632,000","Single Family","2019","Other","No Data","Single Family","3,049 sqft","$3,100/mo","5","5","5","{""targetDiv"":""gpt-ad-b8031d1b-5c80-4203-a7d2-68e5bc894dc2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5200 Kim Pl"",""bd"":""3"",""fsbid"":""13601"",""city"":""Rohnert_Park"",""proptp"":""sfh"",""pid"":""241873672"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-1574495381549946268"",""sqftrange"":""2000-2499"",""price"":""632000"",""sqft"":""2007"",""posting_url"":""http://greathomes.org/mls/property/21917327"",""mlong"":""-122.687576"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94928"",""mlat"":""38.348812"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvwol8xiv73331000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2010-2019"",""zestimate"":""628895"",""premieragent"":""no"",""builderChatId"":""13601-805079""}}","null","null","null","null"
"1572901616-2210","https://www.zillow.com/homes/rohnert-park-CA_rb/","","https://www.zillow.com/homedetails/113-Walnut-Cir-Rohnert-Park-CA-94928/119688737_zpid/","Rohnert Park, CA 94928","For sale by owner","113 Walnut Cir,","","","","","1,400","3","2","$192,289","$225,000","Mobile / Manufactured","2019","Forced air","Central","Mobile / Manufactured","$161","$2,100/mo","4","2","5","{""targetDiv"":""gpt-ad-32aaf8c5-8b18-41e6-b06b-045316e1c804"",""slot"":""zillow/property_details/buy_owner/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94928"",""aamgnrc1"":""113 Walnut Cir"",""mlat"":""38.345598"",""bd"":""3"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvww7v33nf9ho1000000000.jpg"",""zusr"":""true"",""city"":""Rohnert_Park"",""proptp"":""mm"",""pid"":""119688737"",""price_band"":""z100"",""yrblt"":""2010-2019"",""zestimate"":""192289"",""lot"":""10"",""zestibuck"":""150-199k"",""listtp"":""buy_owner"",""zguidh"":""299022039776382570"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""225000"",""sqft"":""1400"",""posting_url"":""http://www.MarteleSellsMobiles.com"",""mlong"":""-122.698286"",""state"":""CA"",""prange"":""200-249k""}}","null","null","null","null"
"1572901813-2415","https://www.zillow.com/homes/rohnert-park-CA_rb/","","https://www.zillow.com/community/live-oak-at-university-district/2082734196_zpid/","Rohnert Park, CA 94928","New construction","Buildable plan: Plan 2004, Live Oak at University District,","","","","","2,004","2","3","$661,624","$663,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","NA","5","5","{""targetDiv"":""gpt-ad-bb9fa046-b75b-4233-9dd3-1fbe3476c7d0"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" PQ6UN7"",""aamgnrc1"":""5858 Kittyhawk Pl"",""bd"":""2"",""fsbid"":""13081"",""city"":""Rohnert_Park"",""proptp"":""sfh"",""pid"":""2082734196"",""zestibuck"":""600-699k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""663000"",""sqft"":""2004"",""posting_url"":""https://www.kbhome.com/new-homes-north-bay-central-valley/live-oak-at-university-district/plan-2004?utm_source=zillowgroup&utm_medium=listing&utm_floorPlanID=00640490-147.2005"",""state"":""CA"",""mlong"":""-122.670703"",""cnty"":""San_Mateo"",""prange"":""600-699k"",""zip"":""94928"",""mlat"":""38.347596"",""plid"":""22808599"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbh7yfpv1s27n0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Laurelwood"",""yrblt"":""2010-2019"",""zestimate"":""661624"",""premieragent"":""no"",""builderChatId"":""13081-809798"",""dma"":""37""}}","null","null","null","null"
"1572901621-2218","https://www.zillow.com/homes/rohnert-park-CA_rb/","","https://www.zillow.com/homedetails/5807-Kittyhawk-Pl-Rohnert-Park-CA-94928/300266188_zpid/","Rohnert Park, CA 94928","For sale","5807 Kittyhawk Pl,","","","","","1,787","3","2","$643,003","$643,000","Single Family","No Data","No Data","No Data","Single Family","5,227 sqft","null","5","5","5","{""targetDiv"":""gpt-ad-42e27ad0-79e0-4d6d-a31a-85f7b2c59770"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94928"",""aamgnrc1"":""5807 Kittyhawk Pl"",""mlat"":""38.350184"",""bd"":""3"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrh2n53wypevd1000000000.jpg"",""zusr"":""true"",""city"":""Rohnert_Park"",""proptp"":""sfh"",""pid"":""300266188"",""price_band"":""z600"",""zestimate"":""643003"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""8748149295058307485"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""643000"",""sqft"":""1787"",""posting_url"":""http://greathomes.org/mls/property/21926085"",""mlong"":""-122.669567"",""state"":""CA"",""prange"":""600-699k""}}","null","null","null","null"
"1572901454-2031","https://www.zillow.com/homes/rohnert-park-CA_rb/","","https://www.zillow.com/homedetails/381-Enterprise-Dr-Rohnert-Park-CA-94928/15841796_zpid/","Rohnert Park, CA 94928","For sale","381 Enterprise Dr,","2","https://www.zillow.com/rohnert-park-ca/2_p/","","","924","2","2","$295,412","$299,888","Condo","1980","Forced air","No Data","Condo","$427/month","$2,000/mo","4","2","5","{""targetDiv"":""gpt-ad-4d9ec1d4-b1fc-4762-8638-e2ec24a41517"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""381 Enterprise Dr"",""bd"":""2"",""fsbid"":""13599"",""city"":""Rohnert_Park"",""proptp"":""cnd"",""pid"":""15841796"",""lot"":""1"",""zestibuck"":""250-299k"",""listtp"":""buy_agent"",""zguidh"":""5981820755698757810"",""sqftrange"":""500-999"",""price"":""299888"",""sqft"":""924"",""posting_url"":""https://www.bhhs.com/drysdaleproperties-ca326/ca/381-enterprise-drive-rohnert-park-94928/pid-2183738204?lead=MemberKey%3D1094239%26LeadBrand%3D11413101711000010000"",""mlong"":""-122.704851"",""state"":""CA"",""prange"":""250-299k"",""zip"":""94928"",""mlat"":""38.343681"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzfqqlgo4q9ry0000000000.jpg"",""zusr"":""true"",""price_band"":""z200"",""yrblt"":""1980-1989"",""zestimate"":""295412"",""premieragent"":""no""}}","null","null","null","null"
"1572901421-1995","https://www.zillow.com/homes/rohnert-park-CA_rb/","","https://www.zillow.com/homedetails/34-Chestnut-Ct-Rohnert-Park-CA-94928/2082573649_zpid/","Rohnert Park, CA 94928","For sale","34 Chestnut Ct,","","","3","https://www.zillow.com/rohnert-park-ca/3_p/","1,440","2","2","$151,324","$153,000","Mobile / Manufactured","1973","No Data","No Data","Mobile / Manufactured","$106","$2,400/mo","NA","2","5","{""targetDiv"":""gpt-ad-20b400b4-3816-480f-9108-0f4c944ca1cb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94928"",""aamgnrc1"":""34 Chestnut Ct"",""mlat"":""38.345107"",""bd"":""2"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISni8dhkhcn51v0000000000.jpg"",""zusr"":""true"",""city"":""Rohnert_Park"",""proptp"":""mm"",""pid"":""2082573649"",""price_band"":""z100"",""yrblt"":""1970-1979"",""zestimate"":""151324"",""zestibuck"":""150-199k"",""listtp"":""buy_agent"",""zguidh"":""1548121109080584510"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""153000"",""sqft"":""1440"",""posting_url"":""http://greathomes.org/mls/property/21925395"",""mlong"":""-122.69704"",""state"":""CA"",""prange"":""150-199k""}}","null","null","null","null"
"1572901498-2083","https://www.zillow.com/homes/rohnert-park-CA_rb/","","https://www.zillow.com/homedetails/7359-Boris-Ct-Rohnert-Park-CA-94928/2082631913_zpid/","Rohnert Park, CA 94928","For sale","7359 Boris Ct,","2","https://www.zillow.com/rohnert-park-ca/2_p/","","","null","28","null","None","$7,600,000","Multi Family","1973","Other","Wall","Multi Family","$350","$2,265/mo","4","2","5","{""targetDiv"":""gpt-ad-8e947074-f5e6-471d-8d36-8c430ef80b84"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94928"",""aamgnrc1"":""7359 Boris Ct"",""mlat"":""38.335487"",""bd"":""10"",""fsbid"":""13599"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzrj5uzwziaiz0000000000.jpg"",""zusr"":""true"",""city"":""Rohnert_Park"",""proptp"":""mfh"",""pid"":""2082631913"",""yrblt"":""1970-1979"",""lot"":""6"",""listtp"":""buy_agent"",""zguidh"":""7368990832937129506"",""premieragent"":""no"",""sqftrange"":""10000_and_up"",""price"":""7600000"",""sqft"":""21728"",""posting_url"":""https://www.bhhs.com/drysdaleproperties-ca326/ca/7359-boris-court-rohnert-park-94928/pid-2187223749?lead=MemberKey%3D1112691%26LeadBrand%3D11413101711000010000"",""mlong"":""-122.703632"",""state"":""CA"",""prange"":""7m-7_999m""}}","null","null","null","null"
"1572901544-2135","https://www.zillow.com/homes/rohnert-park-CA_rb/","","https://www.zillow.com/homedetails/5009-King-Pl-Rohnert-Park-CA-94928/241873451_zpid/","Rohnert Park, CA 94928","For sale","5009 King Pl,","2","https://www.zillow.com/rohnert-park-ca/2_p/","","","2,507","3","3","$715,972","$719,950","Single Family","2019","Other","Central","Single Family","3,825 sqft","$3,500/mo","5","5","5","{""targetDiv"":""gpt-ad-de6cf70c-7d57-4c89-acce-7213bf0ca33d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5009 King Pl"",""bd"":""3"",""fsbid"":""13601"",""city"":""Rohnert_Park"",""proptp"":""sfh"",""pid"":""241873451"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-3285974508964671619"",""sqftrange"":""2500-2999"",""price"":""719950"",""sqft"":""2507"",""posting_url"":""http://greathomes.org/mls/property/21923501"",""mlong"":""-122.687576"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94928"",""mlat"":""38.348812"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb5m9pzwu2nf80000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""2010-2019"",""zestimate"":""715972"",""premieragent"":""no""}}","null","null","null","null"
"1572901798-2399","https://www.zillow.com/homes/rohnert-park-CA_rb/","","https://www.zillow.com/community/live-oak-at-university-district/2082678654_zpid/","Rohnert Park, CA 94928","New construction","Buildable plan: Plan 2152, Live Oak at University District,","","","","","2,152","3","3","$678,685","$679,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","NA","5","5","{""targetDiv"":""gpt-ad-c1753f91-6508-4dfc-b3f4-82a63ce871e0"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" HVU0PQ"",""aamgnrc1"":""5858 Kittyhawk Pl"",""bd"":""3"",""fsbid"":""13081"",""city"":""Rohnert_Park"",""proptp"":""sfh"",""pid"":""2082678654"",""zestibuck"":""600-699k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""679000"",""sqft"":""2152"",""posting_url"":""https://www.kbhome.com/new-homes-north-bay-central-valley/live-oak-at-university-district/plan-2152?utm_source=zillowgroup&utm_medium=listing&utm_floorPlanID=00640490-147.2152"",""state"":""CA"",""mlong"":""-122.670703"",""cnty"":""Alameda"",""prange"":""600-699k"",""zip"":""94928"",""mlat"":""38.347596"",""plid"":""22808599"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7abdv9gftwi71000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Mission_Bay_Mobile_Home_Park"",""yrblt"":""2010-2019"",""zestimate"":""678685"",""premieragent"":""no"",""builderChatId"":""13081-809798"",""dma"":""37""}}","null","null","null","null"
