web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920195-2120","https://www.zillow.com/homes/Ross-CA_rb/","","https://www.zillow.com/homedetails/98-Laurel-Grove-Ave-Ross-CA-94957/51064899_zpid/","Ross, CA 94957","For sale","98 Laurel Grove Ave,","4,500","5","5","$4,640,322","$4,795,000","Single Family","1900","Other","Central","6 spaces","1 acre","$15,912/mo","9","10","null","null","Tile","null","null","$58,081"
"1572920190-2119","https://www.zillow.com/homes/Ross-CA_rb/","","https://www.zillow.com/homedetails/3-Upper-Ames-Ave-Ross-CA-94957/19273315_zpid/","Ross, CA 94957","For sale","3 Upper Ames Ave,","7,581","5","8","$21,286,029","$22,000,000","Single Family","2010","Other","No Data","10 spaces","2.17 acres","$73,440/mo","9","9","null","null","No","null","null","$140,606"
"1572920208-2124","https://www.zillow.com/homes/Ross-CA_rb/","","https://www.zillow.com/homedetails/53-Bolinas-Ave-Ross-CA-94957/19273081_zpid/","Ross, CA 94957","Pre-foreclosure","53 Bolinas Ave,","null","3","null","$1,209,795","$1,209,795","Single Family","1913","Wall","No Data","No Data","6,400 sqft","null","9","9","null","null","No","null","null","$17,511"
"1572920373-2167","https://www.zillow.com/homes/Ross-CA_rb/","","https://www.zillow.com/homedetails/27-Upper-Rd-Ross-CA-94957/19273178_zpid/","Ross, CA 94957","Pre-foreclosure","27 Upper Rd,","11,400","7","7.5","$11,121,617","$11,121,617","Single Family","1992","Other","No Data","4 spaces","2.84 acres","null","9","9","null","null","No","null","null","$214,007"
"1572920311-2150","https://www.zillow.com/homes/Ross-CA_rb/","","https://www.zillow.com/homedetails/2-De-Witt-Dr-Ross-CA-94957/88796269_zpid/","Ross, CA 94957","For sale","2 De Witt Dr,","8,660","6","10","$18,349,824","$18,900,000","Single Family","1998","Other","Central","5 spaces","1.92 acres","$63,305/mo","9","9","null","null","Tile","null","null","$60,479"
"1572920279-2142","https://www.zillow.com/homes/Ross-CA_rb/","","https://www.zillow.com/homedetails/2-Crest-Rd-Ross-CA-94957/240116684_zpid/","Ross, CA 94957","For sale","2 Crest Rd,","2,773","4","4","null","$3,445,000","Single Family","2019","No Data","No Data","No Data","0.43 acres","$3,700/mo","9","8","9","null","No","null","null","$15,312"
"1572920410-2179","https://www.zillow.com/homes/Ross-CA_rb/","","https://www.zillow.com/homedetails/0-Wellington-Ave-Ross-CA-94957/2082407448_zpid/","Ross, CA 94957","Lot/land","0 Wellington Ave,","null","10,202 sqft","null","None","$775,000","null","null","null","null","null","null","$2,700/mo","9","8","9","null","null","null","null","null"
"1572920200-2121","https://www.zillow.com/homes/Ross-CA_rb/","","https://www.zillow.com/homedetails/117-Laurel-Grove-Ave-Ross-CA-94957/19272862_zpid/","Ross, CA 94957","For sale","117 Laurel Grove Ave,","7,191","6","7","$7,230,688","$7,595,000","Single Family","1903","Other","No Data","2 spaces","1.39 acres","$24,898/mo","9","10","null","null","Composition","null","null","$86,595"
"1572920342-2159","https://www.zillow.com/homes/Ross-CA_rb/","","https://www.zillow.com/homedetails/61-Bolinas-Ave-Ross-CA-94957/19273078_zpid/","Ross, CA 94957","For sale","61 Bolinas Ave,","3,430","6","5","$2,650,536","$2,595,000","Single Family","1910","Other","No Data","1 space","6,969 sqft","$9,162/mo","9","9","null","null","No","null","null","$10,040"
"1572920182-2117","https://www.zillow.com/homes/Ross-CA_rb/","","https://www.zillow.com/homedetails/200-Hillside-Ave-Ross-CA-94957/2088180015_zpid/","Ross, CA 94957","Lot/land","200 Hillside Ave,","null","3.97 acres","null","None","$1,495,000","null","null","null","null","null","null","$2,700/mo","9","9","null","null","Forest/Woods, Greenbelt","null","null","null"
