web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920733-2255","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/35-Jordan-Ave-San-Anselmo-CA-94960/19240468_zpid/","San Anselmo, CA 94960","For sale","35 Jordan Ave,","912","2","1","$838,110","$711,000","Single Family","1949","Other","No Data","2 spaces","0.26 acres","$3,500/mo","9","8","9","null","Composition","null","null","$4,886"
"1572920246-2133","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/526-Red-Hill-Ave-San-Anselmo-CA-94960/2085839174_zpid/","San Anselmo, CA 94960","For sale","526 Red Hill Ave,","2,465","3","3","$1,382,795","$1,399,000","Single Family","1928","Other","No Data","No Data","6,534 sqft","$5,400/mo","9","8","9","null","Other","null","null","null"
"1572920589-2229","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/1-Sacramento-Ave-San-Anselmo-CA-94960/95748577_zpid/","San Anselmo, CA 94960","For sale by owner","1 Sacramento Ave,","null","1.38 acres","null","None","$2,500,000","null","null","null","null","null","null","null","8","8","9","null","null","null","null","$7,335"
"1572920746-2258","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/31-Magnolia-Ave-San-Anselmo-CA-94960/80744072_zpid/","San Anselmo, CA 94960","For sale","31 Magnolia Ave,","2,272","3","2","$1,350,762","$1,495,000","Single Family","1903","Wall","No Data","Attached Garage","4,356 sqft","$4,950/mo","9","8","9","null","Composition","null","null","$14,279"
"1572920311-2151","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/201-Stuyvesant-Dr-San-Anselmo-CA-94960/19300497_zpid/","San Anselmo, CA 94960","Pre-foreclosure","201 Stuyvesant Dr,","null","3","null","$886,981","$886,981","Single Family","1972","Other","No Data","No Data","1.29 acres","null","8","8","9","null","Composition","null","null","$11,615"
"1572920490-2203","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/36-Crane-Dr-San-Anselmo-CA-94960/19300185_zpid/","San Anselmo, CA 94960","For sale","36 Crane Dr,","3,819","5","4","$2,584,320","$2,649,000","Single Family","1951","Other","No Data","1 space","0.39 acres","$8,929/mo","8","8","9","null","Composition","null","null","$16,966"
"1572920553-2221","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/785-Fawn-Dr-San-Anselmo-CA-94960/19300850_zpid/","San Anselmo, CA 94960","For sale","785 Fawn Dr,","3,416","4","2","null","$1,595,000","Single Family","1979","Other","Central","2 spaces","1.03 acres","$6,500/mo","8","7","6","null","Other","null","null","$21,890"
"1572920519-2212","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/30-Oak-Knoll-Dr-San-Anselmo-CA-94960/19300419_zpid/","San Anselmo, CA 94960","For sale","30 Oak Knoll Dr,","3,363","5","3","null","$2,395,000","Single Family","2002","Other","No Data","3 spaces","10,497 sqft","$6,600/mo","8","8","9","null","No","null","null","$18,158"
"1572920721-2253","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/20-Myrtle-Ln-San-Anselmo-CA-94960/19241644_zpid/","San Anselmo, CA 94960","For sale","20 Myrtle Ln,","2,375","4","3","$2,085,965","$2,050,000","Single Family","2002","Forced air","No Data","2 spaces","9,500 sqft","$5,600/mo","9","8","9","null","Composition","null","null","$14,398"
"1572920374-2169","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/500-Fawn-Dr-San-Anselmo-CA-94960/19300717_zpid/","San Anselmo, CA 94960","Auction","500 Fawn Dr,","null","3","null","null","$1,061,457","Single Family","1952","Other","No Data","2 spaces","1.02 acres","$5,600/mo","8","8","9","null","No","null","null","$14,269"
